PID,Player,Pos,Team,FF Pts,ADP,Pass Comp,Pass Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,BYE,Pa1D,Ru1D,Rec1D,Fum,XP,FG,Health,C
allenj3,Josh Allen,QB,BUF,345.119,27,311.304,458.512,3670.248,24.564,8.740,96.606,505.460,10.148,0.000,0.000,0.000,7,176.514,32.905,0.000,2.641,0.000,0.000,A,+
jacksl1,Lamar Jackson,QB,BAL,321.503,49,263.735,411.768,3422.676,27.232,6.624,124.629,707.800,2.387,0.000,0.000,0.000,13,160.851,46.078,0.000,2.810,0.000,0.000,B,-
mayed1,Drake Maye,QB,NE,300.006,59,324.099,451.465,3752.956,25.576,11.040,98.356,422.845,3.201,0.000,0.000,0.000,11,181.309,27.527,0.000,2.866,0.000,0.000,A,+
daniej1,Jayden Daniels,QB,WAS,298.562,64,307.246,461.707,3389.004,22.448,9.016,125.432,646.164,3.510,0.000,0.000,0.000,7,165.788,42.065,0.000,3.451,0.000,0.000,B,-
hurtsj1,Jalen Hurts,QB,PHI,297.711,67,290.826,439.099,3079.792,21.804,6.348,115.579,456.700,8.492,0.000,0.000,0.000,10,152.303,29.731,0.000,2.971,0.000,0.000,A,-
burroj1,Joe Burrow,QB,CIN,296.817,61,402.545,572.803,4121.730,31.680,9.450,44.564,135.354,0.686,0.000,0.000,0.000,6,205.714,8.812,0.000,2.973,0.000,0.000,B,-
herbej1,Justin Herbert,QB,LAC,290.873,83,325.440,486.776,3884.884,24.196,8.832,70.785,392.340,1.917,0.000,0.000,0.000,7,186.262,25.541,0.000,3.210,0.000,0.000,A,-
lawret1,Trevor Lawrence,QB,JAX,288.995,85,301.758,509.632,3552.948,23.828,12.604,74.417,340.412,5.510,0.000,0.000,0.000,7,170.930,22.161,0.000,2.933,0.000,0.000,A,-
prescd1,Dak Prescott,QB,DAL,288.413,81,371.051,547.501,4137.056,28.520,11.960,42.754,156.008,1.310,0.000,0.000,0.000,14,201.814,10.156,0.000,2.650,0.000,0.000,A,+
willic6,Caleb Williams,QB,CHI,287.243,72,318.261,536.733,3685.980,25.300,6.992,72.472,336.357,2.509,0.000,0.000,0.000,10,178.066,21.897,0.000,3.094,0.000,0.000,A,+
purdyb1,Brock Purdy,QB,SF,284.989,97,328.197,487.806,4012.184,24.992,15.400,56.064,240.354,3.097,0.000,0.000,0.000,8,191.247,15.647,0.000,2.684,0.000,0.000,B,-
dartj1,Jaxson Dart,QB,NYG,284.784,89,282.099,440.048,2885.488,18.860,7.176,96.916,544.104,8.295,0.000,0.000,0.000,8,144.055,35.421,0.000,3.080,0.000,0.000,A,+
mahomp1,Patrick Mahomes,QB,KC,282.654,104,350.241,536.397,3747.804,23.460,11.592,71.326,379.004,2.607,0.000,0.000,0.000,5,184.820,24.673,0.000,3.048,0.000,0.000,A,-
nixb1,Bo Nix,QB,DEN,279.502,110,352.841,538.016,3462.696,24.104,11.592,76.110,323.024,4.437,0.000,0.000,0.000,10,174.895,21.029,0.000,2.754,0.000,0.000,A,-
goffj1,Jared Goff,QB,DET,273.642,114,375.767,530.895,4388.400,26.864,10.764,12.697,38.814,0.000,0.000,0.000,0.000,6,211.555,2.527,0.000,2.468,0.000,0.000,A,+
murrak1,Kyler Murray,QB,MIN,271.595,122,334.792,480.410,3515.850,19.440,9.450,73.702,428.388,3.840,0.000,0.000,0.000,6,174.262,27.888,0.000,3.228,0.000,0.000,B,-
staffm1,Matthew Stafford,QB,LAR,271.256,100,345.925,520.163,4052.876,29.900,8.188,0.000,0.000,0.000,0.000,0.000,0.000,11,195.223,0.000,0.000,2.271,0.000,0.000,A,+
mayfib1,Baker Mayfield,QB,TB,267.172,125,335.136,498.411,3617.992,24.196,12.788,51.675,357.030,0.931,0.000,0.000,0.000,10,177.998,23.243,0.000,2.832,0.000,0.000,A,+
lovej1,Jordan Love,QB,GB,267.035,129,305.050,466.643,3734.740,25.208,9.568,50.908,221.441,1.113,0.000,0.000,0.000,11,177.958,14.416,0.000,2.440,0.000,0.000,A,-
shougt1,Tyler Shough,QB,NO,260.169,130,315.075,466.117,3452.208,18.676,9.292,84.440,315.612,4.691,0.000,0.000,0.000,8,169.176,20.546,0.000,3.039,0.000,0.000,C,-
willim10,Malik Willis,QB,MIA,257.658,137,285.970,410.887,3022.936,17.112,8.924,97.885,440.968,5.976,0.000,0.000,0.000,6,149.564,28.707,0.000,2.736,0.000,0.000,C,-
strouc1,C.J. Stroud,QB,HOU,255.561,156,335.391,519.920,3764.916,22.724,11.868,57.395,229.263,0.988,0.000,0.000,0.000,8,183.338,14.925,0.000,2.918,0.000,0.000,A,-
darnos1,Sam Darnold,QB,SEA,247.514,163,289.556,428.551,3710.360,25.116,12.052,26.225,85.676,0.708,0.000,0.000,0.000,11,174.887,5.578,0.000,2.128,0.000,0.000,A,-
youngb1,Bryce Young,QB,CAR,241.196,172,305.238,488.396,3140.880,23.460,12.236,48.259,214.973,2.537,0.000,0.000,0.000,5,156.546,13.995,0.000,2.763,0.000,0.000,A,+
rodgea1,Aaron Rodgers,QB,PIT,239.622,218,341.699,537.501,3635.748,24.564,9.936,15.840,47.995,0.626,0.000,0.000,0.000,9,179.567,3.124,0.000,2.683,0.000,0.000,A,-
brissj1,Jacoby Brissett,QB,ARI,233.702,180,307.399,478.722,3227.752,20.856,7.656,46.153,241.650,1.248,0.000,0.000,0.000,14,159.988,15.731,0.000,2.829,0.000,0.000,A,-
jonesd4,Daniel Jones,QB,IND,232.274,148,315.215,468.326,3488.456,19.044,11.040,31.322,117.920,3.025,0.000,0.000,0.000,13,170.505,7.677,0.000,2.343,0.000,0.000,C,-
wardc1,Cam Ward,QB,TEN,226.734,157,308.854,521.918,3150.264,19.780,7.360,42.592,174.429,2.460,0.000,0.000,0.000,9,157.396,11.355,0.000,3.240,0.000,0.000,A,-
smithg1,Geno Smith,QB,NYJ,224.841,252,372.968,530.487,3643.476,19.320,17.388,54.003,161.679,1.054,0.000,0.000,0.000,13,184.267,10.525,0.000,3.282,0.000,0.000,A,+
mendof1,Fernando Mendoza,QB,LV,214.810,185,269.283,458.592,3083.528,16.400,12.382,52.801,251.944,2.660,0.000,0.000,0.000,13,149.392,16.402,0.000,2.904,0.000,0.000,C,-
sandes2,Shedeur Sanders,QB,CLE,168.505,226,191.634,338.103,2344.370,12.950,17.220,36.490,291.028,2.232,0.000,0.000,0.000,11,111.729,18.946,0.000,2.344,0.000,0.000,C,-
penixm1,Michael Penix Jr.,QB,ATL,153.219,280,197.859,349.000,2549.700,11.460,6.120,20.615,67.050,1.110,0.000,0.000,0.000,11,120.021,4.365,0.000,1.854,0.000,0.000,C,+
tagovt1,Tua Tagovailoa,QB,ATL,95.137,255,153.941,241.200,1699.800,7.640,4.080,6.544,19.157,0.000,0.000,0.000,0.000,11,83.130,1.247,0.000,1.251,0.000,0.000,A,-
watsod1,Deshaun Watson,QB,CLE,48.926,279,58.071,106.322,669.820,3.700,4.920,28.250,84.492,0.792,0.000,0.000,0.000,11,32.392,5.500,0.000,0.948,0.000,0.000,C,-
cousik1,Kirk Cousins,QB,LV,38.176,268,62.717,94.408,676.872,3.600,2.718,0.000,0.000,0.000,0.000,0.000,0.000,13,33.303,0.000,0.000,0.581,0.000,0.000,B,-
jonesm5,Mac Jones,QB,SF,33.030,,46.003,68.194,547.116,3.408,2.100,0.000,0.000,0.000,0.000,0.000,0.000,8,26.256,0.000,0.000,0.387,0.000,0.000,C,-
flaccj1,Joe Flacco,QB,CIN,30.937,,47.355,74.597,457.970,3.520,1.050,0.000,0.000,0.000,0.000,0.000,0.000,6,23.229,0.000,0.000,0.412,0.000,0.000,C,-
lancet1,Trey Lance,QB,LAC,29.241,,37.060,61.624,337.816,2.104,0.768,13.068,60.360,0.426,0.000,0.000,0.000,7,17.435,3.929,0.000,0.511,0.000,0.000,C,-
fieldj1,Justin Fields,QB,KC,28.161,,35.259,54.003,325.896,2.040,1.008,12.759,55.464,0.474,0.000,0.000,0.000,5,16.750,3.611,0.000,0.417,0.000,0.000,C,-
richaa2,Anthony Richardson,QB,IND,28.060,,36.185,65.774,303.344,1.656,0.960,20.755,64.320,0.726,0.000,0.000,0.000,13,16.067,4.187,0.000,0.526,0.000,0.000,C,-
