"Name","Pos","Team","ETR Rank","ADP","ADP Dif","Pos Rank ETR","Pos Rank ADP","Pos Rank Dif","id"
"Ja'Marr Chase","WR","CIN","1","1.0","0.0","WR01","WR01","0","4362628"
"Saquon Barkley","RB","PHI","2","3.0","1.0","RB01","RB02","1","3929630"
"Bijan Robinson","RB","ATL","3","2.3","-0.7","RB02","RB01","-1","4430807"
"Jahmyr Gibbs","RB","DET","4","3.7","-0.3","RB03","RB03","0","4429795"
"CeeDee Lamb","WR","DAL","5","5.7","0.7","WR02","WR03","1","4241389"
"Christian McCaffrey","RB","SF","6","8.3","2.3","RB04","RB04","0","3117251"
"Justin Jefferson","WR","MIN","7","5.3","-1.7","WR03","WR02","-1","4262921"
"Ashton Jeanty","RB","LV","8","9.7","1.7","RB05","RB06","1","4890973"
"Amon-Ra St. Brown","WR","DET","9","9.0","0.0","WR04","WR04","0","4374302"
"Nico Collins","WR","HOU","10","12.0","2.0","WR05","WR06","1","4258173"
"Malik Nabers","WR","NYG","11","10.7","-0.3","WR06","WR05","-1","4595348"
"Puka Nacua","WR","LA","12","12.3","0.3","WR07","WR07","0","4426515"
"Derrick Henry","RB","BAL","13","9.0","-4.0","RB06","RB05","-1","3043078"
"Brian Thomas Jr.","WR","JAX","14","15.0","1.0","WR08","WR08","0","4432773"
"De'Von Achane","RB","MIA","15","13.3","-1.7","RB07","RB07","0","4429160"
"A.J. Brown","WR","PHI","16","21.7","5.7","WR09","WR10","1","4047646"
"Brock Bowers","TE","LV","17","19.7","2.7","TE01","TE01","0","4432665"
"Chase Brown","RB","CIN","18","23.0","5.0","RB08","RB11","3","4362238"
"Bucky Irving","RB","TB","19","19.7","0.7","RB09","RB10","1","4596448"
"Drake London","WR","ATL","20","18.0","-2.0","WR10","WR09","-1","4426502"
"Jonathan Taylor","RB","IND","21","19.3","-1.7","RB10","RB09","-1","4242335"
"Josh Jacobs","RB","GB","22","15.7","-6.3","RB11","RB08","-3","4047365"
"Ladd McConkey","WR","LAC","23","25.3","2.3","WR11","WR11","0","4612826"
"Trey McBride","TE","ARI","24","26.3","2.3","TE02","TE02","0","4361307"
"Tee Higgins","WR","CIN","25","32.0","7.0","WR12","WR13","1","4239993"
"Omarion Hampton","RB","LAC","26","33.7","7.7","RB12","RB14","2","4685382"
"George Kittle","TE","SF","27","36.0","9.0","TE03","TE03","0","3040151"
"James Cook","RB","BUF","28","31.0","3.0","RB13","RB13","0","4379399"
"Josh Allen","QB","BUF","29","22.3","-6.7","QB01","QB01","0","3918298"
"Lamar Jackson","QB","BAL","30","22.3","-7.7","QB02","QB01","-1","3916387"
"Kyren Williams","RB","LA","31","25.0","-6.0","RB14","RB12","-2","4430737"
"Tyreek Hill","WR","MIA","32","29.7","-2.3","WR13","WR12","-1","3116406"
"Mike Evans","WR","TB","33","40.3","7.3","WR14","WR17","3","16737"
"Davante Adams","WR","LA","34","43.0","9.0","WR15","WR18","3","16800"
"Jayden Daniels","QB","WAS","35","29.7","-5.3","QB03","QB03","0","4426348"
"Jalen Hurts","QB","PHI","36","36.0","0.0","QB04","QB04","0","4040715"
"Marvin Harrison Jr.","WR","ARI","37","39.7","2.7","WR16","WR16","0","4432708"
"Jaxon Smith-Njigba","WR","SEA","38","32.0","-6.0","WR17","WR13","-4","4430878"
"TreVeyon Henderson","RB","NE","39","53.7","14.7","RB15","RB21","6","4432710"
"Xavier Worthy","WR","KC","40","59.3","19.3","WR18","WR24","6","4683062"
"Devonta Smith","WR","PHI","41","53.3","12.3","WR19","WR23","4","4241478"
"Tet McMillan","WR","CAR","42","62.7","20.7","WR20","WR28","8","4685472"
"Breece Hall","RB","NYJ","43","33.7","-9.3","RB16","RB14","-2","4427366"
"Garrett Wilson","WR","NYJ","44","36.7","-7.3","WR21","WR15","-6","4569618"
"DJ Moore","WR","CHI","45","49.0","4.0","WR22","WR21","-1","3915416"
"Jameson Williams","WR","DET","46","62.0","16.0","WR23","WR27","4","4426388"
"Terry McLaurin","WR","WAS","47","43.7","-3.3","WR24","WR19","-5","3121422"
"Jaylen Waddle","WR","MIA","48","71.7","23.7","WR25","WR32","7","4372016"
"George Pickens","WR","DAL","49","63.3","14.3","WR26","WR29","3","4426354"
"Kenneth Walker III","RB","SEA","50","41.0","-9.0","RB17","RB17","0","4567048"
"Courtland Sutton","WR","DEN","51","51.7","0.7","WR27","WR22","-5","3128429"
"Zay Flowers","WR","BAL","52","61.7","9.7","WR28","WR26","-2","4429615"
"Chuba Hubbard","RB","CAR","53","42.7","-10.3","RB18","RB18","0","4241416"
"DK Metcalf","WR","PIT","54","48.7","-5.3","WR29","WR20","-9","4047650"
"Calvin Ridley","WR","TEN","55","68.0","13.0","WR30","WR30","0","3925357"
"Travis Hunter","WR","JAX","56","70.3","14.3","WR31","WR31","0","4685415"
"James Conner","RB","ARI","57","47.3","-9.7","RB19","RB19","0","3045147"
"Alvin Kamara","RB","NO","58","39.3","-18.7","RB20","RB16","-4","3054850"
"RJ Harvey","RB","DEN","59","53.3","-5.7","RB21","RB20","-1","4568490"
"Emeka Egbuka","WR","TB","60","98.0","38.0","WR32","WR43","11","4567750"
"David Montgomery","RB","DET","61","53.7","-7.3","RB22","RB21","-1","4035538"
"Chris Olave","WR","NO","62","76.0","14.0","WR33","WR33","0","4361370"
"Sam LaPorta","TE","DET","63","54.0","-9.0","TE04","TE04","0","4430027"
"Rome Odunze","WR","CHI","64","82.0","18.0","WR34","WR35","1","4431299"
"Rashee Rice","WR","KC","65","59.3","-5.7","WR35","WR24","-11","4428331"
"Jerry Jeudy","WR","CLE","66","77.0","11.0","WR36","WR34","-2","4241463"
"Aaron Jones","RB","MIN","67","65.7","-1.3","RB23","RB26","3","3042519"
"Tony Pollard","RB","TEN","68","60.3","-7.7","RB24","RB23","-1","3916148"
"Jakobi Meyers","WR","LV","69","90.7","21.7","WR37","WR39","2","3916433"
"Jauan Jennings","WR","SF","70","101.0","31.0","WR38","WR45","7","3886598"
"Joe Burrow","QB","CIN","71","38.0","-33.0","QB05","QB05","0","3915511"
"Deebo Samuel","WR","WAS","72","86.7","14.7","WR39","WR36","-3","3126486"
"D'Andre Swift","RB","CHI","73","62.0","-11.0","RB25","RB25","0","4259545"
"Stefon Diggs","WR","NE","74","88.7","14.7","WR40","WR37","-3","2976212"
"Ricky Pearsall","WR","SF","75","91.7","16.7","WR41","WR40","-1","4428209"
"Matthew Golden","WR","GB","76","100.0","24.0","WR42","WR44","2","4701936"
"Isiah Pacheco","RB","KC","77","60.3","-16.7","RB26","RB23","-3","4361529"
"Kaleb Johnson","RB","PIT","78","69.7","-8.3","RB27","RB28","1","4819231"
"Jordan Addison","WR","MIN","79","89.0","10.0","WR43","WR38","-5","4429205"
"Jayden Reed","WR","GB","80","107.0","27.0","WR44","WR46","2","4362249"
"T.J. Hockenson","TE","MIN","81","64.0","-17.0","TE05","TE06","1","4036133"
"Jaylen Warren","RB","PIT","82","83.3","1.3","RB28","RB30","2","4569987"
"Jordan Mason","RB","MIN","83","93.3","10.3","RB29","RB32","3","4360569"
"Travis Kelce","TE","KC","84","62.3","-21.7","TE06","TE05","-1","15847"
"Patrick Mahomes","QB","KC","85","53.0","-32.0","QB06","QB06","0","3139477"
"Tyrone Tracy Jr.","RB","NYG","86","79.3","-6.7","RB30","RB29","-1","4360516"
"Khalil Shakir","WR","BUF","87","108.7","21.7","WR45","WR47","2","4373678"
"Mark Andrews","TE","BAL","88","76.7","-11.3","TE07","TE07","0","3116365"
"Josh Downs","WR","IND","89","120.7","31.7","WR46","WR48","2","4688813"
"Kyler Murray","QB","ARI","90","89.3","-0.7","QB07","QB09","2","3917315"
