"Name","Position","Team","ETR Rank","ADP","ADP Dif","Pos Rank ETR","Pos Rank ADP","Pos Rank Dif"
"Ja'Marr Chase","WR","CIN","1","1.0","0.0","WR01","WR01","0"
"Saquon Barkley","RB","PHI","2","2.7","0.7","RB01","RB01","0"
"Bijan Robinson","RB","ATL","3","2.7","-0.3","RB02","RB01","-1"
"Jahmyr Gibbs","RB","DET","4","4.0","0.0","RB03","RB03","0"
"CeeDee Lamb","WR","DAL","5","5.7","0.7","WR02","WR03","1"
"Christian McCaffrey","RB","SF","6","9.0","3.0","RB04","RB04","0"
"Justin Jefferson","WR","MIN","7","5.0","-2.0","WR03","WR02","-1"
"Ashton Jeanty","RB","LV","8","10.0","2.0","RB05","RB06","1"
"Amon-Ra St. Brown","WR","DET","9","9.3","0.3","WR04","WR04","0"
"Nico Collins","WR","HOU","10","12.0","2.0","WR05","WR07","2"
"Malik Nabers","WR","NYG","11","10.7","-0.3","WR06","WR05","-1"
"Puka Nacua","WR","LA","12","10.7","-1.3","WR07","WR05","-2"
"Derrick Henry","RB","BAL","13","9.0","-4.0","RB06","RB04","-2"
"Brian Thomas Jr.","WR","JAX","14","14.7","0.7","WR08","WR08","0"
"De'Von Achane","RB","MIA","15","13.7","-1.3","RB07","RB07","0"
"A.J. Brown","WR","PHI","16","21.7","5.7","WR09","WR10","1"
"Brock Bowers","TE","LV","17","19.0","2.0","TE01","TE01","0"
"Bucky Irving","RB","TB","18","19.0","1.0","RB08","RB09","1"
"Chase Brown","RB","CIN","19","23.3","4.3","RB09","RB11","2"
"Drake London","WR","ATL","20","17.7","-2.3","WR10","WR09","-1"
"Jonathan Taylor","RB","IND","21","19.7","-1.3","RB10","RB10","0"
"Josh Jacobs","RB","GB","22","17.0","-5.0","RB11","RB08","-3"
"Ladd McConkey","WR","LAC","23","26.0","3.0","WR11","WR11","0"
"Trey McBride","TE","ARI","24","26.3","2.3","TE02","TE02","0"
"Tee Higgins","WR","CIN","25","31.7","6.7","WR12","WR13","1"
"Tyreek Hill","WR","MIA","26","29.3","3.3","WR13","WR12","-1"
"Omarion Hampton","RB","LAC","27","36.0","9.0","RB12","RB15","3"
"James Cook","RB","BUF","28","32.0","4.0","RB13","RB13","0"
