"Name","Position","Team","Silva Rank","ADP","ADP Dif","Pos Rank Silva","Pos Rank ADP","Pos Rank Dif","Rank Change","Silva Commentary"
"Jahmyr Gibbs","RB","DET","1","4.0","3.0","RB01","RB03","2","0","50+ catches in back-to-back seasons. 20 all-purpose TDs in ‘24."
"Bijan Robinson","RB","ATL","2","2.7","0.7","RB02","RB01","-1","0","5 years younger than Saquon. Falcons profile as shootout team."
"Ja'Marr Chase","WR","CIN","3","1.0","-2.0","WR01","WR01","0","0","Led NFL in catches, rec yds, rec TDs in 24. Turned 25 in March."
"CeeDee Lamb","WR","DAL","4","6.0","2.0","WR02","WR03","1","0","Fantasys overall WR1 in last full season with Dak Prescott (‘23)."
"Saquon Barkley","RB","PHI","5","2.7","-2.3","RB03","RB01","-2","0","Fading 2024s No. 1 fantasy difference-maker after 482 touches."
"Justin Jefferson","WR","MIN","6","5.0","-1.0","WR03","WR02","-1","0","Unproven QB; Confidence comes from talent &amp; KOCs system."
"Brian Thomas Jr.","WR","JAX","7","14.7","7.7","WR04","WR08","4","0","Freak athlete ranked 6th in NFL in yards per route run as rookie."
"Ashton Jeanty","RB","LV","8","9.7","1.7","RB04","RB06","2","0","Pete Carroll/Chip Kelly will feed MJD-level talent relentlessly."
"Amon-Ra St. Brown","WR","DET","9","9.7","0.7","WR05","WR04","-1","0","Slot machine averaging 6.9 catches per game last 3 seasons."
"De'Von Achane","RB","MIA","10","13.0","3.0","RB05","RB07","2","0","Avgd 22.6 PPR PPG with Tua Tagovailoa in lineup last season."
"Christian McCaffrey","RB","SF","11","9.0","-2.0","RB06","RB05","-1","0","Obv injury risk but overall RB1 finish still in range of outcomes."
"Drake London","WR","ATL","12","18.3","6.3","WR06","WR09","3","0","7.3/117.3/0.7 receiving avg in Michael Penixs three 24 starts."
"Nico Collins","WR","HOU","13","12.7","-0.3","WR07","WR07","0","0","98/1,503/10 last 17 reg season games. CJ Strouds clear alpha."
"Puka Nacua","WR","LA","14","10.3","-3.7","WR08","WR05","-3","0","111/1,552/6 last 17 reg season games. Davante Adams aboard."
"Chase Brown","RB","CIN","15","23.3","8.3","RB07","RB11","4","0","Elite offense. Avgd 23.6 touches, 116.3 yds, 0.8 TD last 8 games."
"Malik Nabers","WR","NYG","16","11.0","-5.0","WR09","WR06","-3","0","Giants will revolve O around Nabers and play from behind. Toe inj?"
"Brock Bowers","TE","LV","17","18.0","1.0","TE01","TE01","0","0","Won 2 Mackeys in college. Huge diff maker, in his own TE tier."
"A.J. Brown","WR","PHI","18","22.0","4.0","WR10","WR10","0","0","Age-28 season. Including playoffs, 79/1,242/9 in 17 games last yr."
"Derrick Henry","RB","BAL","19","8.7","-10.3","RB08","RB04","-4","0","Still rolling but will be 31.5 by Week 1, minimal pass-game role."
"Jonathan Taylor","RB","IND","20","19.3","-0.7","RB09","RB09","0","0","True week winner when healthy. Overall RB1 last Weeks 15-18."
"Bucky Irving","RB","TB","21","19.3","-1.7","RB10","RB09","-1","0","All-purpose tackle breaker locked in as lead back in loaded O."
"Jaxon Smith-Njigba","WR","SEA","22","31.7","9.7","WR11","WR13","2","0","Coming off breakout 100-catch campaign w/ minimal target comp."
"Tee Higgins","WR","CIN","23","31.7","8.7","WR12","WR13","1","0","Bengals profile as shootout team. Last 17 games 88/1,239/13."
"Josh Jacobs","RB","GB","24","17.3","-6.7","RB11","RB08","-3","0","Packers brought in no competition for versatile 340-touch horse."
"Omarion Hampton","RB","LAC","25","38.0","13.0","RB12","RB15","3","0","Chargers made Hampton 22nd overall pick. Najee Harris a big ?"
"Ladd McConkey","WR","LAC","26","25.3","-0.7","WR13","WR11","-2","0","Insta-separator in slot. 4th in NFL in yards/route run as rookie."
"Lamar Jackson","QB","BAL","27","22.7","-4.3","QB01","QB02","1","0","Year 3 of Todd Monken. 1st, 2nd in NFL MVP voting in first two."
"Josh Allen","QB","BUF","28","22.0","-6.0","QB02","QB01","-1","0","Always in overall QB1 hunt; weapons just not as strong as Lamars."
"Marvin Harrison Jr.","WR","ARI","29","40.0","11.0","WR14","WR17","3","0","Classic sophomore buy after underwhelming rookie campaign."
"Tyreek Hill","WR","MIA","30","29.7","-0.3","WR15","WR12","-3","0","Scary pick. Off-field flags, production decline, advancing age (31)."
"Jameson Williams","WR","DET","31","63.3","32.3","WR16","WR28","12","0","Gamebreakers role slated to grow after huge 2024 step."
"Mike Evans","WR","TB","32","39.7","7.7","WR17","WR16","-1","0","32 in August. Including playoffs, his last 17 games 92/1,291/13."
"James Cook","RB","BUF","33","32.3","-0.7","RB13","RB14","1","0","Lead RB in elite offense. Contract szn. 18 TD in 16 games last yr."
"George Pickens","WR","DAL","34","65.7","31.7","WR18","WR29","11","0","Contract yr. Dallas perimeter pass game belongs to Pickens."
"Kyren Williams","RB","LA","35","25.0","-10.0","RB14","RB12","-2","0","Inefficiency increasingly alarming. Still has Sean McVays trust."
"Davante Adams","WR","LA","36","40.0","4.0","WR19","WR17","-2","0","Turns 33 late in season but ideal stylistic match w/ Stafford."
"George Kittle","TE","SF","37","36.7","-0.3","TE02","TE03","1","0","No Deebo. Aiyuk recovering. Kittle best all-around TE in league."
"Trey McBride","TE","ARI","38","26.7","-11.3","TE03","TE02","-1","0","111 catches in 24 ranked fourth in league regardless of position."
"Jaylen Waddle","WR","MIA","39","72.0","33.0","WR20","WR32","12","0","Fins O among NFLs most concentrated. Can he pass Tyreek as WR1?"
"Jalen Hurts","QB","PHI","40","37.7","-2.3","QB03","QB04","1","0","52 rush TDs last 4 seasons. Tush Push here to stay, for now."
"Garrett Wilson","WR","NYJ","41","35.7","-5.3","WR21","WR15","-6","0","Jets going run heavy, but Wilson will dominate Justin Fields eye."
"Jayden Daniels","QB","WAS","42","29.7","-12.3","QB04","QB03","-1","0","Arguably best rookie QB season in history. Was QB6 in fantasy."
"Terry McLaurin","WR","WAS","43","41.0","-2.0","WR22","WR19","-3","0","5 straight 1,000+ yd seasons. High-floor, questionable ceiling."
"Zay Flowers","WR","BAL","44","61.0","17.0","WR23","WR26","3","0","Ravens WR1 but ceiling questionable in widely-distributed O."
"Tony Pollard","RB","TEN","45","66.3","21.3","RB15","RB26","11","0","Injured Tyjae Spears is Pollards lone competition for backfield work."
"Travis Hunter","WR","JAX","46","69.0","23.0","WR24","WR30","6","0","Actual generational talent. Jags want him to play 80% of O snaps."
"Chuba Hubbard","RB","CAR","47","42.7","-4.3","RB16","RB18","2","0","Workmanlike bellcow in ascending offense with elite O-Line."
"TreVeyon Henderson","RB","NE","48","59.3","11.3","RB17","RB22","5","0","Expect Hendersons explosiveness to win him Pats lead RB job."
"Courtland Sutton","WR","DEN","49","51.3","2.3","WR25","WR22","-3","0","Returns as Broncos clear-cut WR1 after riffing with Bo Nix."
"Tet McMillan","WR","CAR","50","63.0","13.0","WR26","WR27","1","0","Clear path to Bryce Youngs WR1 as 2025s No. 8 overall pick."
"Chris Olave","WR","NO","51","75.3","24.3","WR27","WR33","6","0","Concussion history, rookie QB render Olave screaming value."
"Xavier Worthy","WR","KC","52","60.7","8.7","WR28","WR25","-3","0","R. Rice suspension fuels Worthy to build on promising rookie yr."
"Calvin Ridley","WR","TEN","53","70.0","17.0","WR29","WR31","2","0","Lock for WR1 treatment with No. 1 overall pick Cam Ward."
"DK Metcalf","WR","PIT","54","49.3","-4.7","WR30","WR21","-9","0","Rough-around-edges talent enters run-dominant Steelers O."
"Rashee Rice","WR","KC","55","52.3","-2.7","WR31","WR23","-8","0","Expecting 4-6 game suspension after guilty plea to two felonies."
"Alvin Kamara","RB","NO","56","40.0","-16.0","RB18","RB16","-2","0","30 in July. Still virtually no competition after renaissance year."
"James Conner","RB","ARI","57","47.7","-9.3","RB19","RB19","0","0","Just turned 30. Cards made zero notable offseason RB adds."
"Kenneth Walker III","RB","SEA","58","41.7","-16.3","RB20","RB17","-3","0","Explosive but boom-busty back entering revised Seattle O."
"DeVonta Smith","WR","PHI","59","53.7","-5.3","WR32","WR24","-8","0","Elite player. Run-first O, top-shelf DEF curb box-score ceiling."
"DJ Moore","WR","CHI","60","47.7","-12.3","WR33","WR20","-13","0","Exhibited alarming lack of chemistry with Caleb Williams in ‘24."
"D'Andre Swift","RB","CHI","61","61.0","0.0","RB21","RB23","2","0","Bears punted RB upgrades. Swift knows Ben Johnson from DET."
"Ricky Pearsall","WR","SF","62","99.7","37.7","WR34","WR43","9","0","Year-2 breakout appeal with Deebo gone, Aiyuk recovering."
"Jauan Jennings","WR","SF","63","98.3","35.3","WR35","WR42","7","0","Real shot to secure 49ers WR1 job after breakout campaign."
"Deebo Samuel","WR","WAS","64","88.3","24.3","WR36","WR38","2","0","Excellent fit for Kliff Kingsbury O. Declining? Turned 29 in Jan."
"Breece Hall","RB","NYJ","65","32.0","-33.0","RB22","RB13","-9","0","Braelon Allen coming. Halls receiving strength curbed in new O."
"Joe Burrow","QB","CIN","66","37.7","-28.3","QB05","QB04","-1","0","Bengals my favorite to lead league in points scored this year."
"Jaylen Warren","RB","PIT","67","84.7","17.7","RB23","RB30","7","0","Not unrealistic PIT simply trusts Warren over Kaleb Johnson."
"Isiah Pacheco","RB","KC","68","62.7","-5.3","RB24","RB24","0","0","Broke fibula last Week 2. Repositioned for Chiefs top RB job."
"Kaleb Johnson","RB","PIT","69","67.0","-2.0","RB25","RB27","2","0","Steelers talking up 3rd-round rookie as volume RB right away."
"David Montgomery","RB","DET","70","53.7","-16.3","RB26","RB20","-6","0","Expect Lions to lean more into Jahmyr Gibbs in revised O."
"RJ Harvey","RB","DEN","71","55.3","-15.7","RB27","RB21","-6","0","60th overall pick entering convoluted Broncos backfield."
"Sam LaPorta","TE","DET","72","53.0","-19.0","TE04","TE04","0","0","Took step back from 2023 rookie year, still finished as fantasy TE6."
"Mark Andrews","TE","BAL","73","76.0","3.0","TE05","TE07","2","0","11 TDs over Ravens final 12 reg season games. Has Lamar trust."
"Jakobi Meyers","WR","LV","74","95.7","21.7","WR37","WR40","3","0","By far Raiders most established wideout. Big QB upgrade."
"T.J. Hockenson","TE","MIN","75","63.3","-11.7","TE06","TE05","-1","0","Distanced from ‘23 ACL/MCL tear. New QB, heavy target comp."
"Rome Odunze","WR","CHI","76","82.3","6.3","WR38","WR35","-3","0","Sophomore buy after disappointing rookie yr. Was top-10 pick."
"Jerry Jeudy","WR","CLE","77","76.0","-1.0","WR39","WR34","-5","0","Badly needs Joe Flacco to win Browns 4-man quarterback derby."
"Emeka Egbuka","WR","TB","78","109.0","31.0","WR40","WR47","7","0","19th overall pick. Godwin off major injury. Evans 32 in August."
"Stefon Diggs","WR","NE","79","91.7","12.7","WR41","WR39","-2","0","Great landing spot but tore ACL last Week 8, turns 32 in Nov."
"Jayden Reed","WR","GB","80","102.3","22.3","WR42","WR44","2","0","Playmaking slot WRs ranking dropped with August foot sprain."
"Chris Godwin","WR","TB","81","83.0","2.0","WR43","WR36","-7","0","On fire before 24 ankle injury. Concern over injury recovery."
"Jordan Addison","WR","MIN","82","84.0","2.0","WR44","WR37","-7","0","Will open season on 3-gm suspension. New QB, more target comp."
"Aaron Jones","RB","MIN","83","65.3","-17.7","RB28","RB25","-3","0","Vikings traded for Jordan Mason to take carries off Jones plate."
"Travis Etienne","RB","JAX","84","95.0","11.0","RB29","RB31","2","0","Seems certain to be among top-two RBs in Jags rotation."
"Josh Downs","WR","IND","85","119.7","34.7","WR45","WR48","3","0","Arguably Colts best pure WR when healthy. Huge QB concerns."
"Justin Fields","QB","NYJ","86","105.0","19.0","QB06","QB11","5","0","Can run for 1,000+ yards if healthy. Zero threat to his starting job."
"Christian Kirk","WR","HOU","87","164.3","77.3","WR46","WR57","11","0","Slot machine will provide interior safety valve for C.J. Stroud."
"Travis Kelce","TE","KC","88","64.3","-23.7","TE07","TE06","-1","0","Age-36 season. R. Rice suspension boon to box-score outlook."
"Darnell Mooney","WR","ATL","89","149.0","60.0","WR47","WR54","7","0","Coming off career-best year. Early-camp shoulder injury is concern."
"Kyler Murray","QB","ARI","90","91.0","1.0","QB07","QB09","2","0","Has never topped 26 TD passes. Dual threat supports solid floor."
"Brian Robinson","RB","WAS","91","80.7","-10.3","RB30","RB28","-2","0","Favorite for carries/GL work in upward-trending WAS attack."
"Jordan Mason","RB","MIN","92","99.0","7.0","RB31","RB32","1","0","Outside shot to emerge as Vikes lead back after trade from SF."
"Braelon Allen","RB","NYJ","93","155.0","62.0","RB32","RB48","16","0","Camp buzz of Allen forming near-even split w/ Breece Hall."
"J.K. Dobbins","RB","DEN","94","108.0","14.0","RB33","RB35","2","0","Realistic chance to lead Broncos backfield in touches."
"Patrick Mahomes","QB","KC","95","54.3","-40.7","QB08","QB06","-2","0","Has been FF bust last two years. Rashee Rice suspension stings."
"Tyrone Tracy Jr.","RB","NYG","96","82.0","-14.0","RB34","RB29","-5","0","Tracy seemed to pull clearly ahead of Cam Skattebo in camp."
"Tyler Warren","TE","IND","97","113.0","16.0","TE08","TE10","2","0","24 Mackey Award winner benefits if Colts start Daniel Jones."
"Cam Skattebo","RB","NYG","98","105.3","7.3","RB35","RB33","-2","0","Better inside runner, goal-line RB, pass pro than Tyrone Tracy."
"Jake Ferguson","TE","DAL","99","123.7","24.7","TE09","TE12","3","0","Was fantasy TE9, drew 102 targets in Daks last full season (‘23)."
"Keon Coleman","WR","BUF","100","137.3","37.3","WR48","WR51","3","0","Josh Allens highest-ceiling wideout struggles to separate."
"Matthew Golden","WR","GB","101","104.0","3.0","WR49","WR45","-4","0","Rookie will get first crack at Packers top perimeter WR job."
"Jaydon Blue","RB","DAL","102","136.3","34.3","RB36","RB39","3","0","Upside bet. Dynamic. Battling Javonte Williams/Miles Sanders."
"Michael Pittman","WR","IND","103","134.3","31.3","WR50","WR50","0","0","Strict possession WR requires big target vol for FF usefulness."
"Rhamondre Stevenson","RB","NE","104","112.0","8.0","RB37","RB36","-1","0","TreVeyon Henderson pick craters Rhamondres upside."
"Zach Charbonnet","RB","SEA","105","107.7","2.7","RB38","RB34","-4","0","Kenneth Walker more talented, but new offense in Seattle."
"Rashod Bateman","WR","BAL","106","169.3","63.3","WR51","WR59","8","0","Quietly coming off career-best season. Stayed healthy."
"Bhayshul Tuten","RB","JAX","107","156.3","49.3","RB39","RB49","10","0","4.3 gamebreaker. Only Travis Etienne, Tank Bigsby to pass."
"Tucker Kraft","TE","GB","108","107.3","-0.7","TE10","TE09","-1","0","Remember Luke Musgrave? Kraft has lapped him as Packers TE."
"Tank Bigsby","RB","JAX","109","118.0","9.0","RB40","RB37","-3","0","Jags best runner in 24 but limited skill set &amp; new regime in JAX."
"Woody Marks","RB","HOU","110","195.5","85.5","RB41","RB54","13","0","Caught 261 passes in college career. Joe Mixons foot inj is huge."
"Austin Ekeler","RB","WAS","111","140.3","29.3","RB42","RB41","-1","0","Commanders change-up/pass-dn RB behind Brian Robinson."
"Jerome Ford","RB","CLE","112","144.7","32.7","RB43","RB44","1","0","Efficient and versatile. Stock rose with Quinshon Judkins arrest."
