"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",243,25.9,11.2,205,281,113,103,116,1,2,2,1,"1",2.98,65.7,37
"2","Nick Chubb","RB","CLE",231,23.8,0.638,203,262,102,100,96.6,2,5,8,2,"1",10.5,53,31
"3","Austin Ekeler","RB","LAC",231,17,2.34,203,251,102,100,86.2,3,4,11,3,"1",4.97,60.5,6
"4","Derrick Henry","RB","TEN",228,14,6.64,208,245,99.2,105,80.2,4,1,13,4,"1",14,49.1,1
"5","Jalen Hurts","QB","PHI",369,19.2,0.659,340,387,97.1,87.6,97.5,5,11,7,1,"1",20.7,37.7,6
"6","Patrick Mahomes","QB","KC",368,12.8,3.54,354,392,96.4,101,102,6,3,6,2,"1",14.7,42.6,1
"7","Travis Kelce","TE","KC",179,18.2,44.8,160,212,95,87.9,109,7,10,4,1,"1",7.09,58,54
"8","Justin Jefferson","WR","MIN",216,23.8,8.01,187,250,94.4,81.7,110,8,12,3,1,"1",1.86,65.8,57
"9","Josh Allen","QB","BUF",365,27.7,39.3,329,408,92.9,76.7,118,9,13,1,3,"2",19.6,36.7,29
"10","Tony Pollard","RB","DAL",222,19.7,3.37,201,255,92.6,98.5,90.1,10,6,10,5,"1",14.7,46.7,18
"11","Josh Jacobs","RB","LVR",218,18.4,0.328,200,244,89.2,97.9,79.2,11,7,14,6,"1",17.6,42.8,14
"12","Saquon Barkley","RB","NYG",218,26.2,6.15,192,257,88.9,89.3,91.7,12,9,9,7,"2",10.4,53.2,42
"13","Ja'Marr Chase","WR","CIN",208,23.6,6.85,175,248,86.4,70.1,108,13,14,5,2,"1",4.63,60.5,56
"14","Bijan Robinson","RB","ATL",212,18.5,24.2,196,243,82.7,93.5,78.1,14,8,15,8,"3",8.68,60.5,7
"15","Tyreek Hill","WR","MIA",202,16.8,10.7,175,224,79.5,69.6,84.1,15,15,12,3,"2",7.99,56.5,19
"16","Davante Adams","WR","LVR",191,16.1,0.85,168,213,68.8,63.1,73.6,16,17,18,4,"2",16.9,46,17
"17","CeeDee Lamb","WR","DAL",190,23.5,8.81,162,217,67.9,56.8,77.4,17,21,17,5,"2",16,44.6,59
"18","Stefon Diggs","WR","BUF",181,15.1,5.02,167,206,59.1,61.6,66,18,18,19,6,"3",12.9,50,10
"19","Joe Mixon","RB","CIN",188,20.9,0.788,170,223,58.5,67.1,57.8,19,16,24,9,"3",30.2,32.8,34
"20","Rhamondre Stevenson","RB","NE",187,19.6,0.489,162,209,57.7,59,44,20,20,31,10,"3",32.9,26.8,30
"21","Najee Harris","RB","PIT",186,24.2,2.96,146,213,57.2,43.3,47.9,21,30,29,11,"3",29.7,30.6,54
"22","Kenneth Walker III","RB","SEA",183,23.4,0.545,154,218,54.2,51.4,52.8,22,26,25,12,"3",44.2,19.6,51
"23","A.J. Brown","WR","PHI",176,24.8,0.463,147,217,54.1,41.7,77.8,23,32,16,7,"3",15.9,44.1,70
"24","Aaron Jones","RB","GB",183,16.3,4.54,164,207,53.7,61.1,41.8,24,19,38,13,"4",36.1,29.2,20
"25","Joe Burrow","QB","CIN",325,19.3,1.77,295,350,53.6,42.5,60.5,26,31,22,4,"2",36.7,24.8,12
"26","Cooper Kupp","WR","LAR",176,18.3,9.36,155,200,53.6,49.8,60.3,25,27,23,8,"3",9.09,54.4,64
