Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameHalfPointPPR,FantasyPointsHalfPointPpr
1,Patrick Mahomes,KC,QB,17,5265,40.2,8.2,319.5,2.4,0,0,0,0,0,0,0,23.3,395.95
2,Josh Allen,BUF,QB,17,4672.2,34,12.3,484.4,7.1,0,0,0,0,0,0,0,22.4,381.53
3,Kyler Murray,ARI,QB,17,4289.8,26.9,12.8,729.1,7.5,0,0,0,0,0,0,0,21.4,364.1
4,Lamar Jackson,BAL,QB,17,3428.8,26.1,10.2,991.8,6.6,0,0,0,0,0,0,0,20.8,353.13
5,Dak Prescott,DAL,QB,17,5017.8,31.6,11.7,305.4,3.8,0,0,0,0,0,0,0,20.6,350.65
6,Aaron Rodgers,GB,QB,17,4641.4,37.4,6.6,163.6,2,0,0,0,0,0,0,0,20.3,344.62
7,Russell Wilson,SEA,QB,17,4530.5,33.9,11.2,424.4,2.2,0,0,0,0,0,0,0,20.2,343.26
8,Justin Herbert,LAC,QB,17,4674.6,32.8,11.3,264.7,4,0,0,0,0,0,0,0,20,340.45
9,Tom Brady,TB,QB,17,4832,37.1,12.6,23,1.8,0,0,0,0,0,0,0,19.1,324.78
10,Christian McCaffrey,CAR,RB,17,0,0,0,1184.3,10.9,88.2,733.4,4,0,0,0,0,18.9,321.27
11,Jalen Hurts,PHI,QB,17,4048.1,23.3,15.5,714.5,5.4,0,0,0,0,0,0,0,18.7,318.57
12,Ryan Tannehill,TEN,QB,17,4169.1,31.5,9.8,255.6,4.1,0,0,0,0,0,0,0,18.7,317.92
13,Matthew Stafford,LAR,QB,17,4965.2,30.1,12,132.4,0.9,0,0,0,0,0,0,0,18.1,307.45
14,Joe Burrow,CIN,QB,17,4508,26.4,9.8,233.8,2.8,0,0,0,0,0,0,0,17.6,298.7
15,Dalvin Cook,MIN,RB,17,0,0,0,1381.6,12.1,54.2,468.1,2.4,0,0,0,0,17.3,294.07
16,Trevor Lawrence,JAX,QB,17,4109.7,25.2,13.7,327.8,3.3,0,0,0,0,0,0,0,16.7,283.17
17,Matt Ryan,ATL,QB,17,4521.8,28.2,12.6,102,1.4,0,0,0,0,0,0,0,16.5,280.47
18,Derrick Henry,TEN,RB,17,0,0,0,1633.3,13.4,23.5,171,2,0,0,0,0,16.4,279.38
19,Davante Adams,GB,WR,17,0,0,0,0,0,116.5,1402,13.7,0,0,0,0,16.4,279.25
20,Tua Tagovailoa,MIA,QB,17,4108.6,26.8,11.4,182.8,2.9,0,0,0,0,0,0,0,16.4,278.62
