rank,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_half_ppr_per_gp,fpts_half_ppr
1,Christian McCaffrey,SF,RB,17,0.0,0.0,0.0,1237.1,10.6,66.3,540.3,5.0,0.0,0.0,0.0,0.0,17.7,1133.7
2,CeeDee Lamb,DAL,WR,17,0.0,0.0,0.0,82.0,0.9,118.0,1518.5,8.3,0.0,0.0,0.0,0.0,16.0,1120.4
3,Tyreek Hill,MIA,WR,17,0.0,0.0,0.0,28.5,0.2,108.7,1535.7,8.6,0.0,0.0,0.0,0.0,15.4,1109.8
4,Breece Hall,NYJ,RB,17,0.0,0.0,0.0,1075.4,8.3,64.5,524.7,3.7,0.0,0.0,0.0,0.0,15.4,1093.5
5,Amon-Ra St. Brown,DET,WR,17,0.0,0.0,0.0,31.7,0.1,110.9,1347.3,7.4,0.0,0.0,0.0,0.0,13.9,1084.5
6,Justin Jefferson,MIN,WR,17,0.0,0.0,0.0,6.7,0.1,102.9,1481.9,6.2,0.0,0.0,0.0,0.0,13.9,1084.3
7,Bijan Robinson,ATL,RB,17,0.0,0.0,0.0,1061.2,7.3,61.1,504.8,4.0,0.0,0.0,0.0,0.0,14.7,1084.2
8,Ja'Marr Chase,CIN,WR,17,0.0,0.0,0.0,13.0,0.1,102.6,1323.9,7.7,0.0,0.0,0.0,0.0,13.6,1078.0
9,A.J. Brown,PHI,WR,17,0.0,0.0,0.0,1.6,0.0,91.1,1316.3,8.1,0.0,0.0,0.0,0.0,13.2,1072.1
10,Saquon Barkley,PHI,RB,17,0.0,0.0,0.0,1162.4,8.9,44.7,323.0,2.7,0.0,0.0,0.0,0.0,13.9,1069.7
11,Jonathan Taylor,IND,RB,17,0.0,0.0,0.0,1246.3,9.6,34.4,263.2,1.7,0.0,0.0,0.0,0.0,13.7,1065.2
12,Puka Nacua,LAR,WR,17,0.0,0.0,0.0,54.9,0.2,93.3,1299.6,5.8,0.0,0.0,0.0,0.0,12.8,1064.3
13,Kyren Williams,LAR,RB,17,0.0,0.0,0.0,1097.4,10.0,36.2,256.6,2.5,0.0,0.0,0.0,0.0,13.2,1057.8
14,Garrett Wilson,NYJ,WR,17,0.0,0.0,0.0,16.8,0.1,94.0,1206.7,6.5,0.0,0.0,0.0,0.0,12.2,1055.1
15,Jahmyr Gibbs,DET,RB,17,0.0,0.0,0.0,939.4,8.1,54.3,391.8,1.9,0.0,0.0,0.0,0.0,12.8,1049.5
