rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_ppr_per_gp,fpts_ppr
1,19801,Josh Allen,BUF,QB,17,3826.4,26.6,10.2,563.3,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,356.0
2,23200,Jahmyr Gibbs,DET,RB,17,0.0,0.0,0.0,1287.5,12.9,68.5,558.8,3.9,0.0,0.0,0.0,0.0,20.7,351.5
3,23189,Bijan Robinson,ATL,RB,17,0.0,0.0,0.0,1363.2,9.0,73.4,680.6,3.5,0.0,0.0,0.0,0.0,20.5,349.0
4,24172,Puka Nacua,LAR,WR,17,0.0,0.0,0.0,82.9,1.2,118.4,1538.2,7.1,0.0,0.0,0.0,0.0,19.3,328.3
5,18877,Christian McCaffrey,SF,RB,17,0.0,0.0,0.0,1049.7,8.9,74.8,664.6,4.4,0.0,0.0,0.0,0.0,19.0,323.0
6,19781,Lamar Jackson,BAL,QB,17,3682.9,28.1,8.8,652.7,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,318.8
7,24958,Drake Maye,NE,QB,17,4018.5,27.9,10.6,464.5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,311.6
8,21831,Jalen Hurts,PHI,QB,17,3475.1,23.2,7.5,468.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,309.0
9,22564,Ja'Marr Chase,CIN,WR,17,0.0,0.0,0.0,17.0,0.0,116.8,1445.3,7.9,0.0,0.0,0.0,0.0,18.1,308.4
10,23235,Jayden Daniels,WAS,QB,17,3602.3,23.0,9.9,697.8,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,307.5
11,21693,Joe Burrow,CIN,QB,17,4278.3,33.8,10.4,156.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,303.4
12,21682,Jonathan Taylor,IND,RB,17,0.0,0.0,0.0,1459.4,12.4,42.2,319.1,2.1,0.0,0.0,0.0,0.0,17.8,303.2
13,26082,Jaxson Dart,NYG,QB,17,3439.7,22.1,10.2,546.1,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,295.0
14,21681,Justin Herbert,LAC,QB,17,4075.7,26.4,10.5,376.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,293.9
15,23157,Jaxon Smith-Njigba,SEA,WR,17,0.0,0.0,0.0,31.0,0.1,105.3,1476.2,6.5,0.0,0.0,0.0,0.0,17.3,293.8
16,24927,Caleb Williams,CHI,QB,17,3904.4,26.9,8.2,362.4,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,293.6
17,18055,Dak Prescott,DAL,QB,17,4315.2,30.7,11.9,170.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,293.5
18,22490,Trevor Lawrence,JAX,QB,17,3910.2,26.2,12.6,335.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,292.1
19,23241,Brock Purdy,SF,QB,17,4156.0,27.9,14.4,275.6,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,289.6
20,22587,Amon-Ra St. Brown,DET,WR,17,0.0,0.0,0.0,14.0,0.0,112.5,1331.2,6.8,0.0,0.0,0.0,0.0,16.8,286.0
21,24179,De'Von Achane,MIA,RB,17,0.0,0.0,0.0,1208.2,6.6,62.0,463.2,3.3,0.0,0.0,0.0,0.0,16.8,285.3
22,25069,Bo Nix,DEN,QB,17,3815.0,25.7,11.7,341.1,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,283.3
23,18890,Patrick Mahomes,KC,QB,17,3990.3,26.7,11.7,313.4,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,282.6
24,9038,Matthew Stafford,LAR,QB,17,4233.1,32.5,10.1,18.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,277.1
25,20889,Kyler Murray,MIN,QB,17,3655.2,21.5,9.7,482.2,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,276.8
26,17922,Jared Goff,DET,QB,17,4364.9,29.8,10.3,47.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,276.3
27,21841,Jordan Love,GB,QB,17,3954.7,26.8,10.0,208.8,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,270.3
28,25868,Ashton Jeanty,LV,RB,17,0.0,0.0,0.0,1138.2,8.1,54.5,410.1,2.5,0.0,0.0,0.0,0.0,15.8,268.3
29,23247,James Cook III,BUF,RB,17,0.0,0.0,0.0,1366.8,10.2,33.0,276.5,2.3,0.0,0.0,0.0,0.0,15.8,267.9
30,23151,Drake London,ATL,WR,17,0.0,0.0,0.0,2.0,0.0,95.2,1243.0,7.8,0.0,0.0,0.0,0.0,15.6,265.1
31,19790,Baker Mayfield,TB,QB,17,3826.3,25.1,12.3,330.6,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,264.9
