"RK","Name","POS","Team","Bye","POS","ADP","FPTS","G","FPTS/G","TIER","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD","UP","DOWN","MOVE","TARGET","WIN"
"1","Jayden Daniels","QB","WAS","12","QB3","31.2","341.5","15","22.77","1","495","335","3596","23.0","9","146.2","851.5","5.5","-","-","-","-","-","-","-","-",""
"2","Josh Allen","QB","BUF","7","QB1","20.3","332.8","15","22.19","1","460","300","3378","24.4","6","106.9","543.3","9.1","-","-","-","-","-","-","-","-","-"
"3","Jalen Hurts","QB","PHI","9","QB4","35.0","332.7","15","22.18","1","431","284","3328","19.5","7","137.2","650.1","11.3","-","-","-","-","-","-","-","","-"
"4","Lamar Jackson","QB","BLT","7","QB2","22.4","327.7","15","21.85","1","411","275","3565","22.3","5","134.8","855.2","3.1","-","-","-","-","-","-","-","-","-"
"5","Joe Burrow","QB","CIN","10","QB5","38.8","320.2","15","21.35","2","573","396","4348","33.0","10","38.9","165.7","1.9","-","-","-","-","-","-","-","","-"
"6","Ja'Marr Chase","WR","CIN","10","WR1","1.4","318.0","15","21.20","1","0","0","0","0","0","4.9","25.5","0.1","150.7","109.3","1428.8","10.6","-","-","-","-","-"
"7","Saquon Barkley","RB","PHI","9","RB1","2.2","309.1","15","20.61","1","0","0","0","0","0","294.0","1589.4","11.1","50.5","43.0","308.8","1.9","-","-","-","-","-"
"8","Bijan Robinson","RB","ATL","5","RB2","3.0","308.4","15","20.56","1","0","0","0","0","0","286.0","1331.8","11.9","64.2","53.6","396.0","2.1","-","-","-","-","-"
"9","Jahmyr Gibbs","RB","DET","8","RB3","5.2","306.4","15","20.42","1","0","0","0","0","0","217.2","1190.4","12.2","65.6","55.3","455.3","2.4","-","-","-","-","-"
"10","Puka Nacua","WR","LA","8","WR5","8.8","295.6","15","19.71","2","0","0","0","0","0","12.4","71.4","0.5","153.8","108.3","1354.9","7.0","-","-","-","-","-"
"11","Christian McCaffrey","RB","SF","14","RB6","12.2","288.3","14.5","19.88","2","0","0","0","0","0","219.5","1023.0","7.5","82.3","65.8","595.7","2.9","-","-","-","-","-"
"12","CeeDee Lamb","WR","DAL","10","WR3","6.4","286.2","15","19.08","2","0","0","0","0","0","6.9","41.4","0.2","144.0","100.7","1279.5","8.8","-","-","-","-","-"
"13","Justin Jefferson","WR","MIN","6","WR2","4.6","284.9","15","18.99","2","0","0","0","0","0","-","-","-","144.8","99.5","1337.9","8.7","-","-","-","-","-"
"14","Dak Prescott","QB","DAL","10","QB13","118.8","284.5","15","18.97","3","551","368","4015","28.9","14","36.7","161.3","1.5","-","-","-","-","-","-","-","","-"
"15","Brock Purdy","QB","SF","14","QB12","109.6","282.6","15","18.84","3","480","318","3928","22.1","12","67.4","360.0","2.7","-","-","-","-","-","-","-","-",""
"16","Ashton Jeanty","RB","LV","8","RB5","11.2","281.4","15","18.76","2","0","0","0","0","0","276.8","1315.7","9.9","53.0","44.9","364.6","1.9","-","-","-","-","-"
"17","Patrick Mahomes","QB","KC","10","QB6","52.5","280.0","15","18.67","3","525","355","3747","25.2","10","61.2","328.4","1.6","-","-","-","-","-","-","-","-","-"
"18","De'Von Achane","RB","MIA","12","RB7","14.5","277.3","15","18.49","2","0","0","0","0","0","198.2","883.8","7.0","84.2","71.2","545.5","3.7","-","-","-","-",""
"19","Malik Nabers","WR","NYG","14","WR6","10.2","277.0","14.5","19.10","3","0","0","0","0","0","4.2","18.4","0.1","149.1","99.3","1300.8","7.6","-","-","-","-","-"
"20","Jordan Love","QB","GB","5","QB17","146.9","274.3","15","18.29","3","489","318","3735","26.4","12","48.4","229.4","1.8","-","-","-","-","-","-","-","-","-"
"21","Baker Mayfield","QB","TB","9","QB7","65.5","274.2","15","18.28","3","502","338","3809","26.4","13","53.2","269.1","1.0","-","-","-","-","-","-","-","-","-"
"22","Kyler Murray","QB","ARZ","8","QB10","94.6","273.0","15","18.20","3","505","338","3590","21.6","10","63.5","443.3","2.1","-","-","-","-","-","-","-","-","-"
"23","Nico Collins","WR","HST","6","WR7","13.8","271.4","15","18.09","3","0","0","0","0","0","-","-","-","128.8","88.1","1356.8","8.0","-","-","-","-","-"
"24","Drake Maye","QB","NE","14","QB16","142.0","271.1","15","18.08","3","457","309","3351","20.3","11","94.8","584.7","2.3","-","-","-","-","-","-","-","","-"
"25","J.J. McCarthy","QB","MIN","6","QB18","150.4","270.5","15","18.03","3","536","355","3929","24.5","13","59.8","237.0","1.3","-","-","-","-","-","-","-","-",""
"26","Justin Fields","QB","NYJ","9","QB19","152.9","268.4","15","17.90","4","434","279","2948","14.9","10","125.4","746.4","5.4","-","-","-","-","-","-","-","-","-"
"27","Bo Nix","QB","DEN","12","QB8","71.8","267.4","15","17.82","4","489","323","3342","23.0","10","74.8","387.2","2.4","-","-","-","-","-","-","-","-","-"
"28","Trevor Lawrence","QB","JAX","8","QB21","181.4","266.4","15","17.76","4","519","345","3853","22.9","14","53.8","259.1","2.0","-","-","-","-","-","-","-","-","-"
"29","C.J. Stroud","QB","HST","6","QB14","119.9","266.2","15","17.75","4","510","329","3873","21.7","10","53.6","282.8","1.7","-","-","-","-","-","-","-","-","-"
"30","Derrick Henry","RB","BLT","7","RB4","8.5","266.2","15","17.75","3","0","0","0","0","0","286.1","1536.7","13.0","20.0","16.6","155.9","0.7","-","-","-","-","-"
"31","Caleb Williams","QB","CHI","5","QB15","141.6","264.9","15","17.66","4","500","325","3517","21.8","9","66.6","395.9","1.6","-","-","-","-","-","-","-","-","-"
"32","Brian Thomas Jr.","WR","JAX","8","WR8","15.3","263.2","15","17.55","3","0","0","0","0","0","5.9","42.1","0.0","134.7","89.8","1224.4","7.8","-","-","-","-","-"
"33","Justin Herbert","QB","LAC","12","QB11","104.8","258.7","15","17.25","4","486","319","3654","21.5","8","60.3","264.2","1.8","-","-","-","-","-","-","-","-","-"
"34","Jared Goff","QB","DET","8","QB9","88.4","257.5","15","17.17","4","512","352","4036","24.5","10","30.1","65.8","0.7","-","-","-","-","-","-","-","-","-"
"35","Bucky Irving","RB","TB","9","RB9","21.5","256.2","15","17.08","3","0","0","0","0","0","238.4","1181.1","8.1","51.8","44.3","363.1","1.7","-","-","-","-","-"
"36","Drake London","WR","ATL","5","WR9","17.1","255.9","15","17.06","4","0","0","0","0","0","1.9","3.1","0.1","139.5","92.2","1157.9","8.0","-","-","-","-","-"
"37","Amon-Ra St. Brown","WR","DET","8","WR4","7.4","250.0","15","16.67","4","0","0","0","0","0","2.5","15.1","0.1","126.0","91.5","1124.6","7.4","-","-","-","-","-"
"38","Chase Brown","RB","CIN","10","RB12","28.2","248.9","15","16.59","4","0","0","0","0","0","230.2","996.2","8.3","58.5","49.9","354.1","2.6","-","-","-","-",""
