Todd Gurley LAR ,RB1,12,1,5,1.8,1.1,1,0
Le'Veon Bell PIT ,RB2,7,1,7,2.3,1.2,2,0
David Johnson ARI ,RB3,9,1,8,3.5,1.5,3,0
Antonio Brown PIT ,WR1,7,1,9,4.1,1.4,5,1
Ezekiel Elliott DAL ,RB4,8,1,7,4.2,1.6,4,-1
DeAndre Hopkins HOU ,WR2,10,3,19,7.6,2.7,8,2
Alvin Kamara NO ,RB5,6,4,19,8,3.1,6,-1
Odell Beckham Jr. NYG ,WR3,9,6,14,8.7,1.9,9,1
Saquon Barkley NYG ,RB6,9,3,25,9.6,4.6,7,-2
,,,,,,,,
Julio Jones ATL ,WR4,8,5,19,10.7,2.4,13,3
Kareem Hunt KC ,RB7,12,7,20,11.7,3.1,10,-1
Michael Thomas NO ,WR5,6,6,20,12,2.7,15,3
Melvin Gordon LAC ,RB8,8,8,21,13.3,3.4,11,-2
Keenan Allen LAC ,WR6,8,10,23,14.4,2.4,16,2
Leonard Fournette JAC ,RB9,9,6,34,15.8,5.7,12,-3
Dalvin Cook MIN ,RB10,10,7,27,16,4.3,14,-2
A.J. Green CIN ,WR7,9,11,22,16.4,2.5,18,1
Davante Adams GB ,WR8,7,11,22,16.6,2.8,19,1
,,,,,,,,
Devonta Freeman ATL ,RB11,8,15,30,21.2,3.8,20,1
Mike Evans TB ,WR9,5,13,37,22.4,4.8,21,1
Rob Gronkowski NE ,TE1,11,15,45,24,6.7,22,1
Jerick McKinnon SF IR ,RB12,11,17,57,24.8,6.9,23,1
Christian McCaffrey CAR ,RB13,4,13,46,25.3,6.8,17,-6
Doug Baldwin SEA ,WR10,7,12,56,25.7,8.2,31,7
Jordan Howard CHI ,RB14,5,17,41,27,5.1,24,-1
Adam Thielen MIN ,WR11,10,19,44,27.4,5,29,3
T.Y. Hilton IND ,WR12,9,14,64,27.9,8.2,32,5
Travis Kelce KC ,TE2,12,21,47,28.8,5.8,26,-2
Joe Mixon CIN ,RB15,9,14,53,31,8,25,-4
Stefon Diggs MIN ,WR13,10,20,48,31.3,5.7,33,3
Tyreek Hill KC ,WR14,12,19,47,32,6.7,28,-3
Larry Fitzgerald ARI ,WR15,9,17,53,32.9,7.5,35,3
,,,,,,,,
Amari Cooper OAK ,WR16,7,21,60,37.2,7.6,36,3
Demaryius Thomas DEN ,WR17,10,23,55,38.5,6.2,42,8
Zach Ertz PHI ,TE3,9,15,57,38.7,10,34,-1
LeSean McCoy BUF ,RB16,11,15,102,39,21.5,27,-9
Allen Robinson CHI ,WR18,5,23,72,39.8,10.2,40,3
Alshon Jeffery PHI ,WR19,9,22,70,40.9,9.2,52,14
Alex Collins BAL ,RB17,10,24,65,41.2,8.8,45,6
Aaron Rodgers GB ,QB1,7,27,209,42,29.3,30,-10
Kenyan Drake MIA ,RB18,11,26,71,42.1,9.8,38,-3
Golden Tate DET ,WR20,6,28,62,43.1,6.2,47,5
Derrius Guice WAS IR ,RB19,4,24,69,45.3,12,37,-6
JuJu Smith-Schuster PIT ,WR21,7,31,78,48.3,10,41,-3
Jay Ajayi PHI ,RB20,9,29,67,48.3,10.1,50,5
Josh Gordon CLE ,WR22,11,19,109,50.8,17.2,44,-2
Brandin Cooks LAR ,WR23,12,21,79,51.5,12.6,48,1
Jarvis Landry CLE ,WR24,11,31,75,52.9,11.2,49,1
Lamar Miller HOU ,RB21,10,28,89,53.3,12.8,58,9
Derrick Henry TEN ,RB22,8,28,95,53.8,16.1,39,-11
Marvin Jones DET ,WR25,6,33,86,54,11.7,59,8
Russell Wilson SEA ,QB2,7,37,81,47.3,8.8,53,1
,,,,,,,,
Rashaad Penny SEA ,RB23,7,29,127,55.9,19.9,46,-7
Dion Lewis TEN ,RB24,8,41,85,57.3,10.5,61,7
Mark Ingram NO S ,RB25,6,25,85,58.3,13.3,55,0
Tom Brady NE ,QB3,11,35,75,52.1,7.4,56,0
Michael Crabtree BAL ,WR26,10,36,88,61.5,12,66,9
Corey Davis TEN ,WR27,8,44,126,62.4,13.3,64,6
Sony Michel NE ,RB26,11,32,104,65.1,16.8,51,-8
Greg Olsen CAR ,TE4,4,43,109,65.6,13,63,3
Royce Freeman DEN ,RB27,10,30,107,65.8,17.9,83,22
Deshaun Watson HOU ,QB4,10,31,88,59.5,11.7,43,-19
Sammy Watkins KC ,WR28,12,39,95,66.5,13.5,68,5
Cam Newton CAR ,QB5,4,38,81,60.7,8.7,65,1
Evan Engram NYG ,TE5,9,22,102,67.9,14.8,60,-5
Ronald Jones II TB ,RB28,5,34,185,68.6,26,54,-12
Pierre Garcon SF ,WR29,11,43,91,70.3,9.8,79,12
Chris Hogan NE ,WR30,11,42,101,70.7,18.3,70,2
Robert Woods LAR ,WR31,12,50,108,71.4,11.8,80,11
Jimmy Graham GB ,TE6,7,39,117,72.3,15.2,57,-13
Emmanuel Sanders DEN ,WR32,10,49,132,73.4,19.4,81,10
Drew Brees NO ,QB6,6,37,102,67.6,13.5,77,5
Carson Wentz PHI ,QB7,9,43,99,68.2,12.5,62,-11
Devin Funchess CAR ,WR33,4,42,112,75.7,12.8,74,0
Tevin Coleman ATL ,RB29,8,40,106,76.1,14.4,67,-8
Delanie Walker TEN ,TE7,8,49,108,76.9,12.2,71,-5
,,,,,,,,
Kirk Cousins MIN ,QB8,10,44,116,76.3,15.5,86,9
Jamison Crowder WAS ,WR34,4,46,110,82.3,14.2,85,7
Kyle Rudolph MIN ,TE8,10,45,120,82.5,13.8,75,-4
Marshawn Lynch OAK ,RB30,7,56,160,83,20.9,76,-4
Robby Anderson NYJ ,WR35,11,51,129,84.1,17.5,96,15
Cooper Kupp LAR ,WR36,12,59,101,84.6,9.2,89,7
Rex Burkhead NE ,RB31,11,53,167,85.2,22.5,92,9
Devante Parker MIA ,WR37,11,60,144,87.1,15.2,88,4
