Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,  Rush  DVOA Rank,  Rush  DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj.   Rush VOA  Rank,Unadj.   Rush VOA ,Variance Rank,Variance,Schedule Rank,Schedule
WAS,1,21.8%,13,10,10.9%,8,29.7%,1,24.4%,1,27.1%,5,36.4%,1,28.2%,19,8.8%,23,1.6%
OAK,2,20.8%,29,2,21.8%,1,43.1%,7,5.5%,5,15.2%,2,37.7%,12,-0.6%,11,6.2%,4,-5.2%
TEN,3,18.5%,7,1,24.4%,5,36.9%,10,4.9%,3,19.0%,4,37.0%,6,6.1%,13,6.7%,22,1.4%
STL,4,18.1%,26,4,16.8%,2,40.7%,6,7.0%,2,22.7%,1,48.9%,4,7.1%,8,4.9%,31,7.6%
IND,5,14.2%,14,9,12.7%,3,38.5%,15,-4.1%,6,14.1%,3,37.5%,15,-3.2%,1,3.1%,17,-0.5%
KC,6,14.1%,15,8,14.0%,6,35.7%,4,7.5%,8,10.0%,9,30.0%,8,4.5%,15,7.1%,2,-5.7%
BUF,7,12.8%,4,7,14.4%,4,37.0%,18,-7.8%,9,9.8%,8,31.5%,18,-7.8%,23,9.4%,7,-2.2%
MIN,8,11.9%,3,5,15.3%,9,27.0%,5,7.2%,11,7.4%,12,21.4%,10,3.9%,2,4.0%,8,-1.9%
JAX,9,11.5%,8,3,17.7%,10,25.2%,11,4.2%,4,17.1%,6,34.2%,5,6.1%,27,11.3%,30,5.7%
CAR,10,10.0%,22,6,15.1%,7,29.8%,16,-4.2%,7,10.4%,7,31.8%,17,-6.4%,28,11.6%,29,3.6%
GB,11,8.0%,10,12,10.4%,11,22.2%,14,-1.3%,10,8.1%,11,23.6%,14,-3.2%,31,18.3%,12,-1.3%
DAL,12,4.5%,6,14,6.0%,14,14.8%,3,7.8%,12,5.9%,14,15.1%,2,10.2%,6,4.9%,24,1.8%
NYJ,13,4.1%,5,11,10.6%,13,17.0%,12,2.2%,13,5.6%,13,18.2%,9,4.2%,3,4.6%,9,-1.8%
DEN,14,3.6%,1,15,5.6%,15,13.6%,9,5.4%,16,-1.6%,16,7.8%,11,0.3%,10,5.7%,1,-6.4%
DET,15,-0.7%,19,16,-0.7%,12,22.0%,28,-18.8%,15,1.3%,10,23.8%,25,-16.6%,12,6.5%,6,-2.3%
SF,16,-1.7%,2,13,6.5%,23,0.5%,2,8.6%,14,2.1%,18,6.5%,3,9.3%,30,13.3%,26,3.4%
SEA,17,-2.7%,25,18,-2.4%,16,13.1%,20,-12.1%,18,-6.7%,17,7.6%,21,-14.2%,4,4.6%,5,-3.6%
CHI,18,-3.8%,17,19,-4.0%,17,10.9%,22,-13.7%,22,-8.4%,21,6.1%,28,-18.3%,9,5.6%,3,-5.3%
PIT,19,-5.4%,20,22,-5.8%,25,-0.8%,8,5.4%,17,-1.7%,19,6.2%,7,5.7%,17,7.8%,28,3.5%
MIA,20,-6.6%,11,23,-7.6%,18,9.9%,25,-15.2%,20,-7.6%,15,8.0%,23,-15.1%,22,9.4%,16,-0.7%
NYG,21,-6.9%,24,17,-2.3%,19,8.8%,26,-15.6%,19,-7.3%,20,6.2%,20,-13.1%,14,7.0%,10,-1.7%
NE,22,-7.6%,12,29,-16.8%,20,7.7%,27,-16.4%,23,-8.5%,22,4.7%,22,-14.4%,18,8.1%,11,-1.7%
CIN,23,-10.0%,16,21,-5.7%,24,0.2%,17,-6.0%,21,-8.1%,23,2.4%,16,-4.5%,21,9.1%,19,0.4%
TB,24,-10.3%,21,24,-8.9%,21,7.0%,29,-19.2%,27,-15.3%,26,0.1%,30,-22.6%,20,8.9%,13,-0.7%
ATL,25,-10.9%,9,25,-9.3%,22,3.4%,24,-15.2%,26,-13.3%,24,1.4%,29,-18.4%,26,10.6%,21,0.7%
CLE,26,-11.3%,,20,-5.1%,26,-1.7%,19,-11.0%,25,-11.6%,25,1.3%,26,-16.7%,29,11.9%,14,-0.7%
BAL,27,-13.4%,23,26,-11.4%,28,-14.4%,13,-0.7%,24,-9.8%,27,-7.4%,13,-2.0%,5,4.8%,27,3.5%
SD,28,-18.1%,30,27,-14.1%,27,-11.9%,30,-20.2%,28,-17.0%,28,-12.4%,27,-16.8%,16,7.4%,15,-0.7%
PHI,29,-22.8%,28,30,-18.8%,31,-24.9%,21,-12.3%,31,-24.8%,31,-28.3%,19,-12.3%,7,4.9%,20,0.5%
ARI,30,-23.2%,18,28,-16.3%,30,-23.8%,23,-14.4%,29,-20.9%,30,-18.8%,24,-16.0%,24,10.2%,18,0.3%
NO,31,-24.5%,27,31,-26.3%,29,-16.1%,31,-25.3%,30,-23.1%,29,-13.8%,31,-25.1%,25,10.3%,25,2.5%
