RK,Team,Adj. LineYards,RBYards,PowerSuccess,PowerRank,Stuffed,StuffedRank,2nd LevelYards,2nd LevelRank,Open FieldYards,Open FieldRank,Rank,Sacks,AdjustedSack Rate
1,DEN,4.96,4.96,70%,10,14%,3,1.49,2,0.84,11,4,12,3.3%
2,NYJ,4.89,4.81,61%,25,14%,4,1.25,6,0.98,9,19,30,6.5%
3,NE,4.82,4.62,70%,12,14%,1,1.31,4,0.72,15,26,48,8.5%
4,NYG,4.80,5.28,62%,23,17%,10,1.49,1,1.35,1,10,28,5.0%
5,WAS,4.57,4.13,69%,14,14%,2,1.11,21,0.56,28,15,38,6.0%
6,NO,4.54,4.17,64%,18,15%,7,1.15,14,0.63,24,2,13,2.9%
7,SF,4.46,3.96,52%,32,17%,11,1.00,29,0.51,30,31,55,9.4%
8,CAR,4.42,5.01,79%,1,19%,19,1.31,3,1.33,2,9,20,4.9%
9,ATL,4.39,4.62,70%,11,20%,24,1.30,5,1.04,7,5,17,3.6%
10,HOU,4.35,4.44,70%,13,18%,14,1.15,15,1.07,5,16,32,6.1%
11,BAL,4.32,3.99,76%,3,16%,8,0.97,31,0.64,22,20,33,6.8%
12,MIA,4.32,4.27,76%,5,16%,9,1.01,28,0.61,25,12,26,5.7%
13,MIN,4.29,4.63,73%,8,19%,22,1.25,8,1.14,3,28,43,8.9%
14,BUF,4.28,4.21,62%,24,18%,16,1.16,10,0.67,20,25,38,8.1%
15,JAX,4.26,4.16,76%,6,18%,13,1.15,12,0.76,13,24,42,7.9%
16,PHI,4.25,4.08,55%,31,19%,20,1.11,22,0.68,19,6,23,4.2%
17,DAL,4.25,4.48,68%,15,18%,17,1.25,7,1.00,8,13,31,5.8%
18,TEN,4.25,4.45,61%,26,22%,28,1.21,9,1.07,6,3,12,3.2%
19,GB,4.24,4.25,74%,7,20%,23,1.14,17,0.88,10,14,34,6.0%
20,CLE,4.24,3.94,59%,27,15%,5,1.01,27,0.58,26,7,24,4.4%
21,SD,4.23,4.08,78%,2,15%,6,1.02,26,0.69,18,17,25,6.1%
22,TB,4.19,4.09,65%,17,17%,12,1.02,25,0.74,14,18,32,6.3%
23,IND,4.14,3.60,62%,21,21%,27,1.14,18,0.31,32,1,14,2.8%
24,PIT,4.09,3.78,64%,19,23%,30,1.07,23,0.57,27,29,50,9.2%
25,OAK,4.09,4.17,62%,22,19%,18,1.14,16,0.71,17,30,39,9.3%
26,CHI,4.08,3.89,63%,20,18%,15,0.99,30,0.67,21,11,29,5.3%
27,SEA,3.97,4.13,76%,4,20%,25,1.12,20,0.84,12,22,36,7.0%
28,KC,3.88,4.46,58%,28,22%,29,1.15,13,1.08,4,21,37,7.0%
29,STL,3.85,3.98,66%,16,19%,21,1.13,19,0.64,23,23,45,7.7%
30,ARI,3.83,3.61,58%,29,20%,26,1.05,24,0.55,29,8,28,4.4%
31,DET,3.63,3.84,71%,9,23%,31,1.15,11,0.72,16,32,52,9.7%
32,CIN,3.46,3.24,56%,30,24%,32,0.90,32,0.37,31,27,51,8.5%
,NFL,33,4.25,67%,33,18%,33,1.06,33,0.73,33,33,32,6.2%
