Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,Weighted DVOA Rank,Weighted DVOA,Pass DVOA Rank,Pass DVOA,  Rush  DVOA Rank,  Rush  DVOA,Unadj. Total VOA Rank,Unadj. Total VOA,Unadj. Pass VOA Rank,Unadj. Pass VOA,Unadj.   Rush VOA  Rank,Unadj.   Rush VOA ,Variance Rank,Variance,Schedule Rank,Schedule
NE,1,42.8%,1,1,46.3%,1,66.3%,1,26.2%,1,38.1%,1,61.7%,1,21.2%,17,8.1%,1,-4.4%
HOU,2,21.6%,10,3,20.6%,8,28.1%,2,19.8%,2,22.7%,7,31.3%,2,18.1%,22,10.0%,24,1.9%
PHI,3,18.2%,11,5,15.1%,6,29.1%,3,12.7%,4,18.8%,8,30.8%,3,11.7%,11,6.6%,20,0.2%
SD,4,15.6%,4,4,17.0%,3,43.9%,13,-6.4%,3,19.5%,2,48.6%,11,-3.0%,1,3.6%,32,6.0%
PIT,5,14.5%,7,2,21.3%,2,44.2%,15,-7.0%,6,14.1%,3,42.8%,13,-6.3%,20,9.3%,13,-1.7%
IND,6,13.1%,6,7,11.5%,7,29.1%,10,-0.5%,5,16.0%,5,34.2%,9,-1.0%,2,3.7%,31,4.8%
GB,7,11.9%,5,8,9.9%,4,34.5%,23,-11.1%,7,11.6%,4,35.4%,24,-13.4%,14,7.5%,9,-2.5%
ATL,8,8.3%,14,14,4.1%,11,26.0%,19,-8.7%,10,6.8%,12,22.3%,18,-7.7%,3,4.3%,10,-2.0%
TB,9,8.1%,26,6,13.7%,5,31.3%,25,-11.4%,11,6.7%,6,31.7%,26,-15.2%,7,5.6%,11,-1.9%
NYG,10,7.3%,12,10,8.0%,14,18.4%,5,4.4%,12,5.7%,14,19.7%,8,-0.4%,5,5.1%,26,2.5%
NO,11,6.3%,2,12,6.1%,13,20.8%,20,-8.8%,9,7.3%,13,21.1%,15,-6.6%,10,5.8%,15,-0.8%
BAL,12,5.7%,9,11,6.3%,9,27.1%,11,-2.9%,13,5.5%,9,30.1%,14,-6.5%,15,7.6%,19,-0.3%
KC,13,4.1%,25,16,2.8%,15,17.3%,8,1.7%,8,9.2%,11,24.7%,5,5.0%,24,10.4%,30,4.7%
JAX,14,3.5%,15,9,8.2%,21,4.7%,4,8.7%,15,5.0%,22,7.5%,4,9.0%,28,11.2%,28,3.4%
NYJ,15,2.3%,22,19,-1.6%,19,9.9%,6,3.4%,14,5.1%,16,14.6%,6,4.5%,27,11.0%,18,-0.3%
CIN,16,1.6%,19,15,3.8%,12,21.1%,27,-11.9%,19,-2.9%,15,15.6%,27,-15.2%,16,7.7%,2,-4.3%
DEN,17,1.5%,18,18,0.0%,10,26.2%,31,-22.0%,16,2.0%,10,28.0%,31,-23.3%,29,12.4%,22,0.8%
MIA,18,1.0%,16,20,-3.7%,17,14.4%,12,-5.8%,17,-1.7%,18,12.0%,19,-8.9%,12,7.1%,5,-3.6%
DET,19,-0.6%,31,13,4.5%,16,14.9%,22,-11.1%,22,-4.4%,20,10.2%,25,-13.6%,4,4.3%,4,-3.7%
TEN,20,-4.2%,17,21,-4.9%,18,10.4%,17,-8.6%,20,-3.1%,17,13.2%,20,-9.4%,32,18.7%,29,4.2%
CLE,21,-5.0%,24,22,-6.9%,22,4.6%,16,-7.8%,23,-6.3%,23,1.8%,17,-7.4%,25,10.5%,8,-2.7%
DAL,22,-5.0%,3,24,-7.9%,20,8.1%,18,-8.7%,21,-3.1%,19,10.6%,16,-7.3%,19,8.8%,16,-0.6%
OAK,23,-8.2%,30,17,0.0%,24,-2.3%,7,2.7%,18,-2.9%,21,7.9%,7,3.4%,26,10.9%,27,3.1%
SF,24,-10.9%,23,23,-7.5%,25,-3.6%,14,-6.5%,24,-8.4%,25,-1.8%,10,-3.0%,23,10.3%,21,0.8%
WAS,25,-11.4%,21,26,-14.0%,23,-0.7%,24,-11.2%,25,-10.7%,24,0.6%,21,-11.4%,6,5.1%,17,-0.4%
BUF,26,-14.5%,29,28,-17.2%,27,-7.2%,26,-11.6%,27,-17.3%,28,-11.8%,22,-12.1%,30,14.0%,6,-3.3%
MIN,27,-14.7%,8,27,-16.5%,30,-15.2%,9,1.0%,29,-20.3%,30,-21.6%,12,-3.9%,13,7.2%,3,-3.7%
CHI,28,-16.0%,28,25,-11.4%,26,-5.6%,28,-14.6%,28,-17.3%,27,-6.4%,29,-16.7%,31,18.6%,12,-1.7%
SEA,29,-17.8%,27,29,-17.3%,28,-8.3%,30,-18.1%,30,-21.1%,29,-13.7%,30,-18.6%,21,9.8%,14,-1.1%
STL,30,-18.3%,32,30,-18.2%,29,-9.5%,29,-17.7%,26,-14.9%,26,-5.1%,28,-15.6%,8,5.7%,25,2.4%
ARI,31,-35.8%,13,32,-37.0%,32,-44.3%,21,-11.0%,31,-31.7%,31,-36.8%,23,-12.6%,9,5.7%,23,1.6%
CAR,32,-36.2%,20,31,-29.7%,31,-38.4%,32,-23.2%,32,-39.4%,32,-42.2%,32,-25.9%,18,8.6%,7,-3.1%
