"Josh Allen, QB BUF",26%,1,1.80%,3,406.1
"Kyler Murray, QB ARI",26%,1.2,1.80%,5,373.1
"Lamar Jackson, QB BAL",9%,0.4,0.60%,5,372.2
"Justin Herbert, QB LAC",15%,1.4,1%,5,370.1
"Patrick Mahomes, QB KC",16%,0.9,1%,5,365.2
"Jalen Hurts, QB PHI",12%,1.1,0.70%,5,360.8
"Joe Burrow, QB CIN",65%,1.5,6%,0,346.5
"Russell Wilson, QB DEN",12%,1.1,0.70%,5,345.8
"Trey Lance, QB SF",10%,0.8,0.60%,5,336.5
"Tom Brady, QB TB",5%,0.6,0.30%,5,335.2
"Matthew Stafford, QB LAR",12%,1.7,0.70%,4,333.7
"Dak Prescott, QB DAL",11%,1.2,0.70%,3,325.7
"Kirk Cousins, QB MIN",5%,0.2,0.30%,5,314.7
"Trevor Lawrence, QB JAC",9%,0.5,0.60%,5,313.8
"Derek Carr, QB LVR",36%,1.7,2.60%,5,312.7
"Tua Tagovailoa, QB MIA",73%,2.2,7.40%,2,311.4
"Aaron Rodgers, QB GB",14%,0.7,0.90%,5,306.7
"Justin Fields, QB CHI",13%,2.8,0.80%,5,305.1
"Deshaun Watson, QB CLE",17%,1,1.10%,3,294.6
"Daniel Jones, QB NYG",61%,1.7,5.40%,5,290
"Ryan Tannehill, QB TEN",13%,1,0.80%,5,288.2
"Carson Wentz, QB WAS",77%,2.1,8.30%,4,278
"Mac Jones, QB NE",11%,1.6,0.70%,5,272.9
"Baker Mayfield, QB CAR",12%,0.4,0.70%,5,271
"Zach Wilson, QB NYJ",17%,0.5,1.10%,4,263.6
"Jameis Winston, QB NO",29%,0.9,2%,5,260
"Jared Goff, QB DET",45%,1.7,3.50%,5,257
"Marcus Mariota, QB ATL",40%,1.1,3%,4,256.3
"Matt Ryan, QB IND",10%,0.6,0.60%,5,254.9
"Davis Mills, QB HOU",13%,1.1,0.80%,5,244.6
"Drew Lock, QB SEA",24%,0.4,1.60%,1,227.4
"Jimmy Garoppolo, QB SF",22%,0.5,1.50%,2,124
"Geno Smith, QB SEA",19%,1.1,1.20%,4,58.8
"Tyrod Taylor, QB NYG",34%,2.7,2.40%,5,30.5
"Andy Dalton, QB NO",36%,1.3,2.60%,5,25.4
