Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	18775	Chase, Ja'Marr	CIN	WR	1.17	1	2		47		
2	20271	Robinson, Bijan	ATL	RB	2.26	1	5		47		
3	20272	Gibbs, Jahmyr	DET	RB	3.66	1	7		47		
4	17972	Jefferson, Justin	MIN	WR	4.23	2	7		47		
5	16062	Barkley, Saquon	PHI	RB	5.30	2	10		47		
6	17965	Lamb, CeeDee	DAL	WR	5.45	3	8		47		
7	21122	Nabers, Malik	NYG	WR	7.98	5	11		47		
8	18827	St. Brown, Amon-Ra	DET	WR	9.02	6	16		47		
9	22055	Jeanty, Ashton	LV	RB	9.15	3	16		47		
10	20336	Nacua, Puka	LA	WR	10.34	6	16		47		
11	21131	Thomas, Brian	JAX	WR	11.49	7	17		47		
12	15222	McCaffrey, Christian	SF	RB	12.02	6	20		47		
13	18836	Collins, Nico	HOU	WR	13.26	6	20		47		
14	19433	London, Drake	ATL	WR	14.51	9	19		47		
15	15055	Henry, Derrick	BAL	RB	14.77	7	20		47		
16	20284	Achane, De'Von	MIA	RB	15.13	8	23		47		
17	21123	Bowers, Brock	LV	TE	17.79	11	26		47		
18	21139	McConkey, Ladd	LAC	WR	17.81	13	23		47		
19	17004	Brown, A.J.	PHI	WR	18.74	14	22		47		
20	21136	Irving, Bucky	TB	RB	20.21	13	27		47		
21	17962	Taylor, Jonathan	IND	RB	22.11	14	31		47		
22	19431	Wilson, Garrett	NYJ	WR	22.64	15	30		47		
23	19439	McBride, Trey	ARZ	TE	25.28	18	34		47		
24	16998	Jacobs, Josh	GB	RB	25.32	19	32		47		
25	20292	Brown, Chase	CIN	RB	26.36	20	41		47		
26	20273	Smith-Njigba, Jaxon	SEA	WR	26.40	18	34		47		
27	17971	Higgins, Tee	CIN	WR	28.87	21	35		47		
28	20287	Rice, Rashee	KC	WR	29.96	18	63		47		
29	21121	Harrison, Marvin	ARZ	WR	30.36	20	44		47		
30	16081	Jackson, Lamar	BAL	QB	30.45	22	42		47		
31	14725	Hill, Tyreek	MIA	WR	30.62	23	41		47		
32	19450	Williams, Kyren	LA	RB	31.30	18	42		47		
33	16074	Allen, Josh	BUF	QB	33.17	12	43		47		
34	12729	Adams, Davante	LA	WR	33.85	25	41		47		
35	17062	McLaurin, Terry	WAS	WR	34.28	24	45		47		
36	19427	Hall, Breece	NYJ	RB	34.64	13	46		47		
37	12686	Evans, Mike	TB	WR	38.34	31	47		47		
38	16134	Moore, DJ	CHI	WR	39.17	22	47		47		
39	21126	Daniels, Jayden	WAS	QB	40.47	22	52		47		
40	19467	Cook, James	BUF	RB	41.00	27	57		47		
41	17968	Burrow, Joe	CIN	QB	41.40	24	55		47		
42	21128	Worthy, Xavier	KC	WR	41.77	24	55		47		
43	17002	Metcalf, DK	PIT	WR	43.49	34	68		47		
44	15360	Kittle, George	SF	TE	44.49	35	57		47		
45	22069	Hampton, Omarion	LAC	RB	44.83	24	58		47		
46	19430	Walker, Kenneth	SEA	RB	46.77	33	63		47		
47	16066	Sutton, Courtland	DEN	WR	47.09	36	59		47		
48	17999	Hurts, Jalen	PHI	QB	47.51	16	58		47		
49	18778	Smith, DeVonta	PHI	WR	48.26	37	56		47		
50	18773	Hubbard, Chuba	CAR	RB	49.40	37	60		47		
51	19435	Williams, Jameson	DET	WR	50.74	37	63		47		
52	15293	Kamara, Alvin	NO	RB	51.64	37	65		47		
53	22059	McMillan, Tetairoa	CAR	WR	51.74	39	79		47		
54	20288	Flowers, Zay	BAL	WR	53.66	38	65		47		
55	15261	Mixon, Joe	HOU	RB	57.36	36	80		47		
56	17964	Jeudy, Jerry	CLE	WR	57.47	41	70		47		
57	19437	Pickens, George	DAL	WR	60.66	48	96		47		
58	15306	Conner, James	ARZ	RB	60.72	50	75		47		
59	18781	Waddle, Jaylen	MIA	WR	60.81	50	80		47		
60	15316	Godwin, Chris	TB	WR	61.45	47	74		47		
61	22072	Henderson, TreVeyon	NE	RB	62.04	49	79		47		
62	16065	Ridley, Calvin	TEN	WR	62.21	49	83		47		
63	20335	Odunze, Rome	CHI	WR	63.38	49	82		47		
64	19432	Olave, Chris	NO	WR	65.51	38	81		47		
65	22111	Harvey, RJ	DEN	RB	66.98	44	168		47		
66	20339	LaPorta, Sam	DET	TE	67.83	49	82		47		
67	22058	Hunter, Travis	JAX	WR	68.47	51	102		47		
68	17016	Montgomery, David	DET	RB	68.55	48	84		47		
69	20274	Addison, Jordan	MIN	WR	68.89	57	83		47		
70	17961	Swift, D'Andre	CHI	RB	70.04	45	93		47		
71	22098	Johnson, Kaleb	PIT	RB	70.72	56	83		47		
72	18033	Jennings, Jauan	SF	WR	71.26	61	86		47		
73	15234	Mahomes, Patrick	KC	QB	72.00	49	98		47		
74	17061	Meyers, Jakobi	LV	WR	74.17	59	92		47		
75	15392	Jones, Aaron	MIN	RB	74.87	58	94		47		
76	21146	Pearsall, Ricky	SF	WR	76.74	54	94		47		
77	22062	Judkins, Quinshon	CLE	RB	77.21	57	119		47		
78	17067	Pollard, Tony	TEN	RB	78.47	54	91		47		
79	17019	Samuel, Deebo	WAS	WR	79.40	62	93		47		
80	19486	Pacheco, Isiah	KC	RB	82.13	69	105		47		
81	16069	Mayfield, Baker	TB	QB	82.34	54	114		47		
82	19462	Shakir, Khalil	BUF	WR	82.36	62	94		47		
83	17014	Hockenson, T.J.	MIN	TE	83.11	56	100		47		
84	20311	Reed, Jayden	GB	WR	85.79	72	104		47		
85	20283	Downs, Josh	IND	WR	86.96	71	105		47		
86	13671	Diggs, Stefon	NE	WR	87.34	62	114		47		
87	11842	Kelce, Travis	KC	TE	88.53	76	117		47		
88	15283	Kupp, Cooper	SEA	WR	88.66	73	114		47		
89	18770	Etienne, Travis	JAX	RB	89.79	71	118		47		
90	22063	Egbuka, Emeka	TB	WR	92.45	78	120		47		
91	19468	Robinson, Brian	WAS	RB	92.55	72	112		47		
92	16075	Andrews, Mark	BAL	TE	94.53	53	114		47		
93	20299	Nix, Bo	DEN	QB	96.30	68	136		47		
94	17995	Pittman, Michael	IND	WR	97.83	87	111		47		
95	21183	Tracy, Tyrone	NYG	RB	98.13	69	120		47		
96	17983	Aiyuk, Brandon	SF	WR	99.11	74	124		47		
97	22085	Golden, Matthew	GB	WR	99.30	85	128		47		
98	19833	Warren, Jaylen	PIT	RB	99.45	84	118		47		
99	19872	Mason, Jordan	MIN	RB	99.49	57	127		47		
100	18826	Harris, Najee	LAC	RB	99.68	52	122		47		
101	19469	Charbonnet, Zach	SEA	RB	100.64	81	113		47		
102	18771	Williams, Javonte	DAL	RB	100.89	76	128		47		
103	15238	Engram, Evan	DEN	TE	101.57	75	132		47		
104	22077	Skattebo, Cam	NYG	RB	102.21	76	126		47		
105	18169	Mooney, Darnell	ATL	WR	104.49	86	127		47		
106	22114	Higgins, Jayden	HOU	WR	108.68	86	166		47		
107	15227	Njoku, David	CLE	TE	109.06	90	140		47		
108	21130	Coleman, Keon	BUF	WR	112.51	97	140		47		
109	17963	Dobbins, J.K.	DEN	RB	114.23	77	168		47		
110	22060	Burden, Luther	CHI	WR	115.79	69	168		47		
111	20329	Spears, Tyjae	TEN	RB	116.36	91	144		47		
112	18791	Stevenson, Rhamondre	NE	RB	116.43	90	141		47		
113	21178	Guerendo, Isaac	SF	RB	116.60	90	139		47		
114	17009	Murray, Kyler	ARZ	QB	117.77	81	146		47		
115	22106	Tuten, Bhayshul	JAX	RB	118.30	95	144		47		
116	21124	Williams, Caleb	CHI	QB	118.62	52	153		47		
117	22074	Harris, Tre	LAC	WR	118.72	90	165		47		
118	16132	Kirk, Christian	HOU	WR	119.40	91	167		47		
119	21135	Benson, Trey	ARZ	RB	119.64	82	143		47		
120	22067	Warren, Tyler	IND	TE	120.45	93	157		47		
121	20293	Mims, Marvin	DEN	WR	122.89	104	149		47		
122	14553	Prescott, Dak	DAL	QB	123.47	65	166		47		
123	19436	White, Rachaad	TB	RB	123.51	92	144		47		
124	21151	Davis, Ray	BUF	RB	124.87	105	149		47		
125	15319	Smith, Jonnu	PIT	TE	126.13	86	202		47		
126	19934	Shaheed, Rashid	NO	WR	126.23	94	156		47		
127	14748	Goff, Jared	DET	QB	126.91	58	180		47		
