Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	20271	Robinson, Bijan	ATL	RB	1.55	1	4		582		
2	20272	Gibbs, Jahmyr	DET	RB	1.61	1	5		582		
3	18775	Chase, Ja'Marr	CIN	WR	3.13	1	7		582		
4	20336	Nacua, Puka	LA	WR	4.27	1	9		582		
5	20273	Smith-Njigba, Jaxon	SEA	WR	5.53	3	9		582		
6	15222	McCaffrey, Christian	SF	RB	6.34	2	15		582		
7	18827	St. Brown, Amon-Ra	DET	WR	7.40	3	12		582		
8	17962	Taylor, Jonathan	IND	RB	8.02	3	16		582		
9	22055	Jeanty, Ashton	LV	RB	10.46	3	22		582		
10	19467	Cook III, James	BUF	RB	11.21	3	20		582		
11	17965	Lamb, CeeDee	DAL	WR	11.32	6	22		582		
12	17972	Jefferson, Justin	MIN	WR	12.26	6	21		582		
13	20284	Achane, De'Von	MIA	RB	13.73	6	28		582		
14	22069	Hampton, Omarion	LAC	RB	14.09	3	28		582		
15	20292	Brown, Chase	CIN	RB	15.09	8	28		582		
16	16062	Barkley, Saquon	PHI	RB	17.31	8	32		582		
17	19433	London, Drake	ATL	WR	18.09	5	30		582		
18	19430	Walker III, Kenneth	KC	RB	19.16	6	49		582		
19	19439	McBride, Trey	ARZ	TE	21.42	4	42		582		
20	21123	Bowers, Brock	LV	TE	21.92	10	37		582		
21	15055	Henry, Derrick	BAL	RB	22.77	10	39		582		
22	22930	Love, Jeremiyah	ARZ	RB	23.54	5	48		582		
23	18836	Collins, Nico	HOU	WR	24.08	13	36		582		
24	19437	Pickens, George	DAL	WR	24.36	13	40		582		
25	17004	Brown, A.J.	NE	WR	24.73	8	46		582		
26	20287	Rice, Rashee	KC	WR	27.73	11	59		582		
27	19432	Olave, Chris	NO	WR	28.52	13	42		582		
28	16074	Allen, Josh	BUF	QB	28.87	2	60		582		
29	19450	Williams, Kyren	LA	RB	31.48	17	57		582		
30	19427	Hall, Breece	NYJ	RB	31.59	19	51		582		
31	21122	Nabers, Malik	NYG	WR	33.09	11	68		582		
32	16998	Jacobs, Josh	GB	RB	34.66	18	68		582		
33	18771	Williams, Javonte	DAL	RB	34.94	16	60		582		
34	22059	McMillan, Tetairoa	CAR	WR	35.19	23	56		582		
35	18778	Smith, DeVonta	PHI	WR	35.83	15	76		582		
36	18770	Etienne Jr., Travis	NO	RB	36.72	17	60		582		
37	17971	Higgins, Tee	CIN	WR	37.08	22	59		582		
38	20288	Flowers, Zay	BAL	WR	37.16	18	67		582		
39	19431	Wilson, Garrett	NYJ	WR	37.92	24	57		582		
40	22063	Egbuka, Emeka	TB	WR	39.58	13	71		582		
41	21139	McConkey, Ladd	LAC	WR	40.21	14	59		582		
42	22060	Burden III, Luther	CHI	WR	44.32	25	80		582		
43	22075	Loveland, Colston	CHI	TE	44.75	26	65		582		
44	22077	Skattebo, Cam	NYG	RB	45.00	25	67		582		
45	18781	Waddle, Jaylen	DEN	WR	47.49	26	81		582		
46	22072	Henderson, TreVeyon	NE	RB	48.12	22	75		582		
47	17062	McLaurin, Terry	WAS	WR	49.66	28	79		582		
48	21136	Irving, Bucky	TB	RB	49.84	19	87		582		
49	12729	Adams, Davante	LA	WR	50.50	29	78		582		
50	19435	Williams, Jameson	DET	WR	50.74	33	78		582		
51	17016	Montgomery, David	HOU	RB	50.96	25	128		582		
52	22062	Judkins, Quinshon	CLE	RB	52.21	34	83		582		
53	17961	Swift, D'Andre	CHI	RB	53.12	32	83		582		
54	16081	Jackson, Lamar	BAL	QB	54.80	8	109		582		
55	12686	Evans, Mike	SF	WR	54.93	32	93		582		
56	19445	Watson, Christian	GB	WR	55.56	33	91		582		
57	17968	Burrow, Joe	CIN	QB	55.88	7	92		582		
58	21125	Maye, Drake	NE	QB	57.52	6	103		582		
59	20335	Odunze, Rome	CHI	WR	58.35	39	87		582		
60	22067	Warren, Tyler	IND	TE	60.34	37	81		582		
61	16134	Moore, DJ	BUF	WR	60.95	36	140		582		
62	22106	Tuten, Bhayshul	JAX	RB	62.90	28	138		582		
63	22929	Tate, Carnell	TEN	WR	63.61	37	101		582		
64	21121	Harrison Jr., Marvin	ARZ	WR	68.99	39	97		582		
65	19833	Warren, Jaylen	PIT	RB	70.64	46	109		582		
66	21131	Thomas Jr., Brian	JAX	WR	71.92	39	111		582		
67	21126	Daniels, Jayden	WAS	QB	71.93	22	137		582		
68	17002	Metcalf, DK	PIT	WR	72.37	51	108		582		
69	22938	Price, Jadarian	SEA	RB	72.97	37	167		581		
70	16066	Sutton, Courtland	DEN	WR	73.88	39	108		582		
71	18773	Hubbard, Chuba	CAR	RB	74.54	38	132		582		
72	21124	Williams, Caleb	CHI	QB	75.18	17	131		582		
73	19463	Pierce, Alec	IND	WR	76.13	48	120		582		
