Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	20272	Gibbs, Jahmyr	DET	RB	1.58	1	6		896		
2	20271	Robinson, Bijan	ATL	RB	1.65	1	7		896		
3	18775	Chase, Ja'Marr	CIN	WR	3.21	1	11		896		
4	20336	Nacua, Puka	LA	WR	4.44	1	16		896		
5	20273	Smith-Njigba, Jaxon	SEA	WR	5.81	3	17		896		
6	15222	McCaffrey, Christian	SF	RB	6.63	2	21		896		
7	18827	St. Brown, Amon-Ra	DET	WR	7.50	3	21		896		
8	17962	Taylor, Jonathan	IND	RB	8.46	3	26		896		
9	22055	Jeanty, Ashton	LV	RB	10.55	3	29		896		
10	19467	Cook III, James	BUF	RB	11.42	3	34		896		
11	17965	Lamb, CeeDee	DAL	WR	11.64	5	30		896		
12	17972	Jefferson, Justin	MIN	WR	12.60	6	36		896		
13	22069	Hampton, Omarion	LAC	RB	14.41	3	33		896		
14	20284	Achane, De'Von	MIA	RB	14.96	6	41		896		
15	20292	Brown, Chase	CIN	RB	15.29	6	38		896		
16	16062	Barkley, Saquon	PHI	RB	17.73	8	45		896		
17	19433	London, Drake	ATL	WR	18.83	5	42		896		
18	19430	Walker III, Kenneth	KC	RB	19.24	6	49		896		
19	21123	Bowers, Brock	LV	TE	21.99	8	54		896		
20	15055	Henry, Derrick	BAL	RB	23.32	10	48		896		
21	17004	Brown, A.J.	NE	WR	23.57	7	66		896		
22	19439	McBride, Trey	ARZ	TE	23.64	4	54		896		
23	18836	Collins, Nico	HOU	WR	24.81	13	54		896		
24	19437	Pickens, George	DAL	WR	25.07	13	54		896		
25	22930	Love, Jeremiyah	ARZ	RB	25.87	5	60		896		
26	16074	Allen, Josh	BUF	QB	28.10	1	60		896		
27	20287	Rice, Rashee	KC	WR	28.34	11	70		896		
28	19432	Olave, Chris	NO	WR	29.28	13	64		896		
29	19450	Williams, Kyren	LA	RB	33.02	17	61		896		
30	19427	Hall, Breece	NYJ	RB	33.07	3	67		896		
31	21122	Nabers, Malik	NYG	WR	33.23	11	82		896		
32	18778	Smith, DeVonta	PHI	WR	35.19	15	89		896		
33	18771	Williams, Javonte	DAL	RB	35.79	16	66		896		
34	20288	Flowers, Zay	BAL	WR	36.53	18	82		896		
35	22059	McMillan, Tetairoa	CAR	WR	36.65	23	68		896		
36	16998	Jacobs, Josh	GB	RB	37.52	18	69		896		
37	17971	Higgins, Tee	CIN	WR	37.72	22	71		896		
38	22063	Egbuka, Emeka	TB	WR	38.04	13	83		896		
39	19431	Wilson, Garrett	NYJ	WR	38.76	24	74		896		
40	18770	Etienne Jr., Travis	NO	RB	40.12	17	73		896		
41	21139	McConkey, Ladd	LAC	WR	40.57	14	82		896		
42	22060	Burden III, Luther	CHI	WR	45.24	25	83		896		
43	22075	Loveland, Colston	CHI	TE	45.87	24	83		896		
44	22077	Skattebo, Cam	NYG	RB	46.14	25	84		896		
45	18781	Waddle, Jaylen	DEN	WR	46.54	26	89		896		
46	17062	McLaurin, Terry	WAS	WR	49.61	28	90		896		
47	22072	Henderson, TreVeyon	NE	RB	50.95	22	88		896		
48	17016	Montgomery, David	HOU	RB	51.52	25	128		896		
49	19435	Williams, Jameson	DET	WR	51.68	31	92		896		
50	12729	Adams, Davante	LA	WR	51.81	29	91		896		
51	21136	Irving, Bucky	TB	RB	53.58	19	91		896		
52	22062	Judkins, Quinshon	CLE	RB	53.68	29	83		896		
53	17961	Swift, D'Andre	CHI	RB	54.58	32	93		896		
