player,player_id,position,player_game_count,team_name,dropbacks,attempts,completions,drops,thrown_aways,bats,spikes,hit_as_threw,drop_percent,accuracy_percent
Peyton Manning,327,QB,16,IND,696,679,450,0,5,6,0,4,0.0,67.8
Drew Brees,802,QB,16,NO,685,658,448,0,22,10,3,2,0.0,72.1
Sam Bradford,5526,QB,16,STR,634,590,354,0,18,17,3,17,0.0,66.2
Carson Palmer,1317,QB,16,CIN,621,586,362,0,18,11,2,5,0.0,65.8
Matt Schaub,1811,QB,16,HST,611,574,365,0,25,10,4,12,0.0,69.8
Matt Ryan,4317,QB,16,ATL,611,571,357,0,20,5,1,9,0.0,66.6
Philip Rivers,1725,QB,16,SD,588,541,357,0,23,7,1,8,0.0,71.1
Eli Manning,1722,QB,16,NYG,565,539,339,0,14,6,1,5,0.0,66.1
Mark Sanchez,4928,QB,15,NYJ,542,506,278,0,10,15,5,5,0.0,59.0
Kyle Orton,2323,QB,13,DEN,540,498,293,0,13,9,2,5,0.0,62.5
Tom Brady,698,QB,16,NE,520,492,324,0,10,6,0,5,0.0,68.8
Chad Henne,4371,QB,15,MIA,539,491,302,0,26,16,2,4,0.0,68.2
Joe Flacco,4332,QB,16,BLT,541,489,306,0,25,8,0,5,0.0,67.8
Aaron Rodgers,2241,QB,15,GB,543,475,312,0,16,6,2,2,0.0,69.5
Josh Freeman,4940,QB,16,TB,543,474,291,0,22,6,0,10,0.0,66.7
Donovan McNabb,438,QB,13,WAS,523,472,275,0,7,15,2,8,0.0,62.5
Matt Cassel,2447,QB,15,KC,496,450,262,0,24,13,5,5,0.0,65.0
Matt Hasselbeck,408,QB,14,SEA,480,444,266,0,15,6,1,3,0.0,63.5
Ryan Fitzpatrick,2467,QB,13,BUF,481,440,254,0,4,12,1,11,0.0,61.7
Jay Cutler,2956,QB,15,CHI,508,432,261,0,16,13,0,4,0.0,65.4
Shaun Hill,1255,QB,11,DET,447,416,257,0,16,7,3,5,0.0,66.8
Ben Roethlisberger,1732,QB,12,PIT,432,389,240,0,11,7,8,2,0.0,66.5
Michael Vick,773,QB,12,PHI,466,372,233,0,12,10,3,9,0.0,68.9
David Garrard,1109,QB,14,JAX,419,366,236,0,15,6,1,5,0.0,69.6
Brett Favre,14,QB,13,MIN,382,358,217,0,6,4,0,5,0.0,63.3
Alex Smith,2218,QB,11,SF,373,342,204,0,24,8,3,8,0.0,68.2
Jason Campbell,2242,QB,13,OAK,377,329,194,0,11,11,3,3,0.0,64.5
Derek Anderson,2430,QB,12,ARZ,354,327,169,0,6,7,0,4,0.0,54.5
Jon Kitna,217,QB,10,DAL,353,318,209,0,6,10,1,2,0.0,69.9
Jimmy Clausen,5573,QB,13,CAR,345,300,158,0,23,12,1,3,0.0,60.5
Kerry Collins,115,QB,10,TEN,291,278,160,0,14,7,2,3,0.0,63.5
Colt McCoy,5609,QB,8,CLV,256,222,135,0,11,3,1,0,0.0,65.2
Tony Romo,1693,QB,6,DAL,220,213,148,0,4,3,0,3,0.0,72.9
Kevin Kolb,3652,QB,6,PHI,210,188,114,0,9,7,3,0,0.0,67.5
Bruce Gradkowski,3139,QB,6,OAK,172,157,83,0,6,3,0,4,0.0,57.6
Vince Young,2948,QB,9,TEN,178,156,93,0,4,3,0,2,0.0,63.3
Jake Delhomme,303,QB,5,CLV,156,149,93,0,7,2,1,2,0.0,67.9
Troy Smith,3790,QB,6,SF,175,145,73,0,3,4,0,3,0.0,54.1
Matt Moore,4018,QB,6,CAR,160,143,79,0,5,4,1,2,0.0,60.3
Rex Grossman,1338,QB,4,WAS,144,133,74,0,12,6,1,2,0.0,66.1
John Skelton,5678,QB,5,ARZ,142,126,60,0,6,1,1,0,0.0,50.8
Drew Stanton,3659,QB,6,DET,132,119,69,0,2,0,2,3,0.0,61.6
Seneca Wallace,1422,QB,6,CLV,109,101,64,0,7,1,0,1,0.0,69.6
Charlie Whitehurst,3026,QB,5,SEA,111,99,57,0,6,1,0,1,0.0,62.6
Matthew Stafford,4924,QB,3,DET,102,96,57,0,3,2,0,0,0.0,62.6
Joe Webb III,5722,QB,4,MIN,111,89,54,0,1,2,0,0,0.0,62.8
Tim Tebow,5550,QB,4,DEN,99,82,41,0,5,0,1,2,0.0,55.4
Max Hall,5878,QB,6,ARZ,92,78,39,0,3,1,0,0,0.0,52.7
Matt Flynn,4523,QB,4,GB,77,65,40,0,4,0,0,0,0.0,65.6
Tyler Thigpen,3833,QB,4,MIA,76,62,33,0,0,1,0,0,0.0,54.1
Tarvaris Jackson,3009,QB,3,MIN,68,58,34,0,6,0,0,0,0.0,65.4
Trent Edwards,3708,QB,2,BUF,64,52,29,0,4,3,0,1,0.0,65.9
Trent Edwards,3708,QB,2,JAX,55,49,26,0,3,0,0,2,0.0,59.1
Charlie Batch,367,QB,3,PIT,55,49,29,0,0,1,1,1,0.0,63.0
Stephen McGee,5024,QB,2,DAL,59,44,22,0,2,1,1,0,0.0,55.0
Rusty Smith,5699,QB,2,TEN,41,40,20,0,0,1,0,0,0.0,51.3
Todd Bouman,299,QB,1,JAX,36,34,18,0,3,0,0,0,0.0,58.1
Dennis Dixon,4470,QB,2,PIT,40,32,22,0,0,1,0,1,0.0,73.3
Brian St. Pierre,1470,QB,1,CAR,31,28,13,0,3,1,0,0,0.0,54.2
Richard Bartel,3884,QB,1,ARZ,30,28,16,0,1,1,0,0,0.0,61.5
Todd Collins,131,QB,2,CHI,29,27,10,0,1,3,0,2,0.0,47.6
Brian Brohm,4370,QB,1,BUF,26,23,10,0,0,1,0,0,0.0,45.5
Luke McCown,1827,QB,1,JAX,20,19,11,0,0,1,0,0,0.0,61.1
Brodie Croyle,3030,QB,2,KC,23,19,8,0,0,1,0,0,0.0,44.4
Josh Johnson,4474,QB,6,TB,20,16,14,0,0,0,0,0,0.0,87.5
Brian Hoyer,5277,QB,3,NE,16,15,7,0,0,0,0,0,0.0,46.7
Mark Brunell,51,QB,2,NYJ,14,13,7,0,1,0,0,1,0.0,63.6
