player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent
Arian Foster,5398,HB,16,HST,351,1424,17,384,27.0
Adrian Peterson,3623,HB,16,MIN,348,2097,40,1184,56.5
Alfred Morris,7165,HB,16,WAS,335,1613,24,508,31.5
Doug Martin,7035,HB,16,TB,319,1454,15,481,33.1
Marshawn Lynch,3628,HB,16,SEA,315,1590,22,523,32.9
Stevan Ridley,6225,HB,16,NE,290,1263,16,316,25.0
Jamaal Charles,4387,HB,16,KC,285,1509,19,638,42.3
BenJarvus Green-Ellis,4599,HB,15,CIN,278,1094,10,290,26.5
Shonn Greene,4988,HB,16,NYJ,276,1063,7,142,13.4
Chris Johnson,4338,HB,16,TEN,276,1243,14,491,39.5
Trent Richardson,7009,HB,15,CLV,267,950,6,122,12.8
Frank Gore,2282,HB,16,SF,258,1214,16,330,27.2
Steven Jackson,1745,HB,16,STR,258,1045,10,213,20.4
Ray Rice,4369,HB,16,BLT,257,1143,11,285,24.9
Matt Forte,4358,HB,15,CHI,248,1094,12,309,28.2
Reggie Bush,2947,HB,16,MIA,227,986,16,369,37.4
Michael Turner,1873,HB,16,ATL,222,800,9,219,27.4
Ahmad Bradshaw,3866,HB,14,NYG,221,1015,8,183,18.0
Darren McFadden,4318,HB,12,OAK,216,709,9,233,32.9
Mikel Leshoure,6209,HB,14,DET,215,798,3,46,5.8
Vick Ballard,7162,HB,16,IND,211,814,10,192,23.6
C.J. Spiller,5534,HB,16,BUF,207,1244,16,496,39.9
LeSean McCoy,4976,HB,12,PHI,200,840,9,210,25.0
Ryan Mathews,5537,HB,12,SD,184,707,2,49,6.9
DeAngelo Williams,2972,HB,16,CAR,174,737,7,231,31.3
Willis McGahee,1339,HB,10,DEN,167,731,8,149,20.4
DeMarco Murray,6223,HB,10,DAL,161,663,6,167,25.2
Mark Ingram II,6180,HB,16,NO,156,602,7,159,26.4
Jonathan Dwyer,5711,HB,13,PIT,156,623,6,135,21.7
Knowshon Moreno,4935,HB,8,DEN,138,525,8,137,26.1
Alex Green,6248,HB,10,GB,135,464,3,77,16.6
Bryce Brown,7213,HB,16,PHI,115,564,10,284,50.4
Fred Jackson,3368,HB,10,BUF,115,437,1,15,3.4
Michael Bush,3716,HB,13,CHI,114,411,3,55,13.4
Felix Jones,4336,HB,14,DAL,111,402,3,52,12.9
Bilal Powell,6278,HB,14,NYJ,110,437,3,50,11.4
Isaac Redman,5233,HB,14,PIT,110,410,4,91,22.2
LaRod Stephens-Howling,5164,HB,14,ARZ,110,356,4,135,37.9
Donald Brown,4950,HB,9,IND,108,417,5,89,21.3
Bernard Pierce,7085,HB,15,BLT,108,532,7,188,35.3
Pierre Thomas,4080,HB,15,NO,105,473,3,90,19.0
Rashad Jennings,5174,HB,10,JAX,101,283,1,21,7.4
Daryl Richardson,7233,HB,16,STR,98,475,5,165,34.7
Jackie Battle,3885,HB,14,SD,95,311,4,104,33.4
Jacquizz Rodgers,6297,HB,16,ATL,94,362,4,97,26.8
Jonathan Stewart,4327,HB,9,CAR,93,336,5,89,26.5
Daniel Thomas,6214,HB,12,MIA,91,325,2,40,12.3
Cam Newton,6153,QB,16,CAR,90,447,9,263,58.8
Beanie Wells,4954,HB,8,ARZ,88,234,1,31,13.2
Maurice Jones-Drew,3005,HB,6,JAX,86,414,5,142,34.3
Peyton Hillis,4541,HB,13,KC,85,309,5,83,26.9
Ronnie Hillman,7069,HB,14,DEN,85,330,4,95,28.8
Joique Bell,5797,HB,16,DET,82,414,3,116,28.0
Robert Turbin,7106,HB,15,SEA,80,354,4,81,22.9
Danny Woodhead,4914,HB,14,NE,76,301,3,49,16.3
Robert Griffin III,7008,QB,14,WAS,74,411,6,149,36.3
Andre Brown,5053,HB,8,NYG,73,385,7,151,39.2
