player,player_id,position,player_game_count,team_name,dropbacks,attempts,deep_attempts,deep_completions,deep_drops,deep_yards,deep_touchdowns,deep_interceptions,deep_hit_as_threw,deep_attempt_percent,deep_accuracy_percent,qb_rating
Marc Bulger,684,QB,16,STR,641,588,87,33,3,963,2,3,0,14.8,41.4,73.1
Brett Favre,14,QB,16,GB,637,612,86,17,3,572,5,7,0,14.1,23.3,40.3
Carson Palmer,1317,QB,16,CIN,560,520,79,33,3,1247,10,4,0,15.2,45.6,107.5
Peyton Manning,327,QB,16,IND,577,557,78,31,2,1061,7,2,0,14.0,42.3,106.5
Rex Grossman,1338,QB,16,CHI,501,479,77,29,1,917,9,9,0,16.1,39.0,82.5
Jon Kitna,217,QB,16,DET,676,595,73,23,3,545,9,8,0,12.3,35.6,59.4
Michael Vick,773,QB,16,ATL,489,388,72,19,8,642,6,3,0,18.6,37.5,74.7
Tony Romo,1693,QB,12,DAL,376,337,71,30,5,986,8,5,0,21.1,49.3,97.6
Tom Brady,698,QB,16,NE,556,516,69,25,9,781,7,6,0,13.4,49.3,77.0
Eli Manning,1722,QB,16,NYG,551,522,62,25,2,763,9,8,0,11.9,43.5,87.0
Philip Rivers,1725,QB,16,SD,501,460,61,22,2,690,4,2,0,13.3,39.3,87.5
Vince Young,2948,QB,15,TEN,424,357,61,18,6,486,4,4,0,17.1,39.3,54.8
Jake Delhomme,303,QB,13,CAR,455,430,61,16,2,555,7,5,0,14.2,29.5,69.1
Ben Roethlisberger,1732,QB,15,PIT,530,469,59,20,1,584,5,8,0,12.6,35.6,60.2
Matt Hasselbeck,408,QB,12,SEA,412,368,58,15,5,460,6,6,0,15.8,34.5,55.0
J.P. Losman,1743,QB,16,BUF,492,428,58,26,1,934,10,6,0,13.6,46.6,91.5
Drew Brees,802,QB,16,NO,583,553,58,32,7,1272,14,3,0,10.5,67.2,118.2
Brad Johnson,31,QB,15,MIN,485,438,54,13,4,407,6,3,0,12.3,31.5,72.4
Alex Smith,2218,QB,16,SF,502,442,54,18,1,642,4,4,0,12.2,35.2,73.2
Donovan McNabb,438,QB,10,PHI,354,316,49,18,3,751,7,1,0,15.5,42.9,115.9
Charlie Frye,2284,QB,13,CLV,473,394,47,13,4,516,3,7,0,11.9,36.2,54.5
Chad Pennington,596,QB,16,NYJ,536,485,47,20,1,677,7,3,0,9.7,44.7,102.6
Andrew Walter,2286,QB,12,OAK,327,276,45,12,2,332,2,8,0,16.3,31.1,33.1
Matt Leinart,2955,QB,12,ARZ,410,377,45,14,4,520,2,2,0,11.9,40.0,72.5
Jake Plummer,248,QB,12,DEN,345,317,42,14,4,530,4,5,0,13.2,42.9,74.1
Joey Harrington,1011,QB,11,MIA,408,388,39,10,3,319,2,2,0,10.1,33.3,56.9
David Garrard,1109,QB,10,JAX,285,241,38,10,1,289,2,3,0,15.8,28.9,43.4
Bruce Gradkowski,3139,QB,13,TB,384,328,37,11,3,344,4,3,0,11.3,37.8,68.1
Steve McNair,114,QB,16,BLT,494,467,36,15,0,551,6,3,0,7.7,41.7,93.8
Mark Brunell,51,QB,10,WAS,279,260,32,15,3,472,3,2,0,12.3,56.3,98.4
Jason Campbell,2242,QB,7,WAS,228,207,31,5,2,156,3,3,0,15.0,22.6,40.7
Damon Huard,215,QB,10,KC,261,244,31,14,1,423,5,0,0,12.7,48.4,131.4
David Carr,1009,QB,16,HST,506,441,26,8,0,279,2,3,0,5.9,30.8,58.5
Jeff Garcia,550,QB,8,PHI,207,188,25,10,0,333,4,1,0,13.3,40.0,110.4
Jay Cutler,2956,QB,5,DEN,153,137,23,6,1,213,3,2,0,16.8,30.4,69.0
Aaron Brooks,509,QB,7,OAK,233,192,21,3,4,122,0,2,0,10.9,33.3,11.7
Trent Green,58,QB,8,KC,229,198,21,8,0,215,2,2,0,10.6,38.1,68.7
Byron Leftwich,1323,QB,6,JAX,200,182,21,6,0,150,2,2,0,11.5,28.6,49.0
Drew Bledsoe,36,QB,6,DAL,187,166,19,11,1,322,5,2,0,11.4,63.2,102.4
Kurt Warner,112,QB,6,ARZ,183,166,16,6,2,203,1,1,0,9.6,50.0,80.2
Daunte Culpepper,446,QB,4,MIA,160,134,14,1,1,23,1,0,0,10.4,14.3,63.4
Kerry Collins,115,QB,3,TEN,94,90,13,4,1,112,1,0,0,14.4,38.5,89.3
Chris Weinke,861,QB,3,CAR,108,96,12,3,1,95,1,2,0,12.5,33.3,48.3
Seneca Wallace,1422,QB,6,SEA,164,141,12,5,0,161,3,1,0,8.5,41.7,93.8
Tarvaris Jackson,3009,QB,4,MIN,103,81,11,3,1,75,0,0,0,13.6,36.4,55.5
Charlie Batch,367,QB,6,PIT,58,53,11,6,0,212,3,0,0,20.8,54.5,139.2
Derek Anderson,2430,QB,4,CLV,128,117,10,2,0,50,1,3,0,8.5,20.0,41.7
Kyle Boller,1335,QB,3,BLT,64,55,9,2,1,119,1,1,0,16.4,33.3,76.6
Cleo Lemon,1271,QB,3,MIA,73,68,9,1,0,24,0,0,0,13.2,11.1,39.6
Chris Simms,1411,QB,3,TB,112,105,8,3,0,110,0,3,0,7.6,37.5,45.8
A.J. Feeley,893,QB,2,PHI,40,38,6,3,0,130,2,0,0,15.8,50.0,135.4
