team_name,pass_snaps,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
BLT,556,8,15,67,90,91.2
GB,656,12,16,81,109,90.8
NO,613,12,15,79,106,90.4
SD,507,8,18,71,97,89.6
MIA,637,17,22,88,127,88.7
NYJ,540,18,11,76,105,88.6
TEN,519,16,15,75,106,88.2
WAS,509,10,15,88,113,87.9
DAL,563,16,15,89,120,87.9
IND,573,7,16,109,132,87.9
ATL,538,18,10,87,115,87.6
DEN,497,20,16,67,103,87.6
CLV,602,21,26,83,129,87.5
CAR,577,18,23,86,127,87.4
CIN,562,16,17,93,126,87.4
NE,569,14,24,94,132,87.2
KC,503,28,15,60,103,87.0
PHI,604,12,23,112,147,86.8
CHI,538,13,17,105,135,86.2
HST,549,26,12,90,128,86.0
SF,499,15,20,91,126,85.9
SEA,578,27,16,94,137,85.8
BUF,493,27,14,72,113,85.8
JAX,514,13,36,85,134,85.7
STR,638,29,8,117,154,85.7
MIN,609,24,37,93,154,85.4
ARZ,590,18,35,109,162,84.7
NYG,549,19,18,118,155,84.2
TB,601,14,29,136,179,83.9
PIT,585,24,15,131,170,83.4
DET,675,30,21,148,199,83.0
OAK,575,34,21,115,170,82.3
