player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
Reggie Wayne,800,WR,16,IND,172,111,64.5,1355,6,76.4,75.6,66.4,60.8,72.6,12.2,373,3.4,50,72,9,4,1,5,90.6,1,0
Larry Fitzgerald,1724,WR,16,ARZ,169,91,53.8,1137,6,78.5,77.5,82.3,82.8,,12.5,213,2.3,41,59,3,8,0,3,67.1,3,1
Roddy White,2244,WR,16,ATL,169,117,69.2,1389,10,82.7,83.9,64.4,62.2,,11.9,371,3.2,46,73,9,3,1,5,106.3,5,0
Brandon Lloyd,1436,WR,16,DEN,147,77,52.4,1448,11,90.7,90.6,82.8,81.9,73.3,18.8,195,2.5,71,72,4,4,0,2,100.4,1,0
Santana Moss,786,WR,16,WAS,142,93,65.5,1115,6,76.0,75.4,63.8,27.2,71.2,12.0,511,5.5,56,61,8,6,3,12,85.9,2,0
Steve Johnson,4538,WR,16,BUF,139,82,59.0,1073,10,76.2,76.0,31.3,52.5,,13.1,424,5.2,45,63,13,10,1,10,77.4,4,0
Brandon Marshall,3064,WR,14,MIA,132,86,65.2,1014,3,77.1,75.7,36.1,63.4,,11.8,231,2.7,46,57,13,7,2,8,73.9,5,1
Terrell Owens,188,WR,14,CIN,132,72,54.5,983,9,69.8,69.4,48.9,81.6,66.5,13.7,283,3.9,78,47,8,10,0,7,69.7,2,0
Andre Johnson,1319,WR,13,HST,131,86,65.6,1216,8,84.9,84.1,76.4,63.6,,14.1,338,3.9,60,59,6,5,1,1,99.9,4,0
Calvin Johnson,3618,WR,15,DET,131,77,58.8,1120,12,83.2,82.4,73.7,54.2,,14.5,337,4.4,87,57,6,6,1,5,98.1,1,0
Dwayne Bowe,3639,WR,16,KC,126,72,57.1,1162,15,79.5,78.3,49.3,81.8,68.4,16.1,379,5.3,75,55,9,3,1,5,117.8,5,2
Hakeem Nicks,4952,WR,13,NYG,126,79,62.7,1052,11,80.6,79.4,65.6,61.3,,13.3,277,3.5,46,55,6,7,1,5,95.1,3,0
Marques Colston,3197,WR,15,NO,126,84,66.7,1023,7,75.2,74.3,49.3,82.5,66.8,12.2,296,3.5,43,57,9,3,0,6,100.1,1,0
Jason Witten,1384,TE,16,DAL,124,95,76.6,1002,9,90.2,86.7,89.9,57.2,74.2,10.5,394,4.1,33,49,3,3,1,11,113.7,6,1
Mike Williams,5625,WR,16,TB,123,64,52.0,955,11,74.7,72.7,32.5,23.5,,14.9,328,5.1,58,46,11,3,3,8,97.4,1,1
Greg Jennings,2997,WR,16,GB,120,76,63.3,1265,12,75.0,74.2,63.4,81.9,,16.6,389,5.1,86,52,7,7,1,8,107.8,0,0
Chad Johnson,806,WR,14,CIN,120,67,55.8,831,4,70.1,70.1,51.1,81.2,,12.4,195,2.9,42,47,9,3,0,4,78.2,3,0
Pierre Garcon,4519,WR,14,IND,119,67,56.3,784,6,64.6,63.4,29.1,81.2,,11.7,252,3.8,57,41,13,4,0,6,79.3,3,1
Wes Welker,2204,WR,15,NE,118,86,72.9,848,7,76.6,76.4,32.2,82.7,75.3,9.9,421,4.9,35,47,13,1,0,5,109.0,1,0
Davone Bess,4694,WR,16,MIA,118,80,67.8,817,5,77.8,77.5,68.8,82.3,,10.2,330,4.1,29,43,6,5,0,9,83.9,2,0
Chris Cooley,1802,TE,16,WAS,117,78,66.7,849,3,67.5,62.6,44.2,25.2,41.4,10.9,405,5.2,35,40,8,2,3,8,89.3,3,0
Miles Austin,3211,WR,16,DAL,115,69,60.0,1045,7,68.1,68.0,36.5,82.3,,15.1,432,6.3,69,51,11,6,1,5,88.5,7,0
Danny Amendola,4717,WR,16,STR,114,85,74.6,689,3,72.0,71.3,71.4,57.3,,8.1,386,4.5,36,35,6,1,1,7,94.5,3,0
Jabar Gaffney,1040,WR,16,DEN,107,65,60.7,881,2,68.7,67.8,60.8,56.5,75.9,13.6,207,3.2,50,42,6,3,1,3,81.6,2,0
Jeremy Maclin,4942,WR,16,PHI,106,70,66.0,964,10,70.2,68.7,52.7,50.7,72.5,13.8,271,3.9,83,45,7,4,1,5,110.7,1,1
Tony Gonzalez,237,TE,16,ATL,106,70,66.0,656,6,70.0,67.1,64.1,81.4,68.5,9.4,182,2.6,34,39,6,4,0,5,86.0,3,0
Mike Williams,2227,WR,13,SEA,106,65,61.3,751,2,79.8,79.9,66.0,80.9,,11.6,203,3.1,68,40,5,4,0,5,73.3,0,0
Brandon Pettigrew,4943,TE,16,DET,104,71,68.3,722,4,65.0,55.5,32.1,81.4,71.8,10.2,378,5.3,35,35,12,2,0,5,92.7,10,0
Percy Harvin,4945,WR,14,MIN,104,71,68.3,871,5,87.5,87.0,70.4,83.7,,12.3,453,6.4,53,42,5,5,0,8,89.9,5,0
Anquan Boldin,1369,WR,16,BLT,103,64,62.1,837,7,72.6,73.4,78.4,47.4,70.5,13.1,228,3.6,61,43,3,4,1,3,94.2,4,1
