player,player_id,position,player_game_count,team_name,run_plays,attempts,yards,ypa,touchdowns,grades_offense,grades_run,grades_hands_fumble,grades_run_block,yards_after_contact,yco_attempt,longest,first_downs,avoided_tackles,fumbles,penalties,declined_penalties
Clinton Portis,1058,HB,16,WAS,356,323,1255,3.9,11,60.6,57.1,52.7,56.6,758,2.3,32,61,24,7,1,0
Edgerrin James,439,HB,16,ARZ,346,323,1221,3.8,8,61.1,64.3,54.6,64.8,676,2.1,27,53,20,4,2,0
Willie Parker,2142,HB,15,PIT,333,321,1316,4.1,2,54.4,54.2,59.7,69.8,532,1.7,32,50,19,4,1,0
LaDainian Tomlinson,777,HB,16,SD,341,315,1474,4.7,15,80.2,75.4,91.7,68.0,746,2.4,49,75,28,0,2,0
Thomas Jones,585,HB,16,NYJ,351,310,1122,3.6,1,66.0,61.7,69.1,59.3,579,1.9,36,56,26,3,1,0
LenDale White,2990,HB,16,TEN,348,303,1115,3.7,7,58.2,58.0,47.1,75.5,706,2.3,28,57,15,5,0,0
Jamal Lewis,583,HB,15,CLV,320,298,1312,4.4,9,60.1,59.3,67.7,61.6,771,2.6,66,59,28,3,2,0
Willis McGahee,1339,HB,15,BLT,310,294,1206,4.1,7,70.7,64.1,68.3,58.9,751,2.6,46,57,26,4,0,0
Marshawn Lynch,3628,HB,13,BUF,295,280,1115,4.0,7,79.8,79.1,75.7,58.9,648,2.3,56,52,41,1,1,0
Brian Westbrook,1094,HB,15,PHI,318,278,1340,4.8,7,77.6,78.8,88.5,50.7,655,2.4,36,73,27,0,1,0
Joseph Addai,2975,HB,15,IND,273,261,1072,4.1,12,81.2,78.6,91.3,59.1,546,2.1,23,65,26,0,0,0
Frank Gore,2282,HB,15,SF,282,260,1103,4.2,5,57.1,60.5,54.9,47.7,617,2.4,43,43,18,3,4,1
DeShaun Foster,1041,HB,16,CAR,264,247,890,3.6,3,50.7,55.7,27.0,58.5,436,1.8,20,43,26,5,2,0
Adrian Peterson,3623,HB,14,MIN,260,238,1341,5.6,12,91.2,90.9,52.0,58.7,726,3.1,73,63,40,4,1,0
Steven Jackson,1745,HB,12,STR,252,237,1002,4.2,5,69.8,72.3,39.1,60.2,583,2.5,54,37,16,3,0,0
Warrick Dunn,236,HB,16,ATL,244,228,721,3.2,4,53.3,55.9,71.9,60.6,372,1.6,38,36,21,2,2,0
Fred Taylor,333,HB,15,JAX,236,222,1223,5.5,5,90.3,90.2,69.1,58.4,692,3.1,80,45,35,2,0,0
Justin Fargas,1410,HB,14,OAK,244,222,1011,4.6,4,66.1,68.0,70.4,61.3,560,2.5,48,53,17,3,0,0
Earnest Graham,1613,HB,15,TB,241,222,898,4.0,10,64.4,64.8,83.6,72.8,565,2.5,28,46,27,0,0,0
Shaun Alexander,597,HB,13,SEA,222,207,716,3.5,4,48.5,55.8,67.5,59.6,422,2.0,25,37,17,2,0,0
Marion Barber III,2326,HB,16,DAL,212,204,981,4.8,10,90.1,90.3,61.8,59.8,559,2.7,54,49,35,1,0,0
Brandon Jacobs,2327,HB,11,NYG,212,202,1012,5.0,4,63.3,68.2,32.8,60.1,520,2.6,43,52,23,4,0,0
Cedric Benson,2221,HB,11,CHI,209,196,674,3.4,4,42.5,47.0,53.2,53.0,323,1.6,43,34,12,3,0,0
Ron Dayne,589,HB,12,HST,206,194,773,4.0,6,56.6,54.6,80.2,52.7,399,2.1,39,43,11,1,1,0
Ryan Grant,2609,HB,12,GB,197,189,956,5.1,8,72.9,71.9,80.1,69.3,459,2.4,66,36,22,0,0,0
Laurence Maroney,2966,HB,13,NE,204,185,840,4.5,6,78.0,77.8,90.5,57.4,392,2.1,59,49,17,0,1,0
Kenny Watson,1001,HB,14,CIN,195,178,780,4.4,7,70.9,71.0,59.0,68.2,353,2.0,24,40,8,2,1,0
Rudi Johnson,857,HB,11,CIN,195,170,498,2.9,3,51.3,53.7,46.9,57.9,304,1.8,22,27,11,3,1,0
Travis Henry,825,HB,11,DEN,198,167,691,4.1,4,60.9,62.7,60.6,57.9,411,2.5,33,37,23,2,0,0
Maurice Jones-Drew,3005,HB,15,JAX,207,167,768,4.6,9,79.0,75.7,64.7,79.0,354,2.1,57,46,18,1,0,0
Julius Jones,1764,HB,16,DAL,177,164,588,3.6,2,64.3,60.0,90.4,59.7,307,1.9,25,25,13,0,0,0
Larry Johnson,1343,HB,8,KC,163,158,559,3.5,3,57.2,58.5,81.5,60.2,311,2.0,54,26,15,1,3,0
Chester Taylor,1182,HB,14,MIN,170,157,847,5.4,7,70.2,71.7,27.7,67.9,436,2.8,84,36,21,5,1,0
Reggie Bush,2947,HB,12,NO,196,157,573,3.6,4,59.5,54.7,26.1,46.7,229,1.5,22,32,12,7,1,0
Kevin Jones,1751,HB,13,DET,165,153,581,3.8,8,70.6,74.5,66.4,59.5,348,2.3,34,35,17,2,1,1
Adrian Peterson,1177,HB,16,CHI,170,151,511,3.4,3,63.3,52.3,63.6,61.0,305,2.0,21,26,13,2,0,0
Lamont Jordan,819,HB,12,OAK,154,145,549,3.8,3,57.3,54.8,72.7,62.2,259,1.8,33,24,10,1,0,0
DeAngelo Williams,2972,HB,16,CAR,161,144,717,5.0,4,66.3,77.6,75.1,47.6,407,2.8,75,27,17,0,1,0
Selvin Young,4109,HB,15,DEN,156,140,759,5.4,1,69.6,75.2,65.1,60.1,373,2.7,50,23,27,1,2,1
Maurice Morris,1061,HB,13,SEA,156,140,628,4.5,4,58.6,56.4,74.4,57.1,309,2.2,46,32,12,1,0,0
Jesse Chatman,2861,HB,11,MIA,146,128,515,4.0,1,76.7,76.5,73.0,66.9,306,2.4,30,27,20,0,0,0
Derrick Ward,1949,HB,8,NYG,130,125,602,4.8,3,65.7,64.7,54.7,60.5,302,2.4,44,28,9,2,0,0
