player,player_id,position,player_game_count,team_name,dropbacks,pressure_dropbacks,pressure_sacks,pressure_attempts,pressure_completions,pressure_thrown_aways,pressure_hit_as_threw,pressure_drops,pressure_yards,pressure_touchdowns,pressure_interceptions,pressure_dropback_percent,pressure_sack_percent,pressure_completion_percent,pressure_accuracy_percent,pressure_qb_rating
Sam Bradford,5526,QB,16,STR,634,217,34,174,75,15,17,0,810,4,7,34.2,15.7,43.1,55.6,48.3
Donovan McNabb,438,QB,13,WAS,523,212,37,170,71,7,8,0,939,2,7,40.5,17.5,41.8,48.3,46.7
Josh Freeman,4940,QB,16,TB,543,223,28,167,85,20,10,0,910,10,3,41.1,12.6,50.9,62.5,79.7
Matt Ryan,4317,QB,16,ATL,611,192,23,164,85,13,9,0,904,10,1,31.4,12.0,51.8,59.9,86.0
Peyton Manning,327,QB,16,IND,696,181,16,164,89,3,4,0,1092,6,8,26.0,8.8,54.3,57.8,66.9
Philip Rivers,1725,QB,16,SD,588,204,38,163,86,20,8,0,1125,6,5,34.7,18.6,52.8,63.7,74.3
Drew Brees,802,QB,16,NO,685,189,25,163,90,17,2,0,1011,6,9,27.6,13.2,55.2,62.5,63.2
Eli Manning,1722,QB,16,NYG,565,174,16,153,68,12,5,0,888,10,9,30.8,9.2,44.4,50.0,60.6
Matt Schaub,1811,QB,16,HST,611,185,32,153,69,16,12,0,798,5,5,30.3,17.3,45.1,56.1,58.7
Jay Cutler,2956,QB,15,CHI,508,217,52,149,80,16,4,0,1141,5,7,42.7,24.0,53.7,65.0,70.3
Carson Palmer,1317,QB,16,CIN,621,174,26,144,76,9,5,0,816,5,5,28.0,14.9,52.8,59.4,66.8
Tom Brady,698,QB,16,NE,520,162,25,135,72,7,5,0,882,6,1,31.2,15.4,53.3,59.5,85.5
Matt Cassel,2447,QB,15,KC,496,170,25,133,59,16,5,0,774,7,3,34.3,14.7,44.4,54.6,71.4
Joe Flacco,4332,QB,16,BLT,541,176,40,129,59,20,5,0,691,5,4,32.5,22.7,45.7,57.8,62.5
Kyle Orton,2323,QB,13,DEN,540,169,34,128,63,11,5,0,873,4,6,31.3,20.1,49.2,56.8,62.4
Michael Vick,773,QB,12,PHI,466,194,34,126,54,12,9,0,788,6,5,41.6,17.5,42.9,51.9,63.2
Ryan Fitzpatrick,2467,QB,13,BUF,481,160,24,124,48,4,11,0,601,2,5,33.3,15.0,38.7,45.3,43.1
Mark Sanchez,4928,QB,15,NYJ,542,151,27,120,45,9,5,0,582,5,4,27.9,17.9,37.5,42.5,53.5
Ben Roethlisberger,1732,QB,12,PIT,432,153,32,118,62,10,2,0,949,6,2,35.4,20.9,52.5,59.6,89.3
Chad Henne,4371,QB,15,MIA,539,160,30,118,49,17,4,0,524,4,5,29.7,18.8,41.5,53.8,48.8
David Garrard,1109,QB,14,JAX,419,159,32,115,58,14,5,0,658,6,5,37.9,20.1,50.4,61.1,67.2
Derek Anderson,2430,QB,12,ARZ,354,138,25,111,52,4,4,0,618,1,3,39.0,18.1,46.8,51.5,56.1
Jason Campbell,2242,QB,13,OAK,377,149,33,110,56,8,3,0,785,3,6,39.5,22.1,50.9,57.1,60.6
Alex Smith,2218,QB,11,SF,373,135,25,106,44,18,8,0,649,5,3,36.2,18.5,41.5,57.1,66.1
Aaron Rodgers,2241,QB,15,GB,543,152,30,106,52,15,2,0,682,4,6,28.0,19.7,49.1,58.4,58.8
Brett Favre,14,QB,13,MIN,382,128,22,106,50,4,5,0,626,4,9,33.5,17.2,47.2,52.1,43.2
Shaun Hill,1255,QB,11,DET,447,129,16,105,50,13,5,0,477,1,3,28.9,12.4,47.6,58.8,52.0
Matt Hasselbeck,408,QB,14,SEA,480,128,29,98,53,9,3,0,636,2,4,26.7,22.7,54.1,62.4,64.0
Kerry Collins,115,QB,10,TEN,291,98,13,85,39,8,3,0,479,2,2,33.7,13.3,45.9,54.2,61.8
Jimmy Clausen,5573,QB,13,CAR,345,119,33,82,32,16,3,0,329,1,1,34.5,27.7,39.0,54.2,50.3
Jon Kitna,217,QB,10,DAL,353,88,21,61,36,3,2,0,342,2,1,24.9,23.9,59.0,65.5,78.7
Tony Romo,1693,QB,6,DAL,220,64,7,57,31,3,3,0,394,2,1,29.1,10.9,54.4,62.0,80.6
Troy Smith,3790,QB,6,SF,175,75,17,51,20,2,3,0,439,2,2,42.9,22.7,39.2,44.4,67.4
Bruce Gradkowski,3139,QB,6,OAK,172,61,10,49,19,6,4,0,232,3,1,35.5,16.4,38.8,50.0,66.0
Kevin Kolb,3652,QB,6,PHI,210,69,16,49,29,4,0,0,270,5,2,32.9,23.2,59.2,64.4,91.4
Colt McCoy,5609,QB,8,CLV,256,77,23,49,20,9,0,0,256,3,3,30.1,29.9,40.8,52.6,52.8
Rex Grossman,1338,QB,4,WAS,144,53,9,43,20,9,2,0,228,2,1,36.8,17.0,46.5,69.0,68.8
Vince Young,2948,QB,9,TEN,178,58,13,41,21,2,2,0,372,4,0,32.6,22.4,51.2,56.8,115.1
Jake Delhomme,303,QB,5,CLV,156,45,6,39,15,5,2,0,127,2,5,28.8,13.3,38.5,46.9,25.2
Matt Moore,4018,QB,6,CAR,160,55,13,38,17,4,2,0,163,0,4,34.4,23.6,44.7,54.8,17.7
Drew Stanton,3659,QB,6,DET,132,43,6,34,13,1,3,0,108,0,2,32.6,14.0,38.2,43.3,22.7
John Skelton,5678,QB,5,ARZ,142,45,9,30,8,5,0,0,136,0,0,31.7,20.0,26.7,32.0,46.0
Tim Tebow,5550,QB,4,DEN,99,41,6,29,13,4,2,0,220,0,1,41.4,14.6,44.8,56.5,56.7
Seneca Wallace,1422,QB,6,CLV,109,35,6,27,16,3,1,0,157,0,1,32.1,17.1,59.3,69.6,60.3
Charlie Whitehurst,3026,QB,5,SEA,111,33,5,26,9,5,1,0,77,0,0,29.7,15.2,34.6,45.0,43.4
