player,player_id,position,player_game_count,team_name,targets,deep_targets,deep_receptions,deep_drops,deep_yards,deep_catchable,deep_touchdowns,target_rate,drop_rate,catch_rate
Mickey Shuler,5737,TE,6,MIA,5,0,0,0,0,0,0,0.0,,
Kyle Williams,5729,WR,2,SF,1,0,0,0,0,0,0,0.0,,
Nate Byham,5705,TE,11,SF,6,0,0,0,0,0,0,0.0,,
Deji Karim,5703,HB,5,JAX,7,0,0,0,0,0,0,0.0,,
Carlton Mitchell,5700,WR,2,CLV,1,0,0,0,0,0,0,0.0,,
Taylor Price,5614,WR,1,NE,4,0,0,0,0,0,0,0.0,,
Brody Eldridge,5685,TE,13,IND,9,0,0,0,0,0,0,0.0,,
David Reed,5679,WR,3,BLT,1,0,0,0,0,0,0,0.0,,
John Conner,5662,FB,8,NYJ,4,0,0,0,0,0,0,0.0,,
Javarris James,5962,HB,8,IND,11,0,0,0,0,0,0,0.0,,
Desmond Clark,529,TE,2,CHI,2,0,0,0,0,0,0,0.0,,
Dimitri Nance,5783,HB,6,GB,4,0,0,0,0,0,0,0.0,,
Thomas Jones,585,HB,16,KC,17,0,0,0,0,0,0,0.0,,
Sammy Morris,678,FB,15,NE,12,0,0,0,0,0,0,0.0,,
Erik Lorig,5775,FB,6,TB,2,0,0,0,0,0,0,0.0,,
Jim Dray,5756,TE,14,ARZ,9,0,0,0,0,0,0,0.0,,
Terrence Austin,5742,WR,5,WAS,5,0,0,0,0,0,0,0.0,,
Heath Evans,843,FB,16,NO,8,0,0,0,0,0,0,0.0,,
Correll Buckhalter,869,HB,15,DEN,38,0,0,0,0,0,0,0.0,,
Dominic Rhodes,979,HB,3,IND,3,0,0,0,0,0,0,0.0,,
James Starks,5716,HB,2,GB,3,0,0,0,0,0,0,0.0,,
Anthony Dixon,5696,HB,8,SF,5,0,0,0,0,0,0,0.0,,
Fendi Onobun,5693,TE,3,STR,4,0,0,0,0,0,0,0.0,,
Joe McKnight,5636,HB,2,NYJ,4,0,0,0,0,0,0,0.0,,
Armanti Edwards,5613,WR,2,CAR,2,0,0,0,0,0,0,0.0,,
Colt McCoy,5609,QB,1,CLV,1,0,0,0,0,0,0,0.0,,
Ryan Mathews,5537,HB,11,SD,26,0,0,0,0,0,0,0.0,,
Justin Peelle,1104,TE,12,ATL,15,0,0,0,0,0,0,0.0,,
John Gilmore,1176,TE,16,TB,16,0,0,0,0,0,0,0.0,,
Chester Taylor,1182,HB,16,CHI,24,0,0,0,0,0,0,0.0,,
Willis McGahee,1339,HB,13,BLT,16,0,0,0,0,0,0,0.0,,
