player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
Andre Caldwell,4411,WR,6,CIN,86,15,17.4,48,55.8,6,12.5,6,0,35,0.73,0,0.0,100.0
Ronnie Brown,2219,HB,16,MIA,232,39,16.8,21,9.1,1,4.8,1,0,4,0.19,0,0.0,100.0
Robert Ferguson,811,WR,4,MIN,14,4,28.6,4,28.6,1,25.0,1,0,7,1.75,0,0.0,100.0
Billy Bajema,2466,TE,11,SF,30,4,13.3,3,10.0,1,33.3,1,0,5,1.67,0,0.0,100.0
Sam Aiken,1439,WR,12,NE,85,11,12.9,15,17.6,1,6.7,1,0,7,0.47,0,0.0,100.0
Justin Peelle,1104,TE,16,ATL,199,21,10.6,48,24.1,2,4.2,2,0,22,0.46,0,0.0,100.0
Ovie Mughelli,1445,FB,16,ATL,76,8,10.5,3,3.9,1,33.3,1,0,18,6.00,0,0.0,100.0
Laurent Robinson,3691,WR,6,ATL,47,6,12.8,6,12.8,3,50.0,3,0,36,6.00,0,0.0,100.0
Marvin Harrison,162,WR,15,IND,555,100,18.0,31,5.6,3,9.7,3,0,24,0.77,0,0.0,100.0
Joseph Addai,2975,HB,12,IND,191,35,18.3,3,1.6,2,66.7,2,0,12,4.00,0,0.0,100.0
Marques Hagans,3089,QB,2,KC,3,1,33.3,3,100.0,1,33.3,1,0,7,2.33,0,0.0,100.0
Jacob Tamme,4441,TE,2,IND,31,4,12.9,14,45.2,2,14.3,2,0,6,0.43,0,0.0,100.0
Tom Santi,4510,TE,4,IND,32,13,40.6,3,9.4,2,66.7,2,0,7,2.33,0,0.0,100.0
Naufahu Tahi,3526,FB,16,MIN,100,20,20.0,3,3.0,1,33.3,1,0,7,2.33,0,0.0,100.0
Daniel Wilcox,1002,TE,12,BLT,31,5,16.1,2,6.5,1,50.0,1,0,5,2.50,0,0.0,100.0
Rashard Mendenhall,4337,HB,2,PIT,8,3,37.5,1,12.5,1,100.0,1,0,6,6.00,0,0.0,100.0
Le'Ron McClain,3753,HB,16,BLT,153,27,17.6,6,3.9,1,16.7,1,0,3,0.50,0,0.0,100.0
Matt Spaeth,3693,TE,16,PIT,163,26,16.0,25,15.3,2,8.0,2,0,14,0.56,0,0.0,100.0
George Wrighster,1417,TE,5,JAX,19,3,15.8,5,26.3,2,40.0,2,0,35,7.00,0,0.0,100.0
Daniel Graham,1028,TE,16,DEN,437,47,10.8,67,15.3,4,6.0,4,0,53,0.79,3,0.0,100.0
Chad Jackson,2981,WR,4,DEN,18,1,5.6,7,38.9,1,14.3,1,0,19,2.71,0,0.0,100.0
Tory Humphrey,2644,TE,15,GB,128,14,10.9,39,30.5,2,5.1,2,0,45,1.15,0,0.0,100.0
Sammy Morris,678,HB,12,NE,119,23,19.3,6,5.0,2,33.3,2,0,37,6.17,0,0.0,100.0
Kevin Faulk,470,HB,15,NE,313,71,22.7,20,6.4,3,15.0,3,0,24,1.20,0,0.0,100.0
Dominique Zeigler,4111,WR,6,SF,39,8,20.5,7,17.9,1,14.3,1,0,22,3.14,0,0.0,100.0
Brian Westbrook,1094,HB,14,PHI,379,65,17.2,18,4.7,1,5.6,1,0,-3,-0.17,0,0.0,100.0
Brian Clark,3271,WR,3,TB,14,2,14.3,8,57.1,1,12.5,1,0,12,1.50,0,0.0,100.0
James Jones,3694,WR,10,GB,137,29,21.2,25,18.2,2,8.0,2,0,27,1.08,1,0.0,100.0
Frank Gore,2282,HB,14,SF,326,56,17.2,15,4.6,1,6.7,1,0,8,0.53,0,0.0,100.0
Tony Curtis,2552,TE,14,DAL,87,10,11.5,8,9.2,2,25.0,2,0,12,1.50,0,0.0,100.0
John Gilmore,1176,TE,16,TB,137,20,14.6,14,10.2,2,14.3,2,0,20,1.43,0,0.0,100.0
Felix Jones,4336,HB,6,DAL,24,2,8.3,4,16.7,1,25.0,1,0,7,1.75,0,0.0,100.0
Martellus Bennett,4375,TE,16,DAL,158,25,15.8,21,13.3,2,9.5,2,0,19,0.90,0,0.0,100.0
Warrick Dunn,236,HB,15,TB,300,61,20.3,10,3.3,1,10.0,1,0,3,0.30,0,0.0,100.0
LaDainian Tomlinson,777,HB,16,SD,335,69,20.6,3,0.9,1,33.3,1,0,6,2.00,0,0.0,100.0
Pierre Thomas,4080,HB,13,NO,171,37,21.6,4,2.3,1,25.0,1,0,18,4.50,0,0.0,100.0
Robert Meachem,3643,WR,14,NO,166,20,12.0,40,24.1,3,7.5,3,0,100,2.50,2,0.0,100.0
Ricky Williams,440,HB,16,MIA,167,37,22.2,12,7.2,2,16.7,2,0,26,2.17,0,0.0,100.0
Devin Thomas,4348,WR,16,WAS,188,24,12.8,16,8.5,1,6.3,1,0,16,1.00,0,0.0,100.0
Ladell Betts,1063,HB,13,WAS,138,29,21.0,6,4.3,1,16.7,1,0,5,0.83,0,0.0,100.0
Sean Ryan,1865,FB,1,NO,10,2,20.0,2,20.0,2,100.0,2,0,7,3.50,0,0.0,100.0
Legedu Naanee,3788,WR,11,SD,63,10,15.9,42,66.7,4,9.5,4,0,31,0.74,0,0.0,100.0
Aaron Stecker,572,HB,6,NO,46,10,21.7,2,4.3,1,50.0,1,0,0,0.00,0,0.0,100.0
Mark Campbell,545,TE,8,NO,90,16,17.8,7,7.8,2,28.6,2,0,41,5.86,0,0.0,100.0
Clinton Portis,1058,HB,16,WAS,250,35,14.0,10,4.0,1,10.0,1,0,9,0.90,0,0.0,100.0
Todd Yoder,772,TE,11,WAS,44,9,20.5,9,20.5,2,22.2,2,0,12,1.33,0,0.0,100.0
Matt Forte,4358,HB,16,CHI,329,73,22.2,5,1.5,1,20.0,1,0,9,1.80,1,0.0,100.0
Michael Sellers,432,FB,16,WAS,112,14,12.5,5,4.5,1,20.0,1,0,6,1.20,0,0.0,100.0
Sinorice Moss,2989,WR,9,NYG,51,14,27.5,13,25.5,3,23.1,3,0,37,2.85,1,0.0,100.0
Jerome Harrison,3090,HB,14,CLV,55,18,32.7,6,10.9,1,16.7,1,0,18,3.00,0,0.0,100.0
Drew Bennett,941,WR,1,STR,3,1,33.3,2,66.7,1,50.0,1,0,4,2.00,0,0.0,100.0
Daniel Fells,3309,TE,10,STR,43,11,25.6,14,32.6,1,7.1,1,0,6,0.43,0,0.0,100.0
Mike Cox,4716,FB,16,KC,137,11,8.0,17,12.4,2,11.8,2,0,6,0.35,0,0.0,100.0
Charles Ali,4187,FB,9,CLV,37,6,16.2,4,10.8,1,25.0,1,0,12,3.00,0,0.0,100.0
Jerame Tuman,513,TE,3,ARZ,22,2,9.1,5,22.7,1,20.0,1,0,13,2.60,0,0.0,100.0
J.J. Arrington,2261,HB,11,ARZ,157,36,22.9,23,14.6,3,13.0,3,0,23,1.00,0,0.0,100.0
Leonard Pope,3017,TE,12,ARZ,106,11,10.4,29,27.4,2,6.9,2,0,23,0.79,0,0.0,100.0
Brad Cottam,4390,TE,15,KC,116,9,7.8,38,32.8,2,5.3,2,0,27,0.71,0,0.0,100.0
Javon Walker,1027,WR,8,OAK,176,29,16.5,11,6.3,1,9.1,1,0,5,0.45,0,0.0,100.0
Tony Stewart,887,TE,16,OAK,90,14,15.6,12,13.3,4,33.3,4,0,25,2.08,0,0.0,100.0
Koren Robinson,2864,WR,12,SEA,359,56,15.6,83,23.1,14,16.9,13,1,128,1.54,1,7.1,92.9
Mewelde Moore,1840,HB,16,PIT,274,47,17.2,46,16.8,11,23.9,10,0,65,1.41,0,0.0,90.9
Justin McCareins,872,WR,14,TEN,324,63,19.4,65,20.1,9,13.8,8,1,70,1.08,0,11.1,88.9
Antonio Chatman,946,WR,10,CIN,171,30,17.5,60,35.1,9,15.0,8,0,66,1.10,0,0.0,88.9
Bernard Berrian,1799,WR,16,MIN,484,92,19.0,58,12.0,8,13.8,7,0,154,2.66,2,0.0,87.5
Jordy Nelson,4350,WR,16,GB,333,53,15.9,52,15.6,8,15.4,7,0,69,1.33,0,0.0,87.5
Leon Washington,3062,HB,16,NYJ,241,59,24.5,45,18.7,8,17.8,7,0,93,2.07,0,0.0,87.5
Ike Hilliard,233,WR,16,TB,329,55,16.7,271,82.4,47,17.3,41,1,375,1.38,3,2.4,87.2
Brian Finneran,423,WR,16,ATL,145,35,24.1,38,26.2,7,18.4,6,1,51,1.34,0,14.3,85.7
Heath Miller,2247,TE,14,PIT,367,64,17.4,130,35.4,21,16.2,18,1,220,1.69,2,5.3,85.7
Jason Witten,1384,TE,16,DAL,469,119,25.4,110,23.5,20,18.2,17,0,243,2.21,2,0.0,85.0
Bo Scaife,2396,TE,16,TEN,350,76,21.7,134,38.3,20,14.9,17,2,146,1.09,2,10.5,85.0
Donald Lee,1465,TE,16,GB,370,49,13.2,110,29.7,13,11.8,11,0,85,0.77,0,0.0,84.6
Chris Baker,1091,TE,15,NYJ,207,29,14.0,56,27.1,12,21.4,10,0,82,1.46,0,0.0,83.3
Reggie Williams,1730,WR,15,JAX,366,58,15.8,63,17.2,16,25.4,13,2,118,1.87,1,13.3,81.3
Steve Breaston,3758,WR,16,ARZ,576,106,18.4,125,21.7,26,20.8,21,1,207,1.66,0,4.5,80.8
Steve Johnson,4538,WR,10,BUF,91,13,14.3,35,38.5,5,14.3,4,1,45,1.29,0,20.0,80.0
Brent Celek,3778,TE,16,PHI,204,35,17.2,35,17.2,5,14.3,4,1,31,0.89,0,20.0,80.0
Marshawn Lynch,3628,HB,15,BUF,303,63,20.8,14,4.6,5,35.7,4,1,49,3.50,1,20.0,80.0
Ruvell Martin,2111,WR,13,GB,145,25,17.2,31,21.4,5,16.1,4,0,32,1.03,0,0.0,80.0
Chansi Stuckey,3851,WR,15,NYJ,307,43,14.0,265,86.3,38,14.3,30,0,344,1.30,3,0.0,78.9
Early Doucet,4395,WR,6,ARZ,59,17,28.8,54,91.5,14,25.9,11,1,67,1.24,0,8.3,78.6
Wes Welker,2204,WR,16,NE,550,140,25.5,458,83.3,120,26.2,94,7,971,2.12,3,6.9,78.3
Patrick Cobbs,3272,HB,15,MIA,89,25,28.1,17,19.1,9,52.9,7,0,125,7.35,1,0.0,77.8
DeSean Jackson,4363,WR,16,PHI,504,115,22.8,99,19.6,22,22.2,17,2,333,3.36,1,10.5,77.3
Josh Reed,1043,WR,13,BUF,386,72,18.7,211,54.7,39,18.5,30,1,311,1.47,0,3.2,76.9
Anthony Gonzalez,3648,WR,16,IND,427,78,18.3,219,51.3,34,15.5,26,1,284,1.30,4,3.7,76.5
Kevin Walter,1549,WR,16,HST,512,84,16.4,201,39.3,34,16.9,26,2,329,1.64,5,7.1,76.5
Greg Camarillo,2523,WR,11,MIA,329,77,23.4,163,49.5,33,20.2,25,1,308,1.89,1,3.8,75.8
Vernon Davis,2951,TE,16,SF,289,47,16.3,29,10.0,4,13.8,3,0,37,1.28,1,0.0,75.0
Davone Bess,4694,WR,16,MIA,281,75,26.7,129,45.9,36,27.9,27,2,291,2.26,1,6.9,75.0
Reggie Bush,2947,HB,10,NO,251,69,27.5,46,18.3,12,26.1,9,0,99,2.15,0,0.0,75.0
David Martin,916,TE,16,MIA,226,42,18.6,71,31.4,8,11.3,6,0,146,2.06,1,0.0,75.0
Justin Gage,1452,WR,12,TEN,339,70,20.6,27,8.0,4,14.8,3,0,64,2.37,1,0.0,75.0
Greg Jennings,2997,WR,16,GB,563,132,23.4,164,29.1,36,22.0,27,2,432,2.63,2,6.9,75.0
Antonio Gates,1609,TE,16,SD,466,84,18.0,236,50.6,39,16.5,29,1,362,1.53,3,3.3,74.4
Eddie Royal,4356,WR,15,DEN,561,127,22.6,119,21.2,31,26.1,23,2,265,2.23,3,8.0,74.2
Dustin Keller,4344,TE,16,NYJ,337,74,22.0,140,41.5,27,19.3,20,2,256,1.83,2,9.1,74.1
Vincent Jackson,2278,WR,16,SD,503,96,19.1,154,30.6,27,17.5,20,0,393,2.55,5,0.0,74.1
T.J. Houshmandzadeh,921,WR,15,CIN,555,129,23.2,415,74.8,88,21.2,65,6,657,1.58,3,8.5,73.9
Steve Smith,3667,WR,16,NYG,333,80,24.0,153,45.9,46,30.1,34,4,348,2.27,1,10.5,73.9
Greg Olsen,3647,TE,16,CHI,417,76,18.2,153,36.7,26,17.0,19,1,201,1.31,2,5.0,73.1
Jason Hill,3692,WR,12,SF,231,42,18.2,191,82.7,37,19.4,27,1,287,1.50,3,3.6,73.0
L.J. Smith,1376,TE,13,PHI,310,61,19.7,49,15.8,11,22.4,8,1,72,1.47,0,11.1,72.7
Owen Daniels,3043,TE,16,HST,517,87,16.8,69,13.3,11,15.9,8,0,99,1.43,0,0.0,72.7
Larry Fitzgerald,1724,WR,16,ARZ,655,146,22.3,129,19.7,25,19.4,18,2,241,1.87,2,10.0,72.0
Brandon Jones,2313,WR,16,TEN,333,60,18.0,175,52.6,32,18.3,23,0,246,1.41,0,0.0,71.9
Lance Moore,2718,WR,16,NO,485,113,23.3,210,43.3,53,25.2,38,2,413,1.97,3,5.0,71.7
Tim Hightower,4463,HB,16,ARZ,239,43,18.0,23,9.6,7,30.4,5,2,36,1.57,0,28.6,71.4
Fred Jackson,3368,HB,16,BUF,159,43,27.0,20,12.6,7,35.0,5,0,67,3.35,0,0.0,71.4
