"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Jahmyr Gibbs","DET","rb","6","17","344.9","61","0","0","0","0","0","0","284.9573","1297.8581","12.2867","88.6998","72.5339","514.9612","3.0304","4.6358","2.127","0.6335","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Bijan Robinson","ATL","rb","11","17","338","59","0","0","0","0","0","0","259.168","1175.9216","8.5447","107.8392","86.8226","633.1222","3.3248","4.441","2.0585","0.572","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Christian McCaffrey","SF","rb","8","17","326","56","0","0","0","0","0","0","257.8076","1093.2664","8.4442","95.1083","78.7545","622.8245","4.2937","4.3357","2.0024","0.5911","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Jonathan Taylor","IND","rb","13","17","320.8","55","0","0","0","0","0","0","322.0133","1457.1845","13.9397","60.7435","49.9771","339.8035","1.4337","4.8938","2.2132","0.5498","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","De'Von Achane","MIA","rb","6","17","290.8","47","0","0","0","0","0","0","248.1695","1196.7546","8.8665","74.0536","60.2143","433.3469","2.5548","4.0055","1.8348","0.4562","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","James Cook","BUF","rb","7","17","288.1","46","0","0","0","0","0","0","303.4306","1384.1817","11.9347","49.0933","39.6642","291.6558","1.6934","4.5313","2.0413","0.5491","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Ashton Jeanty","LV","rb","13","17","277.4","43","0","0","0","0","0","0","293.667","1224.4937","7.2195","70.3963","58.6002","399.3103","2.3672","4.6034","2.0959","0.4902","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Puka Nacua","LA","wr","11","17","324.7","43","0","0","0","0","0","0","11.9616","72.7965","0.625","173.296","125.398","1423.3028","7.6165","1.5135","0.8172","0.5106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Ja'Marr Chase","CIN","wr","6","17","324","43","0","0","0","0","0","0","2.1691","12.9692","0.0652","174.2952","123.0754","1414.6391","9.5997","1.3561","0.7451","0.4707","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Chase Brown","CIN","rb","6","17","274.2","43","0","0","0","0","0","0","237.1533","1037.6258","6.9658","79.1082","64.394","452.8802","3.2636","3.9015","1.7941","0.5752","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Jaxon Smith-Njigba","SEA","wr","11","17","317.9","42","0","0","0","0","0","0","3.5259","21.0964","0.1015","172.4804","122.7319","1400.3131","8.689","1.3707","0.7511","0.4962","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Kenneth Walker III","KC","rb","5","17","263.8","40","0","0","0","0","0","0","263.4475","1146.2556","8.4737","63.3592","53.2002","372.6832","1.4437","4.1365","1.884","0.5229","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
