player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Jake Long,4315,T,MIA,16,99.5,1,17,86.1,86.7,78.4,4,6,579,99.0,99.0,98.4,5,14,4,1118,0,0,1105,1124,607,613,0,0,511,19
Logan Mankins,2249,G,NE,16,100.0,0,19,89.0,79.3,90.4,3,13,615,100.0,100.0,98.4,7,18,2,1117,0,1117,0,1117,653,653,0,0,464,0
Vernon Carey,1740,T,MIA,16,99.9,0,17,81.2,70.8,86.1,5,20,566,99.8,99.8,97.1,6,29,4,1094,0,0,7,1095,594,595,0,1085,500,3
Josh Sitton,4449,G,GB,16,100.0,0,12,85.0,79.8,82.5,3,13,635,100.0,100.0,98.1,4,20,4,1092,0,0,0,1092,679,679,1092,0,413,0
Justin Blalock,3655,G,ATL,16,100.0,0,2,67.9,73.0,65.7,13,12,603,100.0,100.0,97.6,4,27,2,1092,0,1092,0,1092,646,646,0,0,446,0
Tyson Clabo,2011,T,ATL,16,100.0,0,2,77.6,75.8,73.7,5,22,603,100.0,100.0,96.9,5,32,5,1092,0,0,9,1092,646,646,0,1075,446,8
John Sullivan,4501,C,MIN,16,100.0,1,18,62.2,80.2,56.2,4,7,588,100.0,100.0,98.4,3,15,4,1090,1090,0,0,1090,627,627,0,0,463,0
Max Unger,4972,G,SEA,16,100.0,1,29,71.5,81.3,63.6,4,13,672,100.0,100.0,98.4,6,19,2,1079,210,0,0,1079,696,696,869,0,383,0
Ray Willis,2322,T,SEA,16,100.0,0,29,74.2,72.6,75.1,8,24,672,100.0,100.0,96.7,7,38,6,1079,0,0,0,1079,696,696,0,1079,383,0
Dan Koppen,1471,C,NE,16,100.0,0,19,77.0,77.6,77.0,8,9,595,100.0,100.0,98.6,5,17,0,1076,1076,0,0,1076,630,630,0,0,446,0
Casey Wiegmann,227,C,DEN,16,100.0,0,10,65.9,78.0,62.7,1,14,602,100.0,100.0,98.6,6,16,1,1071,1071,0,0,1071,631,631,0,0,440,0
Dominic Raiola,820,C,DET,16,100.0,0,11,78.3,82.7,77.3,6,9,652,100.0,100.0,98.5,5,17,2,1071,1071,0,0,1071,689,689,0,0,382,0
