player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Wes Welker,2204,WR,NE,14,5.8,13,80.4,,0,0,0,4.7,6,71,19,0,83.5,85.3,90.6,,90.6,0.0,0,1,58,0.0,0,473,0,123,94.9,449,71.9,340,109.4,153,4,27.5,130,1348,739,6.0,11.0,3.0
Roddy White,2244,WR,ATL,16,11.5,5,55.6,,0,0,1,6.6,6,54,2,1,70.5,62.9,75.1,,75.4,0.0,0,7,90,0.0,0,626,7,85,94.4,591,26.0,163,84.7,153,11,73.2,458,1153,398,4.7,13.6,1.95
Andre Johnson,1319,WR,HST,16,11.8,7,66.4,,0,0,0,8.2,9,69,13,1,67.1,58.5,87.9,69.9,85.8,0.5,3,6,72,0.3,2,636,0,101,97.5,620,15.4,98,103.8,152,9,84.0,534,1569,564,5.6,15.5,2.53
Steve Smith,3667,WR,NYG,16,11.7,3,70.9,,0,0,0,5.3,6,61,21,0,88.1,84.0,82.2,,81.7,0.0,0,4,51,0.0,0,564,5,107,94.7,534,72.9,411,99.2,151,7,27.1,153,1220,249,2.3,11.4,2.28
Brandon Marshall,3064,WR,DEN,15,9.8,13,67.8,,0,0,0,7.3,8,56,10,0,62.8,84.4,80.9,,81.7,0.8,4,4,75,0.0,0,501,4,101,96.2,482,26.3,132,101.1,149,10,72.7,364,1120,511,5.1,11.1,2.32
Larry Fitzgerald,1724,WR,ARZ,16,11.7,10,66.0,,0,0,0,3.0,3,69,1,0,90.0,83.5,84.7,67.4,82.9,0.5,3,6,34,0.2,1,652,2,97,94.9,619,24.4,159,100.5,147,13,75.2,490,1092,312,3.2,11.3,1.76
Reggie Wayne,800,WR,IND,16,11.3,7,68.5,,0,0,1,2.9,3,73,14,0,90.6,83.5,87.6,,87.1,0.0,0,10,65,0.0,0,594,4,100,95.5,567,14.0,83,89.5,146,10,86.0,511,1264,441,4.4,12.6,2.23
Randy Moss,342,WR,NE,16,15.4,3,61.0,,0,0,0,8.8,8,63,19,2,59.3,28.8,76.9,,75.1,0.0,0,8,71,0.0,0,614,3,83,94.1,578,20.8,128,99.0,136,13,79.2,486,1264,347,4.2,15.2,2.19
Calvin Johnson,3618,WR,DET,14,15.3,8,50.8,,0,0,1,6.9,5,48,11,3,68.4,23.8,73.8,,72.9,0.0,0,12,75,0.0,0,548,4,67,96.2,527,19.9,109,50.3,132,5,80.1,439,986,357,5.3,14.7,1.87
T.J. Houshmandzadeh,921,WR,SEA,16,10.4,8,61.2,,0,0,1,6.0,5,52,29,2,78.5,30.7,66.0,66.4,65.6,0.2,1,5,53,0.2,1,666,4,79,96.7,644,60.8,405,74.1,129,3,39.0,260,911,278,3.5,11.5,1.41
Dallas Clark,1340,TE,IND,16,7.7,9,77.5,,0,0,0,7.4,8,59,14,1,66.4,58.7,85.4,70.3,87.0,69.0,423,2,80,14.5,89,613,1,100,81.9,502,21.5,132,121.8,129,10,3.9,24,1106,503,5.0,11.1,2.2
Hines Ward,380,WR,PIT,16,9.6,11,73.6,,0,0,0,6.9,7,57,25,2,68.7,29.9,77.3,70.6,74.2,0.2,1,5,54,0.7,4,606,5,95,93.6,567,78.1,473,100.5,129,6,21.8,132,1167,433,4.6,12.3,2.06
Derrick Mason,271,WR,BLT,16,14.6,8,57.0,,0,0,0,7.6,6,55,3,0,60.5,81.8,76.9,,77.2,0.0,0,2,72,0.0,0,559,3,73,94.5,528,15.6,87,94.8,128,7,84.4,472,1028,272,3.7,14.1,1.95
Santonio Holmes,2970,WR,PIT,16,11.4,12,62.2,,0,0,0,9.2,8,63,25,0,58.3,82.7,81.7,,80.1,0.0,0,4,57,0.0,0,627,1,79,93.8,588,11.8,74,94.9,127,5,88.2,553,1248,518,6.6,15.8,2.12
Tony Gonzalez,237,TE,ATL,16,8.6,5,66.4,,0,0,0,3.5,3,54,2,0,85.3,82.3,81.3,73.6,79.9,46.8,274,3,27,6.0,35,586,5,83,88.7,520,46.1,270,92.2,125,6,6.5,38,862,246,3.0,10.4,1.66
Chad Johnson,806,WR,CIN,16,13.2,8,58.1,,0,0,0,7.7,6,55,7,2,66.6,24.1,84.5,,85.0,0.0,0,4,50,0.0,0,535,9,72,94.4,505,9.2,49,96.4,124,9,90.8,486,1047,263,3.7,14.5,2.07
Steve Smith,837,WR,CAR,15,12.8,11,52.8,,0,0,0,4.4,3,41,5,1,80.5,49.7,78.3,,78.4,0.0,0,11,66,0.0,0,490,4,65,95.7,469,35.1,172,60.1,123,7,64.7,317,953,328,5.0,14.7,2.03
Jason Witten,1384,TE,DAL,16,7.3,7,77.7,,0,0,1,6.0,6,48,9,0,69.1,83.1,84.6,80.0,76.7,67.4,420,3,69,12.7,79,623,8,94,83.1,518,16.9,105,97.3,121,2,5.5,34,1030,434,4.6,11.0,1.99
Miles Austin,3211,WR,DAL,16,11.1,13,67.5,,0,0,0,3.6,3,59,9,1,84.4,53.5,84.1,,85.4,0.0,0,2,60,0.0,0,508,2,81,95.3,484,23.6,120,127.8,120,11,75.8,385,1320,609,7.5,16.3,2.73
Sidney Rice,3660,WR,MIN,16,13.8,10,69.7,,0,0,0,3.5,3,60,18,1,86.4,62.8,89.0,66.5,87.7,0.9,5,1,63,0.2,1,577,3,83,94.5,545,20.3,117,125.1,119,8,78.9,455,1312,378,4.6,15.8,2.41
Anquan Boldin,1369,WR,ARZ,15,8.6,7,72.0,,0,0,0,3.4,3,51,1,3,85.9,24.9,79.2,,77.2,0.6,3,2,44,0.0,0,535,2,85,96.1,514,66.0,353,105.5,118,5,33.1,177,1029,389,4.6,12.1,2.0
Kellen Winslow,1727,TE,TB,16,10.4,4,65.8,,0,0,0,6.1,5,48,30,0,69.8,82.1,73.1,70.3,75.1,52.7,295,1,42,4.3,24,560,4,77,90.9,509,41.4,232,99.7,117,5,5.5,31,902,268,3.5,11.7,1.77
Vernon Davis,2951,TE,SF,16,10.5,6,67.2,,0,0,0,14.3,13,40,28,0,29.5,81.9,70.0,56.1,70.3,54.1,329,4,73,10.5,64,608,12,78,85.7,521,41.8,254,115.8,116,13,2.8,17,965,334,4.3,12.4,1.85
Santana Moss,786,WR,WAS,16,10.0,9,61.4,,0,0,1,11.4,9,41,32,2,46.9,27.6,61.1,,60.7,0.2,1,6,59,0.0,0,598,4,70,96.3,576,21.9,131,73.3,114,3,77.8,465,909,401,5.7,13.0,1.58
