player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Chris Johnson,4338,HB,TEN,16,358,44,30,50.4,1026,0,2037,6,11,44,1071,40.3,51,83,31,4,0,74.9,73.5,38.7,60.0,56.2,60.1,75.5,61.0,91,2,503,50,369,399,0,0,63,408,14,2037,1071,2.99,5.7,1.36,0
Thomas Jones,585,HB,NYJ,16,331,14,12,27.9,391,0,1402,1,0,14,700,8.7,28,64,22,3,0,79.4,47.0,52.8,,63.7,42.1,50.1,65.4,71,1,58,10,184,373,0,0,16,341,14,1402,700,2.11,4.2,0.32,0
Steven Jackson,1745,HB,SL,15,324,40,14,26.6,378,2,1422,3,8,40,954,37.7,40,61,26,3,0,80.9,62.3,38.3,,67.4,62.6,61.5,60.9,62,3,325,51,355,349,0,0,68,375,4,1422,954,2.94,4.4,0.92,0
Adrian Peterson,3623,HB,MIN,16,314,48,21,39.6,549,0,1388,6,10,48,913,47.2,38,76,18,7,0,33.3,64.5,55.9,,76.0,45.2,66.4,78.0,64,1,436,43,282,341,0,0,55,357,18,1388,913,2.91,4.4,1.55,0
Maurice Jones-Drew,3005,HB,JAX,16,312,45,13,32.7,454,0,1389,1,7,45,928,42.4,25,68,15,3,0,80.5,74.5,60.8,,87.0,81.9,66.3,71.4,80,1,374,53,333,364,0,0,66,365,15,1389,928,2.97,4.5,1.12,0
Cedric Benson,2221,HB,CIN,13,301,22,14,25.6,321,0,1254,3,4,22,774,21.0,30,57,7,2,0,87.7,58.1,50.3,,62.7,45.0,59.9,73.0,42,1,111,17,178,331,0,0,21,318,6,1254,774,2.57,4.2,0.62,0
Ryan Grant,2609,HB,GB,16,282,29,17,32.6,409,0,1253,3,3,29,774,28.6,24,60,12,2,0,86.6,57.1,82.4,,69.1,44.4,59.3,59.4,62,0,197,25,243,305,0,0,30,307,11,1253,774,2.74,4.4,0.81,0
Matt Forte,4358,HB,CHI,16,258,26,6,21.3,198,0,929,3,11,26,545,24.8,16,39,6,6,0,35.4,46.5,84.0,,50.8,57.9,44.6,58.7,61,1,481,57,378,285,0,0,66,315,4,929,545,2.11,3.6,1.27,0
Ray Rice,4369,HB,BLT,16,254,33,21,39.8,533,0,1338,4,25,33,719,49.5,32,54,3,4,0,67.8,72.5,37.6,56.1,85.5,87.7,63.8,67.8,59,2,702,78,385,295,0,0,95,332,7,1338,719,2.83,5.3,1.82,0
Knowshon Moreno,4935,HB,DEN,16,247,23,6,14.3,135,0,947,3,5,23,603,24.9,27,52,10,4,0,51.9,58.0,26.4,,74.6,38.9,61.8,69.8,36,1,217,28,259,264,0,0,38,275,7,947,603,2.44,3.8,0.84,0
Rashard Mendenhall,4337,HB,PIT,15,242,29,13,33.4,370,0,1108,3,4,29,717,36.6,26,48,25,3,0,61.3,64.4,50.0,,53.6,53.6,67.3,57.9,60,1,261,25,198,277,0,0,32,267,7,1108,717,2.96,4.6,1.32,0
Ricky Williams,440,HB,MIA,16,241,14,12,26.7,299,0,1121,6,2,14,647,15.6,27,55,17,5,0,51.2,55.4,83.7,34.5,74.4,42.7,57.6,64.2,68,0,264,35,221,340,0,0,49,276,11,1121,647,2.68,4.7,1.19,0
Fred Jackson,3368,HB,BUF,16,237,37,9,19.2,205,0,1067,3,14,37,708,53.8,24,43,4,2,0,74.4,69.4,56.1,77.9,31.4,81.0,67.2,68.0,43,1,368,46,275,281,0,0,58,283,2,1067,708,2.99,4.5,1.34,0
Frank Gore,2282,HB,SF,14,229,21,13,45.2,506,0,1120,1,3,21,616,23.0,23,46,28,3,0,62.5,61.4,83.2,,65.9,71.1,56.9,57.6,80,0,406,52,318,262,0,0,61,281,10,1120,616,2.69,4.9,1.28,0
Brandon Jacobs,2327,HB,NYG,15,224,20,7,16.3,136,0,832,5,3,20,577,24.5,19,43,21,2,0,71.0,42.8,81.2,,74.1,42.3,43.4,57.9,31,1,184,18,158,238,0,0,30,242,5,832,577,2.58,3.7,1.16,0
LaDainian Tomlinson,777,HB,SD,14,223,8,4,12.8,94,0,733,1,2,8,425,7.8,14,40,27,2,0,70.8,48.6,82.1,68.9,50.4,48.5,50.4,60.6,36,0,154,20,189,245,0,0,24,243,12,733,425,1.91,3.3,0.81,0
Jonathan Stewart,4327,HB,CAR,16,221,44,16,40.4,458,0,1133,2,5,44,740,68.6,31,56,5,4,0,61.0,71.1,80.7,,43.6,58.0,72.4,58.5,67,1,139,18,134,242,0,0,25,239,10,1133,740,3.35,5.1,1.04,0
Joseph Addai,2975,HB,IND,15,219,13,4,8.7,72,0,828,4,10,13,490,19.1,22,44,14,2,0,75.9,60.7,82.8,72.3,80.0,60.6,56.3,70.9,21,0,351,51,332,243,0,0,62,270,10,828,490,2.24,3.8,1.06,0
Kevin Smith,4378,HB,DET,13,217,17,7,18.9,141,0,747,4,3,17,495,17.8,17,36,11,3,0,59.9,56.2,52.1,,77.0,64.3,52.4,60.8,31,1,409,40,280,239,0,0,55,257,4,747,495,2.28,3.4,1.46,0
DeAngelo Williams,2972,HB,CAR,13,216,27,16,39.0,436,0,1117,4,9,27,635,43.2,36,52,5,3,0,58.1,65.6,45.7,,58.0,52.9,68.2,59.6,77,2,252,29,211,229,0,0,40,245,7,1117,635,2.94,5.2,1.19,0
Marion Barber III,2326,HB,DAL,15,214,20,12,28.2,263,0,932,1,0,20,596,23.2,25,58,9,2,0,70.1,53.1,81.8,,61.7,52.7,54.0,53.0,35,0,221,26,204,238,0,0,33,240,7,932,596,2.79,4.4,1.08,0
Cadillac Williams,2222,HB,TB,16,210,17,11,28.3,232,2,821,3,3,17,506,20.2,19,43,30,1,0,81.8,60.0,82.0,,55.8,57.0,60.9,60.5,35,2,221,29,246,226,0,0,39,239,4,821,506,2.41,3.9,0.9,0
Jerome Harrison,3090,HB,CLV,14,194,15,9,25.4,221,0,869,6,2,15,496,19.1,23,38,8,2,0,67.7,47.8,81.8,,61.1,47.3,48.2,67.9,71,0,220,34,204,229,0,0,45,228,5,869,496,2.56,4.5,1.08,0
Laurence Maroney,2966,HB,NE,15,194,22,3,11.1,84,0,757,1,2,22,456,27.1,16,44,19,4,0,39.6,44.2,80.7,,36.4,61.8,45.2,57.9,45,0,99,14,103,229,0,0,15,208,9,757,456,2.35,3.9,0.96,0
Jamaal Charles,4387,HB,KC,15,190,27,11,37.8,423,0,1120,2,3,27,687,47.2,25,55,16,4,0,68.8,80.0,82.9,,66.9,60.6,84.4,60.3,76,0,297,40,293,223,0,0,52,230,7,1120,687,3.62,5.9,1.01,0
Larry Johnson,1343,HB,CIN,14,178,11,5,17.1,100,0,584,1,2,11,436,16.5,18,28,7,2,0,64.2,47.8,80.5,,61.9,55.9,47.7,59.8,27,0,80,15,116,203,0,0,19,193,0,584,436,2.45,3.3,0.69,0
Michael Turner,1873,HB,ATL,11,178,27,13,41.6,364,0,875,1,0,27,594,49.2,23,43,2,4,0,37.2,59.7,79.9,,81.6,52.7,58.7,57.5,58,0,35,5,87,191,0,0,7,183,10,875,594,3.34,4.9,0.4,0
Julius Jones,1764,HB,SEA,14,177,14,7,26.6,179,0,673,2,4,14,444,21.3,14,32,29,0,0,90.6,59.3,81.3,,55.9,58.5,59.8,56.9,62,0,232,35,221,193,0,0,40,212,2,673,444,2.51,3.8,1.05,0
Beanie Wells,4954,HB,ARZ,16,176,24,13,31.5,259,0,821,0,5,24,543,47.6,29,42,1,7,0,28.9,66.7,28.6,,39.1,79.1,64.8,60.2,33,1,143,12,97,190,0,0,15,188,7,821,543,3.09,4.7,1.47,0
Mike Bell,3225,HB,NO,13,172,9,6,21.3,139,0,653,0,0,9,386,11.5,8,33,20,2,0,61.0,44.7,24.2,,42.8,51.7,48.2,59.4,35,1,12,4,66,187,0,0,4,176,5,653,386,2.24,3.8,0.18,0
Ahmad Bradshaw,3866,HB,NYG,15,163,23,13,37.3,290,0,777,5,8,23,480,49.6,22,47,21,4,0,46.7,56.6,16.3,,87.6,41.4,56.7,60.0,38,2,207,21,151,170,0,0,29,184,7,777,480,2.94,4.8,1.37,0
LeSean McCoy,4976,HB,PHI,16,155,12,5,21.0,134,0,637,5,7,12,348,21.9,17,28,24,3,0,63.5,53.4,83.3,,66.2,52.9,51.9,63.7,66,1,308,40,290,198,0,0,49,195,4,637,348,2.25,4.1,1.06,0
Ronnie Brown,2219,HB,MIA,9,147,27,5,22.2,144,0,648,1,1,27,444,52.5,13,32,17,2,0,75.6,60.7,82.8,73.0,71.9,58.8,56.2,72.2,45,0,98,14,114,196,0,0,18,161,8,648,444,3.02,4.4,0.86,0
Pierre Thomas,4080,HB,NO,14,147,18,15,41.1,326,0,793,0,16,18,445,55.3,21,37,20,2,0,62.3,77.5,35.8,,28.5,79.4,77.3,56.5,34,1,302,39,173,171,0,0,42,186,6,793,445,3.03,5.4,1.75,0
Jamal Lewis,583,HB,CLV,9,143,7,3,9.8,49,0,500,2,3,7,335,15.5,13,18,8,1,0,90.1,48.8,79.4,,76.2,45.5,48.9,67.6,18,0,88,8,74,177,0,0,11,151,0,500,335,2.34,3.5,1.19,0
Tim Hightower,4463,HB,ARZ,16,142,16,7,27.6,165,0,597,8,5,16,426,30.7,20,33,1,4,0,50.7,53.0,82.6,,67.7,56.1,49.4,55.5,50,0,428,63,379,166,0,0,75,205,8,597,426,3.0,4.2,1.13,0
Jason Snelling,3860,HB,ATL,14,142,22,8,27.1,166,0,613,1,5,22,458,50.6,16,38,2,2,0,59.7,61.7,46.7,,80.2,59.4,59.5,59.9,31,1,260,30,198,200,0,0,34,172,4,613,458,3.23,4.3,1.31,0
Steve Slaton,4403,HB,HST,11,131,18,4,22.0,99,0,450,1,7,18,278,30.3,13,26,13,7,0,22.9,60.6,82.0,,44.0,78.2,54.8,58.1,32,0,417,44,212,145,0,0,53,175,3,450,278,2.12,3.4,1.97,0
Justin Fargas,1410,HB,OAK,12,129,13,5,22.2,109,0,491,1,1,13,339,25.2,12,22,23,1,0,72.4,57.9,11.1,,59.9,62.4,58.6,59.0,35,2,113,17,100,148,0,0,19,146,3,491,339,2.63,3.8,1.13,0
Clinton Portis,1058,HB,WAS,8,124,6,3,25.3,127,0,502,0,0,6,357,13.0,9,19,32,1,0,71.0,57.9,24.9,56.1,82.4,61.2,57.3,50.8,78,1,57,9,85,138,0,0,9,133,1,502,357,2.88,4.0,0.67,0
Michael Bush,3716,HB,OAK,15,123,13,5,26.7,158,0,591,1,2,13,423,36.8,13,22,23,2,0,54.1,56.6,80.2,49.9,84.0,45.7,56.3,59.3,60,0,105,17,121,136,0,0,18,140,3,591,423,3.44,4.8,0.87,0
Marshawn Lynch,3628,HB,BUF,13,120,22,3,21.6,97,0,450,4,3,22,339,47.7,8,18,4,2,0,54.7,58.5,34.8,,76.4,48.9,58.8,79.0,47,2,195,28,151,146,0,0,34,148,2,450,339,2.83,3.8,1.29,0
