player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Ja'Marr Chase,84270,WR,CIN,16,8.9,23,68.7,54.5,18,33,2,4.6,6,-0.04,73,7,1,83.9,63.4,90.1,,90.1,0.0,0,7,64,0.0,0,669,2,46.0,125,94.5,632,32.6,218,90.3,182,8,66.5,445,1412,648,5.2,11.3,2.23
Trey McBride,75916,TE,ARZ,17,7.0,24,77.3,58.3,21,36,0,0.8,1,0.0,63,1,0,91.3,85.1,81.7,34.4,84.8,28.0,210,0,31,1.6,12,749,5,45.8,126,92.8,695,62.8,470,120.7,163,11,8.9,67,1239,577,4.6,9.8,1.78
Amon-Ra St. Brown,84470,WR,DET,17,8.4,16,72.2,41.7,10,24,0,4.1,5,0.13,71,11,1,86.4,69.9,90.7,79.0,90.6,0.0,0,4,52,0.8,5,594,1,47.5,117,95.3,566,55.7,331,110.6,162,11,43.4,258,1401,591,5.1,12.0,2.48
Puka Nacua,100632,WR,LA,16,9.2,25,80.6,71.1,27,38,0,3.0,4,0.23,80,26,1,90.5,66.0,96.3,77.5,96.2,2.7,13,1,58,1.6,8,490,1,53.8,129,94.3,462,33.7,165,129.6,160,10,62.7,307,1715,678,5.3,13.3,3.71
Jaxon Smith-Njigba,129758,WR,SEA,17,11.7,18,75.8,57.7,15,26,1,2.5,3,0.08,79,29,3,90.6,28.9,92.8,,93.1,0.0,0,5,63,0.0,0,525,4,50.3,119,94.3,495,21.5,113,120.8,157,10,76.8,403,1793,529,4.4,15.1,3.62
Chris Olave,84355,WR,NO,16,12.3,6,66.2,47.1,16,34,3,3.8,4,-0.04,53,20,0,86.4,83.7,78.0,,79.7,0.0,0,4,62,0.0,0,625,7,45.9,100,93.9,587,41.9,262,98.2,151,9,58.1,363,1163,292,2.9,11.6,1.98
Justin Jefferson,61398,WR,MIN,17,10.7,13,60.0,47.8,11,23,0,5.6,5,-0.19,47,18,0,75.6,82.7,80.5,69.0,80.2,0.0,0,10,50,0.2,1,592,1,43.0,84,93.9,556,27.0,160,58.3,140,2,71.6,424,1048,435,5.2,12.5,1.88
Wan'Dale Robinson,101735,WR,NYG,16,9.0,16,70.2,31.8,7,22,1,3.2,3,-0.02,39,21,1,89.1,32.0,70.2,39.6,69.7,0.0,0,2,50,0.2,1,589,4,43.3,92,92.0,542,67.9,400,96.7,131,4,31.1,183,1014,392,4.3,11.0,1.87
George Pickens,99229,WR,DAL,17,12.0,21,71.0,56.4,22,39,1,5.1,5,0.16,73,9,4,79.5,22.6,85.9,,87.2,0.0,0,3,45,0.0,0,661,8,51.1,93,92.1,609,10.3,68,120.1,131,9,89.7,593,1429,478,5.1,15.4,2.35
Emeka Egbuka,145055,WR,TB,17,13.2,7,50.0,29.6,8,27,1,11.3,8,-0.09,34,30,0,49.6,81.3,67.3,65.7,68.5,0.0,0,4,77,0.2,1,583,4,42.8,63,91.9,536,37.0,216,77.4,126,6,62.8,366,938,330,5.2,14.9,1.75
Michael Wilson,84423,WR,ARZ,17,12.2,6,62.9,64.7,22,34,0,4.9,4,-0.04,51,1,0,80.2,82.4,76.4,46.8,76.4,0.1,1,5,50,0.1,1,675,1,44.6,78,93.5,631,30.2,204,90.3,124,7,69.5,469,1006,277,3.6,12.9,1.59
Christian McCaffrey,11763,HB,SF,17,2.7,23,84.3,57.1,8,14,0,4.7,5,0.1,49,28,1,81.2,81.6,78.3,40.6,91.2,1.5,9,3,39,9.2,54,589,0,51.6,102,87.8,517,14.4,85,107.4,121,7,3.2,19,924,708,6.9,9.1,1.79
