"Full Name",Position,"Arm Length","Height (Inches)",Weight,BMI,"Hand Size",Age,"20-Yard Shuttle","Athleticism Score",SPARQ-x,"3-Cone Drill"
"Aaron Green",RB,"30    ",71,"203 lbs",28.3,"8 5/8",25.8,4.04,96.9,112.0,6.81
"Aaron Jones",RB,"32 1/2",69,"208 lbs",30.7,"9 1/2",24.7,4.20,103.1,112.0,6.82
"Aaron Ripkowski",RB,"31 3/4",73,"246 lbs",32.5,"10 3/8",26.6,4.33,-,-,7.59
"Adam Choice",RB,"31 5/8",69,"209 lbs",30.9,"9 7/8",23.7,4.44,-,-,7.27
"Adrian Peterson",RB,"32 1/4",73,"217 lbs",28.6,"9 1/2",34.4,4.40,101.4,123.5,7.09
"Aeris Williams",RB,"32 1/4",72,"215 lbs",29.2,"10    ",24.0,4.62,-,-,7.35
"Ahmad Bradshaw",RB,-,69,"214 lbs",31.6,-,33.4,4.09,102.6,121.3,6.70
"Akeem Hunt",RB,"31 1/8",70,"189 lbs",27.1,"9 5/8",26.5,4.07,97.5,115.8,6.71
"Akeem Judd",RB,"31 1/2",70,"225 lbs",32.3,"9 5/8",26.7,4.35,101.6,110.8,7.47
"Akrum Wadley",RB,"29 1/2",70,"194 lbs",27.8,"8 1/4",24.4,4.39,-,92.1,-
"Alec Ingold",RB,"31 1/2",73,"242 lbs",31.9,"9 5/8",23.1,4.32,97.8,98.0,7.35
"Alex Armah",RB,"32 1/4",74,"255 lbs",32.7,"9 3/4",25.2,4.29,104.8,123.3,7.00
"Alex Barnes",RB,"31    ",72,"226 lbs",30.6,"10    ",22.8,4.10,107.5,153.6,6.95
"Alex Collins",RB,"30 1/4",70,"217 lbs",31.1,"9 1/4",25.0,-,-,-,-
"Alexander Mattison",RB,"31    ",71,"221 lbs",30.8,"9 1/8",21.1,4.29,101.9,113.9,7.13
"Alfonso Smith",RB,-,73,"208 lbs",27.4,-,32.6,4.31,97.0,116.9,7.12
"Alfred Blue",RB,"32 3/8",74,"223 lbs",28.6,"9 7/8",28.3,4.50,94.2,91.2,7.15
"Alfred Morris",RB,"31 3/8",70,"219 lbs",31.4,"10 1/4",30.7,4.19,100.9,107.4,7.01
"Alonzo Harris",RB,"33 1/2",73,"220 lbs",29.0,"10 1/8",26.8,4.51,96.5,95.4,7.18
"Alvester Alexander",RB,-,70,"206 lbs",29.6,-,28.8,4.21,102.2,117.7,6.89
"Alvin Kamara",RB,"32 3/4",70,"214 lbs",30.7,"9 1/4",24.1,4.42,102.7,106.8,7.17
"Ameer Abdullah",RB,"30    ",69,"205 lbs",30.3,"8 5/8",26.2,3.95,106.7,138.7,6.79
"Andre Brown",RB,"32    ",72,"227 lbs",30.8,"9 1/2",32.7,4.28,103.7,128.2,7.08
"Andre Ellington",RB,"31    ",69,"199 lbs",29.4,"9 3/8",30.5,-,99.5,-,-
"Andre Williams",RB,"33 1/2",71,"230 lbs",32.1,"9    ",27.0,4.06,106.6,131.3,7.27
"Andy Janovich",RB,"31 5/8",73,"238 lbs",31.4,"9 3/4",26.2,4.32,101.8,125.6,7.28
"Anthony Dixon",RB,"32 1/2",73,"233 lbs",30.7,"9 3/4",31.9,4.45,98.3,96.9,7.09
"Anthony Sherman",RB,"30    ",70,"242 lbs",34.7,"9 3/8",30.7,4.41,106.7,128.3,7.23
"Anthony Wales",RB,"30 1/8",69,"197 lbs",29.1,"8 1/4",-,4.23,98.0,104.7,6.83
"Antone Smith",RB,-,69,"190 lbs",28.1,-,33.9,4.32,101.1,135.1,6.90
"Antonio Andrews",RB,"31 1/4",70,"225 lbs",32.3,"9 1/2",27.8,4.49,97.2,93.6,7.24
"Arian Foster",RB,-,73,"224 lbs",29.6,-,33.0,4.53,96.6,103.0,7.09
"Austin Ekeler",RB,-,69,"199 lbs",29.4,-,24.2,4.21,-,-,6.85
"Austin Johnson",RB,-,73,"241 lbs",31.8,-,30.2,4.37,98.8,111.6,7.32
"Austin Walter",RB,"29 3/8",67,"194 lbs",30.4,"9 1/4",23.0,4.38,96.4,93.6,7.03
"B.J. Catalon",RB,"30    ",67,"186 lbs",29.1,"9    ",-,4.15,99.4,112.9,6.90
"Ben Malena",RB,"28 3/4",68,"194 lbs",29.5,"9    ",27.2,4.27,97.6,109.4,7.19
"Ben Tate",RB,"31 1/4",71,"220 lbs",30.7,"9    ",31.0,4.12,107.7,143.5,6.91
"BenJarvis Green-Ellis",RB,-,71,"224 lbs",31.2,-,34.1,4.50,100.8,113.1,7.56
"Benny Cunningham",RB,-,70,"212 lbs",30.4,-,29.1,-,-,-,-
"Benny Snell",RB,"31    ",70,"224 lbs",32.1,"9 3/8",21.5,4.33,99.7,96.9,7.07
"Bernard Pierce",RB,"31 1/2",72,"218 lbs",29.6,"9 1/4",29.3,4.28,100.6,113.9,7.07
"Bilal Powell",RB,"30 3/4",70,"204 lbs",29.3,"8 5/8",30.8,-,-,-,-
"Bishop Sankey",RB,"31    ",70,"209 lbs",30.0,"10    ",26.9,4.00,104.9,137.6,6.75
"Blake Sims",RB,"31 1/2",71,"218 lbs",30.4,"9    ",27.6,4.25,-,111.3,7.15
"Bo Scarbrough",RB,"33 1/2",73,"228 lbs",30.1,"10    ",22.9,4.34,-,112.0,-
"Bobby Rainey",RB,"30 1/8",68,"212 lbs",32.2,"8 5/8",31.8,4.13,106.9,126.3,6.61
"Boom Williams",RB,"30    ",67,"190 lbs",29.8,"8 5/8",23.9,4.18,101.3,113.2,6.86
"Boston Scott",RB,"29 7/8",67,"195 lbs",30.5,"9 3/8",24.3,4.15,105.4,125.9,6.67
"Bralon Addison",RB,"29 1/2",69,"197 lbs",29.1,"9 1/8",25.8,4.14,96.3,100.4,6.95
"Branden Oliver",RB,"29 1/4",68,"208 lbs",31.6,"8 7/8",28.3,4.22,103.2,120.8,7.04
"Brandon Bolden",RB,"32 1/4",71,"215 lbs",30.0,"10    ",29.5,4.44,100.7,110.5,6.91
"Brandon Burks",RB,"29 1/4",69,"208 lbs",30.7,"8 1/4",25.8,4.18,103.6,123.7,6.88
"Brandon Radcliff",RB,"29 1/4",69,"206 lbs",30.4,"9 1/4",26.4,4.38,97.9,108.5,7.68
"Brandon Wegher",RB,"29 3/4",70,"213 lbs",30.6,"9 3/8",28.7,4.43,102.2,116.6,7.18
"Brandon Wilds",RB,"32    ",73,"220 lbs",29.0,"10 1/4",26.1,4.33,99.5,117.4,7.08
"Braylon Heard",RB,"30 1/4",70,"198 lbs",28.4,"9    ",27.8,4.40,94.4,97.7,7.19
"Brennan Clay",RB,"30    ",71,"203 lbs",28.3,"8 7/8",27.7,4.21,96.9,111.8,7.06
"Brian Hill",RB,"31 3/8",73,"219 lbs",28.9,"8 7/8",23.8,4.32,97.8,104.8,7.03
"Bronson Hill",RB,"30 1/2",70,"215 lbs",30.8,"9 7/8",26.6,4.30,104.6,128.2,7.33
"Bruce Anderson",RB,"31 1/2",71,"210 lbs",29.3,"9    ",22.1,4.47,96.9,103.6,7.23
"Bryce Brown",RB,-,72,"223 lbs",30.2,-,28.3,4.20,101.3,121.4,7.04
"Bryce Love",RB,"29 3/8",69,"200 lbs",29.5,"9 1/8",22.1,-,-,-,-
"Buddy Howell",RB,"29 1/4",72,"219 lbs",29.7,"9 3/8",23.4,4.51,94.7,95.4,7.55
"Byron Marshall",RB,"30 1/4",69,"201 lbs",29.7,"9 1/2",25.5,4.19,96.2,101.1,6.99
"C.J. Anderson",RB,"30    ",68,"224 lbs",34.1,"9    ",28.5,4.12,104.8,110.5,7.15
"C.J. Ham",RB,"31 1/4",71,"231 lbs",32.2,"9 1/8",26.1,4.35,102.5,113.5,7.40
"C.J. Prosise",RB,"32 1/8",72,"220 lbs",29.8,"8 1/2",25.2,4.48,98.8,103.1,7.32
"C.J. Spiller",RB,"30 3/8",71,"196 lbs",27.3,"10 1/8",32.0,-,99.6,-,-
"Cameron Artis-Payne",RB,"29 5/8",70,"212 lbs",30.4,"8 7/8",29.1,4.25,101.8,117.7,7.13
"Cameron Marshall",RB,-,69,"217 lbs",32.0,-,27.8,4.38,104.2,115.3,7.06
"Carlos Hyde",RB,"32    ",72,"230 lbs",31.2,"9 5/8",28.9,-,100.5,-,-
"Cedric Peerman",RB,"31    ",69,"210 lbs",31.0,"8    ",32.8,4.29,106.8,136.8,6.99
"Chandler Cox",RB,"31    ",73,"236 lbs",31.1,"8 7/8",-,4.32,96.3,98.8,7.31
"Charcandrick West",RB,"29 7/8",70,"204 lbs",29.3,"9 1/8",28.2,4.40,101.4,109.7,7.08
"Charles Sims",RB,"31    ",72,"214 lbs",29.0,"8 1/4",28.9,4.30,100.2,114.3,7.16
"Chase Edmonds",RB,"31 1/8",69,"205 lbs",30.3,"9 1/8",23.3,4.07,101.8,117.1,6.79
"Chris Carson",RB,"33 1/4",72,"218 lbs",29.6,"9 5/8",24.9,4.29,101.1,120.8,7.50
"Chris Ivory",RB,-,72,"222 lbs",30.1,-,31.4,4.60,100.9,111.8,7.20
"Chris Johnson",RB,"30 1/4",71,"191 lbs",26.6,"7 1/4",33.9,-,98.3,-,-
"Chris Ogbonnaya",RB,"31 5/8",72,"225 lbs",30.5,"9 7/8",33.3,4.29,99.8,109.8,6.85
"Chris Polk",RB,"31 1/2",70,"222 lbs",31.9,"9 3/4",29.7,4.21,100.2,106.2,7.13
"Chris Rainey",RB,"30 3/4",68,"175 lbs",26.6,"9 1/2",31.5,3.93,97.2,120.5,6.50
"Chris Thompson",RB,"30 1/4",67,"192 lbs",30.1,"9 1/4",28.8,-,102.0,-,-
"Chris Warren",RB,"32    ",74,"247 lbs",31.7,"10    ",23.2,4.18,103.1,123.9,6.98
"Christian McCaffrey",RB,"30    ",71,"202 lbs",28.2,"9    ",23.2,4.22,97.9,105.1,6.57
