player,actual_salary,is_keeper
"Breece Hall NYJ, RB",$35 ,1
"De'Von Achane Mia, RB",$12 ,1
"Malik Nabers NYG, WR",$55 ,
"Nico Collins Hou, WR",$43 ,
"Deebo Samuel Sr. SF, WR",$39 ,
"Jayden Daniels Wsh, QB",$26 ,
"Jaylen Waddle Mia, WR",$22 ,
"Geno Smith Sea, QB",$7 ,
"David Montgomery Det, RB",$16 ,
"Dalton Kincaid Buf, TE",$16 ,
"Rashee Rice KC, WR",$21 ,
"Xavier Worthy KC, WR",$3 ,
"Younghoe Koo Atl, K",$1 ,
"Jonathon Brooks Car, RB",$3 ,
"Seahawks D/ST Sea, D/ST",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Saquon Barkley Phi, RB",$85 ,
"Chris Olave NO, WR",$66 ,
"Alvin Kamara NO, RB",$37 ,
"Michael Pittman Jr. Ind, WR",$62 ,
"Jared Goff Det, QB",$31 ,
"George Kittle SF, TE",$6 ,
"Bills D/ST Buf, D/ST",$4 ,
"Derek Carr NO, QB",$1 ,
"Darnell Mooney Atl, WR",$1 ,
"Jakobi Meyers LV, WR",$2 ,
"Tyler Lockett Sea, WR",$1 ,
"Tyler Allgeier Atl, RB",$1 ,
"Curtis Samuel Buf, WR",$1 ,
"Tyler Conklin NYJ, TE",$1 ,
"Ka'imi Fairbairn Hou, K",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Justin Jefferson Min, WR",$91 ,
"C.J. Stroud Hou, QB",$58 ,
"Derrick Henry Bal, RB",$86 ,
"Aaron Rodgers NYJ, QB",$16 ,
"Raheem Mostert Mia, RB",$18 ,
"Amari Cooper Cle, WR",$13 ,
"Brandon Aubrey Dal, K",$3 ,
"Christian Kirk Jax, WR",$6 ,
"Courtland Sutton Den, WR",$3 ,
"Jordan Addison Min, WR",$1 ,
"Pat Freiermuth Pit, TE",$1 ,
"Mike Williams NYJ, WR",$1 ,
"Zach Charbonnet Sea, RB",$1 ,
"Adam Thielen Car, WR",$1 ,
"Saints D/ST NO, D/ST",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Garrett Wilson NYJ, WR",$31 ,1
"Kyler Murray Ari, QB",$12 ,1
"Jahmyr Gibbs Det, RB",$79 ,
"Puka Nacua LAR, WR",$60 ,
"Mike Evans TB, WR",$40 ,
"Kirk Cousins Atl, QB",$15 ,
"Kenneth Walker III Sea, RB",$39 ,
"Devin Singletary NYG, RB",$9 ,
"Baker Mayfield TB, QB",$3 ,
"Jameson Williams Det, WR",$6 ,
"49ers D/ST SF, D/ST",$2 ,
"T.J. Hockenson Min, TE",$1 ,
"Joshua Palmer LAC, WR",$1 ,
"Trey Benson Ari, RB",$1 ,
"Greg Zuerlein NYJ, K",$1 ,
,,
PLAYER,OFFER AMOUNT,
"Tyreek Hill Mia, WR",$79 ,1
"D'Andre Swift Chi, RB",$14 ,1
"Travis Etienne Jr. Jax, RB",$72 ,
"Mark Andrews Bal, TE",$26 ,
"Austin Ekeler Wsh, RB",$9 ,
"Tee Higgins Cin, WR",$17 ,
"George Pickens Pit, WR",$12 ,
"Tua Tagovailoa Mia, QB",$36 ,
"Matthew Stafford LAR, QB",$20 ,
