"Christian McCaffrey Car, RB",111.00
"Courtland Sutton Den, WR",34.00
"Mark Andrews Bal, TE",35.00
"A.J. Brown Ten, WR",33.00
"Cam Akers LAR, RB",31.00
"Drew Brees NO, QB",17.00
"Jarvis Landry Cle, WR",8.00
"Josh Allen Buf, QB",17.00
"DK Metcalf Sea, WR",4.00
"James White NE, RB",5.00
"Carlos Hyde Sea, RB",1.00
"Ryan Tannehill Ten, QB",1.00
"Damien Harris NE, RB",1.00
"Seahawks D/ST Sea, D/ST",1.00
"Dan Bailey Min, K",1.00
"Saquon Barkley NYG, RB",108.00
"Michael Thomas NO, WR",92.00
"Leonard Fournette Jax, RB",33.00
"Russell Wilson Sea, QB",30.00
"Jamison Crowder NYJ, WR",5.00
"Christian Kirk Ari, WR",6.00
"Jared Goff LAR, QB",10.00
"Diontae Johnson Pit, WR",2.00
"Marvin Jones Jr. Det, WR",2.00
"Mike Gesicki Mia, TE",3.00
"Colts D/ST Ind, D/ST",3.00
"Robbie Gould SF, K",2.00
"Sterling Shepard NYG, WR",1.00
"Preston Williams Mia, WR",2.00
"Alexander Mattison Min, RB",1.00
"Lamar Jackson Bal, QB",42.00
"David Johnson Hou, RB",29.00
"Clyde Edwards-Helaire KC, RB",93.00
"Joe Mixon Cin, RB",87.00
"Kareem Hunt Cle, RB",18.00
"Marquise Brown Bal, WR",13.00
"Tyler Boyd Cin, WR",7.00
"Henry Ruggs III LV, WR",3.00
"Austin Hooper Cle, TE",1.00
"Justin Jefferson Min, WR",1.00
"Broncos D/ST Den, D/ST",1.00
"Breshad Perriman NYJ, WR",1.00
"Anthony Miller Chi, WR",2.00
"Josh Lambo Jax, K",1.00
"Giovani Bernard Cin, RB",1.00
"Derrick Henry Ten, RB",94.00
"Miles Sanders Phi, RB",75.00
"Davante Adams GB, WR",64.00
"Darrell Henderson Jr. LAR, RB",4.00
"Kyler Murray Ari, QB",32.00
"Terry McLaurin Wsh, WR",14.00
"Zack Moss Buf, RB",3.00
"Noah Fant Den, TE",6.00
"Chris Herndon NYJ, TE",2.00
"Darius Slayton NYG, WR",1.00
"Zane Gonzalez Ari, K",1.00
"Jalen Reagor Phi, WR",1.00
"Saints D/ST NO, D/ST",1.00
"Derek Carr LV, QB",1.00
"AJ Dillon GB, RB",1.00
"Alvin Kamara NO, RB",105.00
"Mike Evans TB, WR",47.00
"Allen Robinson II Chi, WR",35.00
"Calvin Ridley Atl, WR",36.00
"Dak Prescott Dal, QB",20.00
"Ronald Jones II TB, RB",19.00
"Tyler Higbee LAR, TE",6.00
"Phillip Lindsay Den, RB",8.00
"Deebo Samuel SF, WR",3.00
"Daniel Jones NYG, QB",4.00
"Matt Breida Mia, RB",5.00
"Antonio Gibson Wsh, RB",1.00
"CeeDee Lamb Dal, WR",5.00
"Patriots D/ST NE, D/ST",2.00
"Matt Gay TB, K",3.00
"Aaron Jones GB, RB",62.00
"Adam Thielen Min, WR",47.00
"DJ Moore Car, WR",45.00
"Michael Gallup Dal, WR",11.00
"Todd Gurley II Atl, RB",28.00
"David Montgomery Chi, RB",14.00
"Darren Waller LV, TE",13.00
"Carson Wentz Phi, QB",14.00
"Raheem Mostert SF, RB",8.00
"DJ Chark Jr. Jax, WR",5.00
"Stefon Diggs Buf, WR",10.00
"Kerryon Johnson Det, RB",3.00
"Ben Roethlisberger Pit, QB",11.00
"Vikings D/ST Min, D/ST",3.00
"Justin Tucker Bal, K",17.00
"Dalvin Cook Min, RB",93.00
"Mark Ingram II Bal, RB",14.00
"George Kittle SF, TE",42.00
"JuJu Smith-Schuster Pit, WR",27.00
"Tyler Lockett Sea, WR",14.00
"Keenan Allen LAC, WR",10.00
"Devin Singletary Buf, RB",17.00
"Matthew Stafford Det, QB",12.00
"Cam Newton NE, QB",19.00
"J.K. Dobbins Bal, RB",13.00
"Jimmy Garoppolo SF, QB",5.00
"Emmanuel Sanders NO, WR",11.00
"Bears D/ST Chi, D/ST",3.00
"Hayden Hurst Atl, TE",4.00
"Greg Zuerlein Dal, K",16.00
"Nick Chubb Cle, RB",78.00
"Chris Godwin TB, WR",59.00
"Tyreek Hill KC, WR",63.00
"Harrison Butker KC, K",2.00
"Jonathan Taylor Ind, RB",41.00
"Matt Ryan Atl, QB",10.00
"John Brown Buf, WR",2.00
"Cooper Kupp LAR, WR",23.00
"Jared Cook NO, TE",6.00
"Joe Burrow Cin, QB",3.00
"Bills D/ST Buf, D/ST",3.00
"Latavius Murray NO, RB",7.00
"Ke'Shawn Vaughn TB, RB",1.00
"T.J. Hockenson Det, TE",1.00
"Drew Lock Den, QB",1.00
"Ezekiel Elliott Dal, RB",105.00
"Patrick Mahomes KC, QB",49.00
"Julio Jones Atl, WR",76.00
"Amari Cooper Dal, WR",33.00
"Wil Lutz NO, K",1.00
"Steelers D/ST Pit, D/ST",1.00
"Tom Brady TB, QB",24.00
"Hunter Henry LAC, TE",2.00
"Adrian Peterson Wsh, RB",1.00
"Duke Johnson Hou, RB",1.00
"Kirk Cousins Min, QB",2.00
"Tony Pollard Dal, RB",1.00
"Curtis Samuel Car, WR",2.00
"Mike Williams LAC, WR",1.00
"Blake Jarwin Dal, TE",1.00
