lock_version,model_run_id,candidate_id,forecast_origin,model_name,parameters_json,selection_end_season,selection_metric,selection_score,selection_seasons,selection_start_season
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,0,2017,expert_recalibrated_ridge,"{""alpha"": 1.0}",2016,rmse,3.3614294145840886,4,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,0,2018,expert_recalibrated_ridge,"{""alpha"": 1.0}",2017,rmse,3.277659874053284,5,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,0,2019,expert_recalibrated_ridge,"{""alpha"": 1.0}",2018,rmse,3.2421109290930747,6,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,0,2020,expert_recalibrated_ridge,"{""alpha"": 1.0}",2019,rmse,3.202166566056514,7,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,0,2021,expert_recalibrated_ridge,"{""alpha"": 1.0}",2020,rmse,3.202724456556421,8,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,0,2022,expert_recalibrated_ridge,"{""alpha"": 1.0}",2021,rmse,3.1649028831268273,9,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,0,2023,expert_recalibrated_ridge,"{""alpha"": 1.0}",2022,rmse,3.116179419124243,10,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,0,2024,expert_recalibrated_ridge,"{""alpha"": 1.0}",2023,rmse,3.114500992989521,11,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,0,2025,expert_recalibrated_ridge,"{""alpha"": 1.0}",2024,rmse,3.1068804983070923,12,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,0,2026,expert_recalibrated_ridge,"{""alpha"": 1.0}",2025,rmse,3.082723320719864,13,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,3,2017,conditional_ppg_lasso,"{""alpha"": 0.03}",2016,rmse,3.3711392635586974,4,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,3,2018,conditional_ppg_lasso,"{""alpha"": 0.03}",2017,rmse,3.2811217844574307,5,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,2,2019,conditional_ppg_lasso,"{""alpha"": 0.01}",2018,rmse,3.243869692147404,6,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,2,2020,conditional_ppg_lasso,"{""alpha"": 0.01}",2019,rmse,3.215962658646723,7,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,2,2021,conditional_ppg_lasso,"{""alpha"": 0.01}",2020,rmse,3.2091039728397406,8,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,2,2022,conditional_ppg_lasso,"{""alpha"": 0.01}",2021,rmse,3.169574295901501,9,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,2,2023,conditional_ppg_lasso,"{""alpha"": 0.01}",2022,rmse,3.1100765477876715,10,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,2,2024,conditional_ppg_lasso,"{""alpha"": 0.01}",2023,rmse,3.0977832958487572,11,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,2,2025,conditional_ppg_lasso,"{""alpha"": 0.01}",2024,rmse,3.087115760192777,12,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,2,2026,conditional_ppg_lasso,"{""alpha"": 0.01}",2025,rmse,3.063797657516211,13,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,2,2017,conditional_ppg_random_forest,"{""bootstrap"": true, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 15, ""n_estimators"": 250, ""random_state"": 1234}",2016,rmse,3.333400392718967,4,2013
