lock_version,model_run_id,forecast_origin,position,history_group,prior_rows,primary_rmse,projection_only_rmse,selected_source
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2017,QB,limited_history,0,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2017,RB,limited_history,0,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2017,WR,limited_history,0,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2017,TE,limited_history,0,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2018,QB,limited_history,9,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2018,RB,limited_history,39,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2018,WR,limited_history,57,3.021371852304356,3.004237751724447,conditional_ppg_projection_only
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2018,TE,limited_history,22,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2019,QB,limited_history,21,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2019,RB,limited_history,83,4.381900270914143,4.58171033199192,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2019,WR,limited_history,107,2.9140782474195155,2.9321904943119046,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2019,TE,limited_history,52,2.2145959086805074,2.28847941664049,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2020,QB,limited_history,34,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2020,RB,limited_history,125,3.871083373220407,3.9813413299844735,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2020,WR,limited_history,162,3.0336611335627675,2.9941218372973353,conditional_ppg_projection_only
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2020,TE,limited_history,74,2.301106107618716,2.3645551635224096,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2021,QB,limited_history,43,,,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2021,RB,limited_history,168,3.7942382425596963,3.8762279566281563,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2021,WR,limited_history,217,3.0557798884026055,3.0359087645455833,conditional_ppg_projection_only
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2021,TE,limited_history,89,2.2341161491587456,2.2922512407083238,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2022,QB,limited_history,53,5.950558398511102,5.871636204672892,conditional_ppg_projection_only
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2022,RB,limited_history,203,3.690186872231528,3.7690036946778234,conditional_ppg_primary_blend
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2022,WR,limited_history,269,3.0090641018577644,3.001904335321487,conditional_ppg_projection_only
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260826T205120Z_06139cde,2022,TE,limited_history,108,2.194860845287361,2.2230399003928927,conditional_ppg_primary_blend
