lock_version,model_run_id,target_name,method,prediction_bin,n_rows,prediction_min,prediction_max,mean_prediction,mean_actual,bias
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_history_gap_no_history_route,0,363,2.3298129719167893,3.417933469724496,3.1190328142116877,2.7778901572868517,0.34114265692483625
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_history_gap_no_history_route,1,362,3.4180638647565154,3.852067168338093,3.6540932999986455,3.4983940656489,0.15569923434974553
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_history_gap_no_history_route,2,362,3.85350557005829,4.3446367109886594,4.078833545850053,3.857443359893636,0.22139018595641669
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_history_gap_no_history_route,3,362,4.346960828005855,4.977410206263419,4.628944291588723,4.301193874035724,0.32775041755299733
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_history_gap_no_history_route,4,362,4.977477763679865,6.040187575309908,5.4855935595780565,5.210139364242265,0.27545419533579124
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_history_gap_no_history_route,5,362,6.0406552265877655,7.20918695168702,6.6242096766928835,6.240169022659354,0.3840406540335285
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_history_gap_no_history_route,6,362,7.219302604446907,8.906855661919762,7.997060253146561,7.844157577995976,0.15290267515058556
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_history_gap_no_history_route,7,362,8.909349135323607,11.008579421555043,9.821817053129317,9.814822636346971,0.006994416782345655
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_history_gap_no_history_route,8,362,11.019056817266488,13.789315445083874,12.173054262593523,12.55115319234173,-0.37809892974820497
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_history_gap_no_history_route,9,363,13.79277896341627,22.509481381788515,16.400151964520937,16.592821247775795,-0.1926692832548548
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lasso,0,363,0.5353116763915668,2.8241077683400873,2.2719113761595904,3.0724770526382095,-0.8005656764786192
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lasso,1,362,2.8242535558482134,3.468176363990554,3.1652642587062063,3.487380765949827,-0.32211650724362073
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lasso,2,362,3.4764696227058938,4.14928606927236,3.790357860134181,3.6310080967988427,0.15934976333533835
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lasso,3,362,4.150419306948098,4.969825479513149,4.513454763037673,4.3364009987097,0.17705376432797248
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lasso,4,362,4.970792736693657,6.093337108954422,5.521434809148914,5.154050454073244,0.36738435507567035
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lasso,5,362,6.0977421749110885,7.367012118203467,6.712130000913375,6.36340604492193,0.34872395599144707
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lasso,6,362,7.367039637029593,8.955764197665689,8.15238751086908,7.746328330662585,0.40605918020649406
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lasso,7,362,8.960472620479777,10.925960738904966,9.933290018512041,9.797157126979114,0.13613289153292826
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lasso,8,362,10.93773509873671,13.651536343373744,12.103196152053183,12.587293490579404,-0.48409733852621906
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lasso,9,363,13.66176538238673,23.821911650772112,16.37710035707703,16.512091371667818,-0.1349910145907886
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lightgbm,0,369,2.6668314486997424,3.693256207139751,3.3558582585691927,2.8220413311470223,0.5338169274221705
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lightgbm,1,356,3.6956040854859356,4.118798236294243,3.9101222699326663,3.4605677736745157,0.4495544962581515
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lightgbm,2,362,4.126040777060974,4.540189883367703,4.316685934989986,3.7177446577363704,0.5989412772536158
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lightgbm,3,362,4.540579297030782,5.137327859354842,4.825658581081382,4.440245629907233,0.3854129511741498
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lightgbm,4,362,5.137930324835651,6.1000838238830974,5.557996018297087,5.35894038619453,0.19905563210255595
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lightgbm,5,362,6.10862063965819,7.084308330432556,6.588249760893444,6.195095833264341,0.39315392762910184
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lightgbm,6,362,7.087342161582406,8.861461139348464,7.9014174224471665,7.840974576068499,0.060442846378667626
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lightgbm,7,362,8.862228910312197,10.972249837797682,9.767031163228342,9.686200737450898,0.08083042577744234
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lightgbm,8,362,10.973426426780076,13.780551831347198,12.132610113427013,12.648218317517353,-0.5156082040903375
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_lightgbm,9,363,13.805188509292096,21.859479268559873,16.449891621781486,16.528793474202566,-0.0789018524210787
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_log_lasso_tree_blend,0,363,2.430156061436176,3.51505537004113,3.220756596759547,2.804427767212891,0.4163288295466556
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_log_lasso_tree_blend,1,362,3.5152666535343293,3.9198922803184426,3.7379719507269056,3.443533003215324,0.29443894751158173
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_log_lasso_tree_blend,2,362,3.920097239195215,4.38402122688342,4.141311620453111,3.8021097271359703,0.33920189331714146
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_log_lasso_tree_blend,3,362,4.388114869904752,4.994381231897768,4.667850774260663,4.399762432549035,0.268088341711629
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_log_lasso_tree_blend,4,362,4.9962073751883525,6.05375525215701,5.503729104349161,5.182457763691189,0.3212713406579723
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_log_lasso_tree_blend,5,362,6.05685955272309,7.162816314995833,6.609320026738858,6.281532377689836,0.3277876490490219
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_log_lasso_tree_blend,6,362,7.1639982624481435,8.837709979454297,7.939791268932385,7.831395348512753,0.10839592041963145
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_log_lasso_tree_blend,7,362,8.84265323786385,10.946847063259428,9.773681509345494,9.816346111950557,-0.04266460260506316
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_log_lasso_tree_blend,8,362,10.95699035744421,13.845566355656183,12.155124125900606,12.569438981368538,-0.41431485546793306
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_log_lasso_tree_blend,9,363,13.853059587655375,22.4001078460815,16.46647472983906,16.55720606108003,-0.09073133124096885
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_primary_blend,0,363,2.3298129719167893,3.427740985235795,3.132066020378554,2.794547927890903,0.3375180924876515
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_primary_blend,1,362,3.430098056191768,3.8709030410403726,3.673146887482214,3.5442319497568118,0.1289149377254024
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_primary_blend,2,362,3.8712392277920435,4.359999119462764,4.099832503819567,3.7569019365379863,0.3429305672815804
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_primary_blend,3,362,4.363261513375378,4.9859166705321325,4.647800109175999,4.342215035578295,0.3055850735977033
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_primary_blend,4,362,4.989771678800737,6.044901097239933,5.494051392007319,5.268773579934492,0.22527781207282732
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_primary_blend,5,362,6.063129604095998,7.195550668650249,6.624519845893276,6.228104573526537,0.3964152723667403
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_primary_blend,6,362,7.199575763399885,8.90501684188442,7.9882032437415535,7.795254499030743,0.19294874471081158
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_primary_blend,7,362,8.906855661919762,11.019056817266488,9.822330288351562,9.812243590162952,0.010086698188610937
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_primary_blend,8,362,11.030530582404884,13.780865000208962,12.165268012267605,12.569137275477747,-0.4038692632101413
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_primary_blend,9,363,13.789315445083874,22.509481381788515,16.385682314038142,16.576772448090633,-0.19109013405248834
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_projection_history_router,0,363,2.3298129719167893,3.437554841472199,3.1374143261421286,2.763166146678543,0.3742481794635854
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_projection_history_router,1,362,3.4380608127833305,3.862781980106974,3.6770170152632926,3.557822548078073,0.11919446718521941
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_projection_history_router,2,362,3.8640624022883507,4.316196129861322,4.0600178428738545,3.8401341661714588,0.21988367670239548
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_projection_history_router,3,362,4.320183355404738,4.963876659948055,4.62056021250545,4.297239675609841,0.32332053689560825
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_projection_history_router,4,362,4.964818474729321,6.020492597369221,5.470051308107913,5.225193430035281,0.24485787807263193
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_projection_history_router,5,362,6.022035596981605,7.141854115344139,6.594016546491152,6.236570705307585,0.3574458411835686
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_projection_history_router,6,362,7.142525966587535,8.851481267514464,7.946907896948197,7.764524555248314,0.1823833416998847
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_projection_history_router,7,362,8.854585338676591,11.030530582404884,9.774087855037797,9.874108515829674,-0.10002066079187617
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_projection_history_router,8,362,11.034919534243686,13.75784896665713,12.166422162176781,12.538966596708999,-0.37254443453221936
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_projection_history_router,9,363,13.780865000208962,22.509481381788515,16.381486334702515,16.590505230459776,-0.20901889575726004
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_qb_style_wrte_route,0,363,2.35068691139674,3.4202097671501743,3.126044295206114,2.7863994930689144,0.3396448021371992
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_qb_style_wrte_route,1,362,3.420950888435909,3.865930998976116,3.661911101580704,3.496167134737577,0.16574396684312784
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_qb_style_wrte_route,2,362,3.8692704951775845,4.356887804147749,4.093429316483785,3.8230282948328527,0.27040102165093255
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_qb_style_wrte_route,3,362,4.3570358130733275,4.986094976042421,4.647826228344148,4.291264917173066,0.3565613111710822
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_qb_style_wrte_route,4,362,4.987708236945218,6.0486427956759075,5.49201973465754,5.2568265458451915,0.23519318881234774
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_qb_style_wrte_route,5,362,6.051491912009113,7.18361318201844,6.615085518798042,6.290189346258407,0.32489617253963654
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_qb_style_wrte_route,6,362,7.189498025470403,8.905249546273216,7.976322570236637,7.748251364044182,0.2280712061924555
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_qb_style_wrte_route,7,362,8.909349135323607,11.022685148195103,9.816578816755912,9.841480002921465,-0.024901186165550523
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_qb_style_wrte_route,8,362,11.034919534243686,13.789315445083874,12.159967632607978,12.574466136303844,-0.4144985036958645
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_qb_style_wrte_route,9,363,13.789987365286889,22.509481381788515,16.38374125048774,16.580122835077383,-0.19638158458964064
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_random_forest,0,363,3.056238700998246,3.7104006285119877,3.4255919082349693,2.8143582347404665,0.6112336734945034
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_random_forest,1,362,3.7107398586326314,4.076257584407685,3.857734852782813,3.489866627693976,0.3678682250888373
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_random_forest,2,362,4.078142916955826,4.5124156432780245,4.32034717899849,3.8469441995236195,0.47340297947487064
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_random_forest,3,362,4.5148515307630674,5.039341014888646,4.757451815428053,4.388094157070676,0.36935765835737566
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_random_forest,4,362,5.03995280578951,6.043992921049843,5.4601624544068565,5.083851955365077,0.3763104990417791
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_random_forest,5,362,6.052658561892757,7.088426507439045,6.594310912149363,6.351920363552961,0.24239054859640222
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_random_forest,6,362,7.089233919706693,8.752980116019042,7.907370404660107,7.8255262453936485,0.08184415926645924
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T211314Z_6d4d8db9,conditional_ppg,conditional_ppg_random_forest,7,362,8.753317498720255,11.02558175505699,9.744899109976986,9.736572958385276,0.00832615159170937
