model_run_id,lock_version,record_type,specification_name,feature_count,feature_hash,feature_names_json,parameters_json
v2_locked_final_nv_20260826T211405Z_99d55e2f,v2_conditional_ppg_2026_candidate_nv_v1,feature_set,expert_recalibration,14,4b4325970f7220f6ceb9d4e77367e57a7fe57962e0dba991bed363d3e8099a01,"[""expert_ppg_team_game_median"", ""expert_ppg_active_median"", ""expert_ppg_x_QB"", ""expert_ppg_x_RB"", ""expert_ppg_x_WR"", ""expert_ppg_x_TE"", ""expert_active_ppg_x_QB"", ""expert_active_ppg_x_RB"", ""expert_active_ppg_x_WR"", ""expert_active_ppg_x_TE"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE""]",
v2_locked_final_nv_20260826T211405Z_99d55e2f,v2_conditional_ppg_2026_candidate_nv_v1,feature_set,conditional_ppg_primary,40,f76c6e42c480dc26ddd6ba73f75c43715bbcb484565603a799f6cd7adc9014c9,"[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""projection_trajectory_change_1year"", ""projection_trajectory_change_3year"", ""projection_trajectory_prior_3year_count"", ""projection_trajectory_prior_3year_std"", ""projection_trajectory_prior_year_available"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE""]",
v2_locked_final_nv_20260826T211405Z_99d55e2f,v2_conditional_ppg_2026_candidate_nv_v1,feature_set,conditional_ppg_log_adp_lasso,40,17de64af392f20a53bcc6cea8443b41a87899ab92b6bb7b0ab5c44aeff985c3b,"[""adp_log"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""projection_trajectory_change_1year"", ""projection_trajectory_change_3year"", ""projection_trajectory_prior_3year_count"", ""projection_trajectory_prior_3year_std"", ""projection_trajectory_prior_year_available"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE""]",
v2_locked_final_nv_20260826T211405Z_99d55e2f,v2_conditional_ppg_2026_candidate_nv_v1,feature_set,conditional_ppg_qb_style,41,76fe9eb5455c4167cdde66a86d335c16c15937dd85361fbf97fbc450c6523965,"[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""projection_trajectory_change_1year"", ""projection_trajectory_change_3year"", ""projection_trajectory_prior_3year_count"", ""projection_trajectory_prior_3year_std"", ""projection_trajectory_prior_year_available"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE"", ""team_qb1_rush_point_share""]",
v2_locked_final_nv_20260826T211405Z_99d55e2f,v2_conditional_ppg_2026_candidate_nv_v1,feature_set,conditional_ppg_history_gap,45,0b2a25b814e1e822f1bb7f66a5f965eeb060ad5bd8710646f3e7ef224021fe2c,"[""adp_median"", ""age"", ""career_observed_seasons"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""history_career_opportunity_games_log"", ""history_prior_year_opportunity_games_log"", ""history_prior_3year_opportunity_games_log"", ""history_prior_year_ppg_available"", ""history_prior_3year_ppg_available"", ""history_prior_year_residual_neutral"", ""history_seasons_since_observed_neutral"", ""history_career_ppg_gap"", ""history_prior_year_ppg_gap"", ""history_prior_3year_ppg_gap"", ""projection_trajectory_change_1year"", ""projection_trajectory_change_3year"", ""projection_trajectory_prior_3year_count"", ""projection_trajectory_prior_3year_std"", ""projection_trajectory_prior_year_available"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE""]",
v2_locked_final_nv_20260826T211405Z_99d55e2f,v2_conditional_ppg_2026_candidate_nv_v1,feature_set,conditional_ppg_projection_only,26,9dc3cc2b78b1a4adb8e7cc7b934268711a5e16f9578af329a9bfcc40a636c49f,"[""expert_ppg_team_game_median"", ""expert_ppg_active_median"", ""expert_ppg_team_game_std"", ""expert_ppg_team_game_iqr"", ""expert_points_iqr"", ""projection_provider_count"", ""configured_projection_provider_count"", ""proj_games"", ""proj_pass_attempts"", ""proj_passing_yards"", ""proj_passing_tds"", ""proj_interceptions"", ""proj_rush_attempts"", ""proj_rushing_yards"", ""proj_rushing_tds"", ""proj_targets"", ""proj_receptions"", ""proj_receiving_yards"", ""proj_receiving_tds"", ""projected_pass_point_share"", ""projected_rush_point_share"", ""projected_receiving_point_share"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE""]",
v2_locked_final_nv_20260826T211405Z_99d55e2f,v2_conditional_ppg_2026_candidate_nv_v1,feature_set,participation_primary,23,182d37335cc030902ee87e2ecc01649fcbf78cdace067fc30f3e3d114c61d19d,"[""adp_median"", ""adp_source_count"", ""age"", ""career_observed_seasons"", ""career_opportunity_games"", ""career_useful_seasons"", ""draft_pick_log"", ""experience_known"", ""expert_ppg_team_game_median"", ""is_rookie"", ""last_observed_opportunity_games"", ""prior_year_appeared"", ""prior_year_candidate"", ""prior_year_opportunity_games"", ""proj_games"", ""projection_provider_count"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""year_exp"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE""]",
v2_locked_final_nv_20260826T211405Z_99d55e2f,v2_conditional_ppg_2026_candidate_nv_v1,model_grid,expert_recalibrated_ridge,,,,"[{""alpha"": 1.0}, {""alpha"": 10.0}, {""alpha"": 100.0}]"
v2_locked_final_nv_20260826T211405Z_99d55e2f,v2_conditional_ppg_2026_candidate_nv_v1,model_grid,conditional_ppg_lasso,,,,"[{""alpha"": 0.001}, {""alpha"": 0.003}, {""alpha"": 0.01}, {""alpha"": 0.03}, {""alpha"": 0.1}, {""alpha"": 0.3}, {""alpha"": 1.0}]"
v2_locked_final_nv_20260826T211405Z_99d55e2f,v2_conditional_ppg_2026_candidate_nv_v1,model_grid,conditional_ppg_random_forest,,,,"[{""bootstrap"": true, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 250, ""random_state"": 1234}, {""bootstrap"": true, ""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 250, ""random_state"": 1234}, {""bootstrap"": true, ""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 15, ""n_estimators"": 250, ""random_state"": 1234}, {""bootstrap"": true, ""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 15, ""n_estimators"": 250, ""random_state"": 1234}, {""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 250, ""random_state"": 1234}, {""bootstrap"": true, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""n_estimators"": 250, ""random_state"": 1234}, {""bootstrap"": true, ""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 15, ""n_estimators"": 250, ""random_state"": 1234}, {""bootstrap"": true, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 15, ""n_estimators"": 250, ""random_state"": 1234}]"
