lock_version,model_run_id,target_name,method,slice_type,slice_value,metric,n_rows,n_seasons,value
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,pooled,all,rmse,3696,9,3.0837885776494813
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,pooled,all,mae,3696,9,2.4046695403986447
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,pooled,all,bias,3696,9,0.16765213133749224
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,pooled,all,spearman,3696,9,0.8118746838476603
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,provider_era,2023_2025,rmse,1237,3,3.053586930962337
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,provider_era,2023_2025,mae,1237,3,2.386463212931262
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,provider_era,2023_2025,bias,1237,3,0.3099708526195425
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,provider_era,2023_2025,spearman,1237,3,0.8193325084645764
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2017,rmse,407,1,3.0694219263824585
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2017,mae,407,1,2.405594640962053
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2017,bias,407,1,0.3890058297208105
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2017,spearman,407,1,0.7972076950981116
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2018,rmse,405,1,3.3100249679493206
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2018,mae,405,1,2.5214452627702792
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2018,bias,405,1,-0.49841540634998105
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2018,spearman,405,1,0.803246048566619
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2019,rmse,388,1,3.0664782407715
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2019,mae,388,1,2.4214392281538974
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2019,bias,388,1,-0.0381953228400837
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2019,spearman,388,1,0.8005474002214907
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2020,rmse,414,1,3.282500698800096
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2020,mae,414,1,2.5117477922763705
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2020,bias,414,1,-0.2676573391970932
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2020,spearman,414,1,0.7996724743132105
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2021,rmse,419,1,3.038260850717647
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2021,mae,419,1,2.3582724893370974
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2021,bias,419,1,0.2937090653315135
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2021,spearman,419,1,0.8129541317270708
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2022,rmse,426,1,2.8105029648754978
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2022,mae,426,1,2.2719321527359826
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2022,bias,426,1,0.6626925467699871
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2022,spearman,426,1,0.8352535807754131
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2023,rmse,413,1,3.141228749298862
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2023,mae,413,1,2.4253655381734434
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2023,bias,413,1,0.49540227121897173
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2023,spearman,413,1,0.8176667128307434
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2024,rmse,407,1,3.1038845702333506
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2024,mae,407,1,2.4976722141682317
v2_conditional_ppg_2026_candidate_nffc_v1,v2_locked_final_nffc_20260828T221217Z_4b1ef1de,conditional_ppg,conditional_ppg_history_gap_no_history_route,season,2024,bias,407,1,0.23148915891178426
