lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.255,0.255,0.247,0.243,17.77,14.09,0.498,0.706,0.421,0.649
0.249,0.255,0.25,0.246,18.31,14.64,0.478,0.691,0.421,0.649
0.249,0.252,0.253,0.245,18.31,14.63,0.476,0.69,0.421,0.649
0.247,0.254,0.25,0.249,18.31,14.58,0.475,0.69,0.421,0.649
0.249,0.255,0.249,0.246,18.33,14.72,0.473,0.688,0.421,0.649
0.246,0.256,0.253,0.245,18.35,14.67,0.479,0.692,0.421,0.649
0.247,0.255,0.249,0.25,18.35,14.66,0.473,0.688,0.421,0.649
0.248,0.254,0.253,0.245,18.39,14.68,0.472,0.687,0.421,0.649
0.249,0.253,0.251,0.247,18.4,14.67,0.471,0.686,0.421,0.649
0.249,0.253,0.25,0.248,18.42,14.71,0.482,0.694,0.421,0.649
0.248,0.252,0.252,0.247,18.45,14.81,0.482,0.694,0.421,0.649
0.248,0.251,0.251,0.249,18.46,14.77,0.481,0.693,0.421,0.649
0.248,0.252,0.251,0.248,18.46,14.79,0.481,0.693,0.421,0.649
0.25,0.251,0.251,0.248,18.48,14.89,0.467,0.683,0.421,0.649
0.249,0.252,0.251,0.248,18.5,14.81,0.478,0.691,0.421,0.649
0.248,0.251,0.25,0.251,18.5,14.85,0.468,0.684,0.421,0.649
0.25,0.248,0.252,0.249,18.51,14.82,0.475,0.689,0.421,0.649
0.25,0.251,0.249,0.25,18.51,14.82,0.472,0.687,0.421,0.649
0.246,0.251,0.253,0.25,18.52,14.83,0.476,0.69,0.421,0.649
0.249,0.255,0.25,0.246,18.52,14.9,0.476,0.69,0.421,0.649
0.25,0.253,0.251,0.247,18.52,14.93,0.475,0.689,0.421,0.649
0.245,0.253,0.253,0.249,18.52,14.9,0.472,0.687,0.421,0.649
0.25,0.254,0.251,0.246,18.54,14.89,0.479,0.692,0.421,0.649
0.248,0.25,0.252,0.25,18.54,14.87,0.474,0.688,0.421,0.649
0.248,0.249,0.252,0.251,18.54,14.86,0.47,0.686,0.421,0.649
0.249,0.253,0.252,0.246,18.55,14.89,0.48,0.693,0.421,0.649
0.247,0.249,0.253,0.25,18.55,14.86,0.474,0.688,0.421,0.649
0.248,0.249,0.253,0.25,18.56,14.86,0.475,0.689,0.421,0.649
0.249,0.251,0.251,0.25,18.56,14.92,0.474,0.688,0.421,0.649
0.249,0.25,0.252,0.249,18.56,14.85,0.474,0.689,0.421,0.649
0.25,0.25,0.253,0.248,18.56,14.93,0.474,0.689,0.421,0.649
0.249,0.251,0.25,0.25,18.56,14.92,0.472,0.687,0.421,0.649
0.248,0.25,0.251,0.251,18.56,14.91,0.468,0.684,0.421,0.649
0.248,0.25,0.253,0.25,18.56,14.93,0.467,0.683,0.421,0.649
0.243,0.252,0.254,0.251,18.58,14.98,0.469,0.685,0.421,0.649
0.246,0.25,0.253,0.25,18.59,14.85,0.471,0.687,0.421,0.649
0.246,0.251,0.253,0.251,18.59,14.9,0.469,0.685,0.421,0.649
0.246,0.252,0.253,0.249,18.6,14.96,0.471,0.686,0.421,0.649
0.247,0.25,0.253,0.25,18.61,14.92,0.474,0.689,0.421,0.649
0.245,0.25,0.253,0.251,18.61,14.93,0.471,0.686,0.421,0.649
0.251,0.25,0.252,0.247,18.63,15.01,0.477,0.691,0.421,0.649
0.248,0.251,0.252,0.25,18.63,14.99,0.472,0.687,0.421,0.649
0.246,0.249,0.254,0.251,18.63,15.0,0.472,0.687,0.421,0.649
0.249,0.251,0.252,0.249,18.66,14.98,0.476,0.69,0.421,0.649
0.249,0.25,0.253,0.248,18.66,15.04,0.461,0.679,0.421,0.649
0.247,0.249,0.254,0.25,18.7,15.06,0.47,0.686,0.421,0.649
0.245,0.249,0.255,0.252,18.7,15.04,0.464,0.681,0.421,0.649
