lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.25,0.248,0.253,0.249,12.63,9.75,0.183,0.428,0.225,0.475
0.246,0.251,0.254,0.25,12.74,9.74,0.201,0.448,0.225,0.475
0.244,0.25,0.255,0.251,12.81,9.86,0.196,0.442,0.225,0.475
0.243,0.252,0.255,0.25,12.82,9.82,0.202,0.45,0.225,0.475
0.245,0.249,0.255,0.252,12.82,9.83,0.192,0.438,0.225,0.475
0.243,0.249,0.256,0.252,12.83,9.88,0.2,0.447,0.225,0.475
0.248,0.247,0.254,0.251,12.83,9.81,0.196,0.443,0.225,0.475
0.243,0.25,0.256,0.251,12.85,9.9,0.185,0.43,0.225,0.475
0.246,0.248,0.256,0.25,12.85,9.85,0.184,0.429,0.225,0.475
0.249,0.244,0.256,0.251,12.86,9.89,0.195,0.441,0.225,0.475
0.242,0.25,0.255,0.252,12.86,9.95,0.194,0.441,0.225,0.475
0.243,0.249,0.256,0.253,12.86,9.9,0.189,0.435,0.225,0.475
0.239,0.252,0.256,0.252,12.86,9.96,0.183,0.428,0.225,0.475
0.243,0.249,0.256,0.252,12.88,9.87,0.195,0.442,0.225,0.475
0.242,0.249,0.257,0.253,12.88,9.9,0.189,0.434,0.225,0.475
0.247,0.249,0.254,0.249,12.88,9.81,0.186,0.432,0.225,0.475
0.245,0.246,0.256,0.254,12.89,9.91,0.191,0.437,0.225,0.475
0.244,0.248,0.256,0.252,12.89,9.88,0.188,0.434,0.225,0.475
0.241,0.248,0.257,0.254,12.89,9.88,0.183,0.427,0.225,0.475
0.242,0.249,0.257,0.252,12.91,9.99,0.188,0.434,0.225,0.475
0.246,0.245,0.256,0.252,12.92,9.92,0.194,0.441,0.225,0.475
0.241,0.248,0.257,0.253,12.92,9.86,0.187,0.432,0.225,0.475
0.241,0.25,0.255,0.253,12.93,9.91,0.193,0.44,0.225,0.475
0.249,0.246,0.255,0.25,12.94,9.91,0.194,0.44,0.225,0.475
0.246,0.248,0.256,0.25,12.94,9.97,0.192,0.438,0.225,0.475
0.247,0.242,0.257,0.253,12.94,9.97,0.189,0.434,0.225,0.475
0.245,0.246,0.256,0.253,12.94,9.9,0.188,0.434,0.225,0.475
0.244,0.248,0.256,0.253,12.94,9.93,0.187,0.432,0.225,0.475
0.247,0.245,0.256,0.252,12.96,9.94,0.19,0.436,0.225,0.475
0.247,0.245,0.256,0.252,12.96,9.98,0.189,0.435,0.225,0.475
0.242,0.247,0.257,0.254,12.96,9.98,0.179,0.423,0.225,0.475
0.241,0.248,0.257,0.254,12.98,9.99,0.188,0.433,0.225,0.475
0.241,0.247,0.258,0.254,12.98,10.02,0.185,0.43,0.225,0.475
0.244,0.246,0.257,0.252,12.98,9.93,0.181,0.425,0.225,0.475
0.24,0.249,0.257,0.254,12.99,9.96,0.187,0.433,0.225,0.475
0.247,0.245,0.256,0.252,12.99,9.94,0.186,0.431,0.225,0.475
0.244,0.246,0.258,0.253,12.99,9.98,0.179,0.423,0.225,0.475
0.246,0.242,0.259,0.254,13.0,10.05,0.178,0.422,0.225,0.475
0.245,0.243,0.258,0.254,13.01,10.02,0.184,0.429,0.225,0.475
0.242,0.246,0.258,0.254,13.01,10.0,0.175,0.419,0.225,0.475
0.243,0.243,0.258,0.255,13.02,10.06,0.181,0.426,0.225,0.475
0.241,0.247,0.257,0.255,13.03,10.03,0.179,0.423,0.225,0.475
0.247,0.241,0.259,0.253,13.07,10.05,0.187,0.433,0.225,0.475
0.245,0.243,0.258,0.255,13.07,10.07,0.182,0.426,0.225,0.475
0.248,0.241,0.258,0.252,13.08,10.01,0.188,0.434,0.225,0.475
0.246,0.243,0.259,0.252,13.08,10.04,0.182,0.427,0.225,0.475
0.248,0.239,0.257,0.256,13.12,10.05,0.189,0.435,0.225,0.475
0.245,0.243,0.258,0.254,13.12,10.1,0.173,0.416,0.225,0.475
0.248,0.239,0.258,0.255,13.13,10.05,0.19,0.436,0.225,0.475
0.249,0.239,0.258,0.254,13.2,10.15,0.177,0.42,0.225,0.475
lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.254,0.257,0.234,0.254,1.02,0.8,0.166,0.408,0.175,0.419
0.251,0.256,0.237,0.256,1.03,0.8,0.192,0.438,0.175,0.419
0.251,0.253,0.238,0.258,1.04,0.82,0.192,0.438,0.175,0.419
0.252,0.252,0.239,0.257,1.04,0.81,0.19,0.436,0.175,0.419
0.251,0.252,0.239,0.259,1.04,0.81,0.181,0.425,0.175,0.419
0.252,0.253,0.238,0.257,1.04,0.8,0.18,0.424,0.175,0.419
0.251,0.251,0.24,0.259,1.04,0.82,0.179,0.423,0.175,0.419
0.25,0.254,0.238,0.258,1.04,0.81,0.178,0.422,0.175,0.419
0.253,0.254,0.238,0.256,1.04,0.81,0.178,0.422,0.175,0.419
0.247,0.251,0.248,0.254,1.04,0.81,0.177,0.421,0.175,0.419
0.249,0.254,0.238,0.258,1.04,0.81,0.177,0.421,0.175,0.419
0.252,0.255,0.238,0.255,1.04,0.81,0.177,0.42,0.175,0.419
0.249,0.255,0.239,0.258,1.04,0.82,0.176,0.42,0.175,0.419
0.252,0.253,0.238,0.257,1.04,0.81,0.173,0.416,0.175,0.419
0.251,0.252,0.238,0.259,1.04,0.81,0.172,0.415,0.175,0.419
0.248,0.253,0.24,0.259,1.04,0.82,0.171,0.414,0.175,0.419
0.248,0.249,0.248,0.255,1.04,0.81,0.169,0.411,0.175,0.419
0.25,0.252,0.239,0.26,1.04,0.82,0.169,0.411,0.175,0.419
0.247,0.253,0.241,0.26,1.04,0.82,0.167,0.408,0.175,0.419
0.251,0.252,0.239,0.259,1.05,0.82,0.181,0.426,0.175,0.419
0.248,0.252,0.241,0.26,1.05,0.82,0.181,0.426,0.175,0.419
0.249,0.255,0.238,0.258,1.05,0.82,0.178,0.422,0.175,0.419
0.251,0.255,0.237,0.258,1.05,0.82,0.172,0.415,0.175,0.419
0.253,0.254,0.237,0.256,1.05,0.81,0.171,0.414,0.175,0.419
0.249,0.253,0.239,0.259,1.05,0.82,0.168,0.409,0.175,0.419
0.25,0.252,0.239,0.259,1.05,0.82,0.167,0.408,0.175,0.419
0.248,0.25,0.242,0.261,1.05,0.82,0.166,0.408,0.175,0.419
0.252,0.25,0.24,0.258,1.05,0.83,0.164,0.405,0.175,0.419
0.251,0.249,0.24,0.261,1.05,0.82,0.163,0.403,0.175,0.419
0.251,0.252,0.24,0.258,1.05,0.83,0.162,0.403,0.175,0.419
0.251,0.252,0.239,0.257,1.05,0.83,0.16,0.4,0.175,0.419
0.254,0.248,0.24,0.258,1.06,0.83,0.177,0.42,0.175,0.419
0.25,0.242,0.249,0.259,1.06,0.82,0.172,0.415,0.175,0.419
0.249,0.25,0.241,0.26,1.06,0.83,0.168,0.41,0.175,0.419
0.254,0.249,0.239,0.258,1.06,0.83,0.168,0.41,0.175,0.419
0.252,0.242,0.251,0.255,1.06,0.83,0.168,0.41,0.175,0.419
0.254,0.249,0.239,0.258,1.06,0.83,0.168,0.409,0.175,0.419
0.251,0.244,0.251,0.255,1.06,0.83,0.167,0.408,0.175,0.419
0.251,0.25,0.24,0.259,1.06,0.84,0.165,0.407,0.175,0.419
0.25,0.25,0.24,0.26,1.06,0.83,0.164,0.405,0.175,0.419
0.25,0.25,0.241,0.26,1.06,0.83,0.164,0.405,0.175,0.419
0.25,0.244,0.251,0.255,1.06,0.83,0.163,0.404,0.175,0.419
0.253,0.247,0.241,0.259,1.06,0.83,0.16,0.4,0.175,0.419
0.253,0.251,0.24,0.256,1.06,0.83,0.16,0.4,0.175,0.419
0.252,0.251,0.239,0.257,1.06,0.84,0.159,0.399,0.175,0.419
0.253,0.249,0.239,0.259,1.07,0.84,0.173,0.416,0.175,0.419
0.254,0.246,0.239,0.262,1.07,0.84,0.167,0.409,0.175,0.419
0.253,0.248,0.24,0.259,1.07,0.84,0.162,0.403,0.175,0.419
0.252,0.249,0.241,0.259,1.07,0.84,0.161,0.402,0.175,0.419
0.255,0.246,0.24,0.259,1.08,0.85,0.156,0.395,0.175,0.419
lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.252,0.251,0.242,0.254,0.19,0.14,0.15,0.387,0.183,0.428
0.255,0.251,0.241,0.253,0.19,0.14,0.146,0.382,0.183,0.428
0.254,0.251,0.242,0.253,0.19,0.14,0.138,0.371,0.183,0.428
0.254,0.251,0.242,0.254,0.19,0.14,0.131,0.363,0.183,0.428
0.252,0.247,0.245,0.256,0.19,0.14,0.13,0.361,0.183,0.428
0.251,0.251,0.243,0.255,0.19,0.14,0.128,0.358,0.183,0.428
0.25,0.25,0.244,0.256,0.19,0.14,0.127,0.356,0.183,0.428
0.252,0.249,0.243,0.256,0.19,0.14,0.127,0.357,0.183,0.428
0.251,0.251,0.242,0.255,0.19,0.14,0.125,0.353,0.183,0.428
0.251,0.247,0.245,0.257,0.19,0.14,0.122,0.349,0.183,0.428
0.252,0.249,0.244,0.256,0.19,0.14,0.122,0.349,0.183,0.428
0.253,0.25,0.242,0.255,0.19,0.14,0.122,0.349,0.183,0.428
0.251,0.25,0.243,0.256,0.19,0.14,0.122,0.35,0.183,0.428
0.253,0.25,0.243,0.255,0.19,0.14,0.122,0.349,0.183,0.428
0.252,0.247,0.245,0.256,0.19,0.14,0.121,0.348,0.183,0.428
0.251,0.25,0.243,0.256,0.19,0.14,0.121,0.347,0.183,0.428
0.251,0.251,0.243,0.256,0.19,0.14,0.121,0.348,0.183,0.428
0.253,0.249,0.243,0.255,0.19,0.14,0.12,0.346,0.183,0.428
0.255,0.247,0.244,0.254,0.19,0.14,0.12,0.346,0.183,0.428
0.25,0.249,0.245,0.257,0.19,0.14,0.119,0.344,0.183,0.428
0.253,0.249,0.244,0.254,0.19,0.14,0.118,0.344,0.183,0.428
0.251,0.249,0.244,0.256,0.19,0.14,0.118,0.344,0.183,0.428
0.252,0.25,0.243,0.255,0.19,0.14,0.118,0.343,0.183,0.428
0.252,0.247,0.245,0.257,0.19,0.14,0.118,0.344,0.183,0.428
0.251,0.247,0.245,0.257,0.19,0.14,0.117,0.342,0.183,0.428
0.251,0.249,0.244,0.256,0.19,0.14,0.117,0.342,0.183,0.428
0.247,0.251,0.245,0.257,0.19,0.14,0.116,0.34,0.183,0.428
0.252,0.247,0.244,0.256,0.19,0.14,0.116,0.34,0.183,0.428
0.251,0.249,0.244,0.256,0.19,0.14,0.115,0.34,0.183,0.428
0.25,0.25,0.244,0.256,0.19,0.14,0.114,0.338,0.183,0.428
0.253,0.249,0.244,0.254,0.19,0.14,0.112,0.334,0.183,0.428
0.248,0.25,0.245,0.257,0.19,0.14,0.111,0.334,0.183,0.428
0.251,0.247,0.245,0.257,0.19,0.14,0.111,0.333,0.183,0.428
0.25,0.249,0.244,0.257,0.19,0.14,0.111,0.334,0.183,0.428
0.247,0.25,0.246,0.258,0.19,0.14,0.11,0.331,0.183,0.428
0.252,0.25,0.243,0.254,0.19,0.14,0.11,0.332,0.183,0.428
0.251,0.252,0.243,0.254,0.19,0.14,0.109,0.33,0.183,0.428
0.251,0.248,0.244,0.257,0.19,0.14,0.108,0.329,0.183,0.428
0.252,0.249,0.244,0.255,0.19,0.14,0.108,0.329,0.183,0.428
0.252,0.25,0.244,0.254,0.19,0.14,0.108,0.329,0.183,0.428
0.25,0.248,0.245,0.257,0.19,0.14,0.107,0.327,0.183,0.428
0.251,0.248,0.245,0.256,0.19,0.14,0.107,0.326,0.183,0.428
0.249,0.249,0.245,0.257,0.19,0.14,0.104,0.323,0.183,0.428
0.25,0.247,0.246,0.257,0.19,0.14,0.104,0.322,0.183,0.428
0.25,0.25,0.245,0.255,0.19,0.14,0.101,0.318,0.183,0.428
0.249,0.248,0.246,0.257,0.19,0.15,0.098,0.313,0.183,0.428
0.248,0.245,0.247,0.259,0.19,0.15,0.092,0.304,0.183,0.428
0.248,0.245,0.248,0.259,0.19,0.15,0.089,0.298,0.183,0.428
0.252,0.248,0.244,0.256,0.2,0.14,0.115,0.34,0.183,0.428
0.251,0.246,0.246,0.257,0.2,0.15,0.094,0.307,0.183,0.428
