lgbm,xgb,lasso,ridge,rmse,mae,r2_pred,c_pred,r2_adp,c_adp
0.245,0.247,0.255,0.253,15.33,12.11,0.368,0.607,0.399,0.631
0.246,0.245,0.256,0.253,15.36,12.19,0.373,0.61,0.399,0.631
0.249,0.244,0.255,0.252,15.38,12.18,0.376,0.613,0.399,0.631
0.244,0.248,0.255,0.253,15.38,12.17,0.371,0.609,0.399,0.631
0.247,0.246,0.254,0.253,15.39,12.15,0.374,0.612,0.399,0.631
0.245,0.246,0.256,0.253,15.39,12.14,0.374,0.612,0.399,0.631
0.248,0.245,0.254,0.252,15.39,12.19,0.372,0.61,0.399,0.631
0.246,0.245,0.255,0.253,15.41,12.21,0.372,0.61,0.399,0.631
0.245,0.246,0.256,0.253,15.42,12.19,0.371,0.609,0.399,0.631
0.247,0.246,0.255,0.252,15.42,12.17,0.368,0.607,0.399,0.631
0.246,0.244,0.256,0.254,15.42,12.23,0.362,0.602,0.399,0.631
0.247,0.246,0.255,0.252,15.43,12.2,0.369,0.608,0.399,0.631
0.246,0.244,0.256,0.254,15.44,12.23,0.368,0.606,0.399,0.631
0.247,0.244,0.256,0.254,15.44,12.25,0.364,0.603,0.399,0.631
0.247,0.244,0.256,0.253,15.44,12.25,0.363,0.602,0.399,0.631
0.247,0.243,0.256,0.254,15.45,12.24,0.359,0.599,0.399,0.631
0.249,0.242,0.256,0.253,15.46,12.22,0.372,0.61,0.399,0.631
0.244,0.246,0.256,0.254,15.46,12.24,0.364,0.603,0.399,0.631
0.247,0.245,0.256,0.253,15.47,12.26,0.368,0.607,0.399,0.631
0.246,0.244,0.256,0.254,15.47,12.25,0.367,0.606,0.399,0.631
0.246,0.246,0.255,0.253,15.47,12.23,0.367,0.606,0.399,0.631
0.244,0.244,0.257,0.255,15.47,12.26,0.358,0.599,0.399,0.631
0.246,0.242,0.257,0.255,15.48,12.25,0.365,0.604,0.399,0.631
0.245,0.245,0.256,0.254,15.48,12.24,0.363,0.603,0.399,0.631
