         15834358 function calls (15552186 primitive calls) in 26.422 seconds

   Ordered by: cumulative time
   List reduced from 976 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   26.422   26.422 profile_glpk.py:710(<lambda>)
        1    0.006    0.006   26.421   26.421 zSim_Helper.py:2330(evaluate_nomination)
       23    0.401    0.017   24.923    1.084 zSim_Helper.py:2582(evaluate_price)
     3500    0.034    0.000   15.194    0.004 profile_glpk.py:155(timed_scenario)
     3500    0.102    0.000   15.145    0.004 zSim_Helper.py:2216(_solve_managed_scenario)
     3500    0.013    0.000    9.672    0.003 profile_glpk.py:135(timed_solve)
     3500    0.019    0.000    9.650    0.003 zSim_Helper.py:2043(solve_ilp)
     3500    9.630    0.003    9.630    0.003 {built-in method cvxopt.glpk.ilp}
     3500    0.023    0.000    3.998    0.001 profile_glpk.py:192(timed_salary)
     3500    0.035    0.000    3.969    0.001 zSim_Helper.py:1989(create_G_salaries)
     3202    0.174    0.000    3.150    0.001 zSim_Helper.py:2673(score_selected_roster)
    27487    0.103    0.000    2.720    0.000 frame.py:4073(__getitem__)
     6910    0.018    0.000    2.716    0.000 generic.py:6684(copy)
     6914    0.031    0.000    2.625    0.000 managers.py:576(copy)
19006/13905    0.059    0.000    2.457    0.000 indexing.py:1177(__getitem__)
     6902    0.055    0.000    2.287    0.000 indexing.py:883(__setitem__)
     3202    0.021    0.000    2.264    0.001 profile_glpk.py:222(timed_multi)
     3202    0.344    0.000    2.237    0.001 zSim_Helper.py:812(managed_lineup_multi_context_scores)
    10844    0.021    0.000    2.133    0.000 generic.py:4164(_take_with_is_copy)
    10845    0.052    0.000    2.072    0.000 generic.py:4049(take)
    11903    0.038    0.000    2.058    0.000 indexing.py:1398(_getitem_axis)
     1704    0.007    0.000    1.890    0.001 frame.py:6261(reset_index)
    10848    0.031    0.000    1.874    0.000 managers.py:888(take)
     6802    0.015    0.000    1.642    0.000 indexing.py:1206(_getbool_axis)
     1700    0.007    0.000    1.597    0.001 profile_glpk.py:198(timed_normalize)
     1700    0.055    0.000    1.587    0.001 zSim_Helper.py:310(normalize_salary_market)
     6902    0.046    0.000    1.496    0.000 indexing.py:1786(_setitem_with_indexer)
    16010    0.385    0.000    1.397    0.000 zSim_Helper.py:878(select_top)
        1    0.002    0.002    1.391    1.391 zSim_Helper.py:2488(sample_contexts)
    10848    0.047    0.000    1.381    0.000 managers.py:642(reindex_indexer)
     6900    0.044    0.000    1.378    0.000 indexing.py:1947(_setitem_with_indexer_split_path)
    15804    0.078    0.000    1.375    0.000 managers.py:317(apply)
     7019    0.131    0.000    1.350    0.000 managers.py:1801(_consolidate_inplace)
     5101    0.020    0.000    1.343    0.000 indexing.py:1366(_getitem_tuple)
