         2405070 function calls (2384129 primitive calls) in 2.662 seconds

   Ordered by: cumulative time
   List reduced from 1227 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    2.662    2.662 profile_target.py:124(run_serial)
        1    0.007    0.007    2.642    2.642 zSim_Helper.py:3169(run_sim)
       25    0.011    0.000    1.788    0.072 zSim_Helper.py:1628(managed_roster_buy_pass_contributions)
      937    0.114    0.000    0.873    0.001 zSim_Helper.py:1268(managed_marginal_values)
      650    0.029    0.000    0.788    0.001 zSim_Helper.py:1779(solve_branch)
      675    0.002    0.000    0.769    0.001 zSim_Helper.py:2164(solve_ilp)
      675    0.767    0.001    0.767    0.001 {built-in method cvxopt.glpk.ilp}
      937    0.064    0.000    0.401    0.000 zSim_Helper.py:1121(managed_base_lineup_state)
        1    0.000    0.000    0.298    0.298 zSim_Helper.py:1386(sample_managed_value_matrix)
       25    0.002    0.000    0.298    0.012 zSim_Helper.py:1346(sample_managed_values)
     3928    0.012    0.000    0.298    0.000 _function_base_impl.py:4087(percentile)
       50    0.044    0.001    0.287    0.006 zSim_Helper.py:524(sample_template_weekly_scores)
     3928    0.004    0.000    0.270    0.000 _function_base_impl.py:4560(_quantile_unchecked)
     3928    0.009    0.000    0.267    0.000 _function_base_impl.py:3857(_ureduce)
     2801    0.007    0.000    0.259    0.000 frame.py:4073(__getitem__)
     3928    0.005    0.000    0.245    0.000 _function_base_impl.py:4715(_quantile_ureduce_func)
     3928    0.038    0.000    0.237    0.000 _function_base_impl.py:4788(_quantile)
     4685    0.092    0.000    0.232    0.000 zSim_Helper.py:1170(select_top)
       25    0.006    0.000    0.203    0.008 zSim_Helper.py:675(sample_managed_holdout_contexts)
       75    0.000    0.000    0.177    0.002 zSim_Helper.py:512(load_weekly_template_profiles)
        1    0.004    0.004    0.176    0.176 zSim_Helper.py:378(read_weekly_template_profile_cache)
       25    0.002    0.000    0.128    0.005 zSim_Helper.py:1815(summarize_managed_roster_iteration)
      650    0.008    0.000    0.122    0.000 zSim_Helper.py:1681(score_roster)
      950    0.002    0.000    0.111    0.000 generic.py:4164(_take_with_is_copy)
      322    0.018    0.000    0.109    0.000 zSim_Helper.py:834(managed_lineup_multi_context_scores)
        6    0.001    0.000    0.109    0.018 sql.py:436(read_sql_query)
        6    0.000    0.000    0.108    0.018 sql.py:2717(read_query)
      951    0.003    0.000    0.105    0.000 generic.py:4049(take)
      414    0.002    0.000    0.097    0.000 base.py:6198(_get_indexer_strict)
      975    0.002    0.000    0.096    0.000 managers.py:888(take)
       25    0.049    0.002    0.088    0.004 zSim_Helper.py:572(sample_seeded_template_weekly_contexts)
    17601    0.040    0.000    0.085    0.000 _shape_base_impl.py:34(_make_along_axis_idx)
    11306    0.025    0.000    0.084    0.000 _shape_base_impl.py:61(take_along_axis)
    65557    0.083    0.000    0.083    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       25    0.002    0.000    0.079    0.003 zSim_Helper.py:2172(tally_player_selections)
      978    0.003    0.000    0.075    0.000 managers.py:642(reindex_indexer)
     1610    0.018    0.000    0.066    0.000 zSim_Helper.py:900(select_top)
      834    0.003    0.000    0.065    0.000 base.py:3827(get_indexer)
    32402    0.013    0.000    0.059    0.000 fromnumeric.py:51(_wrapfunc)
        6    0.000    0.000    0.057    0.010 sql.py:2658(execute)
        6    0.057    0.010    0.057    0.010 {method 'execute' of 'sqlite3.Cursor' objects}
     2856    0.003    0.000    0.054    0.000 take.py:59(take_nd)
     1976    0.003    0.000    0.053    0.000 blocks.py:1353(take_nd)
      459    0.001    0.000    0.053    0.000 frame.py:4141(_getitem_bool_array)
     3928    0.021    0.000    0.051    0.000 _function_base_impl.py:4753(_get_indexes)
     6924    0.025    0.000    0.051    0.000 _methods.py:117(_mean)
     2856    0.041    0.000    0.051    0.000 take.py:120(_take_nd_ndarray)
     6423    0.003    0.000    0.049    0.000 {method 'mean' of 'numpy.ndarray' objects}
      443    0.005    0.000    0.049    0.000 managers.py:727(_slice_take_blocks_ax0)
    25524    0.008    0.000    0.049    0.000 {method 'sum' of 'numpy.ndarray' objects}
     4511    0.004    0.000    0.046    0.000 generic.py:6306(__getattr__)
      125    0.000    0.000    0.045    0.000 generic.py:12478(mean)
      125    0.001    0.000    0.045    0.000 generic.py:12427(_stat_function)
      100    0.000    0.000    0.045    0.000 frame.py:11712(mean)
      418    0.001    0.000    0.044    0.000 base.py:6174(get_indexer_for)
      101    0.001    0.000    0.044    0.000 frame.py:11462(_reduce)
     6295    0.015    0.000    0.042    0.000 _shape_base_impl.py:189(put_along_axis)
218720/217719    0.027    0.000    0.042    0.000 {built-in method builtins.isinstance}
    29928    0.018    0.000    0.042    0.000 numerictypes.py:475(issubdtype)
      962    0.014    0.000    0.041    0.000 zSim_Helper.py:728(_add_waiver_players)
    25524    0.005    0.000    0.041    0.000 _methods.py:49(_sum)
     1323    0.007    0.000    0.041    0.000 base.py:475(__new__)
     2621    0.003    0.000    0.039    0.000 _arraysetops_impl.py:1060(isin)
    29470    0.026    0.000    0.037    0.000 numeric.py:324(full)
      415    0.001    0.000    0.036    0.000 base.py:4330(reindex)
     2621    0.026    0.000    0.034    0.000 _arraysetops_impl.py:908(_in1d)
        6    0.002    0.000    0.034    0.006 sql.py:2757(_fetchall_as_list)
  865/863    0.005    0.000    0.034    0.000 series.py:392(__init__)
      476    0.000    0.000    0.033    0.000 common.py:62(new_method)
        6    0.032    0.005    0.032    0.005 {method 'fetchall' of 'sqlite3.Cursor' objects}
       25    0.011    0.000    0.032    0.001 zSim_Helper.py:751(managed_lineup_weekly_scores)
     4278    0.005    0.000    0.030    0.000 _arraysetops_impl.py:145(unique)
      429    0.000    0.000    0.029    0.000 arraylike.py:38(__eq__)
      429    0.001    0.000    0.029    0.000 series.py:6129(_cmp_method)
     2788    0.008    0.000    0.029    0.000 construction.py:517(sanitize_array)
     3779    0.009    0.000    0.028    0.000 numeric.py:1482(moveaxis)
     2082    0.003    0.000    0.028    0.000 frame.py:4637(_get_item_cache)
     8350    0.004    0.000    0.028    0.000 fromnumeric.py:1129(argsort)
     3290    0.002    0.000    0.027    0.000 base.py:7659(ensure_index)
     3356    0.017    0.000    0.026    0.000 shape_base.py:220(vstack)
    11310    0.017    0.000    0.026    0.000 numeric.py:1420(normalize_axis_tuple)
     3928    0.025    0.000    0.025    0.000 _function_base_impl.py:4657(_lerp)
     1501    0.002    0.000    0.025    0.000 frame.py:3994(_ixs)
31054/29840    0.015    0.000    0.025    0.000 {built-in method numpy.asarray}
     4278    0.010    0.000    0.024    0.000 _arraysetops_impl.py:348(_unique1d)
     3928    0.024    0.000    0.024    0.000 {method 'partition' of 'numpy.ndarray' objects}
     6345    0.007    0.000    0.024    0.000 numeric.py:680(flatnonzero)
      150    0.006    0.000    0.023    0.000 zSim_Helper.py:645(build_managed_decision_scores)
  334/330    0.001    0.000    0.023    0.000 indexing.py:1177(__getitem__)
     8036    0.005    0.000    0.023    0.000 fromnumeric.py:2477(any)
    59856    0.014    0.000    0.022    0.000 numerictypes.py:293(issubclass_)
      476    0.001    0.000    0.021    0.000 series.py:6222(_construct_result)
      136    0.001    0.000    0.021    0.000 frame.py:698(__init__)
      101    0.000    0.000    0.021    0.000 managers.py:1502(reduce)
