factor,default_value,candidate_value,year,comparisons,roster_changed_share,mean_roster_jaccard,mean_roster_slots_changed,top_n_binding_share,feasible_pair_share,feasible_pair_count,actual_points_effect,drafted_only_points_effect,actual_cap_feasible_effect,actual_cap_overage_effect,actual_salary_spend_effect,absolute_forecast_error_effect,hindsight_heuristic_gap_effect,actual_waiver_starts_effect,joint_feasible_actual_points_effect,paired_trials,actual_points_effect_mcse,drafted_only_points_effect_mcse,actual_cap_feasible_effect_mcse,actual_cap_overage_effect_mcse,actual_salary_spend_effect_mcse,absolute_forecast_error_effect_mcse,hindsight_heuristic_gap_effect_mcse,actual_waiver_starts_effect_mcse,joint_feasible_actual_points_effect_mcse
bench_0_minus_025,0.25,0.0,2022,250,0.892,0.6488267285861713,2.932,0.0,0.016,4,-22.664001953125,-17.35559716796875,-0.004,0.608,0.84,18.8676435546875,13.494964599609375,1.62,-13.494964599609375,250,5.030086350784495,6.69804638040257,0.016523562341389922,1.227395348437276,1.3068100896617563,4.615638787716031,,0.4558041571978863,
bench_0_minus_025,0.25,0.0,2023,250,0.892,0.6368284485724114,3.068,0.0,0.248,62,-2.54567431640625,11.496559326171875,0.016,0.504,-0.204,-5.4081875,-0.9587264522429435,0.04,0.9587264522429435,250,4.245822607972114,8.03883685283098,0.031029458732581013,0.8200548125475084,1.0802096776974204,4.185650227418285,,0.4642323196270865,
bench_0_minus_025,0.25,0.0,2024,250,0.852,0.6539086146739397,2.904,0.0,0.124,31,4.85688427734375,2.31096728515625,-0.008,1.176,0.404,0.0517412109375,-16.21547379032258,0.18,16.21547379032258,250,5.834925916939667,7.403025941225284,0.02597001669364641,1.087735616353688,1.2336656189736954,4.490206281702975,,0.5099318798509791,
bench_0_minus_025,0.25,0.0,2025,250,0.812,0.6794924762887611,2.684,0.0,0.06,15,6.71111865234375,11.32407861328125,-0.056,0.952,1.316,2.00467431640625,4.599991861979166,-0.692,-4.599991861979166,250,4.788820206754146,6.542579977230669,0.023099574919157782,0.92710564852887,1.0210635922594398,3.814648122232011,,0.4694572445044071,
prior_waiver_minus_projected,current_projected,prior_empirical,2022,250,1.0,0.47735595226926497,4.692,0.0,0.024,6,-29.09336474609375,-104.86311938476562,-0.012,10.432,10.532,127.49298193359375,-23.52325439453125,4.256,23.52325439453125,250,6.31908752401937,9.60971187493152,0.013271341833297225,1.573726776753667,1.634371003876798,5.869320480868618,,0.5607169249091007,
prior_waiver_minus_projected,current_projected,prior_empirical,2023,250,1.0,0.47872049955548407,4.696,0.0,0.248,62,-21.498720703125,53.7828017578125,0.06,-1.872,-2.704,-89.4553388671875,34.65645476310484,2.0,-34.65645476310484,250,4.726801702822484,11.077086989982014,0.033557479310441105,0.899673336522651,1.2235841485875414,4.656967479912911,,0.5069160240332581,
prior_waiver_minus_projected,current_projected,prior_empirical,2024,250,0.992,0.5159755073959408,4.276,0.0,0.136,34,-33.068240234375,-43.21831298828125,0.168,-6.376,-10.04,15.14169287109375,34.69470573874081,3.04,-34.69470573874081,250,6.379143956684598,8.447159854745815,0.034231435328636664,1.2280827516824424,1.4490523145979815,5.425960741230066,,0.5755332781141916,
prior_waiver_minus_projected,current_projected,prior_empirical,2025,250,0.98,0.551384765836159,3.88,0.0,0.068,17,-6.37543505859375,-52.18200463867188,0.024,-2.1,-3.664,14.69469921875,35.00116325827206,1.372,-35.00116325827206,250,4.9657194985009845,10.223324143556821,0.028300169582417246,1.1676255382571767,1.3814012791277932,4.64265414387814,,0.5839404161715083,
salary_draws_1_minus_5,5,1,2022,250,1.0,0.510694869526758,4.324,0.0,0.0,0,76.1561630859375,67.29463916015625,-0.052,52.468,53.244,-20.977994140625,,-5.348,,250,8.193761565526403,9.39098743675443,0.014070391025641678,2.2333156290133247,2.2977205956649676,5.802218432881917,,0.6399136990006346,
salary_draws_1_minus_5,5,1,2023,250,0.996,0.5950671384343211,3.404,0.0,0.048,12,12.08719677734375,41.7383173828125,-0.292,26.548,30.184,-5.101916015625,14.236684163411459,-2.524,-14.236684163411459,250,4.896147710707533,8.529729245394098,0.03147868533662244,1.4774227206802828,1.6011418415578142,4.807593456223437,,0.5066046675235301,
salary_draws_1_minus_5,5,1,2024,250,0.968,0.6239688879060397,3.116,0.0,0.068,17,17.17095849609375,17.596642333984374,-0.108,11.252,12.376,-3.44655712890625,0.35411879595588236,-1.196,-0.35411879595588236,250,5.6320982395841055,7.206592753331072,0.026000926767542048,1.4042913232238985,1.5099597377541412,4.353515555561923,,0.5037911851481045,
salary_draws_1_minus_5,5,1,2025,250,0.996,0.5963767851000049,3.392,0.0,0.044,11,10.59328271484375,12.07695751953125,-0.096,14.08,14.864,9.18240576171875,48.47091397372159,-1.568,-48.47091397372159,250,5.749003730157925,8.21471013009905,0.021841341000653495,1.333693124147227,1.4000767391475397,4.51920443059277,,0.5019375151114979,
top_n_off_minus_on,True,False,2022,250,0.268,0.8917940390191165,0.9,0.268,0.036,9,-0.22167919921875,-0.44159912109375,0.004,0.088,0.26,1.6661328125,16.40444607204861,-0.672,-16.40444607204861,250,2.7751329014832655,3.3933628451566693,0.012021399927832849,0.7904455964605378,0.8560120481079833,2.459699533135379,,0.25854408555738967,
top_n_off_minus_on,True,False,2023,250,0.048,0.9790261437908497,0.176,0.048,0.348,87,1.22103955078125,5.160880859375,-0.008,-0.188,0.092,1.7318095703125,0.4464391949533046,-0.448,-0.4464391949533046,250,1.4093078544347413,2.474539469476121,0.008,0.14114642486797904,0.22433781182685422,1.4361897380828876,,0.16870991714946196,
top_n_off_minus_on,True,False,2024,250,0.352,0.849210595115239,1.268,0.344,0.172,43,7.1279248046875,12.50800439453125,-0.004,2.464,2.72,-4.10625537109375,0.18185353833575582,-1.6,-0.18185353833575582,250,4.115648298251714,4.767032503098522,0.017468732824850924,0.9029018457018945,0.9680718218235853,2.7497389733398028,,0.3185307636470271,
top_n_off_minus_on,True,False,2025,250,0.684,0.6975009287925696,2.56,0.684,0.112,28,-27.67512060546875,-28.16479833984375,0.06,-6.216,-7.332,4.83691357421875,-3.5164315359933034,-1.188,3.5164315359933034,250,5.284049978694185,7.57704407653365,0.024081521519930163,1.0238154954261527,1.1183999184147144,4.493559240290557,,0.4409220714506924,
