factor,default_value,candidate_value,year,comparisons,roster_changed_share,mean_roster_jaccard,mean_roster_slots_changed,top_n_binding_share,feasible_pair_share,feasible_pair_count,actual_points_effect,drafted_only_points_effect,actual_cap_feasible_effect,actual_cap_overage_effect,actual_salary_spend_effect,absolute_forecast_error_effect,hindsight_heuristic_gap_effect,actual_waiver_starts_effect,joint_feasible_actual_points_effect,paired_trials,actual_points_effect_mcse,drafted_only_points_effect_mcse,actual_cap_feasible_effect_mcse,actual_cap_overage_effect_mcse,actual_salary_spend_effect_mcse,absolute_forecast_error_effect_mcse,hindsight_heuristic_gap_effect_mcse,actual_waiver_starts_effect_mcse,joint_feasible_actual_points_effect_mcse
bench_0_minus_025,0.25,0.0,2022,2000,0.8775,0.6405036353137745,3.0385,0.0,0.008,16,-11.93100146484375,-9.936418579101563,0.005,-1.926,-2.032,9.492708190917968,13.071205139160156,1.739,-13.071205139160156,250,2.871006686408616,3.489251854533048,0.005614811164916472,0.8378023316916418,0.86199189328925,2.4798781004172636,,0.2696076205827744,
bench_0_minus_025,0.25,0.0,2023,2000,0.92,0.6058968825249398,3.384,0.0,0.156,312,4.998053161621094,4.87629736328125,0.012,-0.4105,-0.7255,3.059075378417969,-7.556419176933093,1.3915,7.556419176933093,250,2.6509028002222146,4.789443353203744,0.013403080626524804,0.597804894398723,0.6891320344051447,2.585763458815673,,0.24646223958685576,
bench_0_minus_025,0.25,0.0,2024,2000,0.8935,0.6019850367339918,3.433,0.0,0.122,244,-4.873848327636718,-12.77631884765625,0.004,0.238,-0.157,2.82616064453125,-8.027947097528177,1.659,8.027947097528177,250,3.27401171037035,4.242836163587821,0.012829434029217351,0.6849306123798968,0.8072875925146581,2.430370888467751,,0.28728296505019596,
bench_0_minus_025,0.25,0.0,2025,2000,0.89,0.6185378100442729,3.246,0.0,0.0715,143,8.755579833984376,18.626740356445314,-0.0455,2.5315,3.2935,0.26936566162109377,-14.490623634178322,0.996,14.490623634178322,250,2.491846371769945,4.661370346811215,0.010459762258580455,0.5563419329742656,0.615037205424375,2.143376069616273,,0.2631442867756216,
prior_waiver_minus_projected,current_projected,prior_empirical,2022,2000,1.0,0.4832251250899084,4.629,0.0,0.008,16,-24.412026000976564,-96.9228594970703,-0.004,8.492,8.473,115.26002642822266,30.06878662109375,4.82,-30.06878662109375,250,4.283793749788564,6.447656815188509,0.005436379021689887,1.1740110526767749,1.2030187448255354,3.7495705665544077,,0.3850681888187606,
prior_waiver_minus_projected,current_projected,prior_empirical,2023,2000,1.0,0.48405713258190036,4.6385,0.0,0.1455,291,-21.25191094970703,26.375542724609375,0.03,-2.1395,-2.7365,-86.78991119384766,31.759874271772983,3.4015,-31.759874271772983,250,3.2854785338003154,8.443032953229123,0.015839937324933814,0.6881216860550734,0.8157455388395,3.240277024916108,,0.3767701740533941,
prior_waiver_minus_projected,current_projected,prior_empirical,2024,2000,0.9885,0.5010169245529152,4.455,0.0,0.0955,191,-33.50863177490234,-50.1182802734375,0.118,-6.8,-9.236,12.067810180664063,27.946920504744764,4.152,-27.946920504744764,250,4.076489645107677,5.939630906129476,0.01647390537282923,0.775388230263087,0.8953355342414943,3.63368950117535,,0.4214839008964156,
prior_waiver_minus_projected,current_projected,prior_empirical,2025,2000,0.983,0.5495984661408423,3.8995,0.0,0.065,130,-8.257956787109375,-61.02186315917969,0.0485,-3.3635,-4.6915,18.929839782714843,17.357850060096155,3.645,-17.357850060096155,250,2.5215235126727316,6.672283488355165,0.012864797396313427,0.7150671332260212,0.8299783232520431,2.5694247804201664,,0.36615869340358437,
salary_draws_1_minus_5,5,1,2022,2000,1.0,0.4756778099437542,4.731,0.0,0.0,0,81.21925866699219,78.08133801269531,-0.046,53.985,54.648,-34.04826385498047,,-5.624,,250,5.6842650655572085,6.797913100466476,0.008563253894932482,1.8652301288942712,1.9167559043308433,4.158299678419763,,0.4168543705720983,
salary_draws_1_minus_5,5,1,2023,2000,0.996,0.5501915483702668,3.887,0.0,0.0585,117,13.27428887939453,9.041057006835938,-0.299,27.2365,31.4485,-1.9451825561523437,1.6191552317040598,-1.8775,-1.6191552317040598,250,3.3870607394052366,5.776526117975973,0.024170910858445274,1.1858818592661524,1.305268956650999,3.100299481341643,,0.30216541953547926,
