year,trial,buffer,buffer_dollars,nominal_cap,status,roster,sampled_salary_spend,point_salary_spend,forecast_ev,actual_cap_feasible,actual_cap_overage,salary_model_fallback_players,minimum_salary_fallback_players,contains_top_n,qb_count,rb_count,wr_count,te_count,actual_points,drafted_only_points,actual_waiver_starts,actual_salary_spend,actual_salary_missing_players,raw_outcome_missing_players
2022,0,none,,,optimal,Aaron Rodgers|Breece Hall|Brevin Jordan|Chase Claypool|Damien Harris|George Kittle|Jaylen Waddle|Josh Jacobs|Kenneth Walker|Marquise Brown|Treylon Burks|Tyler Boyd|Tyreek Hill,286.6822814941406,296.56402683258057,1595.9559326171875,True,0.0,0,0,True,1,4,6,2,1629.5599365234375,1687.5,37,282.0,1,0
2022,0,5,5.0,303.0,optimal,Aaron Rodgers|Breece Hall|Brevin Jordan|Damien Harris|Elijah Mitchell|George Kittle|Josh Jacobs|Kenneth Walker|Marquise Brown|Melvin Gordon|Treylon Burks|Tyler Boyd|Tyreek Hill,286.6822814941406,286.99071979522705,1592.4942626953125,False,5.0,0,0,True,1,6,4,2,1566.3599853515625,1580.800048828125,47,303.0,1,0
2022,0,10,10.0,308.0,optimal,Breece Hall|Brevin Jordan|Chase Claypool|Damien Harris|George Kittle|Jalen Hurts|Jaylen Waddle|Josh Jacobs|Juju Smith Schuster|Kenneth Walker|Treylon Burks|Tyler Boyd|Tyreek Hill,283.43865966796875,295.8042588233948,1601.190673828125,True,0.0,0,0,True,1,4,6,2,1770.800048828125,1825.679931640625,25,294.0,1,0
2022,1,none,,,optimal,Cordarrelle Patterson|Damien Harris|Davante Adams|Garrett Wilson|George Kittle|Hunter Henry|Joe Mixon|Juju Smith Schuster|Kareem Hunt|Kenneth Walker|Marvin Jones|Michael Carter|Russell Wilson,292.0506896972656,299.6432933807373,1591.07470703125,False,30.0,0,0,True,1,6,4,2,1428.9599609375,1440.159912109375,40,328.0,0,0
2022,1,5,5.0,303.0,optimal,Cordarrelle Patterson|Damien Harris|Davante Adams|Garrett Wilson|George Kittle|Hunter Henry|Joe Mixon|Juju Smith Schuster|Kareem Hunt|Kenneth Walker|Marvin Jones|Michael Carter|Russell Wilson,292.0506896972656,299.6432933807373,1591.07470703125,False,30.0,0,0,True,1,6,4,2,1428.9599609375,1440.159912109375,40,328.0,0,0
2022,1,10,10.0,308.0,optimal,Cordarrelle Patterson|Damien Harris|Davante Adams|Garrett Wilson|George Kittle|Hunter Henry|Joe Mixon|Juju Smith Schuster|Kareem Hunt|Kenneth Walker|Marvin Jones|Michael Carter|Russell Wilson,292.0506896972656,299.6432933807373,1591.07470703125,False,30.0,0,0,True,1,6,4,2,1428.9599609375,1440.159912109375,40,328.0,0,0
2022,2,none,,,optimal,Aaron Rodgers|Breece Hall|Chris Godwin|Cordarrelle Patterson|Darrel Williams|Darren Waller|Diontae Johnson|George Kittle|James Robinson|Juju Smith Schuster|Kenneth Walker|Nick Chubb|Tony Pollard,292.5893859863281,306.3552703857422,1612.6580810546875,False,28.0,0,0,True,1,7,3,2,1480.3599853515625,1552.89990234375,37,326.0,1,0
2022,2,5,5.0,303.0,optimal,Aaron Rodgers|Breece Hall|Chase Edmonds|Chris Godwin|Cordarrelle Patterson|Darrel Williams|Darren Waller|Diontae Johnson|Juju Smith Schuster|Kenneth Walker|Nick Chubb|Noah Fant|Tony Pollard,291.58294677734375,300.78879499435425,1593.9371337890625,False,29.0,0,0,True,1,7,3,2,1427.260009765625,1468.4000244140625,45,327.0,2,0
2022,2,10,10.0,308.0,optimal,Aaron Rodgers|Breece Hall|Chris Godwin|Cordarrelle Patterson|Darrel Williams|Darren Waller|Diontae Johnson|George Kittle|James Robinson|Juju Smith Schuster|Kenneth Walker|Nick Chubb|Tony Pollard,292.5893859863281,306.3552703857422,1612.6580810546875,False,28.0,0,0,True,1,7,3,2,1480.3599853515625,1552.89990234375,37,326.0,1,0
2022,3,none,,,optimal,Aj Dillon|Albert Okwuegbunam|Damien Harris|Drake London|George Kittle|Joe Mixon|Juju Smith Schuster|Kenneth Walker|Lamar Jackson|Miles Sanders|Travis Etienne|Treylon Burks|Tyler Lockett,292.82952880859375,304.21289682388306,1607.6932373046875,False,42.0,0,0,True,1,6,4,2,1489.0999755859375,1511.659912109375,26,340.0,1,0
2022,3,5,5.0,303.0,optimal,Aj Dillon|Dallas Goedert|Damien Harris|Drake London|George Kittle|Joe Mixon|Juju Smith Schuster|Kenneth Walker|Miles Sanders|Russell Wilson|Travis Etienne|Treylon Burks|Tyler Lockett,284.50970458984375,296.9250283241272,1604.4383544921875,False,27.0,0,0,True,1,6,4,2,1454.159912109375,1467.1600341796875,33,325.0,0,0
2022,3,10,10.0,308.0,optimal,Aj Dillon|Dallas Goedert|Damien Harris|Drake London|Joe Mixon|Juju Smith Schuster|Kenneth Walker|Lamar Jackson|Miles Sanders|Tj Hockenson|Travis Etienne|Treylon Burks|Tyler Lockett,289.5827941894531,300.2558522224426,1585.38330078125,False,34.0,0,0,True,1,6,4,2,1487.800048828125,1482.8599853515625,21,332.0,0,0
2022,4,none,,,optimal,Alexander Mattison|Breece Hall|Darrell Henderson|Dawson Knox|Dk Metcalf|Elijah Mitchell|Juju Smith Schuster|Michael Gallup|Miles Sanders|Russell Wilson|Tim Patrick|Travis Etienne|Travis Kelce,289.1437683105469,296.77152848243713,1555.7373046875,True,0.0,1,1,True,1,6,4,2,1490.4599609375,1432.659912109375,49,283.0,1,1
2022,4,5,5.0,303.0,optimal,Alexander Mattison|Breece Hall|Darrell Henderson|Dawson Knox|Dk Metcalf|Elijah Mitchell|Juju Smith Schuster|Michael Gallup|Miles Sanders|Russell Wilson|Tim Patrick|Travis Etienne|Travis Kelce,289.1437683105469,296.77152848243713,1555.7373046875,True,0.0,1,1,True,1,6,4,2,1490.4599609375,1432.659912109375,49,283.0,1,1
2022,4,10,10.0,308.0,optimal,Alexander Mattison|Breece Hall|Darrell Henderson|Dawson Knox|Dk Metcalf|Elijah Mitchell|Juju Smith Schuster|Michael Gallup|Miles Sanders|Russell Wilson|Tim Patrick|Travis Etienne|Travis Kelce,289.1437683105469,296.77152848243713,1555.7373046875,True,0.0,1,1,True,1,6,4,2,1490.4599609375,1432.659912109375,49,283.0,1,1
2022,5,none,,,optimal,Adam Thielen|George Kittle|Jalen Hurts|James Cook|Josh Jacobs|Juju Smith Schuster|Kenneth Gainwell|Michael Carter|Mike Evans|Nick Chubb|Travis Etienne|Tyler Higbee|Tyler Lockett,295.19439697265625,310.67108249664307,1580.8751220703125,False,36.0,0,0,True,1,6,4,2,1707.7999267578125,1766.679931640625,20,334.0,1,0
2022,5,5,5.0,303.0,optimal,Breece Hall|George Kittle|Jalen Hurts|James Cook|Josh Jacobs|Juju Smith Schuster|Kenneth Gainwell|Michael Carter|Mike Evans|Nick Chubb|Rashaad Penny|Tyler Higbee|Tyler Lockett,284.85760498046875,299.6284828186035,1591.084716796875,False,41.0,0,0,True,1,7,3,2,1713.300048828125,1757.280029296875,30,339.0,1,0
2022,5,10,10.0,308.0,optimal,Breece Hall|George Kittle|Jalen Hurts|James Cook|Josh Jacobs|Juju Smith Schuster|Kenneth Gainwell|Michael Carter|Mike Evans|Nick Chubb|Rashaad Penny|Tyler Higbee|Tyler Lockett,284.85760498046875,299.6284828186035,1591.084716796875,False,41.0,0,0,True,1,7,3,2,1713.300048828125,1757.280029296875,30,339.0,1,0
2022,6,none,,,optimal,Aaron Rodgers|Alexander Mattison|Darrell Henderson|Darren Waller|Devonta Smith|Diontae Johnson|Josh Jacobs|Marvin Jones|Michael Carter|Najee Harris|Rashaad Penny|Travis Etienne|Tyler Lockett,291.1721496582031,310.10474944114685,1575.947509765625,False,13.0,0,0,True,1,7,4,1,1453.9599609375,1430.2000732421875,46,311.0,0,0
2022,6,5,5.0,303.0,optimal,Aaron Rodgers|Alexander Mattison|Allen Lazard|Darrell Henderson|Diontae Johnson|Josh Jacobs|Marvin Jones|Michael Carter|Najee Harris|Rashaad Penny|Travis Etienne|Tyler Lockett|Zach Ertz,284.0551452636719,291.54427886009216,1550.3609619140625,False,4.0,0,0,True,1,7,4,1,1392.260009765625,1426.5,48,302.0,0,0
2022,6,10,10.0,308.0,optimal,Alexander Mattison|Breece Hall|Darrell Henderson|Devonta Smith|Diontae Johnson|Jalen Hurts|Josh Jacobs|Marvin Jones|Michael Carter|Najee Harris|Rashaad Penny|Tyler Lockett|Zach Ertz,297.4757385253906,301.8416883945465,1561.5264892578125,True,0.0,0,0,True,1,7,4,1,1605.39990234375,1609.280029296875,39,296.0,0,0
