player,player_key,pos,pred_fp_per_game,stored_pred_salary,pred_salary_raw,base_salary_observed,salary_resid_5,salary_resid_10,salary_resid_25,salary_resid_75,salary_resid_90,salary_resid_95,espn_source_salary,salary_model_matched,espn_source_matched,raw_point_salary,point_salary,year
Aaron Jones,aaronjones,RB,13.398380279541016,73.15714462627719,67.0249039572842,1.0,-8.206415705456164,-6.358778232984785,-4.399545876023275,1.7578649712730758,6.444035929913353,11.062558551895936,56.0,True,True,67.0249039572842,73.73779,2022
Aaron Rodgers,aaronrodgers,QB,18.130952835083008,5.383343069587101,5.01082674044619,1.0,-9.780196144686157,-7.706902702090292,-4.741141814322451,1.0365806786024834,5.325915008837539,7.897920233324226,4.0,True,True,5.01082674044619,5.418616,2022
Abram Smith,abramsmith,RB,6.306136608123779,,,,-8.206415705456164,-6.358778232984785,-4.399545876023275,1.7578649712730758,6.444035929913353,11.062558551895936,,False,False,1.0,1.0,2022
Adam Thielen,adamthielen,WR,10.604836463928224,19.700117500596747,18.110896895401865,1.0,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,10.0,True,True,18.110896895401865,19.850597,2022
Adam Trautman,adamtrautman,TE,6.530933856964111,1.0,1.0,0.0,-9.780196144686157,-7.706902702090292,-4.741141814322451,1.0365806786024834,5.325915008837539,7.897920233324226,,True,False,1.0,1.0,2022
Aj Brown,ajbrown,WR,11.94201374053955,55.21179592160347,50.604632190119816,1.0,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,46.0,True,True,50.604632190119816,55.64804,2022
Aj Dillon,ajdillon,RB,10.621748924255373,20.345024646668048,18.70099691392751,1.0,-8.206415705456164,-6.358778232984785,-4.399545876023275,1.7578649712730758,6.444035929913353,11.062558551895936,2.0,True,True,18.70099691392751,20.500694,2022
Aj Green,ajgreen,WR,8.239962577819824,1.0,1.0,0.0,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,,True,False,1.0,1.0,2022
Albert Okwuegbunam,albertokwuegbunam,TE,7.163317680358887,1.0,1.0,0.0,-9.780196144686157,-7.706902702090292,-4.741141814322451,1.0365806786024834,5.325915008837539,7.897920233324226,,True,False,1.0,1.0,2022
Alec Pierce,alecpierce,WR,6.653608322143555,1.98576311340289,1.9019885033443735,0.0,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,,True,False,1.9019885033443735,1.9936956,2022
Alexander Mattison,alexandermattison,RB,8.616082191467285,3.083034006268645,2.9060083504684537,0.0,-8.206415705456164,-6.358778232984785,-4.399545876023275,1.7578649712730758,6.444035929913353,11.062558551895936,,True,False,2.9060083504684537,3.0997963,2022
Allen Lazard,allenlazard,WR,8.974535942077637,12.416724006516572,11.446479138568538,1.0,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,4.0,True,True,11.446479138568538,12.5085945,2022
Alvin Kamara,alvinkamara,RB,13.856033325195312,91.1746996800346,83.51124565124584,1.0,-8.206415705456164,-6.358778232984785,-4.399545876023275,1.7578649712730758,6.444035929913353,11.062558551895936,81.0,True,True,83.51124565124584,91.90034,2022
Amari Cooper,amaricooper,WR,10.31868839263916,19.144113458097085,17.602144592410465,1.0,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,12.0,True,True,17.602144592410465,19.29012,2022
Amari Rodgers,amarirodgers,WR,7.209855079650879,1.0,1.0,0.0,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,,True,False,1.0,1.0,2022
Austin Hooper,austinhooper,TE,6.908958435058594,1.0,1.0,0.0,-9.780196144686157,-7.706902702090292,-4.741141814322451,1.0365806786024834,5.325915008837539,7.897920233324226,,True,False,1.0,1.0,2022
Baker Mayfield,bakermayfield,QB,14.359182357788086,1.0,1.0,0.0,-9.780196144686157,-7.706902702090292,-4.741141814322451,1.0365806786024834,5.325915008837539,7.897920233324226,,True,False,1.0,1.0,2022
Benny Snell,bennysnell,RB,6.416409492492676,,,,-8.206415705456164,-6.358778232984785,-4.399545876023275,1.7578649712730758,6.444035929913353,11.062558551895936,,False,False,1.0,1.0,2022
Boston Scott,bostonscott,RB,6.847029209136963,1.0,1.0,0.0,-8.206415705456164,-6.358778232984785,-4.399545876023275,1.7578649712730758,6.444035929913353,11.062558551895936,,True,False,1.0,1.0,2022
Brandin Cooks,brandincooks,WR,10.482514381408691,39.688223830652056,36.40032350125029,1.0,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,38.0,True,True,36.40032350125029,39.99955,2022
Brandon Aiyuk,brandonaiyuk,WR,9.455514907836914,11.728032687911286,10.81631592461882,1.0,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,4.0,True,True,10.81631592461882,11.814362,2022
Braxton Berrios,braxtonberrios,WR,7.547566413879394,1.0,1.0,0.0,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,,True,False,1.0,1.0,2022
Breece Hall,breecehall,RB,14.028142929077148,47.65035429952277,43.685796093400405,1.0,-8.206415705456164,-6.358778232984785,-4.399545876023275,1.7578649712730758,6.444035929913353,11.062558551895936,33.0,True,True,43.685796093400405,48.02575,2022
Brevin Jordan,brevinjordan,TE,6.908616065979004,1.0,1.0,0.0,-9.780196144686157,-7.706902702090292,-4.741141814322451,1.0365806786024834,5.325915008837539,7.897920233324226,,True,False,1.0,1.0,2022
Brian Robinson,brianrobinson,RB,7.117944240570068,1.8112617400449424,1.7423170463314115,1.0,-8.206415705456164,-6.358778232984785,-4.399545876023275,1.7578649712730758,6.444035929913353,11.062558551895936,0.0,True,True,1.7423170463314115,1.81779,2022
Bryan Edwards,bryanedwards,WR,7.607735633850098,1.0,1.0,0.0,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,,True,False,1.0,1.0,2022
Byron Pringle,byronpringle,WR,7.625349044799805,1.0,1.0,0.0,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,,True,False,1.0,1.0,2022
Cade Otton,cadeotton,TE,5.9617204666137695,,,,-9.780196144686157,-7.706902702090292,-4.741141814322451,1.0365806786024834,5.325915008837539,7.897920233324226,,False,False,1.0,1.0,2022
Calvin Austin,calvinaustin,WR,4.27553129196167,,,,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,,False,False,1.0,1.0,2022
Calvin Ridley,calvinridley,WR,8.882122993469238,,,,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,,False,False,1.0,1.0,2022
Cameron Brate,cameronbrate,TE,6.336123466491699,1.0,1.0,0.0,-9.780196144686157,-7.706902702090292,-4.741141814322451,1.0365806786024834,5.325915008837539,7.897920233324226,,True,False,1.0,1.0,2022
Cedrick Wilson,cedrickwilson,WR,7.56048059463501,1.0,1.0,0.0,-10.359507878978812,-9.01384796765963,-5.651470168186153,-0.3450837164244473,3.326060861379959,4.705083945111327,,True,False,1.0,1.0,2022
