year,buffer,trials,unique_rosters,actual_points,cap_feasible_rate,mean_cap_overage,actual_salary_spend,point_salary_spend,sampled_salary_spend,forecast_ev,actual_waiver_starts,salary_model_fallback_players,minimum_salary_fallback_players
2022,10,250,250,1481.9293564453126,0.268,18.104,312.3,300.8754439125061,289.9622669677734,1575.2872387695313,40.436,0.128,0.128
2022,5,250,250,1474.0831953125,0.308,16.172,309.704,296.8225126581192,287.0445260009766,1573.1091108398437,41.16,0.128,0.128
2022,none,250,250,1485.2389560546876,0.232,21.456,316.424,306.4456207857132,292.65616943359373,1578.2158579101563,39.072,0.12,0.12
2023,10,250,250,1687.668078125,0.14,23.632,319.916,303.21867520284655,286.06637890625,1536.504478515625,61.36,0.368,0.096
2023,5,250,250,1687.33223828125,0.228,19.812,315.276,298.38031305170057,282.3880748901367,1534.876962890625,62.38,0.36,0.092
2023,none,250,250,1694.469755859375,0.04,37.008,334.704,317.6639056944847,293.2059050292969,1543.45612109375,60.072,0.328,0.08
2024,10,250,250,1605.5594467773437,0.092,31.548,328.556,302.1799545021057,290.583125,1654.4122680664063,29.504,1.332,0.008
2024,5,250,250,1597.041361328125,0.16,26.644,323.172,297.92071542835237,287.55243505859374,1650.4951977539063,30.116,1.356,0.008
2024,none,250,250,1604.3129653320314,0.044,37.12,334.672,309.98191967344286,293.41587109375,1659.99311328125,29.392,1.336,0.004
2025,10,250,250,1552.6458427734376,0.1,26.516,323.604,302.374501786232,290.6609111328125,1637.6405224609375,38.652,0.396,0.0
2025,5,250,250,1549.5484829101563,0.164,23.2,319.696,297.8149893126488,288.1541657714844,1633.1519594726562,39.448,0.412,0.004
2025,none,250,250,1569.5891186523438,0.044,36.76,334.44,312.9583932304382,293.8361314697266,1647.0398442382811,37.376,0.372,0.0
