year,player,player_key,pos,pred_fp_per_game,point_salary,actual_salary,salary_residual,selection_slots,selection_rate,predicted_salary_tier,value_over_price_quintile,salary_center_source,residual_contribution_per_roster_within_origin,gross_direction,direction_rank
2023,Jerry Jeudy,jerryjeudy,WR,10.568398475646973,19.243784,8.0,-11.243784000000002,298,0.298,$16-30,4,current_salary_model,-3.3506476320000007,negative,1.0
2025,Rashee Rice,rasheerice,WR,10.608,25.264147,16.0,-9.264147000000001,304,0.304,$16-30,1,current_salary_model,-2.816300688,negative,2.0
2024,Jalen Hurts,jalenhurts,QB,22.696,33.441513,27.0,-6.4415130000000005,401,0.401,$31-50,4,current_salary_model,-2.5830467130000003,negative,3.0
2023,Chris Godwin,chrisgodwin,WR,11.012168884277344,29.973618,20.0,-9.973617999999998,250,0.25,$16-30,4,current_salary_model,-2.4934044999999996,negative,4.0
2024,Puka Nacua,pukanacua,WR,14.88075,76.56964,57.0,-19.569640000000007,100,0.1,$51+,3,current_salary_model,-1.9569640000000006,negative,5.0
2022,Amari Cooper,amaricooper,WR,10.31868839263916,19.29012,10.0,-9.290120000000002,202,0.202,$16-30,4,current_salary_model,-1.8766042400000003,negative,6.0
2023,Devon Achane,devonachane,RB,9.86878776550293,7.0095286,2.0,-5.0095286,374,0.374,$6-15,5,current_salary_model,-1.8735636964,negative,7.0
2025,Kaleb Johnson,kalebjohnson,RB,11.119216666666668,20.933641,11.0,-9.933641000000001,169,0.169,$16-30,5,current_salary_model,-1.6787853290000003,negative,8.0
2022,George Kittle,georgekittle,TE,11.241249084472656,21.325632,17.0,-4.325631999999999,382,0.382,$16-30,4,current_salary_model,-1.6523914239999995,negative,9.0
2023,Breece Hall,breecehall,RB,11.854406356811523,42.82227,34.0,-8.822270000000003,182,0.182,$31-50,4,current_salary_model,-1.6056531400000005,negative,10.0
2024,Brian Thomas,brianthomas,WR,10.273216666666668,8.688949,3.0,-5.688948999999999,280,0.28,$6-15,4,current_salary_model,-1.5929057199999996,negative,11.0
2022,Dk Metcalf,dkmetcalf,WR,11.160555839538574,35.58206,21.0,-14.582059999999998,109,0.109,$31-50,3,current_salary_model,-1.5894445399999997,negative,12.0
2024,Malik Nabers,maliknabers,WR,13.924666666666669,49.73112,40.0,-9.731119999999997,163,0.163,$31-50,4,current_salary_model,-1.5861725599999996,negative,13.0
2022,Jaylen Waddle,jaylenwaddle,WR,12.198697090148926,44.516525,38.0,-6.5165250000000015,238,0.238,$31-50,4,current_salary_model,-1.5509329500000004,negative,14.0
2025,Garrett Wilson,garrettwilson,WR,12.618,43.60465,27.0,-16.60465,88,0.088,$31-50,2,current_salary_model,-1.4612092,negative,15.0
2024,Jordan Addison,jordanaddison,WR,10.13875,8.664368,5.0,-3.6643679999999996,393,0.393,$6-15,4,current_salary_model,-1.4400966239999997,negative,16.0
2025,Tyrone Tracy,tyronetracy,RB,10.74725,20.258102,12.0,-8.258102000000001,171,0.171,$16-30,4,current_salary_model,-1.4121354420000003,negative,17.0
2024,Jayden Reed,jaydenreed,WR,10.262125,13.575852,8.0,-5.575851999999999,250,0.25,$6-15,3,current_salary_model,-1.3939629999999998,negative,18.0
2022,Najee Harris,najeeharris,RB,15.562064170837402,102.321335,92.0,-10.321335000000005,134,0.134,$51+,4,current_salary_model,-1.3830588900000007,negative,19.0
2022,Diontae Johnson,diontaejohnson,WR,11.610716819763184,45.54021,35.0,-10.540210000000002,122,0.122,$31-50,3,current_salary_model,-1.2859056200000003,negative,20.0
2023,Evan Engram,evanengram,TE,8.600553512573242,6.3308177,3.0,-3.3308177,373,0.373,$6-15,4,current_salary_model,-1.2423950021,negative,21.0
2022,Derrick Henry,derrickhenry,RB,14.99672031402588,103.83678,87.0,-16.836780000000005,72,0.072,$51+,3,current_salary_model,-1.2122481600000004,negative,22.0
2025,Sam Laporta,samlaporta,TE,10.051,18.351957,14.0,-4.351956999999999,273,0.273,$16-30,2,current_salary_model,-1.1880842609999998,negative,23.0
2025,Malik Nabers,maliknabers,WR,16.02675,80.60188,73.0,-7.601879999999994,154,0.154,$51+,3,current_salary_model,-1.170689519999999,negative,24.0
2023,Deshaun Watson,deshaunwatson,QB,17.285459518432617,9.362291,2.0,-7.362291000000001,154,0.154,$6-15,3,current_salary_model,-1.1337928140000002,negative,25.0
2025,Deebo Samuel,deebosamuel,WR,9.88975,10.316588,7.0,-3.3165879999999994,333,0.333,$6-15,4,current_salary_model,-1.1044238039999998,negative,26.0
2025,Puka Nacua,pukanacua,WR,15.67625,80.329575,65.0,-15.329575000000006,69,0.069,$51+,4,current_salary_model,-1.0577406750000005,negative,27.0
2024,Kyle Pitts,kylepitts,TE,9.9415,13.797963,10.0,-3.7979629999999993,275,0.275,$6-15,3,current_salary_model,-1.0444398249999998,negative,28.0
2022,Chase Claypool,chaseclaypool,WR,9.312097549438477,6.2356873,2.0,-4.2356873,232,0.232,$6-15,3,current_salary_model,-0.9826794536000001,negative,29.0
2022,Ezekiel Elliott,ezekielelliott,RB,12.82514762878418,54.544937,45.0,-9.544936999999997,102,0.102,$51+,2,current_salary_model,-0.9735835739999997,negative,30.0
2024,Rashee Rice,rasheerice,WR,12.04475,9.1012945,26.0,16.8987055,675,0.675,$6-15,5,espn_fallback,11.406626212499999,positive,1.0
2025,Emeka Egbuka,emekaegbuka,WR,12.24345,12.293775,27.0,14.706225,478,0.478,$6-15,5,current_salary_model,7.02957555,positive,2.0
2025,Matthew Golden,matthewgolden,WR,10.9345,13.713803,30.0,16.286197,431,0.431,$6-15,5,current_salary_model,7.019350907000001,positive,3.0
2023,Davante Adams,davanteadams,WR,14.709924697875977,75.592,95.0,19.408,324,0.324,$51+,4,current_salary_model,6.2881920000000004,positive,4.0
2023,Jaxon Smith Njigba,jaxonsmithnjigba,WR,10.535658836364746,12.225244,24.0,11.774756,519,0.519,$6-15,5,current_salary_model,6.111098364,positive,5.0
2022,Clyde Edwards Helaire,clydeedwardshelaire,RB,11.34723663330078,26.303614,46.0,19.696386,275,0.275,$16-30,3,current_salary_model,5.41650615,positive,6.0
2025,Travis Hunter,travishunter,WR,11.9375,18.724325,27.0,8.275675,648,0.648,$16-30,5,current_salary_model,5.3626374,positive,7.0
2023,Jonathan Taylor,jonathantaylor,RB,13.10558795928955,55.5756,78.0,22.4244,238,0.238,$51+,4,current_salary_model,5.3370072,positive,8.0
2024,Tee Higgins,teehiggins,WR,11.551625,26.202797,40.0,13.797203,370,0.37,$16-30,3,current_salary_model,5.10496511,positive,9.0
2024,Cooper Kupp,cooperkupp,WR,12.66025,38.771385,62.0,23.228614999999998,200,0.2,$31-50,3,current_salary_model,4.645723,positive,10.0
2024,Xavier Worthy,xavierworthy,WR,11.040216666666666,13.046261,26.0,12.953739,286,0.286,$6-15,4,current_salary_model,3.704769354,positive,11.0
2022,Rashaad Penny,rashaadpenny,RB,9.75648307800293,11.672027,27.0,15.327973,224,0.224,$6-15,4,current_salary_model,3.433465952,positive,12.0
2022,Nick Chubb,nickchubb,RB,13.260684967041016,63.66413,81.0,17.33587,195,0.195,$51+,3,current_salary_model,3.38049465,positive,13.0
2025,Jacory Croskey Merritt,jacorycroskeymerritt,RB,9.781783333333331,9.898151,19.0,9.101849,344,0.344,$6-15,4,current_salary_model,3.131036056,positive,14.0
2022,James Cook,jamescook,RB,10.065630912780762,4.707473,14.0,9.292527,331,0.331,$1-5,5,current_salary_model,3.075826437,positive,15.0
2025,Jonathan Taylor,jonathantaylor,RB,15.420625,75.39712,94.0,18.60288,158,0.158,$51+,3,current_salary_model,2.93925504,positive,16.0
2023,George Kittle,georgekittle,TE,9.628485679626465,18.391165,35.0,16.608835,169,0.169,$16-30,3,current_salary_model,2.806893115,positive,17.0
2022,Aj Dillon,ajdillon,RB,10.621748924255373,20.500694,36.0,15.499306,177,0.177,$16-30,3,current_salary_model,2.7433771620000003,positive,18.0
2025,Ricky Pearsall,rickypearsall,WR,11.0277,9.412554,16.0,6.587446,394,0.394,$6-15,5,current_salary_model,2.595453724,positive,19.0
2022,Breece Hall,breecehall,RB,14.028142929077148,48.02575,54.0,5.974249999999998,400,0.4,$31-50,4,current_salary_model,2.389699999999999,positive,20.0
2023,Mark Andrews,markandrews,TE,11.049697875976562,35.52065,43.0,7.479349999999997,319,0.319,$31-50,3,current_salary_model,2.385912649999999,positive,21.0
2024,Tyjae Spears,tyjaespears,RB,10.245166666666668,15.243199,25.0,9.756801,233,0.233,$16-30,5,current_salary_model,2.273334633,positive,22.0
2022,Kenneth Walker,kennethwalker,RB,10.385293960571287,8.679587,17.0,8.320413,273,0.273,$6-15,4,current_salary_model,2.271472749,positive,23.0
2025,George Pickens,georgepickens,WR,11.83896,21.371572,29.0,7.6284279999999995,288,0.288,$16-30,5,current_salary_model,2.1969872639999997,positive,24.0
2023,Stefon Diggs,stefondiggs,WR,14.646162033081056,77.36868,84.0,6.631320000000002,312,0.312,$51+,3,current_salary_model,2.0689718400000006,positive,25.0
2025,Calvin Ridley,calvinridley,WR,10.85925,22.814207,43.0,20.185793,96,0.096,$16-30,1,current_salary_model,1.9378361279999998,positive,26.0
2022,Damien Harris,damienharris,RB,10.672819137573242,16.219263,27.0,10.780736999999998,177,0.177,$16-30,4,current_salary_model,1.9081904489999997,positive,27.0
2025,Patrick Mahomes,patrickmahomes,QB,18.9565,14.295172,22.0,7.704827999999999,234,0.234,$6-15,4,current_salary_model,1.8029297519999998,positive,28.0
2023,Jordan Addison,jordanaddison,WR,10.722601890563965,12.0154295,16.0,3.9845705000000002,440,0.44,$6-15,5,current_salary_model,1.7532110200000002,positive,29.0
2024,Travis Kelce,traviskelce,TE,11.914,37.59791,46.0,8.402090000000001,205,0.205,$31-50,3,current_salary_model,1.7224284500000004,positive,30.0
