year,trial,order_regime,price_rule,policy_mode,complete_5,clean_policy_path_5,actual_points_5,failure_penalized_points_5,actual_ppg_5,final_forecast_ev_5,paid_spend_5,unused_personal_budget_5,events_seen_5,forced_buys_5,nominal_relaxation_events_5,top_n_relaxation_events_5,generic_repair_buys_5,synthetic_contract_fill_buys_5,synthetic_contract_fill_events_seen_5,complete_10,clean_policy_path_10,actual_points_10,failure_penalized_points_10,actual_ppg_10,final_forecast_ev_10,paid_spend_10,unused_personal_budget_10,events_seen_10,forced_buys_10,nominal_relaxation_events_10,top_n_relaxation_events_10,generic_repair_buys_10,synthetic_contract_fill_buys_10,synthetic_contract_fill_events_seen_10,paired_complete,paired_clean,actual_points_diff_5_minus_10,failure_penalized_points_diff_5_minus_10,actual_ppg_diff_5_minus_10,final_forecast_ev_diff_5_minus_10,paid_spend_diff_5_minus_10,unused_personal_budget_diff_5_minus_10,events_seen_diff_5_minus_10,forced_buys_diff_5_minus_10,nominal_relaxation_events_diff_5_minus_10,top_n_relaxation_events_diff_5_minus_10,generic_repair_buys_diff_5_minus_10,synthetic_contract_fill_buys_diff_5_minus_10,synthetic_contract_fill_events_seen_diff_5_minus_10,points_win_5
2022,0,position_run,clearing,operational,True,True,1343.3800048828125,1343.3800048828125,83.96125030517578,1578.923828125,298.0,0.0,98,0,0,0,0,0,0,True,True,1343.3800048828125,1343.3800048828125,83.96125030517578,1578.923828125,298.0,0.0,98,0,0,0,0,0,0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False
2022,0,position_run,clearing,strict,True,True,1343.3800048828125,1343.3800048828125,83.96125030517578,1578.923828125,298.0,0.0,98,0,0,0,0,0,0,True,True,1343.3800048828125,1343.3800048828125,83.96125030517578,1578.923828125,298.0,0.0,98,0,0,0,0,0,0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False
2022,0,position_run,plus_one,operational,False,False,,0.0,,,297.0,1.0,132,0,0,0,0,0,0,False,False,,0.0,,,297.0,1.0,132,0,0,0,0,0,0,False,False,,0.0,,,0.0,0.0,0,0,0,0,0,0,0,False
2022,0,position_run,plus_one,strict,False,False,,0.0,,,297.0,1.0,132,0,0,0,0,0,0,False,False,,0.0,,,297.0,1.0,132,0,0,0,0,0,0,False,False,,0.0,,,0.0,0.0,0,0,0,0,0,0,0,False
2022,0,star_late,clearing,operational,True,True,1437.06005859375,1437.06005859375,89.81625366210938,1559.1094970703125,273.0,25.0,127,0,0,0,0,0,0,True,True,1381.56005859375,1381.56005859375,86.34750366210938,1513.183349609375,295.0,3.0,111,0,0,0,0,0,0,True,True,55.5,55.5,3.46875,45.9261474609375,-22.0,22.0,16,0,0,0,0,0,0,True
2022,0,star_late,clearing,strict,True,True,1437.06005859375,1437.06005859375,89.81625366210938,1559.1094970703125,273.0,25.0,127,0,0,0,0,0,0,True,True,1381.56005859375,1381.56005859375,86.34750366210938,1513.183349609375,295.0,3.0,111,0,0,0,0,0,0,True,True,55.5,55.5,3.46875,45.9261474609375,-22.0,22.0,16,0,0,0,0,0,0,True
2022,0,star_late,plus_one,operational,True,True,1543.0999755859375,1543.0999755859375,96.4437484741211,1567.813232421875,286.0,12.0,113,0,0,0,0,0,0,True,True,1566.06005859375,1566.06005859375,97.87875366210938,1546.3443603515625,284.0,14.0,124,0,0,0,0,0,0,True,True,-22.9600830078125,-22.9600830078125,-1.4350051879882812,21.4688720703125,2.0,-2.0,-11,0,0,0,0,0,0,False
2022,0,star_late,plus_one,strict,True,True,1543.0999755859375,1543.0999755859375,96.4437484741211,1567.813232421875,286.0,12.0,113,0,0,0,0,0,0,True,True,1566.06005859375,1566.06005859375,97.87875366210938,1546.3443603515625,284.0,14.0,124,0,0,0,0,0,0,True,True,-22.9600830078125,-22.9600830078125,-1.4350051879882812,21.4688720703125,2.0,-2.0,-11,0,0,0,0,0,0,False
2022,0,tier_early,clearing,operational,True,True,1875.280029296875,1875.280029296875,117.20500183105469,1567.142578125,297.0,1.0,128,0,0,0,0,0,0,True,True,1559.380126953125,1559.380126953125,97.46125793457031,1577.8056640625,298.0,0.0,133,0,0,0,0,0,0,True,True,315.89990234375,315.89990234375,19.743743896484375,-10.6630859375,-1.0,1.0,-5,0,0,0,0,0,0,True
2022,0,tier_early,clearing,strict,True,True,1875.280029296875,1875.280029296875,117.20500183105469,1567.142578125,297.0,1.0,128,0,0,0,0,0,0,True,True,1559.380126953125,1559.380126953125,97.46125793457031,1577.8056640625,298.0,0.0,133,0,0,0,0,0,0,True,True,315.89990234375,315.89990234375,19.743743896484375,-10.6630859375,-1.0,1.0,-5,0,0,0,0,0,0,True
