year,roster_block_id,raw_rows,skill_rows,k_rows,dst_rows,keeper_skill_rows,known_raw_total_spend,replay_total_spend,known_skill_spend,replay_skill_spend,missing_salary_rows
2022,1,14,13,1,0,0,296.0,296.0,295.0,295.0,0
2022,2,15,13,1,1,2,280.0,281.0,278.0,279.0,1
2022,3,15,13,1,1,2,299.0,300.0,296.0,297.0,1
2022,4,15,13,1,1,0,291.0,292.0,290.0,290.0,1
2022,5,15,13,1,1,2,299.0,300.0,297.0,298.0,1
2022,6,15,13,1,1,2,299.0,300.0,297.0,298.0,1
2022,7,15,13,1,1,2,296.0,297.0,293.0,294.0,1
2022,8,15,13,1,1,2,299.0,300.0,297.0,298.0,1
2022,9,15,13,1,1,2,298.0,299.0,296.0,296.0,1
2022,10,15,13,1,1,2,298.0,299.0,296.0,297.0,1
2022,11,15,13,1,1,2,299.0,300.0,298.0,298.0,1
2022,12,15,13,1,1,2,290.0,290.0,277.0,277.0,0
2023,1,15,13,1,1,2,300.0,300.0,296.0,296.0,0
2023,2,15,13,1,1,2,300.0,300.0,296.0,296.0,0
2023,3,15,13,1,1,2,300.0,300.0,294.0,294.0,0
2023,4,15,13,1,1,2,298.0,298.0,295.0,295.0,0
2023,5,15,13,1,1,2,299.0,299.0,296.0,296.0,0
2023,6,15,13,1,1,2,300.0,300.0,296.0,296.0,0
2023,7,15,13,1,1,2,300.0,300.0,298.0,298.0,0
2023,8,15,12,2,1,2,300.0,300.0,296.0,296.0,0
2023,9,15,13,1,1,2,300.0,300.0,297.0,297.0,0
2023,10,15,13,1,1,2,299.0,299.0,297.0,297.0,0
2023,11,15,13,1,1,1,300.0,300.0,298.0,298.0,0
2023,12,15,13,1,1,0,300.0,300.0,296.0,296.0,0
2024,1,15,13,1,1,2,300.0,300.0,298.0,298.0,0
2024,2,15,13,1,1,0,299.0,299.0,295.0,295.0,0
2024,3,15,13,1,1,2,300.0,300.0,294.0,294.0,0
2024,4,14,12,1,1,2,298.0,298.0,296.0,296.0,0
2024,5,15,13,1,1,2,300.0,300.0,293.0,293.0,0
2024,6,15,13,1,1,0,300.0,300.0,297.0,297.0,0
2024,7,15,13,1,1,2,300.0,300.0,298.0,298.0,0
2024,8,15,13,1,1,2,300.0,300.0,298.0,298.0,0
2024,9,15,13,1,1,2,300.0,300.0,295.0,295.0,0
2024,10,15,13,1,1,2,300.0,300.0,298.0,298.0,0
2024,11,15,13,1,1,0,299.0,299.0,296.0,296.0,0
2024,12,15,13,1,1,2,277.0,277.0,272.0,272.0,0
2025,1,15,13,1,1,2,297.0,298.0,296.0,296.0,1
2025,2,15,13,1,1,0,300.0,300.0,298.0,298.0,0
2025,3,15,13,1,1,2,300.0,300.0,292.0,292.0,0
2025,4,15,13,1,1,2,295.0,295.0,293.0,293.0,0
2025,5,15,13,1,1,1,300.0,300.0,297.0,297.0,0
2025,6,15,13,1,1,0,300.0,300.0,298.0,298.0,0
2025,7,15,13,1,1,0,300.0,300.0,298.0,298.0,0
2025,8,15,13,1,1,2,300.0,300.0,297.0,297.0,0
2025,9,15,13,1,1,2,299.0,299.0,295.0,295.0,0
2025,10,15,13,1,1,2,300.0,300.0,297.0,297.0,0
2025,11,15,13,1,1,2,295.0,295.0,291.0,291.0,0
2025,12,15,13,1,1,0,300.0,300.0,298.0,298.0,0
