comparison,candidate,year,trial,roster_jaccard,roster_slots_changed,roster_changed,both_actual_cap_feasible,actual_points_effect,drafted_only_points_effect,actual_cap_feasible_effect,actual_cap_overage_effect,actual_salary_spend_effect,forecast_ev_effect,sampled_salary_spend_effect,decision_salary_spend_effect,point_salary_spend_effect,calibrated_point_salary_spend_effect,surcharge_spend_effect,actual_waiver_starts_effect,joint_feasible_actual_points_effect
blanket_285_minus_baseline_298,blanket_285,2022,0,0.7333333333333333,2,True,True,55.9998779296875,-6.5400390625,0.0,0.0,-3.0,-12.0875244140625,-10.898284912109375,-10.898284912109375,-9.252315521240234,-9.252315521240234,0.0,-6.0,55.9998779296875
blanket_285_minus_baseline_298,blanket_285,2022,1,0.625,3,True,False,-74.2999267578125,-86.699951171875,0.0,0.0,0.0,-24.8526611328125,-13.21722412109375,-13.21722412109375,-22.480862140655518,-22.480862140655518,0.0,18.0,
blanket_285_minus_baseline_298,blanket_285,2022,2,0.625,3,True,False,-20.2999267578125,35.0001220703125,0.0,-23.0,-23.0,-11.843994140625,-12.789764404296875,-12.789764404296875,-9.559433937072754,-9.559433937072754,0.0,1.0,
blanket_285_minus_baseline_298,blanket_285,2022,3,0.7333333333333333,2,True,False,-59.4400634765625,-61.5,0.0,-15.0,-15.0,-5.079833984375,-6.84027099609375,-6.84027099609375,-5.624231815338135,-5.624231815338135,0.0,4.0,
blanket_285_minus_baseline_298,blanket_285,2022,4,0.5294117647058824,4,True,True,11.0,-27.2000732421875,0.0,0.0,-19.0,-12.5111083984375,-8.916717529296875,-8.916717529296875,-6.134705543518066,-6.134705543518066,0.0,5.0,11.0
blanket_285_minus_baseline_298,blanket_285,2022,5,0.625,3,True,False,24.9000244140625,-8.60009765625,0.0,-10.0,-10.0,6.2947998046875,-15.68365478515625,-15.68365478515625,-14.371032238006592,-14.371032238006592,0.0,16.0,
blanket_285_minus_baseline_298,blanket_285,2022,6,0.625,3,True,False,8.400146484375,99.6201171875,0.0,-10.0,-10.0,3.174560546875,-15.3450927734375,-15.3450927734375,-20.297797203063965,-20.297797203063965,0.0,9.0,
blanket_285_minus_baseline_298,blanket_285,2022,7,0.7333333333333333,2,True,False,-242.199951171875,-231.4000244140625,1.0,-19.0,-28.0,-25.02685546875,-13.090423583984375,-13.090423583984375,-15.1360502243042,-15.1360502243042,0.0,12.0,
blanket_285_minus_baseline_298,blanket_285,2022,8,0.5294117647058824,4,True,False,-66.639892578125,-74.97998046875,0.0,-34.0,-34.0,15.6739501953125,-11.7845458984375,-11.7845458984375,-17.57063865661621,-17.57063865661621,0.0,7.0,
blanket_285_minus_baseline_298,blanket_285,2022,9,0.625,3,True,True,-45.10009765625,-24.800048828125,0.0,0.0,0.0,-2.532958984375,-7.9947509765625,-7.9947509765625,-6.482017755508423,-6.482017755508423,0.0,6.0,-45.10009765625
blanket_285_minus_baseline_298,blanket_285,2022,10,0.8571428571428571,1,True,False,50.5,58.300048828125,0.0,-19.0,-19.0,-9.5469970703125,-7.555511474609375,-7.555511474609375,-4.865715026855469,-4.865715026855469,0.0,-8.0,
blanket_285_minus_baseline_298,blanket_285,2022,11,0.625,3,True,False,-56.2999267578125,-44.900146484375,0.0,-34.0,-34.0,-30.274169921875,-16.016693115234375,-16.016693115234375,-16.761571645736694,-16.761571645736694,0.0,14.0,
blanket_285_minus_baseline_298,blanket_285,2022,12,0.7333333333333333,2,True,False,-4.199951171875,1.5,0.0,5.0,5.0,5.681640625,-15.60980224609375,-15.60980224609375,-12.087188959121704,-12.087188959121704,0.0,-5.0,
blanket_285_minus_baseline_298,blanket_285,2022,13,0.625,3,True,False,-204.5999755859375,-230.300048828125,0.0,-12.0,-12.0,23.7086181640625,-13.620819091796875,-13.620819091796875,-9.460762023925781,-9.460762023925781,0.0,16.0,
blanket_285_minus_baseline_298,blanket_285,2022,14,0.7333333333333333,2,True,False,29.2000732421875,22.5,0.0,-5.0,-5.0,-18.596435546875,-12.939697265625,-12.939697265625,-22.92459487915039,-22.92459487915039,0.0,-3.0,
blanket_285_minus_baseline_298,blanket_285,2022,15,0.7333333333333333,2,True,True,-22.300048828125,-18.9000244140625,0.0,0.0,-4.0,7.37255859375,-12.79638671875,-12.79638671875,-12.360229969024658,-12.360229969024658,0.0,5.0,-22.300048828125
blanket_285_minus_baseline_298,blanket_285,2022,16,0.625,3,True,False,186.7999267578125,217.9998779296875,0.0,-24.0,-24.0,-4.1353759765625,-10.27850341796875,-10.27850341796875,-13.452848434448242,-13.452848434448242,0.0,-10.0,
blanket_285_minus_baseline_298,blanket_285,2022,17,0.7333333333333333,2,True,False,-0.0999755859375,56.5,0.0,-23.0,-23.0,-6.278564453125,-29.74859619140625,-29.74859619140625,-34.824771881103516,-34.824771881103516,0.0,-1.0,
blanket_285_minus_baseline_298,blanket_285,2022,18,0.625,3,True,False,30.5999755859375,60.300048828125,0.0,-24.0,-24.0,15.9765625,5.74627685546875,5.74627685546875,5.257863998413086,5.257863998413086,0.0,0.0,
blanket_285_minus_baseline_298,blanket_285,2022,19,0.625,3,True,False,-11.5,-2.2999267578125,0.0,-53.0,-53.0,-16.891845703125,-14.467132568359375,-14.467132568359375,-16.730169534683228,-16.730169534683228,0.0,4.0,
blanket_285_minus_baseline_298,blanket_285,2022,20,0.7333333333333333,2,True,False,9.0,-29.60009765625,0.0,-12.0,-12.0,-9.5772705078125,-12.61370849609375,-12.61370849609375,-6.356699466705322,-6.356699466705322,0.0,-1.0,
blanket_285_minus_baseline_298,blanket_285,2022,21,0.7333333333333333,2,True,False,136.39990234375,168.5,0.0,-10.0,-10.0,-4.9058837890625,-12.50836181640625,-12.50836181640625,-14.36424446105957,-14.36424446105957,0.0,-8.0,
blanket_285_minus_baseline_298,blanket_285,2022,22,0.8571428571428571,1,True,True,-56.8001708984375,-37.0,0.0,0.0,-23.0,-6.85986328125,-10.31097412109375,-10.31097412109375,-7.972731590270996,-7.972731590270996,0.0,7.0,-56.8001708984375
blanket_285_minus_baseline_298,blanket_285,2022,23,0.8571428571428571,1,True,False,29.2000732421875,31.60009765625,0.0,-26.0,-26.0,-11.524658203125,-10.948089599609375,-10.948089599609375,-12.5717191696167,-12.5717191696167,0.0,1.0,
blanket_285_minus_baseline_298,blanket_285,2022,24,0.7333333333333333,2,True,True,-8.5999755859375,-34.5999755859375,0.0,0.0,-4.0,-23.72802734375,-14.648193359375,-14.648193359375,-4.882007598876953,-4.882007598876953,0.0,2.0,-8.5999755859375
blanket_285_minus_baseline_298,blanket_285,2022,25,0.625,3,True,False,-225.1400146484375,-293.780029296875,0.0,-15.0,-15.0,-0.186767578125,-33.908233642578125,-33.908233642578125,-30.005911588668823,-30.005911588668823,0.0,14.0,
blanket_285_minus_baseline_298,blanket_285,2022,26,0.7333333333333333,2,True,False,-45.9998779296875,-22.89990234375,0.0,-19.0,-19.0,-10.7891845703125,-15.2371826171875,-15.2371826171875,-11.273487091064453,-11.273487091064453,0.0,-5.0,
blanket_285_minus_baseline_298,blanket_285,2022,27,0.7333333333333333,2,True,False,-118.7999267578125,-99.2999267578125,0.0,1.0,1.0,-14.324462890625,-15.80572509765625,-15.80572509765625,-21.516555786132812,-21.516555786132812,0.0,4.0,
blanket_285_minus_baseline_298,blanket_285,2022,28,0.7333333333333333,2,True,False,-140.5999755859375,-119.300048828125,0.0,-15.0,-15.0,-14.93896484375,-18.943023681640625,-18.943023681640625,-23.351017475128174,-23.351017475128174,0.0,10.0,
blanket_285_minus_baseline_298,blanket_285,2022,29,0.625,3,True,False,-61.4000244140625,-112.0,0.0,-4.0,-4.0,-10.2684326171875,-12.926910400390625,-12.926910400390625,-13.731897354125977,-13.731897354125977,0.0,8.0,
blanket_285_minus_baseline_298,blanket_285,2022,30,0.625,3,True,False,32.9998779296875,-18.300048828125,0.0,13.0,13.0,2.2991943359375,-15.343963623046875,-15.343963623046875,-17.718388557434082,-17.718388557434082,0.0,1.0,
blanket_285_minus_baseline_298,blanket_285,2022,31,0.625,3,True,False,-25.5,-75.699951171875,1.0,-16.0,-19.0,3.6671142578125,-15.86456298828125,-15.86456298828125,-16.938164710998535,-16.938164710998535,0.0,7.0,
blanket_285_minus_baseline_298,blanket_285,2022,32,0.625,3,True,False,-27.800048828125,58.940185546875,0.0,11.0,11.0,2.290283203125,-26.21954345703125,-26.21954345703125,-16.33083200454712,-16.33083200454712,0.0,2.0,
blanket_285_minus_baseline_298,blanket_285,2022,33,0.625,3,True,False,-95.1800537109375,-140.360107421875,0.0,12.0,12.0,-12.22216796875,8.42144775390625,8.42144775390625,8.754741907119751,8.754741907119751,0.0,5.0,
blanket_285_minus_baseline_298,blanket_285,2022,34,0.8571428571428571,1,True,False,-1.0,-26.7999267578125,0.0,-7.0,-7.0,-29.666259765625,-13.371124267578125,-13.371124267578125,-22.825634002685547,-22.825634002685547,0.0,-1.0,
blanket_285_minus_baseline_298,blanket_285,2022,35,0.625,3,True,False,82.0999755859375,64.39990234375,1.0,-27.0,-33.0,-4.6002197265625,-9.55352783203125,-9.55352783203125,-1.7159087657928467,-1.7159087657928467,0.0,-1.0,
blanket_285_minus_baseline_298,blanket_285,2022,36,0.7333333333333333,2,True,False,55.4000244140625,85.0001220703125,0.0,-7.0,-7.0,-1.075439453125,-0.6072998046875,-0.6072998046875,1.9010324478149414,1.9010324478149414,0.0,-2.0,
blanket_285_minus_baseline_298,blanket_285,2022,37,0.7333333333333333,2,True,False,-125.0001220703125,-120.9000244140625,0.0,-7.0,-7.0,5.328125,-13.97894287109375,-13.97894287109375,-15.373844146728516,-15.373844146728516,0.0,3.0,
blanket_285_minus_baseline_298,blanket_285,2022,38,0.8571428571428571,1,True,False,3.0,38.699951171875,0.0,-19.0,-19.0,-6.69091796875,-13.084503173828125,-13.084503173828125,-12.695689678192139,-12.695689678192139,0.0,3.0,
blanket_285_minus_baseline_298,blanket_285,2022,39,0.625,3,True,True,144.1400146484375,213.7799072265625,0.0,0.0,9.0,3.9520263671875,-8.51953125,-8.51953125,-0.3865642547607422,-0.3865642547607422,0.0,-18.0,144.1400146484375
blanket_285_minus_baseline_298,blanket_285,2022,40,0.7333333333333333,2,True,False,-9.39990234375,35.800048828125,0.0,3.0,3.0,-34.166015625,-11.10699462890625,-11.10699462890625,-3.6958980560302734,-3.6958980560302734,0.0,-7.0,
blanket_285_minus_baseline_298,blanket_285,2022,41,0.5294117647058824,4,True,False,93.800048828125,128.39990234375,-1.0,9.0,14.0,18.027587890625,-2.386810302734375,-2.386810302734375,9.228743314743042,9.228743314743042,0.0,-1.0,
blanket_285_minus_baseline_298,blanket_285,2022,42,0.7333333333333333,2,True,False,19.699951171875,54.2999267578125,0.0,-17.0,-17.0,-17.000244140625,-10.623321533203125,-10.623321533203125,-19.02152729034424,-19.02152729034424,0.0,2.0,
blanket_285_minus_baseline_298,blanket_285,2022,43,0.625,3,True,False,-152.639892578125,-207.219970703125,1.0,-6.0,-12.0,-29.39697265625,-12.86474609375,-12.86474609375,-14.811232566833496,-14.811232566833496,0.0,12.0,
blanket_285_minus_baseline_298,blanket_285,2022,44,0.8571428571428571,1,True,False,-13.39990234375,12.199951171875,0.0,-26.0,-26.0,-19.7779541015625,-12.861907958984375,-12.861907958984375,-14.289541721343994,-14.289541721343994,0.0,6.0,
blanket_285_minus_baseline_298,blanket_285,2022,45,0.5294117647058824,4,True,True,-115.699951171875,-69.60009765625,0.0,0.0,19.0,22.199951171875,-15.85247802734375,-15.85247802734375,-12.3974289894104,-12.3974289894104,0.0,4.0,-115.699951171875
blanket_285_minus_baseline_298,blanket_285,2022,46,0.5294117647058824,4,True,False,3.93994140625,158.300048828125,1.0,-3.0,-12.0,9.4859619140625,-14.414703369140625,-14.414703369140625,-17.815855503082275,-17.815855503082275,0.0,-7.0,
blanket_285_minus_baseline_298,blanket_285,2022,47,0.4444444444444444,5,True,False,-169.4000244140625,-128.0001220703125,-1.0,7.0,7.0,-5.4486083984375,-13.9427490234375,-13.9427490234375,-13.378515481948853,-13.378515481948853,0.0,9.0,
blanket_285_minus_baseline_298,blanket_285,2022,48,0.8571428571428571,1,True,True,-7.2001953125,-23.39990234375,0.0,0.0,-17.0,-4.4432373046875,-12.07183837890625,-12.07183837890625,-8.876548767089844,-8.876548767089844,0.0,7.0,-7.2001953125
blanket_285_minus_baseline_298,blanket_285,2022,49,0.8571428571428571,1,True,False,-0.5999755859375,-7.4000244140625,0.0,-26.0,-26.0,-14.188232421875,-12.076385498046875,-12.076385498046875,-12.497681617736816,-12.497681617736816,0.0,1.0,
