year,variant,trials,unique_rosters,actual_points,cap_feasible_rate,mean_cap_overage,actual_salary_spend,sampled_salary_spend,decision_salary_spend,point_salary_spend,calibrated_point_salary_spend,surcharge_spend,forecast_ev,actual_waiver_starts
2022,baseline_298,250,250,1492.8154360351562,0.24,21.144,316.088,293.05555859375,293.05555859375,308.32046327877043,308.32046327877043,0.0,1573.466703125,38.008
2022,blanket_285,250,250,1470.6531967773437,0.412,12.34,303.448,279.9310144042969,279.9310144042969,295.4435828704834,295.4435828704834,0.0,1564.0447412109374,39.88
2022,targeted_full,250,250,1492.8154360351562,0.24,21.144,316.088,293.05555859375,293.0555598692894,308.32046327877043,308.32046327877043,0.0,1573.466703125,38.008
2022,targeted_half,250,250,1492.8154360351562,0.24,21.144,316.088,293.05555859375,293.0555598692894,308.32046327877043,308.32046327877043,0.0,1573.466703125,38.008
2023,baseline_298,250,250,1691.6902348632811,0.036,36.548,334.236,292.7154200439453,292.7154200439453,312.75063766574857,312.75063766574857,0.0,1544.0430810546875,60.116
2023,blanket_285,250,250,1681.7874340820313,0.168,22.784,318.796,279.8287191772461,279.8287191772461,299.31426482582094,299.31426482582094,0.0,1531.5269194335938,61.536
2023,targeted_full,250,250,1684.6951953125,0.132,29.052,325.676,283.4257868652344,292.9037919468599,303.64984028339387,313.12784475419096,9.478004470797075,1529.0017709960937,61.552
2023,targeted_half,250,250,1687.1995942382812,0.08,30.88,328.224,287.5150509033203,292.9363395625718,307.47749694013595,312.8987876054413,5.42129066530539,1535.0801376953125,61.044
2024,baseline_298,250,250,1597.3174399414063,0.084,32.764,329.96,293.45182849121096,293.45182849121096,306.26907500267026,306.26907500267026,0.0,1653.7634750976563,30.816
2024,blanket_285,250,250,1587.179443359375,0.224,21.704,316.828,280.6774395751953,280.6774395751953,293.65923289680484,293.65923289680484,0.0,1641.3949013671875,32.656
2024,targeted_full,250,250,1597.3148837890626,0.3,16.876,310.864,277.7023225097656,294.1058773313357,290.8856300806999,307.2891844020678,16.403554321367874,1631.5118125,33.608
2024,targeted_half,250,250,1599.196322265625,0.176,24.388,320.288,284.4551602783203,293.3049080628032,297.37751617908475,306.2272632545108,8.84974707542602,1640.956568359375,32.216
2025,baseline_298,250,250,1582.6206416015625,0.08,29.968,327.268,294.36127551269533,294.36127551269533,310.54858742046355,310.54858742046355,0.0,1637.2042348632813,39.38
2025,blanket_285,250,250,1578.5756801757811,0.224,20.348,316.168,281.36668908691405,281.36668908691405,297.795229060173,297.795229060173,0.0,1623.3845581054688,39.376
2025,targeted_full,250,250,1577.3570415039062,0.292,15.92,310.4,277.7397502441406,294.76695927662604,295.0544560294151,312.081666006515,17.027209977099844,1611.8244350585937,39.916
2025,targeted_half,250,250,1582.566798828125,0.148,21.904,318.096,285.1803712158203,294.71870371692404,301.9375581970215,311.47589066331614,9.538332466294637,1624.57484765625,39.812
