comparison,lower_chance_level,higher_chance_level,year,trial,roster_changed,both_actual_cap_feasible,joint_feasible_actual_points_effect,managed_forecast_season_points_effect,heldout_cap_probability_effect,actual_cap_feasible_effect,actual_cap_overage_effect,actual_salary_spend_effect,point_salary_spend_effect
70_minus_60,0.6,0.7,2022,0,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,1,True,False,,11.3067626953125,0.125,0.0,-9.0,-9.0,-2.2998123168945312
70_minus_60,0.6,0.7,2022,2,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,3,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,4,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,5,True,False,,-9.192626953125,0.0,0.0,14.0,14.0,1.149714469909668
70_minus_60,0.6,0.7,2022,6,True,False,,0.2935791015625,0.16999999999999998,1.0,-9.0,-14.0,-6.307469367980957
70_minus_60,0.6,0.7,2022,7,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,8,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,9,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,10,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,11,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,12,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,13,True,False,,-12.925048828125,0.18499999999999994,1.0,-19.0,-26.0,-0.7223167419433594
70_minus_60,0.6,0.7,2022,14,True,False,,11.3802490234375,0.125,0.0,-8.0,-8.0,1.9385218620300293
70_minus_60,0.6,0.7,2022,15,True,False,,14.630615234375,0.12000000000000005,0.0,-12.0,-12.0,-2.9246671199798584
70_minus_60,0.6,0.7,2022,16,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,17,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,18,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,19,True,False,,-11.042724609375,0.025000000000000022,0.0,-3.0,-3.0,-0.37072229385375977
70_minus_60,0.6,0.7,2022,20,True,True,4.300048828125,1.3489990234375,0.030000000000000027,0.0,0.0,-2.0,-2.6749584674835205
70_minus_60,0.6,0.7,2022,21,True,False,,8.258544921875,0.06000000000000005,-1.0,10.0,11.0,-4.564334869384766
70_minus_60,0.6,0.7,2022,22,True,False,,9.0811767578125,0.04500000000000004,0.0,-10.0,-10.0,-1.27191162109375
70_minus_60,0.6,0.7,2022,23,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,24,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,25,True,False,,-3.9197998046875,0.18500000000000005,0.0,-2.0,-2.0,-0.05485343933105469
70_minus_60,0.6,0.7,2022,26,True,True,13.2999267578125,-10.6751708984375,0.33999999999999997,0.0,0.0,-27.0,-8.273520946502686
70_minus_60,0.6,0.7,2022,27,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,28,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,29,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,30,True,False,,11.7967529296875,0.255,1.0,-6.0,-12.0,-7.506989479064941
70_minus_60,0.6,0.7,2022,31,True,False,,-6.6224365234375,0.02499999999999991,0.0,-15.0,-15.0,-4.680928707122803
70_minus_60,0.6,0.7,2022,32,True,False,,14.3994140625,0.11499999999999999,0.0,-4.0,-4.0,1.0314245223999023
70_minus_60,0.6,0.7,2022,33,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,34,True,False,,-7.4735107421875,0.13,0.0,2.0,2.0,-2.7249269485473633
70_minus_60,0.6,0.7,2022,35,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,36,True,False,,-7.8065185546875,0.050000000000000044,0.0,-1.0,-1.0,-2.6297240257263184
70_minus_60,0.6,0.7,2022,37,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,38,True,False,,4.1214599609375,0.03500000000000003,0.0,4.0,4.0,1.6042191982269287
