period,chance_level,paired_rosters,roster_changed_rate,v1_actual_cap_feasible_rate,v5_actual_cap_feasible_rate,v5_only_feasible_rosters,v1_only_feasible_rosters,v1_mean_managed_forecast_season_points,v5_mean_managed_forecast_season_points,mean_managed_forecast_season_points_effect_v5_minus_v1,v1_mean_heldout_cap_probability,v5_mean_heldout_cap_probability,mean_heldout_cap_probability_effect_v5_minus_v1,v1_mean_heldout_salary_spend_mean,v5_mean_heldout_salary_spend_mean,mean_heldout_salary_spend_mean_effect_v5_minus_v1,v1_mean_heldout_salary_spend_p90,v5_mean_heldout_salary_spend_p90,mean_heldout_salary_spend_p90_effect_v5_minus_v1,v1_mean_heldout_salary_spend_p95,v5_mean_heldout_salary_spend_p95,mean_heldout_salary_spend_p95_effect_v5_minus_v1,v1_mean_actual_cap_overage,v5_mean_actual_cap_overage,mean_actual_cap_overage_effect_v5_minus_v1,v1_mean_actual_salary_spend,v5_mean_actual_salary_spend,mean_actual_salary_spend_effect_v5_minus_v1,v1_mean_point_salary_spend,v5_mean_point_salary_spend,mean_point_salary_spend_effect_v5_minus_v1,v1_mean_raw_actual_points_audit_only,v5_mean_raw_actual_points_audit_only,mean_raw_actual_points_audit_only_effect_v5_minus_v1,mean_actual_cap_feasible_effect_v5_minus_v1
all_years,all,4000,0.90175,0.14625,0.1885,336,167,1589.8106311035156,1585.5249389953613,-4.285692108154297,0.7418987499999999,0.7375775,-0.004321250000000002,292.3935496250439,292.45879614796723,0.06524652292341067,302.31922185284196,302.49472402311864,0.1755021702766414,305.0999941590786,305.3178686144605,0.21787445538192873,25.7265,22.6825,-3.044,322.12775,318.5535,-3.57425,304.36606361809373,301.9726402533054,-2.393423364788294,1586.437219543457,1590.1347530212402,3.697533477783203,0.04225
all_years,0.6,1000,0.895,0.112,0.152,74,34,1592.602635620117,1588.4732147216796,-4.1294208984375,0.61455,0.6120549999999999,-0.002495,295.63634050023256,295.69372056942404,0.05738006919145607,305.61131537259814,305.73748645226954,0.12617107967138252,308.4105599021077,308.5628706071556,0.15231070504784436,28.54,25.523,-3.017,325.401,321.908,-3.493,307.69354772865773,305.2184039179087,-2.4751438107490547,1588.8295793457032,1593.220976196289,4.391396850585937,0.04
all_years,0.7,1000,0.909,0.144,0.173,71,42,1591.18758203125,1586.7389637451172,-4.448618286132812,0.7029000000000001,0.697865,-0.005035000000000002,293.64272010902465,293.7301369989503,0.08741688992560023,303.5957551969647,303.7781036604762,0.182348463511467,306.3406106264413,306.62191321096424,0.28130258452296164,26.725,23.59,-3.135,323.244,319.767,-3.477,305.65416213941575,303.2296902062893,-2.42447193312645,1587.7368189697265,1593.3169385986328,5.58011962890625,0.029
all_years,0.8,1000,0.898,0.156,0.202,92,46,1588.7444066162109,1584.439259765625,-4.305146850585937,0.786215,0.7803150000000001,-0.0059000000000000025,291.48163154747243,291.5758567291474,0.09422518167495861,301.38892811012266,301.6147569602013,0.2258288500785818,304.1887828019023,304.4283006058991,0.23951780399679978,24.841,21.571,-3.27,321.101,317.271,-3.83,303.39572868072986,301.0645269846916,-2.331201696038247,1586.4542600097657,1588.0523177490234,1.5980577392578121,0.046
all_years,0.9,1000,0.905,0.173,0.227,99,45,1586.7079001464845,1582.4483177490235,-4.259582397460938,0.86393,0.860075,-0.0038550000000000017,288.81350634344574,288.8354702943474,0.021963950901627755,298.68088873168233,298.8485490195274,0.16766028784513412,301.46002330586316,301.65839003382325,0.19836672796010918,22.8,20.046,-2.754,318.765,315.268,-3.497,300.7208159235716,298.37793990433215,-2.342876019239425,1582.7282198486328,1585.9487795410157,3.2205596923828126,0.054
development_2022_2024,all,3000,0.891,0.155,0.18966666666666668,240,136,1576.4929354654948,1573.3776555175782,-3.1152799479166666,0.75039,0.7461766666666667,-0.004213333333333334,292.3366951803694,292.3475596714685,0.010864491099119656,301.8929420042078,302.1146830549955,0.22174105078776626,304.5953284879863,304.86755930068097,0.27223081269462795,25.269333333333332,22.797333333333334,-2.472,321.51166666666666,318.6136666666667,-2.898,305.15417983949186,302.71660661836466,-2.437573221127193,1588.7885194091798,1587.8461721598308,-0.9423472493489586,0.034666666666666665
development_2022_2024,0.6,750,0.8866666666666667,0.12133333333333333,0.156,55,29,1578.7630935872396,1576.0489755859376,-2.7141180013020834,0.6250466666666666,0.62452,-0.0005266666666666655,295.47408702273924,295.4700557501196,-0.004031272619565546,305.0779683318774,305.2427558239301,0.16478749205271356,307.80059753146963,308.0245368319432,0.22393930047353008,28.028,25.58,-2.448,324.776,321.90933333333334,-2.8666666666666667,308.3654492486318,305.87155361922584,-2.4938956294059773,1591.831119954427,1590.9450102539063,-0.8861097005208334,0.034666666666666665
development_2022_2024,0.7,750,0.8973333333333333,0.14933333333333335,0.16533333333333333,47,35,1577.5769855143228,1574.485974609375,-3.091010904947917,0.71274,0.7059666666666665,-0.006773333333333334,293.54916460172973,293.6225939068858,0.07342930515607221,303.1357802514076,303.40194870208103,0.26616845067342165,305.7973395129362,306.1685465364615,0.371207023525238,26.309333333333335,23.613333333333333,-2.696,322.708,319.80533333333335,-2.9026666666666667,306.40806566174825,303.96981293932595,-2.4382527224222827,1590.118185546875,1591.7022122395833,1.5840266927083326,0.016
development_2022_2024,0.8,750,0.888,0.168,0.20666666666666667,68,39,1575.7492104492187,1572.2801129557292,-3.4690974934895835,0.7926933333333334,0.7877466666666666,-0.004946666666666668,291.5024040790335,291.50807514324504,0.005671064211529029,301.0356536179225,301.2869540933291,0.25130047540664446,303.76138455561,304.02477109607855,0.2633865404685323,24.492,21.730666666666668,-2.7613333333333334,320.5933333333333,317.31466666666665,-3.2786666666666666,304.26421351416906,301.8679737447103,-2.396239769458772,1589.1464794921876,1586.0755193684895,-3.0709601236979167,0.03866666666666667
development_2022_2024,0.9,750,0.892,0.18133333333333335,0.23066666666666666,70,33,1573.882452311198,1570.6955589192708,-3.186893391927083,0.8710800000000001,0.8664733333333333,-0.004606666666666668,288.82112501797513,288.78951388562365,-0.03161113235155707,298.32236581562364,298.5270736006418,0.20470778501828538,301.0219923519293,301.25238273824056,0.23039038631121153,22.248,20.265333333333334,-1.9826666666666666,317.96933333333334,315.42533333333336,-2.544,301.57899093341825,299.1570861701965,-2.4219047632217396,1584.0582926432292,1582.6619467773437,-1.3963458658854166,0.04933333333333333
