player,player_key,pos,pred_fp_per_game,stored_pred_salary,pred_salary_raw,base_salary_observed,salary_resid_5,salary_resid_10,salary_resid_25,salary_resid_75,salary_resid_90,salary_resid_95,espn_source_salary,salary_model_matched,espn_source_matched,raw_point_salary,point_salary,year
Aaron Jones,aaronjones,RB,13.398380279541016,66.00402119272977,65.15125842604334,1.0,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,56.0,True,True,65.15125842604334,68.75963,2022
Aaron Rodgers,aaronrodgers,QB,18.130952835083008,6.483448068434121,5.6306853017476906,1.0,-10.703953657402913,-8.017540626047161,-4.319489590638967,0.5409270717913711,4.9235693781091365,9.03876542550219,4.0,True,True,5.6306853017476906,5.8911514,2022
Abram Smith,abramsmith,RB,6.306136608123779,,,,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,,False,False,1.0,1.0,2022
Adam Thielen,adamthielen,WR,10.604836463928223,17.984759488517213,17.131996721830784,1.0,-9.231581041880641,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,10.0,True,True,17.131996721830784,18.039387,2022
Adam Trautman,adamtrautman,TE,6.530933856964111,1.8527627666864297,1.0,0.0,-10.703953657402913,-8.017540626047161,-4.319489590638967,0.5409270717913711,4.9235693781091365,9.03876542550219,,True,False,1.0,1.0,2022
Aj Brown,ajbrown,WR,11.94201374053955,50.87910451262009,50.02634174593366,1.0,-9.231581041880641,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,46.0,True,True,50.02634174593366,52.78397,2022
Aj Dillon,ajdillon,RB,10.621748924255371,19.24992546487105,18.397162698184623,1.0,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,2.0,True,True,18.397162698184623,19.375717,2022
Aj Green,ajgreen,WR,8.239962577819824,1.8527627666864297,1.0,0.0,-9.231581041880641,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,,True,False,1.0,1.0,2022
Albert Okwuegbunam,albertokwuegbunam,TE,7.163317680358887,1.8527627666864297,1.0,0.0,-10.703953657402913,-8.017540626047161,-4.319489590638967,0.5409270717913711,4.9235693781091365,9.03876542550219,,True,False,1.0,1.0,2022
Alec Pierce,alecpierce,WR,6.653608322143555,2.6876953434479773,1.8349325767615476,0.0,-9.231581041880641,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,,True,False,1.8349325767615476,1.8818958,2022
