period,chance_level,cells,both_feasible,either_feasible,both_feasible_actual_points_effect_v5_minus_v1,both_feasible_managed_forecast_effect_v5_minus_v1,v1_feasible_actual_points_mean,v5_feasible_actual_points_mean
development_2022_2024,all,3000,329,705,-6.54747793087481,-3.2701479091470365,1561.4251630229335,1544.812862134776
development_2022_2024,0.6,750,62,146,-6.583228326612903,-2.484398626512097,1565.5171461838943,1538.597944210737
development_2022_2024,0.7,750,77,159,-4.35273247260552,-4.5304177024147725,1569.6944678170341,1547.5722528273059
development_2022_2024,0.8,750,87,194,-7.190802913972701,-3.424547918911638,1555.2919059632316,1540.1245125063003
development_2022_2024,0.9,750,103,206,-7.623299311665655,-2.6705642255764563,1557.5594114415785,1551.2387300171604
temporal_check_2025,all,1000,89,216,5.934167068995786,-7.466541761762641,1540.6979970296225,1557.8990273965371
temporal_check_2025,0.6,250,16,40,14.250015258789062,-6.728118896484375,1523.4742780412946,1542.1548583984375
temporal_check_2025,0.7,250,25,56,21.556806640625,-7.7628515625,1534.6431198120117,1556.6085778061224
temporal_check_2025,0.8,250,23,54,-1.3478207795516304,-6.524891728940218,1545.282666015625,1568.2191421833445
temporal_check_2025,0.9,250,25,66,-8.3111865234375,-8.509140625,1551.992972709037,1560.2922227647568
all_years,all,4000,418,921,-3.889902799323415,-4.163638466282895,1557.173436665331,1548.0236586512558
all_years,0.6,1000,78,186,-2.3097424629407053,-3.3549053485576925,1557.6341084071569,1539.4169705039576
all_years,0.7,1000,102,215,1.9976447610294117,-5.322680903416054,1561.9052793714736,1550.1316743530979
all_years,0.8,1000,110,248,-5.969088467684659,-4.072801624644886,1553.3670521271536,1546.6613817875927
all_years,0.9,1000,128,272,-7.757652282714844,-3.810911178588867,1556.368901423636,1553.3924243271613
