player,player_key,pos,pred_fp_per_game,stored_pred_salary,pred_salary_raw,base_salary_observed,salary_resid_5,salary_resid_10,salary_resid_25,salary_resid_75,salary_resid_90,salary_resid_95,espn_source_salary,salary_model_matched,espn_source_matched,raw_point_salary,point_salary,year,actual_salary,is_keeper,actual_salary_recorded,actual_salary_used_in_replay,salary_residual,replay_salary_residual,scenario_market_mean,scenario_center_shift,actual_minus_scenario,selection_slots,selection_slots_chance_60,selection_slots_chance_70,selection_slots_chance_80,selection_slots_chance_90,selection_rate,selection_bucket,predicted_salary_tier,projection_strength_pct,price_strength_pct,value_rank_gap,value_over_price_quintile,top_projection_quartile,salary_center_source
Aaron Jones,aaronjones,RB,13.398380279541016,66.00402119272977,65.15125842604334,1.0,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,56.0,True,True,65.15125842604334,68.75963,2022,67.0,0.0,True,67.0,-1.7596300000000014,-1.7596300000000014,68.57070995391213,-0.1889200460878726,-1.5707099539121288,147,37,35,39,36,0.147,occasional_5-25%,$51+,0.9090909090909091,0.922077922077922,-0.012987012987012991,2,True,current_salary_model
Aaron Rodgers,aaronrodgers,QB,18.130952835083008,6.483448068434121,5.6306853017476906,1.0,-10.703953657402913,-8.017540626047161,-4.319489590638967,0.5409270717913711,4.9235693781091365,9.03876542550219,4.0,True,True,5.6306853017476906,5.8911514,2022,2.0,0.0,True,2.0,-3.8911514,-3.8911514,5.172705830202973,-0.7184455697970273,-3.1727058302029727,168,41,43,43,41,0.168,occasional_5-25%,$6-15,0.8484848484848485,0.696969696969697,0.1515151515151515,5,True,current_salary_model
Abram Smith,abramsmith,RB,6.306136608123779,,,,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,,False,False,1.0,1.0,2022,,,False,1.0,,0.0,2.919379571623667,1.9193795716236668,,0,0,0,0,0,0.0,never,$1-5,0.12987012987012986,0.23376623376623376,-0.1038961038961039,1,False,minimum_fallback
Adam Thielen,adamthielen,WR,10.604836463928224,17.984759488517213,17.131996721830784,1.0,-9.23158104188064,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,10.0,True,True,17.131996721830784,18.039387,2022,20.0,0.0,True,20.0,1.9606129999999986,1.9606129999999986,16.28322876378271,-1.756158236217292,3.7167712362172907,160,39,39,42,40,0.16,occasional_5-25%,$16-30,0.8585858585858586,0.797979797979798,0.06060606060606055,4,True,current_salary_model
Adam Trautman,adamtrautman,TE,6.530933856964111,1.8527627666864297,1.0,0.0,-10.703953657402913,-8.017540626047161,-4.319489590638967,0.5409270717913711,4.9235693781091365,9.03876542550219,,True,False,1.0,1.0,2022,,,False,1.0,,0.0,2.3564032210700177,1.3564032210700177,,0,0,0,0,0,0.0,never,$1-5,0.4782608695652174,0.3804347826086957,0.09782608695652173,4,False,current_salary_model
Aj Brown,ajbrown,WR,11.94201374053955,50.87910451262009,50.02634174593366,1.0,-9.23158104188064,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,46.0,True,True,50.02634174593366,52.78397,2022,45.0,0.0,True,45.0,-7.7839699999999965,-7.7839699999999965,51.320843787353226,-1.4631262126467703,-6.320843787353226,18,4,4,4,6,0.018,rare_0-5%,$51+,0.9292929292929293,0.9393939393939394,-0.010101010101010166,2,True,current_salary_model
Aj Dillon,ajdillon,RB,10.621748924255373,19.24992546487105,18.397162698184623,1.0,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,2.0,True,True,18.397162698184623,19.375717,2022,36.0,0.0,True,36.0,16.624283,16.624283,18.660670806209616,-0.7150461937903856,17.339329193790384,221,51,56,55,59,0.221,occasional_5-25%,$16-30,0.7792207792207793,0.7792207792207793,0.0,3,True,current_salary_model
Aj Green,ajgreen,WR,8.239962577819824,1.8527627666864297,1.0,0.0,-9.23158104188064,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,,True,False,1.0,1.0,2022,,,False,1.0,,0.0,1.83960624225932,0.83960624225932,,5,2,1,1,1,0.005,rare_0-5%,$1-5,0.47474747474747475,0.23737373737373738,0.23737373737373738,5,False,current_salary_model
Albert Okwuegbunam,albertokwuegbunam,TE,7.163317680358887,1.8527627666864297,1.0,0.0,-10.703953657402913,-8.017540626047161,-4.319489590638967,0.5409270717913711,4.9235693781091365,9.03876542550219,,True,False,1.0,1.0,2022,,,False,1.0,,0.0,2.33659273528494,1.33659273528494,,18,5,4,4,5,0.018,rare_0-5%,$1-5,0.6086956521739131,0.3804347826086957,0.2282608695652174,5,False,current_salary_model
Alec Pierce,alecpierce,WR,6.653608322143555,2.6876953434479773,1.834932576761548,0.0,-9.23158104188064,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,,True,False,1.834932576761548,1.8818958,2022,1.0,0.0,True,1.0,-0.8818957999999999,-0.8818957999999999,2.1861874276006534,0.30429162760065354,-1.1861874276006534,0,0,0,0,0,0.0,never,$1-5,0.12121212121212122,0.5050505050505051,-0.38383838383838387,1,False,current_salary_model
Alexander Mattison,alexandermattison,RB,8.616082191467285,3.1426133900724547,2.289850623386025,0.0,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,,True,False,2.289850623386025,2.362402,2022,6.0,0.0,True,6.0,3.637598,3.637598,3.492100668524071,1.129698668524071,2.507899331475929,86,23,22,20,21,0.086,occasional_5-25%,$1-5,0.5844155844155844,0.5064935064935064,0.07792207792207795,4,False,current_salary_model
Allen Lazard,allenlazard,WR,8.974535942077637,12.24021062588236,11.387447859195929,1.0,-9.23158104188064,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,4.0,True,True,11.387447859195929,11.97172,2022,25.0,0.0,True,25.0,13.02828,13.02828,10.014215143602362,-1.9575048563976374,14.985784856397638,54,12,13,13,16,0.054,occasional_5-25%,$6-15,0.5959595959595959,0.7272727272727273,-0.13131313131313138,1,False,current_salary_model
Alvin Kamara,alvinkamara,RB,13.856033325195312,85.72635600151607,84.87359323482964,1.0,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,81.0,True,True,84.87359323482964,89.59131,2022,85.0,0.0,True,85.0,-4.591309999999993,-4.591309999999993,89.6284308584999,0.037120858499903875,-4.628430858499897,39,10,9,9,11,0.039,rare_0-5%,$51+,0.922077922077922,0.935064935064935,-0.012987012987012991,2,True,current_salary_model
Amari Cooper,amaricooper,WR,10.31868839263916,17.6017958497668,16.74903308308037,1.0,-9.23158104188064,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,12.0,True,True,16.74903308308037,17.634884,2022,10.0,0.0,True,10.0,-7.634884,-7.634884,15.714703244665975,-1.9201807553340249,-5.714703244665975,226,59,58,57,52,0.226,occasional_5-25%,$16-30,0.8181818181818182,0.7878787878787878,0.030303030303030387,4,True,current_salary_model
Amari Rodgers,amarirodgers,WR,7.209855079650879,1.8527627666864297,1.0,0.0,-9.23158104188064,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,,True,False,1.0,1.0,2022,,,False,1.0,,0.0,1.882490183289784,0.882490183289784,,0,0,0,0,0,0.0,never,$1-5,0.1717171717171717,0.23737373737373738,-0.06565656565656566,2,False,current_salary_model
Austin Hooper,austinhooper,TE,6.908958435058594,1.8527627666864297,1.0,0.0,-10.703953657402913,-8.017540626047161,-4.319489590638967,0.5409270717913711,4.9235693781091365,9.03876542550219,,True,False,1.0,1.0,2022,,,False,1.0,,0.0,2.3702541460964213,1.3702541460964213,,1,0,1,0,0,0.001,rare_0-5%,$1-5,0.5869565217391305,0.3804347826086957,0.2065217391304348,5,False,current_salary_model
Baker Mayfield,bakermayfield,QB,14.359182357788086,1.8527627666864297,1.0,0.0,-10.703953657402913,-8.017540626047161,-4.319489590638967,0.5409270717913711,4.9235693781091365,9.03876542550219,,True,False,1.0,1.0,2022,,,False,1.0,,0.0,2.438684628700793,1.438684628700793,,0,0,0,0,0,0.0,never,$1-5,0.2727272727272727,0.30303030303030304,-0.03030303030303033,2,False,current_salary_model
Benny Snell,bennysnell,RB,6.416409492492676,,,,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,,False,False,1.0,1.0,2022,,,False,1.0,,0.0,2.9717292635925014,1.9717292635925014,,0,0,0,0,0,0.0,never,$1-5,0.15584415584415584,0.23376623376623376,-0.07792207792207792,2,False,minimum_fallback
Boston Scott,bostonscott,RB,6.847029209136963,1.8527627666864297,1.0,0.0,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,,True,False,1.0,1.0,2022,,,False,1.0,,0.0,3.1753162735002713,2.1753162735002713,,0,0,0,0,0,0.0,never,$1-5,0.23376623376623376,0.23376623376623376,0.0,3,False,current_salary_model
Brandin Cooks,brandincooks,WR,10.482514381408691,37.23655897397876,36.38379620729233,1.0,-9.23158104188064,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,38.0,True,True,36.38379620729233,38.37406,2022,35.0,0.0,True,35.0,-3.37406,-3.37406,36.85778827947018,-1.5162717205298222,-1.8577882794701779,2,0,0,1,1,0.002,rare_0-5%,$31-50,0.8484848484848485,0.8888888888888888,-0.04040404040404033,2,True,current_salary_model
Brandon Aiyuk,brandonaiyuk,WR,9.455514907836914,11.605015497618515,10.752252730932083,1.0,-9.23158104188064,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,4.0,True,True,10.752252730932083,11.3007965,2022,5.0,0.0,True,5.0,-6.300796500000001,-6.300796500000001,9.3781454449111,-1.9226510550889007,-4.3781454449111,77,20,20,19,18,0.077,occasional_5-25%,$6-15,0.7070707070707071,0.7070707070707071,0.0,3,False,current_salary_model
Braxton Berrios,braxtonberrios,WR,7.547566413879394,1.8527627666864297,1.0,0.0,-9.23158104188064,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,,True,False,1.0,1.0,2022,,,False,1.0,,0.0,1.9267776259589895,0.9267776259589895,,0,0,0,0,0,0.0,never,$1-5,0.24242424242424243,0.23737373737373738,0.005050505050505055,3,False,current_salary_model
Breece Hall,breecehall,RB,14.028142929077148,46.364866915282775,45.51210414859634,1.0,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,33.0,True,True,45.51210414859634,48.015816,2022,54.0,0.0,True,54.0,5.984183999999999,5.984183999999999,47.63228486812707,-0.3835311318729282,6.367715131872927,384,95,96,99,94,0.384,frequent_25-50%,$31-50,0.935064935064935,0.8701298701298701,0.06493506493506496,4,True,current_salary_model
Brevin Jordan,brevinjordan,TE,6.908616065979004,1.8527627666864297,1.0,0.0,-10.703953657402913,-8.017540626047161,-4.319489590638967,0.5409270717913711,4.9235693781091365,9.03876542550219,,True,False,1.0,1.0,2022,,,False,1.0,,0.0,2.321407531115636,1.3214075311156361,,11,2,3,3,3,0.011,rare_0-5%,$1-5,0.5652173913043478,0.3804347826086957,0.1847826086956521,5,False,current_salary_model
Brian Robinson,brianrobinson,RB,7.117944240570068,4.066149538245209,3.2133867715587785,1.0,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,0.0,True,True,3.2133867715587785,3.3378851,2022,3.0,0.0,True,3.0,-0.3378850999999998,-0.3378850999999998,4.077644776957494,0.7397596769574943,-1.0776447769574942,8,3,2,2,1,0.008,rare_0-5%,$1-5,0.2987012987012987,0.5584415584415584,-0.2597402597402597,1,False,current_salary_model
Bryan Edwards,bryanedwards,WR,7.607735633850098,1.8527627666864297,1.0,0.0,-9.23158104188064,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,,True,False,1.0,1.0,2022,,,False,1.0,,0.0,1.854216818700391,0.8542168187003909,,0,0,0,0,0,0.0,never,$1-5,0.2727272727272727,0.23737373737373738,0.03535353535353533,4,False,current_salary_model
Byron Pringle,byronpringle,WR,7.625349044799805,1.8527627666864297,1.0,0.0,-9.23158104188064,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,,True,False,1.0,1.0,2022,,,False,1.0,,0.0,1.8264219145734737,0.8264219145734737,,0,0,0,0,0,0.0,never,$1-5,0.30303030303030304,0.23737373737373738,0.06565656565656566,4,False,current_salary_model
Cade Otton,cadeotton,TE,5.9617204666137695,,,,-10.703953657402913,-8.017540626047161,-4.319489590638967,0.5409270717913711,4.9235693781091365,9.03876542550219,,False,False,1.0,1.0,2022,,,False,1.0,,0.0,2.337695790888943,1.3376957908889429,,0,0,0,0,0,0.0,never,$1-5,0.17391304347826086,0.3804347826086957,-0.2065217391304348,1,False,minimum_fallback
Calvin Austin,calvinaustin,WR,4.27553129196167,,,,-9.23158104188064,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,,False,False,1.0,1.0,2022,,,False,1.0,,0.0,1.8212035752401903,0.8212035752401903,,0,0,0,0,0,0.0,never,$1-5,0.030303030303030304,0.23737373737373738,-0.20707070707070707,1,False,minimum_fallback
Calvin Ridley,calvinridley,WR,8.882122993469238,,,,-9.23158104188064,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,,False,False,1.0,1.0,2022,,,False,1.0,,0.0,1.8650589753668567,0.8650589753668567,,78,22,18,21,17,0.078,occasional_5-25%,$1-5,0.5757575757575758,0.23737373737373738,0.33838383838383845,5,False,minimum_fallback
Cameron Brate,cameronbrate,TE,6.336123466491699,1.8527627666864297,1.0,0.0,-10.703953657402913,-8.017540626047161,-4.319489590638967,0.5409270717913711,4.9235693781091365,9.03876542550219,,True,False,1.0,1.0,2022,,,False,1.0,,0.0,2.2737751354370923,1.2737751354370923,,1,0,1,0,0,0.001,rare_0-5%,$1-5,0.391304347826087,0.3804347826086957,0.010869565217391297,3,False,current_salary_model
Cedrick Wilson,cedrickwilson,WR,7.56048059463501,1.8527627666864297,1.0,0.0,-9.23158104188064,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,,True,False,1.0,1.0,2022,,,False,1.0,,0.0,1.8803068686456141,0.8803068686456141,,0,0,0,0,0,0.0,never,$1-5,0.25252525252525254,0.23737373737373738,0.015151515151515166,3,False,current_salary_model
Chase Claypool,chaseclaypool,WR,9.312097549438477,6.135337714192638,5.282574947506208,1.0,-9.23158104188064,-7.442141943668206,-4.724914101182453,0.5397594225988889,4.0062060846593806,5.103247351096399,2.0,True,True,5.282574947506208,5.523461,2022,2.0,0.0,True,2.0,-3.523461,-3.523461,4.212265332150899,-1.311195667849101,-2.212265332150899,242,59,61,62,60,0.242,occasional_5-25%,$6-15,0.6666666666666666,0.6161616161616161,0.0505050505050505,4,False,current_salary_model
Chase Edmonds,chaseedmonds,RB,9.818498611450195,18.3834999809426,17.530737214256174,1.0,-10.281303923146202,-8.238114763304495,-5.020458634160205,1.624243175622695,7.423912934306358,12.069202530058012,6.0,True,True,17.530737214256174,18.460556,2022,23.0,0.0,True,23.0,4.539444,4.539444,17.790368083134897,-0.6701879168651033,5.209631916865103,68,17,16,19,16,0.068,occasional_5-25%,$16-30,0.7272727272727273,0.7532467532467533,-0.025974025974025983,2,False,current_salary_model
