year,player,player_key,pos,pred_fp_per_game,point_salary,actual_salary,salary_residual,selection_slots,selection_rate,predicted_salary_tier,value_over_price_quintile,salary_center_source,residual_contribution_per_roster_within_origin,gross_direction,direction_rank
2023,Jerry Jeudy,jerryjeudy,WR,10.568398475646973,17.833395,8.0,-9.833395,332,0.332,$16-30,4,current_salary_model,-3.26468714,negative,1.0
2023,Devon Achane,devonachane,RB,9.86878776550293,12.778496,2.0,-10.778496,299,0.299,$6-15,5,current_salary_model,-3.222770304,negative,2.0
2024,Jalen Hurts,jalenhurts,QB,22.696,34.510796,27.0,-7.510795999999999,348,0.348,$31-50,4,current_salary_model,-2.6137570079999994,negative,3.0
2025,Rashee Rice,rasheerice,WR,10.608,23.992697,16.0,-7.992697,321,0.321,$16-30,1,current_salary_model,-2.565655737,negative,4.0
2023,Chris Godwin,chrisgodwin,WR,11.012168884277344,28.330479,20.0,-8.330479,262,0.262,$16-30,3,current_salary_model,-2.182585498,negative,5.0
2024,Brian Thomas,brianthomas,WR,10.273216666666668,10.391347,3.0,-7.391347,275,0.275,$6-15,4,current_salary_model,-2.0326204249999997,negative,6.0
2022,George Kittle,georgekittle,TE,11.241249084472656,22.390999,17.0,-5.390999000000001,362,0.362,$16-30,3,current_salary_model,-1.9515416380000004,negative,7.0
2024,Puka Nacua,pukanacua,WR,14.88075,74.167015,57.0,-17.167015000000006,110,0.11,$51+,3,current_salary_model,-1.8883716500000007,negative,8.0
2022,Amari Cooper,amaricooper,WR,10.31868839263916,17.634884,10.0,-7.634884,226,0.226,$16-30,4,current_salary_model,-1.725483784,negative,9.0
2024,Jordan Addison,jordanaddison,WR,10.13875,8.963299,5.0,-3.9632989999999992,423,0.423,$6-15,4,current_salary_model,-1.6764754769999997,negative,10.0
2025,Kaleb Johnson,kalebjohnson,RB,11.119216666666668,23.605194,11.0,-12.605194000000001,130,0.13,$16-30,5,current_salary_model,-1.63867522,negative,11.0
2022,Dk Metcalf,dkmetcalf,WR,11.160555839538574,33.807407,21.0,-12.807406999999998,126,0.126,$31-50,3,current_salary_model,-1.6137332819999997,negative,12.0
2025,Tyrone Tracy,tyronetracy,RB,10.74725,21.197847,12.0,-9.197847,156,0.156,$16-30,4,current_salary_model,-1.434864132,negative,13.0
2023,Breece Hall,breecehall,RB,11.854406356811523,40.255028,34.0,-6.255028000000003,222,0.222,$31-50,4,current_salary_model,-1.3886162160000006,negative,14.0
2024,Jayden Reed,jaydenreed,WR,10.262125,13.36077,8.0,-5.3607700000000005,258,0.258,$6-15,4,current_salary_model,-1.3830786600000002,negative,15.0
2022,Najee Harris,najeeharris,RB,15.562064170837402,102.00495,92.0,-10.004949999999994,134,0.134,$51+,4,current_salary_model,-1.3406632999999992,negative,16.0
2024,Malik Nabers,maliknabers,WR,13.924666666666669,48.63627,40.0,-8.636270000000003,154,0.154,$31-50,4,current_salary_model,-1.3299855800000004,negative,17.0
