year,trial,policy,solve_status,max_forced_options,forced_option_count,forced_option_players,forced_young_count,forced_mean_year_exp,candidate_attempts,reoptimization_refine_swaps,roster,nominal_starters,bench_players,starter_changes_vs_control,bench_changes_vs_control,roster_changes_vs_control,forecast_salary_spend,unspent_budget,starter_forecast_spend,bench_forecast_spend,starter_projected_ppg_sum,starter_raw_actual_points,starter_forecast_ev,starter_forecast_p10,starter_forecast_p90,top3_spend_share,baseline_construction_score,current_construction_score,current_construction_delta,forecast_ev,forecast_p10,forecast_p90,actual_points,drafted_only_points,actual_waiver_starts,actual_salary_spend,actual_salary_missing_players,raw_outcome_missing_players,actual_playoff_points,bench_actual_max4_ppg,bench_dead_below10,bench_sustained_12_hits,bench_sustained_15_hits,predicted_expected_best_surplus,predicted_probability_any_hit,predicted_probability_any_10,predicted_probability_any_20,predicted_expected_top2_surplus,predicted_best_player,next_validation_bench_matches,next_projection_proxy_bench_count,future_outcome_available,actual_best_keeper_surplus,actual_top2_keeper_surplus,actual_any_keeper_hit,actual_any_keeper_hit_10,actual_any_keeper_hit_20,actual_best_future_ppg,actual_future_ppg_ge12_count,actual_future_ppg_ge15_count,actual_keeper_hit_players,observed_cost_coverage,observed_best_keeper_surplus,observed_any_keeper_hit_10
2024,0,control,optimal,0,0,,0,,0,0,Brian Robinson|Cooper Kupp|Dak Prescott|Devonta Smith|George Kittle|Jayden Reed|Jonathon Brooks|Jordan Addison|Najee Harris|Rashee Rice|Tj Hockenson|Tyjae Spears|Tyreek Hill,Cooper Kupp|Dak Prescott|Devonta Smith|George Kittle|Najee Harris|Rashee Rice|Tyjae Spears|Tyreek Hill,Brian Robinson|Jayden Reed|Jonathon Brooks|Jordan Addison|Tj Hockenson,0,0,0,297.2408142089844,0.759185791015625,243.05667114257807,54.18412780761719,105.1921844482422,1078.219970703125,1574.1749267578125,1426.9298095703125,1713.7364501953125,0.5576688051223755,1669.0257568359375,1669.0257568359375,0.0,1641.7249755859375,1523.7337646484375,1791.7447509765625,1571.8399658203125,1359.419921875,32,345.0,0,0,378.739990234375,13.684999823570251,2,3,3,36.456128264855415,0.76,0.716,0.68,50.784409490881416,Jonathon Brooks,4,1,1,0.0,0.0,0,0,0,8.608333587646484,0,0,,1.0,0.0,0
2024,0,reinvest_k1,optimal,1,1,Trey Benson,1,0.0,6,0,Anthony Richardson|Brian Thomas|Brock Bowers|Calvin Ridley|Ceedee Lamb|Javonte Williams|Josh Jacobs|Rashee Rice|Rome Odunze|Tee Higgins|Trey Benson|Tyjae Spears|Xavier Worthy,Anthony Richardson|Brock Bowers|Ceedee Lamb|Josh Jacobs|Rashee Rice|Rome Odunze|Tee Higgins|Tyjae Spears,Brian Thomas|Calvin Ridley|Javonte Williams|Trey Benson|Xavier Worthy,6,5,11,297.6358642578125,0.3641357421875,234.5630340576172,63.07282638549805,102.54084873199464,1261.760009765625,1519.19091796875,1405.7677001953125,1686.799072265625,0.5907748341560364,1669.0257568359375,1808.7880859375,139.7623291015625,1567.10107421875,1431.6260986328125,1722.9088134765625,1653.5400390625,1565.0599365234375,41,350.0,0,0,480.9399719238281,14.158333587646483,1,4,2,44.67206883112375,0.828,0.76,0.72,66.7038035066518,Trey Benson,5,0,1,67.23887611812717,67.23887611812717,1,1,1,15.193333625793455,1,1,Javonte Williams,1.0,67.04100586361056,1
2024,0,reinvest_k2,optimal,2,2,Trey Benson|Zach Charbonnet,2,0.5,12,1,Adam Thielen|Brian Thomas|Ceedee Lamb|Dak Prescott|Devonta Smith|Dk Metcalf|Javonte Williams|Mark Andrews|Rashee Rice|Rome Odunze|Trey Benson|Tyjae Spears|Zach Charbonnet,Ceedee Lamb|Dak Prescott|Devonta Smith|Dk Metcalf|Javonte Williams|Mark Andrews|Rashee Rice|Tyjae Spears,Adam Thielen|Brian Thomas|Rome Odunze|Trey Benson|Zach Charbonnet,4,5,9,286.96942138671875,11.03057861328125,261.2291259765625,25.74029541015625,104.13763999938963,1037.1199951171875,1533.758544921875,1379.5518798828125,1683.943115234375,0.6223700046539307,1669.0257568359375,1809.286376953125,140.2606201171875,1563.688232421875,1431.5250244140625,1737.128662109375,1492.340087890625,1327.1199951171875,40,309.0,0,0,437.4400024414063,14.173333358764648,2,3,2,45.763527533114825,0.808,0.732,0.672,66.17232292347468,Trey Benson,5,0,1,3.728100299835205,3.728100299835205,1,0,0,10.93333339691162,0,0,Zach Charbonnet,1.0,1.9256272315979004,0
2024,0,reinvest_k3,optimal,3,3,Ray Davis|Trey Benson|Zach Charbonnet,3,0.3333333333333333,18,2,Brian Thomas|Ceedee Lamb|Dak Prescott|Devonta Smith|Dk Metcalf|Javonte Williams|Mark Andrews|Rashee Rice|Ray Davis|Rome Odunze|Trey Benson|Tyjae Spears|Zach Charbonnet,Ceedee Lamb|Dak Prescott|Devonta Smith|Dk Metcalf|Javonte Williams|Mark Andrews|Rashee Rice|Tyjae Spears,Brian Thomas|Ray Davis|Rome Odunze|Trey Benson|Zach Charbonnet,4,5,9,286.5743713378906,11.425628662109377,261.2291259765625,25.34524345397949,104.13763999938963,1037.1199951171875,1533.758544921875,1379.5518798828125,1683.943115234375,0.6232279539108276,1669.0257568359375,1797.3665771484375,128.3408203125,1564.7305908203125,1428.7125244140625,1742.8984375,1492.340087890625,1333.919921875,40,308.0,1,0,437.4400024414063,13.693333625793455,2,3,2,50.45729743867311,0.84,0.776,0.708,78.03012053269458,Trey Benson,5,0,1,3.728100299835205,3.728100299835205,1,0,0,10.93333339691162,0,0,Zach Charbonnet,0.8,1.9256272315979004,0
2024,1,control,optimal,0,0,,0,,0,0,Brian Robinson|Dak Prescott|Devonta Smith|Jaxon Smith Njigba|Jayden Reed|Jaylen Waddle|Jordan Addison|Kyle Pitts|Mark Andrews|Marvin Harrison|Najee Harris|Rashee Rice|Tyjae Spears,Dak Prescott|Devonta Smith|Jaylen Waddle|Mark Andrews|Marvin Harrison|Najee Harris|Rashee Rice|Tyjae Spears,Brian Robinson|Jaxon Smith Njigba|Jayden Reed|Jordan Addison|Kyle Pitts,0,0,0,293.2654113769531,4.734588623046875,230.5870361328125,62.67838287353516,104.19748306274414,979.8200073242188,1552.743896484375,1428.6351318359375,1663.830078125,0.4752240478992462,1706.743896484375,1706.743896484375,0.0,1604.646728515625,1468.7462158203125,1730.7081298828125,1450.340087890625,1267.6201171875,33,317.0,0,0,387.6399536132813,19.15999984741211,0,5,4,30.82277431232129,0.768,0.692,0.548,44.00789454913667,Brian Robinson,5,0,1,78.20234298706055,79.37419848995981,1,1,1,19.753332138061523,1,1,Jaxon Smith Njigba|Kyle Pitts,1.0,71.91451263427734,1
2024,1,reinvest_k1,optimal,1,1,Ray Davis,1,0.0,6,0,Adonai Mitchell|Amari Cooper|Brian Thomas|Brock Bowers|Ceedee Lamb|Devon Achane|Javonte Williams|Jayden Daniels|Keenan Allen|Najee Harris|Rashee Rice|Ray Davis|Zay Flowers,Amari Cooper|Brock Bowers|Ceedee Lamb|Devon Achane|Jayden Daniels|Najee Harris|Rashee Rice|Zay Flowers,Adonai Mitchell|Brian Thomas|Javonte Williams|Keenan Allen|Ray Davis,6,5,11,297.42779541015625,0.57220458984375,249.02035522460935,48.407447814941406,103.21317958831789,1459.8199462890625,1557.3936767578125,1382.6798095703125,1730.8048095703125,0.5925248861312866,1706.743896484375,1923.507568359375,216.763671875,1605.6607666015625,1430.2847900390625,1769.6219482421875,1701.280029296875,1744.919921875,33,315.0,1,0,475.9400024414063,13.950000190734864,1,4,2,40.53878295514699,0.808,0.752,0.676,56.705535499494125,Ray Davis,5,0,1,67.64378782573046,67.64378782573046,1,1,1,15.193333625793455,1,1,Javonte Williams,0.8,69.68067213359178,1
2024,1,reinvest_k2,optimal,2,2,Blake Corum|Ray Davis,2,0.0,12,0,Adonai Mitchell|Amari Cooper|Blake Corum|Ceedee Lamb|Christian Kirk|Javonte Williams|Keenan Allen|Mark Andrews|Najee Harris|Patrick Mahomes|Rashee Rice|Ray Davis|Zay Flowers,Amari Cooper|Ceedee Lamb|Javonte Williams|Mark Andrews|Najee Harris|Patrick Mahomes|Rashee Rice|Zay Flowers,Adonai Mitchell|Blake Corum|Christian Kirk|Keenan Allen|Ray Davis,5,5,10,297.8241882324219,0.175811767578125,255.9575958251953,41.86659622192383,103.97414875030518,1238.320068359375,1546.8890380859375,1303.1829833984375,1675.373046875,0.5018912553787231,1706.743896484375,1959.074951171875,252.3310546875,1583.4193115234375,1348.6768798828125,1748.42529296875,1413.840087890625,1437.820068359375,54,307.0,1,0,368.4400024414063,9.785000038146972,2,2,1,42.304818819421136,0.824,0.708,0.624,58.980212530481936,Ray Davis,5,0,1,0.0,0.0,0,0,0,9.19333267211914,0,0,,0.8,0.0,0
2024,1,reinvest_k3,optimal,3,3,Blake Corum|Ray Davis|Zach Charbonnet,3,0.3333333333333333,18,1,Adonai Mitchell|Amari Cooper|Blake Corum|Brock Bowers|Ceedee Lamb|Javonte Williams|Jayden Daniels|Keenan Allen|Najee Harris|Puka Nacua|Rashee Rice|Ray Davis|Zach Charbonnet,Amari Cooper|Brock Bowers|Ceedee Lamb|Javonte Williams|Jayden Daniels|Najee Harris|Puka Nacua|Rashee Rice,Adonai Mitchell|Blake Corum|Keenan Allen|Ray Davis|Zach Charbonnet,6,5,11,292.8689880371094,5.131011962890625,264.6787109375,28.19028091430664,102.42967224121094,1320.1201171875,1567.790283203125,1411.8426513671875,1674.584716796875,0.6660420894622803,1706.743896484375,1935.9185791015625,229.1746826171875,1603.484130859375,1428.7969970703125,1713.7645263671875,1506.8800048828125,1611.52001953125,51,284.0,1,0,409.3400268554688,10.925000190734863,2,3,2,47.71108604911113,0.824,0.736,0.668,67.63219492740674,Zach Charbonnet,5,0,1,2.9825925827026367,2.9825925827026367,1,0,0,9.714285850524902,0,0,Zach Charbonnet,0.8,1.379007339477539,0
2024,2,control,optimal,0,0,,0,,0,0,Brian Thomas|Dalton Schultz|Devon Achane|Jalen Hurts|Javonte Williams|Kyle Pitts|Marvin Harrison|Najee Harris|Nathaniel Dell|Rashee Rice|Rashid Shaheed|Rome Odunze|Xavier Worthy,Devon Achane|Jalen Hurts|Kyle Pitts|Marvin Harrison|Najee Harris|Nathaniel Dell|Rashee Rice|Rome Odunze,Brian Thomas|Dalton Schultz|Javonte Williams|Rashid Shaheed|Xavier Worthy,0,0,0,294.5609741210937,3.43902587890625,251.87481689453125,42.6861572265625,107.81672191619872,1274.02001953125,1621.138671875,1494.598876953125,1713.771240234375,0.5514181852340698,1769.963134765625,1769.963134765625,0.0,1672.2974853515625,1559.0703125,1795.673095703125,1559.4000244140625,1536.320068359375,33,308.0,0,0,422.280029296875,14.156666564941409,0,4,1,34.5845079230607,0.76,0.664,0.64,49.740647418765526,Brian Thomas,5,0,1,65.38294515729712,65.38294515729712,1,1,1,15.193333625793455,1,1,Javonte Williams,1.0,66.35158262372778,1
2024,2,reinvest_k1,optimal,1,1,Trey Benson,1,0.0,6,0,Brian Thomas|Brock Bowers|Calvin Ridley|Dak Prescott|Dk Metcalf|Josh Jacobs|Marvin Harrison|Nathaniel Dell|Rashee Rice|Tee Higgins|Trey Benson|Tyjae Spears|Zack Moss,Brock Bowers|Dak Prescott|Dk Metcalf|Josh Jacobs|Marvin Harrison|Nathaniel Dell|Rashee Rice|Tyjae Spears,Brian Thomas|Calvin Ridley|Tee Higgins|Trey Benson|Zack Moss,5,4,9,294.75830078125,3.24169921875,225.82994079589844,68.92835235595703,101.9118423461914,1127.4200439453125,1506.7906494140625,1362.1055908203125,1626.823974609375,0.5336446762084961,1769.963134765625,1837.151123046875,67.18798828125,1554.996826171875,1431.2725830078125,1650.2515869140625,1637.739990234375,1503.02001953125,38,342.0,0,0,454.239990234375,15.45833339691162,1,4,3,39.86643438306318,0.776,0.724,0.68,56.49362164419797,Trey Benson,5,0,1,11.802724838256836,11.802724838256836,1,1,0,13.015385627746582,1,0,Tee Higgins,1.0,0.0,0
