year,policy,young_le2,young_le3,rookie,veteran_gt3,missing_experience
2022,control,2.66,3.448,1.304,1.552,0.476
2022,reinvest_k1,3.168,3.696,1.884,1.304,0.528
2022,reinvest_k2,3.676,4.068,2.104,0.932,0.416
2022,reinvest_k3,3.972,4.26,2.236,0.74,0.34
2023,control,1.828,2.604,1.488,2.396,0.004
2023,reinvest_k1,2.444,2.828,2.136,2.172,0.076
2023,reinvest_k2,2.756,2.996,2.368,2.004,0.156
2023,reinvest_k3,3.032,3.276,2.572,1.724,0.216
2024,control,4.744,4.796,2.22,0.204,0.004
2024,reinvest_k1,4.916,4.932,2.492,0.068,0.004
2024,reinvest_k2,4.948,4.956,2.644,0.044,0.012
2024,reinvest_k3,4.884,4.888,2.756,0.112,0.08
2025,control,4.112,4.224,2.964,0.776,0.42
2025,reinvest_k1,4.304,4.336,2.908,0.664,0.284
2025,reinvest_k2,4.44,4.472,2.912,0.528,0.184
2025,reinvest_k3,4.512,4.536,2.952,0.464,0.18
