year,trial,policy,solve_status,max_forced_options,forced_option_count,forced_option_players,forced_young_count,forced_mean_year_exp,candidate_attempts,reoptimization_refine_swaps,roster,nominal_starters,bench_players,starter_changes_vs_control,bench_changes_vs_control,roster_changes_vs_control,forecast_salary_spend,unspent_budget,starter_forecast_spend,bench_forecast_spend,starter_projected_ppg_sum,starter_raw_actual_points,starter_forecast_ev,starter_forecast_p10,starter_forecast_p90,top3_spend_share,baseline_construction_score,current_construction_score,current_construction_delta,forecast_ev,forecast_p10,forecast_p90,actual_points,drafted_only_points,actual_waiver_starts,actual_salary_spend,actual_salary_missing_players,raw_outcome_missing_players,actual_playoff_points,bench_actual_max4_ppg,bench_dead_below10,bench_sustained_12_hits,bench_sustained_15_hits,predicted_expected_best_surplus,predicted_probability_any_hit,predicted_probability_any_10,predicted_probability_any_20,predicted_expected_top2_surplus,predicted_best_player,next_validation_bench_matches,next_projection_proxy_bench_count,future_outcome_available,actual_best_keeper_surplus,actual_top2_keeper_surplus,actual_any_keeper_hit,actual_any_keeper_hit_10,actual_any_keeper_hit_20,actual_best_future_ppg,actual_future_ppg_ge12_count,actual_future_ppg_ge15_count,actual_keeper_hit_players,observed_cost_coverage,observed_best_keeper_surplus,observed_any_keeper_hit_10
2022,0,control,optimal,0,0,,0,,0,0,Aaron Rodgers|Aj Dillon|Alvin Kamara|Chris Godwin|Clyde Edwards Helaire|Damien Harris|Devin Singletary|George Kittle|Juju Smith Schuster|Kenneth Walker|Kyle Pitts|Michael Carter|Mike Williams,Aaron Rodgers|Alvin Kamara|Chris Godwin|Clyde Edwards Helaire|George Kittle|Juju Smith Schuster|Kyle Pitts|Mike Williams,Aj Dillon|Damien Harris|Devin Singletary|Kenneth Walker|Michael Carter,0,0,0,296.0257568359375,1.9742431640625,237.9141540527344,58.11159133911133,99.93521022796632,1114.10009765625,1513.5635986328125,1356.12744140625,1686.8828125,0.4750195145606994,1338.7626953125,1338.7626953125,0.0,1612.8782958984375,1457.0147705078125,1775.061767578125,1332.60009765625,1356.5999755859375,35,383.0,0,0,368.1600036621094,16.208333015441895,0,4,2,52.15371357486691,0.843,0.771,0.73,76.3945081593294,Michael Carter,5,0,1,49.67957083293361,49.67957083293361,1.0,1.0,1.0,13.09999942779541,1.0,0.0,Kenneth Walker,1.0,34.85982863017482,1.0
2022,0,reinvest_k1,optimal,1,1,Dameon Pierce,1,0.0,8,1,Aaron Rodgers|Aj Dillon|Chris Godwin|Clyde Edwards Helaire|Dameon Pierce|Damien Harris|Davante Adams|Devin Singletary|George Kittle|Juju Smith Schuster|Kenneth Walker|Mike Williams|Miles Sanders,Aaron Rodgers|Chris Godwin|Clyde Edwards Helaire|Davante Adams|George Kittle|Juju Smith Schuster|Mike Williams|Miles Sanders,Aj Dillon|Dameon Pierce|Damien Harris|Devin Singletary|Kenneth Walker,2,1,3,296.7339172363281,1.266082763671875,239.8025665283203,56.93133163452149,99.9709644317627,1357.5,1511.771728515625,1337.0107421875,1667.4991455078125,0.4802499115467071,1338.7626953125,1354.26904296875,15.50634765625,1612.60498046875,1445.58251953125,1772.5069580078125,1505.89990234375,1516.699951171875,25,395.0,0,0,391.9599914550781,18.22166633605957,0,5,3,64.75548159136655,0.922,0.852,0.821,96.20605243694553,Dameon Pierce,5,0,1,49.67957083293361,49.67957083293361,1.0,1.0,1.0,13.09999942779541,1.0,0.0,Kenneth Walker,1.0,34.85982863017482,1.0
2022,0,reinvest_k2,optimal,2,2,Cordarrelle Patterson|Dameon Pierce,2,0.5,16,2,Aaron Rodgers|Chris Godwin|Clyde Edwards Helaire|Cordarrelle Patterson|Dameon Pierce|Damien Harris|Davante Adams|Devin Singletary|Diontae Johnson|George Kittle|Kenneth Walker|Michael Carter|Mike Williams,Aaron Rodgers|Chris Godwin|Clyde Edwards Helaire|Davante Adams|Devin Singletary|Diontae Johnson|George Kittle|Mike Williams,Cordarrelle Patterson|Dameon Pierce|Damien Harris|Kenneth Walker|Michael Carter,3,2,4,296.7339172363281,1.266082763671875,243.81544494628903,52.918453216552734,100.36849594116212,1288.300048828125,1517.1624755859375,1370.960205078125,1656.53271484375,0.4953644275665283,1338.7626953125,1361.2677001953125,22.5050048828125,1607.9737548828125,1453.9271240234375,1738.2205810546875,1458.699951171875,1480.7999267578125,28,371.0,0,0,385.7599792480469,16.689999771118163,0,4,3,69.7540578842168,0.946,0.899,0.872,108.78673833327598,Dameon Pierce,5,0,1,49.67957083293361,49.67957083293361,1.0,1.0,1.0,13.09999942779541,1.0,0.0,Kenneth Walker,1.0,34.85982863017482,1.0
2022,0,reinvest_k3,optimal,3,2,Cordarrelle Patterson|Dameon Pierce,2,0.5,24,2,Aaron Rodgers|Chris Godwin|Clyde Edwards Helaire|Cordarrelle Patterson|Dameon Pierce|Damien Harris|Davante Adams|Devin Singletary|Diontae Johnson|George Kittle|Kenneth Walker|Michael Carter|Mike Williams,Aaron Rodgers|Chris Godwin|Clyde Edwards Helaire|Davante Adams|Devin Singletary|Diontae Johnson|George Kittle|Mike Williams,Cordarrelle Patterson|Dameon Pierce|Damien Harris|Kenneth Walker|Michael Carter,3,2,4,296.7339172363281,1.266082763671875,243.81544494628903,52.918453216552734,100.36849594116212,1288.300048828125,1517.1624755859375,1370.960205078125,1656.53271484375,0.4953644275665283,1338.7626953125,1361.2677001953125,22.5050048828125,1607.9737548828125,1453.9271240234375,1738.2205810546875,1458.699951171875,1480.7999267578125,28,371.0,0,0,385.7599792480469,16.689999771118163,0,4,3,69.7540578842168,0.946,0.899,0.872,108.78673833327598,Dameon Pierce,5,0,1,49.67957083293361,49.67957083293361,1.0,1.0,1.0,13.09999942779541,1.0,0.0,Kenneth Walker,1.0,34.85982863017482,1.0
2022,1,control,optimal,0,0,,0,,0,3,Aaron Rodgers|Aj Dillon|Alvin Kamara|Chase Edmonds|Chris Godwin|Clyde Edwards Helaire|Damien Harris|Diontae Johnson|Juju Smith Schuster|Kenneth Walker|Mike Williams|Travis Kelce|Treylon Burks,Aaron Rodgers|Alvin Kamara|Chris Godwin|Clyde Edwards Helaire|Diontae Johnson|Juju Smith Schuster|Mike Williams|Travis Kelce,Aj Dillon|Chase Edmonds|Damien Harris|Kenneth Walker|Treylon Burks,0,0,0,294.3766174316406,3.623382568359375,243.1521453857422,51.22446441650391,101.09938144683838,1282.699951171875,1534.0179443359375,1377.4921875,1700.9705810546875,0.510254979133606,1374.67822265625,1374.67822265625,0.0,1626.1715087890625,1475.182861328125,1769.17724609375,1447.5999755859375,1449.699951171875,39,417.0,0,0,338.6600036621094,15.581666564941406,0,3,2,49.49558437819546,0.833,0.767,0.736,72.84073094957948,Treylon Burks,5,0,1,42.5894607628396,42.5894607628396,1.0,1.0,1.0,13.09999942779541,1.0,0.0,Kenneth Walker,1.0,27.774703415732667,1.0
2022,1,reinvest_k1,optimal,1,1,Cordarrelle Patterson,1,1.0,8,6,Aaron Rodgers|Aj Dillon|Alvin Kamara|Chase Edmonds|Chris Godwin|Clyde Edwards Helaire|Cordarrelle Patterson|Diontae Johnson|Juju Smith Schuster|Kenneth Walker|Mike Williams|Travis Kelce|Treylon Burks,Aaron Rodgers|Alvin Kamara|Chris Godwin|Clyde Edwards Helaire|Diontae Johnson|Juju Smith Schuster|Mike Williams|Travis Kelce,Aj Dillon|Chase Edmonds|Cordarrelle Patterson|Kenneth Walker|Treylon Burks,0,1,1,294.3766174316406,3.623382568359375,243.1521453857422,51.22446441650391,101.09938144683838,1282.699951171875,1534.0179443359375,1377.4921875,1700.9705810546875,0.510254979133606,1374.67822265625,1374.67822265625,0.0,1620.05029296875,1457.359130859375,1773.072509765625,1445.89990234375,1437.0999755859375,35,402.0,0,0,342.4599914550781,16.071666526794434,0,3,3,54.90795862458235,0.883,0.836,0.808,85.07355048175523,Cordarrelle Patterson,5,0,1,42.5894607628396,42.5894607628396,1.0,1.0,1.0,13.09999942779541,1.0,0.0,Kenneth Walker,1.0,27.774703415732667,1.0
2022,1,reinvest_k2,optimal,2,2,Brandon Aiyuk|Cordarrelle Patterson,2,1.5,16,7,Aaron Rodgers|Aj Dillon|Alvin Kamara|Brandon Aiyuk|Chris Godwin|Clyde Edwards Helaire|Cordarrelle Patterson|Dk Metcalf|Ezekiel Elliott|Juju Smith Schuster|Kenneth Walker|Rhamondre Stevenson|Travis Kelce,Aaron Rodgers|Alvin Kamara|Chris Godwin|Clyde Edwards Helaire|Dk Metcalf|Ezekiel Elliott|Juju Smith Schuster|Travis Kelce,Aj Dillon|Brandon Aiyuk|Cordarrelle Patterson|Kenneth Walker|Rhamondre Stevenson,2,3,5,296.27301025390625,1.72698974609375,250.9747467041016,45.298248291015625,102.11904335021973,1387.300048828125,1547.0926513671875,1386.2042236328125,1724.239990234375,0.5461938977241516,1374.67822265625,1379.8292236328125,5.1510009765625,1631.3074951171875,1467.328125,1834.9298095703125,1604.199951171875,1598.60009765625,24,398.0,0,0,404.55999755859375,19.64999942779541,0,5,5,58.86894981492621,0.908,0.87,0.823,92.389933099529,Cordarrelle Patterson,5,0,1,72.07489390999159,114.6643546728312,1.0,1.0,1.0,14.19999885559082,2.0,0.0,Brandon Aiyuk|Kenneth Walker|Rhamondre Stevenson,1.0,69.97128196388563,1.0
2022,1,reinvest_k3,optimal,3,3,Brandon Aiyuk|Cordarrelle Patterson|Dameon Pierce,3,1.0,24,8,Aaron Rodgers|Aj Dillon|Alvin Kamara|Brandon Aiyuk|Chris Godwin|Clyde Edwards Helaire|Cordarrelle Patterson|Dameon Pierce|Dk Metcalf|Ezekiel Elliott|Juju Smith Schuster|Kenneth Walker|Travis Kelce,Aaron Rodgers|Alvin Kamara|Chris Godwin|Clyde Edwards Helaire|Dk Metcalf|Ezekiel Elliott|Juju Smith Schuster|Travis Kelce,Aj Dillon|Brandon Aiyuk|Cordarrelle Patterson|Dameon Pierce|Kenneth Walker,2,3,5,295.79888916015625,2.20111083984375,250.9747467041016,44.82415390014648,102.11904335021973,1387.300048828125,1547.0926513671875,1386.2042236328125,1724.239990234375,0.5470693707466125,1374.67822265625,1379.8292236328125,5.1510009765625,1627.2122802734375,1467.2091064453125,1804.453125,1581.300048828125,1579.0,25,407.0,0,0,402.760009765625,19.67666606903076,0,5,5,65.39261152845246,0.932,0.902,0.869,105.8795897355022,Dameon Pierce,5,0,1,72.07489390999159,114.6643546728312,1.0,1.0,1.0,14.19999885559082,2.0,0.0,Brandon Aiyuk|Kenneth Walker,1.0,69.97128196388563,1.0
2022,2,control,optimal,0,0,,0,,0,1,Aaron Rodgers|Aj Dillon|Chris Godwin|Christian Mccaffrey|Clyde Edwards Helaire|Damien Harris|Deandre Hopkins|Juju Smith Schuster|Kenneth Walker|Michael Carter|Mike Williams|Rashaad Penny|Travis Kelce,Aaron Rodgers|Chris Godwin|Christian Mccaffrey|Clyde Edwards Helaire|Damien Harris|Juju Smith Schuster|Mike Williams|Travis Kelce,Aj Dillon|Deandre Hopkins|Kenneth Walker|Michael Carter|Rashaad Penny,0,0,0,297.6598815917969,0.340118408203125,254.9986724853516,42.66118240356445,102.89799690246582,1345.60009765625,1556.922607421875,1386.7452392578125,1722.1448974609375,0.5942261219024658,1378.6566162109375,1378.6566162109375,0.0,1631.2579345703125,1480.296875,1781.653564453125,1570.5999755859375,1596.199951171875,34,427.0,0,0,386.8599853515625,17.6866662979126,0,4,3,54.09704707529696,0.861,0.8,0.739,82.83948344502548,Michael Carter,4,1,1,52.994001542094765,66.96020777480148,1.0,1.0,1.0,13.09999942779541,1.0,0.0,Deandre Hopkins|Kenneth Walker,1.0,38.21676746464115,1.0
2022,2,reinvest_k1,optimal,1,1,Dameon Pierce,1,0.0,8,2,Aaron Rodgers|Chris Godwin|Christian Mccaffrey|Clyde Edwards Helaire|Dameon Pierce|Damien Harris|Deandre Hopkins|Juju Smith Schuster|Kenneth Walker|Michael Carter|Mike Williams|Rashaad Penny|Travis Kelce,Aaron Rodgers|Chris Godwin|Christian Mccaffrey|Clyde Edwards Helaire|Damien Harris|Juju Smith Schuster|Mike Williams|Travis Kelce,Dameon Pierce|Deandre Hopkins|Kenneth Walker|Michael Carter|Rashaad Penny,0,1,1,297.1707458496094,0.829254150390625,254.9986724853516,42.17207717895508,102.89799690246582,1345.60009765625,1556.922607421875,1386.7452392578125,1722.1448974609375,0.5952041745185852,1378.6566162109375,1378.6566162109375,0.0,1625.3197021484375,1483.4903564453125,1776.3172607421875,1602.4000244140625,1635.0,29,425.0,0,0,396.260009765625,17.85333309173584,0,4,3,61.615794804604405,0.907,0.864,0.825,95.12357307324622,Dameon Pierce,4,1,1,52.994001542094765,66.96020777480148,1.0,1.0,1.0,13.09999942779541,1.0,0.0,Deandre Hopkins|Kenneth Walker,1.0,38.21676746464115,1.0
