year,policy,player,bench_rosters,predicted_best_rosters,realized_hit_rosters
2022,best1_lex0,Abram Smith,4,0,0
2022,best1_lex0,Adam Thielen,2,0,2
2022,best1_lex0,Aj Dillon,27,0,0
2022,best1_lex0,Albert Okwuegbunam,1,0,0
2022,best1_lex0,Alexander Mattison,12,0,0
2022,best1_lex0,Allen Lazard,9,0,0
2022,best1_lex0,Amari Cooper,1,0,1
2022,best1_lex0,Benny Snell,1,0,0
2022,best1_lex0,Brandon Aiyuk,41,17,41
2022,best1_lex0,Brian Robinson,28,0,28
2022,best1_lex0,Calvin Ridley,6,0,6
2022,best1_lex0,Chase Claypool,12,0,0
2022,best1_lex0,Chase Edmonds,9,0,0
2022,best1_lex0,Chris Evans,3,0,0
2022,best1_lex0,Chris Olave,5,0,5
2022,best1_lex0,Christian Kirk,12,0,11
2022,best1_lex0,Chuba Hubbard,2,0,0
2022,best1_lex0,Clyde Edwards Helaire,1,1,0
2022,best1_lex0,Cole Kmet,9,0,9
2022,best1_lex0,Cordarrelle Patterson,5,4,0
2022,best1_lex0,Corey Davis,2,0,0
2022,best1_lex0,Dallas Goedert,2,0,0
2022,best1_lex0,Dameon Pierce,62,62,0
2022,best1_lex0,Damien Harris,10,0,0
2022,best1_lex0,Darrel Williams,11,0,0
2022,best1_lex0,Darrell Henderson,25,0,14
2022,best1_lex0,Darren Waller,2,0,0
2022,best1_lex0,Dawson Knox,3,0,0
2022,best1_lex0,Deandre Hopkins,19,0,19
2022,best1_lex0,Dernest Johnson,1,0,0
2022,best1_lex0,Devin Singletary,3,0,0
2022,best1_lex0,Devonta Smith,34,14,34
2022,best1_lex0,Dj Chark,1,0,0
2022,best1_lex0,Dontrell Hilliard,1,0,0
2022,best1_lex0,Drake London,12,4,0
2022,best1_lex0,Elijah Moore,51,42,0
2022,best1_lex0,Evan Engram,3,0,3
2022,best1_lex0,Gabriel Davis,1,0,0
2022,best1_lex0,Garrett Wilson,18,0,18
2022,best1_lex0,George Kittle,1,0,1
2022,best1_lex0,George Pickens,18,2,18
2022,best1_lex0,Gerald Everett,1,0,0
